,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,251,4,785,1,2482827,1215519,3698274,72,24806594770,12096259640,36902128650,725760,9991.269939468195,9978.202980633669,9951.518355533726,10080.0,-1215447.0
1,2022-09-07,451,5,2380,17,9304115,9752590,11781165,7275540,97506528170,101434854460,122734762330,76206620300,10479.93583161859,10417.8799235899,10400.811934060594,10474.359332778047,-2477050.0
2,2022-09-06,304,4,834,15,7802227,7355483,4294457,10863253,78118625660,73755151960,42998871940,108874905680,10012.349763727716,10012.644657985864,10027.234371964425,10022.311519394789,3507770.0
3,2022-09-05,459,4,1091,5,7060306,1099338,6619500,1540144,70137663040,10838593230,65777779580,15198476690,9934.082607750996,9936.971006873631,9859.200018556623,9868.217965333111,440806.0
4,2022-09-04,19,0,719,7,1986657,0,199098,1787559,19071907200,0,1911340800,17160566400,9600.0,9600.0,,9600.0,1787559.0
5,2022-09-03,8,1,657,4,698883,600000,298587,1000296,6464667750,5550000000,2761929750,9252738000,9250.0,9250.0,9250.0,9250.0,400296.0
6,2022-08-20,174,1,680,1,611923,1302743,1574735,339931,14330332590,30628695120,36995272560,7963755150,23418.522575552808,23493.014735812692,23510.926652455626,23427.563682041357,-962812.0
7,2022-08-17,120,2,628,2,281208,932357,1182931,30634,6570926970,21963231570,27817335180,716823360,23366.785333276435,23515.60249921593,23556.67579049656,23399.600443951167,-901723.0
8,2022-08-16,113,2,597,0,592415,213551,805966,0,13888721640,5010596020,18899317660,0,23444.243714288124,23449.274113300064,23463.22901789268,,-213551.0
9,2022-08-15,97,2,678,2,692699,769076,770130,691645,16138266450,17823950200,17931415300,16030801350,23297.660960965728,23283.62133665745,23175.798230603996,23177.788243969087,-77431.0
10,2022-08-14,70,1,627,2,174603,315499,391041,99061,4065964540,7367067640,9124839120,2308193060,23286.911106911106,23334.73758506141,23350.52611894174,23300.724402136057,-216438.0
11,2022-08-13,177,1,666,4,768970,247082,697251,318801,17927455720,5750951190,16252426160,7425980750,23313.59574495754,23309.290571114278,23275.47611724043,23293.46755499512,71719.0
12,2022-08-10,119,4,434,3,508288,501946,473039,537195,11733670600,11645000920,10996813940,12381857580,23084.689388693023,23247.161312280805,23199.708574229102,23049.09312260911,35249.0
13,2022-08-09,91,1,527,9,465362,243835,389783,319414,10923802680,5747286350,9171437790,7499651240,23473.774566896307,23529.599264205983,23570.391248180124,23479.406788681772,75579.0
14,2022-08-06,70,1,537,2,255104,284589,297578,242115,6069663010,6773681950,7085483480,5757861480,23792.89626975665,23810.508438123787,23801.62954295493,23781.514899944243,-42474.0
15,2022-08-03,44,3,521,3,102425,329476,312739,119162,2430127370,7831408610,7441627650,2819908330,23725.92013668538,23795.010056308936,23769.283984265927,23664.493127003574,-210314.0
16,2022-08-02,41,2,556,1,120647,400883,521458,72,2844129840,9451343260,12293776060,1697040,23573.978963422214,23575.77419466189,23576.313438085428,23570.0,-400811.0
17,2022-08-01,64,3,578,1,228403,320810,549113,100,5276062490,7458672820,12732416310,2319000,23099.795055231323,23187.242534778816,23249.502259904617,23190.0,-320710.0
18,2022-07-31,164,4,503,2,672417,1020828,1636105,57140,15611809640,23664154180,37937990620,1337973200,23217.452324970964,23187.99259216248,23181.333368598825,23415.701785089255,-963688.0
19,2022-07-30,74,2,790,2,157349,619881,777087,143,3802435250,15088641630,18887611820,3465060,24165.61433501325,24305.65923764006,24341.1906962788,24231.18881118881,-619738.0
20,2022-07-27,72,3,567,0,149261,215328,364589,0,3631982870,5252555340,8884538210,0,24333.100207019917,24368.640331990267,24393.276025412393,,-215328.0
21,2022-07-26,54,2,641,1,126976,419114,545790,300,3111176800,10268071030,13371762830,7485000,24502.085433467742,24499.83112552447,24499.47038275982,24950.0,-418814.0
22,2022-07-25,91,4,760,0,234973,955629,1190602,0,5769193040,23482094130,29251287170,0,24552.578551578266,24568.48482532366,24572.395908872586,,-955629.0
23,2022-07-24,109,4,676,1,400185,224213,624326,72,9870282570,5469121530,15337575300,1828800,24664.299186626184,24566.613115583845,24392.526436914897,25400.0,-224141.0
24,2022-07-23,78,3,849,2,222280,456714,678851,143,5521209640,11346232370,16863894190,3547820,24838.985243836603,24841.819766045865,24843.189326361793,24809.93006993007,-456571.0
25,2022-07-20,121,3,659,1,260749,365136,625865,20,6475387340,9057412580,15532300920,499000,24833.795489148568,24817.334281354604,24805.586356864293,24950.0,-365116.0
26,2022-07-19,113,1,842,5,688557,153801,808418,33940,17273860800,3836207830,20243716440,866352190,25087.045516928883,25041.150048613465,24942.671569105532,25525.992634060105,-119861.0
