,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-06,0,1,1,0,0,248,248,0,0,2632272,2632272,0,,10614.0,10614.0,,-248.0
1,2022-09-05,0,1,1,0,0,300,300,0,0,3181200,3181200,0,,10604.0,10604.0,,-300.0
2,2022-09-04,0,1,1,0,0,500,500,0,0,5294000,5294000,0,,10588.0,10588.0,,-500.0
3,2022-08-30,1,1,2,0,472,628,1100,0,5039072,6703900,11742972,0,10676.0,10675.42909090909,10675.0,,-628.0
4,2022-08-29,1,0,1,0,100,0,100,0,1066300,0,1066300,0,10663.0,10663.0,,,0.0
5,2022-08-28,1,1,2,0,51000,50000,101000,0,549780000,533950000,1083730000,0,10780.0,10730.0,10679.0,,-50000.0
6,2022-08-24,1,0,0,1,50000,0,0,50000,535400000,0,0,535400000,10708.0,,,10708.0,50000.0
7,2022-08-22,1,0,1,0,1000,0,1000,0,10498000,0,10498000,0,10498.0,10498.0,,,0.0
8,2022-08-21,0,1,2,0,0,301,301,0,0,3168326,3168326,0,,10526.0,10526.0,,-301.0
9,2022-08-16,1,0,1,1,20000,0,5924,14076,214114076,0,63416420,150697656,10705.7038,10705.0,,10706.0,14076.0
10,2022-08-15,3,0,3,1,71076,0,36076,35000,755861552,0,384251552,371610000,10634.553885981204,10651.168422219758,,10617.42857142857,35000.0
11,2022-08-14,2,1,3,1,15480,64520,65000,15000,164569560,684976400,690050960,159495000,10631.108527131782,10616.168615384615,10616.49721016739,10633.0,-49520.0
12,2022-08-13,2,1,1,1,45000,1000,1000,45000,475515000,10503000,10503000,475515000,10567.0,10503.0,10503.0,10567.0,44000.0
13,2022-08-10,1,1,2,1,15000,18710,18710,15000,157245000,196099510,196099510,157245000,10483.0,10481.0,10481.0,10483.0,-3710.0
14,2022-08-09,2,1,2,1,17141,100000,101665,15476,179339797,1044600000,1061980845,161958952,10462.621609007643,10445.88447351596,10446.0,10465.168777461877,-84524.0
15,2022-08-06,2,0,1,1,41500,0,1500,40000,430942500,0,15592500,415350000,10384.156626506025,10395.0,,10383.75,40000.0
16,2022-08-03,1,0,1,1,45734,0,5734,40000,472566494,0,59296494,413270000,10332.935977609655,10341.20927799093,,10331.75,40000.0
17,2022-08-02,1,1,5,1,15000,19460,19460,15000,154620000,200535300,200535300,154620000,10308.0,10305.0,10305.0,10308.0,-4460.0
18,2022-08-01,2,1,1,1,15000,1000,1000,15000,154710000,10311000,10311000,154710000,10314.0,10311.0,10311.0,10314.0,14000.0
19,2022-07-31,2,1,3,0,1987,2502,4489,0,20427987,25645500,46073487,0,10280.818822345243,10263.641568278013,10250.0,,-2502.0
20,2022-07-30,3,1,7,1,17950,74282,77232,15000,186624200,771507212,802146412,155985000,10396.891364902507,10386.192407292314,10386.193317358177,10399.0,-59282.0
21,2022-07-27,4,0,3,1,43279,0,25810,17469,449107760,0,267792815,181314945,10377.036437995333,10375.544943820225,,10379.240082431736,17469.0
22,2022-07-26,2,1,2,1,15481,15000,15481,15000,160830096,155775000,160785096,155820000,10388.869969640204,10385.963180673083,10385.0,10388.0,0.0
23,2022-07-25,0,1,3,0,0,5760,5760,0,0,60433920,60433920,0,,10492.0,10492.0,,-5760.0
24,2022-07-24,0,1,2,0,0,34055,34055,0,0,361051110,361051110,0,,10602.0,10602.0,,-34055.0
25,2022-07-23,5,1,3,1,41227,16372,42599,15000,436965761,173494084,451459845,159000000,10599.019113687631,10597.89772060377,10597.0,10600.0,-1372.0
26,2022-07-20,2,1,1,1,15500,500,1000,15000,163570500,5275000,10550500,158295000,10552.935483870968,10550.5,10550.0,10553.0,14500.0
27,2022-07-19,2,0,1,1,18000,0,3000,15000,189378000,0,31563000,157815000,10521.0,10521.0,,10521.0,15000.0
28,2022-07-17,0,1,3,0,0,4097,4097,0,0,43116828,43116828,0,,10524.0,10524.0,,-4097.0
29,2022-07-16,4,1,8,1,1533,500000,501033,500,16150983,5295500000,5306352983,5298000,10535.54011741683,10590.825320887046,10591.0,10596.0,-499500.0
30,2022-07-13,2,0,0,1,23458,0,0,23458,248298632,0,0,248298632,10584.816778924034,,,10584.816778924034,23458.0
31,2022-07-12,4,1,5,1,13480,1600,4606,10474,142410188,16899200,48651578,110657810,10564.554005934719,10562.65262700825,10562.0,10565.0,8874.0
32,2022-07-11,1,1,2,1,468,1600,1600,468,5001984,17096000,17096000,5001984,10688.0,10685.0,10685.0,10688.0,-1132.0
33,2022-07-09,0,1,2,0,0,5000,5000,0,0,54075000,54075000,0,,10815.0,10815.0,,-5000.0
34,2022-07-06,1,1,2,1,831,15831,15831,831,8990589,171228096,171228096,8990589,10819.0,10816.0,10816.0,10819.0,-15000.0
35,2022-07-05,1,0,0,1,15000,0,0,15000,161910000,0,0,161910000,10794.0,,,10794.0,15000.0
36,2022-07-04,2,1,1,1,15000,54071,54071,15000,162165000,584399368,584399368,162165000,10811.0,10808.0,10808.0,10811.0,-39071.0
37,2022-07-03,1,1,1,1,40000,505,505,40000,430630000,5425720,5425720,430630000,10765.75,10744.0,10744.0,10765.75,39495.0
38,2022-07-02,0,1,2,0,0,4135,4135,0,0,44877155,44877155,0,,10853.0,10853.0,,-4135.0
39,2022-06-29,1,1,3,1,464,27434,27434,464,5036720,297713768,297713768,5036720,10855.0,10852.0,10852.0,10855.0,-26970.0
40,2022-06-28,4,1,4,1,21096,2000,8096,15000,229128672,21700000,88033672,162795000,10861.237770193402,10873.724308300396,10850.0,10853.0,13000.0
41,2022-06-27,3,0,1,1,16997,0,1997,15000,183665588,0,21575588,162090000,10805.765017356003,10804.0,,10806.0,15000.0
42,2022-06-26,3,1,2,1,1847,2204,2204,1847,20086125,23961888,23961888,20086125,10875.0,10872.0,10872.0,10875.0,-357.0
43,2022-06-25,1,1,4,1,561,3721,3821,461,6137801,40700298,41794298,5043801,10940.82174688057,10938.052342318764,10938.0,10941.0,-3260.0
44,2022-06-21,0,1,2,0,0,2490,2490,0,0,27357630,27357630,0,,10987.0,10987.0,,-2490.0
45,2022-06-20,2,1,3,1,2450,2900,3400,1950,26900000,31833300,37322300,21411000,10979.591836734693,10977.14705882353,10977.0,10980.0,-950.0
46,2022-06-19,1,1,4,1,909,3409,3409,909,9980820,37420593,37420593,9980820,10980.0,10977.0,10977.0,10980.0,-2500.0
47,2022-06-18,1,1,2,0,457,18595,19052,0,5043909,205214420,210258329,0,11037.0,11036.023986982995,11036.0,,-18595.0
48,2022-06-15,2,1,4,1,3000,78063,78563,2500,33191000,863454843,868985843,27660000,11063.666666666666,11061.00636431908,11061.0,11064.0,-75563.0
49,2022-06-14,3,1,7,1,86000,39706,40706,85000,949379000,438076298,449110298,938345000,11039.290697674418,11033.024566402988,11033.0,11039.35294117647,45294.0
50,2022-06-13,3,1,4,1,11205,25570,26775,10000,122581490,279659090,292840580,109400000,10939.892012494422,10937.089822595704,10937.0,10940.0,-15570.0
51,2022-06-12,3,1,1,1,31570,3000,3000,31570,342869910,32571000,32571000,342869910,10860.62432689262,10857.0,10857.0,10860.62432689262,28570.0
52,2022-06-11,2,1,2,1,2000,59806,60806,1000,21778000,651107922,661995922,10890000,10889.0,10887.016445745485,10887.0,10890.0,-58806.0
53,2022-06-08,2,1,3,1,60335,4795,5435,59695,654284600,51973005,58911245,647346360,10844.196569155549,10839.235510579576,10839.0,10844.23084010386,54900.0
54,2022-06-07,3,0,1,1,26101,0,1100,25001,282123512,0,11887700,270235812,10808.91582697981,10807.0,,10809.0001199952,25001.0
