jdate,value,date
1387-09-15,7854.6,2008-12-05
1387-09-16,7854.6,2008-12-06
1387-09-17,7854.6,2008-12-07
1387-09-18,7854.6,2008-12-08
1387-09-20,7854.6,2008-12-10
1387-09-23,7854.6,2008-12-13
1387-09-24,7854.6,2008-12-14
1387-09-25,7854.6,2008-12-15
1387-09-26,7854.6,2008-12-16
1387-09-30,7854.6,2008-12-20
1387-10-01,7854.6,2008-12-21
1387-10-02,7854.6,2008-12-22
1387-10-03,7854.6,2008-12-23
1387-10-04,7854.6,2008-12-24
1387-10-07,7854.6,2008-12-27
1387-10-08,7854.6,2008-12-28
1387-10-09,7854.6,2008-12-29
1387-10-10,7854.6,2008-12-30
1387-10-11,7854.6,2008-12-31
1387-10-14,7854.6,2009-01-03
1387-10-15,7854.6,2009-01-04
1387-10-16,7854.6,2009-01-05
1387-10-21,7854.6,2009-01-10
1387-10-22,7854.6,2009-01-11
1387-10-23,7854.6,2009-01-12
1387-10-24,7854.6,2009-01-13
1387-10-25,7854.6,2009-01-14
1387-10-28,7854.6,2009-01-17
1387-10-29,7854.6,2009-01-18
1387-10-30,7854.6,2009-01-19
1387-11-01,7854.6,2009-01-20
1387-11-02,7854.6,2009-01-21
1387-11-05,7854.6,2009-01-24
1387-11-06,7854.6,2009-01-25
1387-11-07,7854.6,2009-01-26
1387-11-08,7854.6,2009-01-27
1387-11-09,7854.6,2009-01-28
1387-11-12,7854.6,2009-01-31
1387-11-13,7854.6,2009-02-01
1387-11-14,7854.6,2009-02-02
1387-11-15,7854.6,2009-02-03
1387-11-16,7854.6,2009-02-04
1387-11-19,7854.6,2009-02-07
1387-11-20,7854.6,2009-02-08
1387-11-21,7854.6,2009-02-09
1387-11-23,7854.6,2009-02-11
1387-11-26,7854.6,2009-02-14
1387-11-27,7854.6,2009-02-15
1387-11-29,7854.6,2009-02-17
1387-11-30,7854.6,2009-02-18
1387-12-03,7854.6,2009-02-21
1387-12-04,7854.6,2009-02-22
1387-12-05,7854.6,2009-02-23
1387-12-07,7854.6,2009-02-25
1387-12-10,7854.6,2009-02-28
1387-12-11,7854.6,2009-03-01
1387-12-12,7854.6,2009-03-02
1387-12-13,7854.6,2009-03-03
1387-12-14,7854.6,2009-03-04
1387-12-17,7854.6,2009-03-07
