jdate,value,date
1394-02-13,100.0,2015-05-03
1394-02-14,104.0,2015-05-04
1394-02-15,108.1,2015-05-05
1394-02-16,112.4,2015-05-06
1394-02-19,114.8,2015-05-09
1394-02-20,110.5,2015-05-10
1394-02-21,112.0,2015-05-11
1394-02-22,111.7,2015-05-12
1394-02-23,111.9,2015-05-13
1394-02-27,108.8,2015-05-17
1394-02-28,107.7,2015-05-18
1394-02-29,109.8,2015-05-19
1394-02-30,109.2,2015-05-20
1394-03-02,109.2,2015-05-23
1394-03-03,110.3,2015-05-24
1394-03-04,110.2,2015-05-25
1394-03-05,110.7,2015-05-26
1394-03-06,109.2,2015-05-27
1394-03-09,109.8,2015-05-30
1394-03-10,108.2,2015-05-31
1394-03-11,106.9,2015-06-01
1394-03-12,106.9,2015-06-02
1394-03-16,106.6,2015-06-06
1394-03-17,106.4,2015-06-07
1394-03-18,104.7,2015-06-08
1394-03-19,102.2,2015-06-09
1394-03-20,103.6,2015-06-10
1394-03-23,105.4,2015-06-13
1394-03-24,103.8,2015-06-14
1394-03-25,106.4,2015-06-15
1394-03-26,106.4,2015-06-16
1394-03-27,106.4,2015-06-17
1394-03-30,108.5,2015-06-20
1394-03-31,108.6,2015-06-21
1394-04-01,107.3,2015-06-22
1394-04-02,107.8,2015-06-23
1394-04-03,106.0,2015-06-24
1394-04-06,107.3,2015-06-27
1394-04-07,106.6,2015-06-28
1394-04-08,106.9,2015-06-29
1394-04-09,109.7,2015-06-30
1394-04-10,112.1,2015-07-01
1394-04-13,114.3,2015-07-04
1394-04-14,113.7,2015-07-05
1394-04-15,114.0,2015-07-06
1394-04-16,117.4,2015-07-07
1394-04-20,119.3,2015-07-11
1394-04-21,121.5,2015-07-12
1394-04-22,127.4,2015-07-13
1394-04-23,127.3,2015-07-14
1394-04-24,126.3,2015-07-15
1394-04-28,126.3,2015-07-19
1394-04-29,123.6,2015-07-20
1394-04-30,125.1,2015-07-21
1394-04-31,123.2,2015-07-22
1394-05-03,119.8,2015-07-25
1394-05-04,123.0,2015-07-26
1394-05-05,122.7,2015-07-27
1394-05-06,123.6,2015-07-28
1394-05-07,123.1,2015-07-29
1394-05-10,120.4,2015-08-01
1394-05-11,121.2,2015-08-02
1394-05-12,121.2,2015-08-03
1394-05-13,122.2,2015-08-04
1394-05-14,121.8,2015-08-05
1394-05-17,121.1,2015-08-08
1394-05-18,121.4,2015-08-09
1394-05-19,122.2,2015-08-10
1394-05-21,122.2,2015-08-12
1394-05-24,121.8,2015-08-15
1394-05-25,120.9,2015-08-16
1394-05-26,121.2,2015-08-17
1394-05-27,121.1,2015-08-18
1394-05-28,121.1,2015-08-19
1394-05-31,121.3,2015-08-22
1394-06-01,123.5,2015-08-23
1394-06-02,122.5,2015-08-24
1394-06-03,120.0,2015-08-25
1394-06-04,119.9,2015-08-26
1394-06-07,119.4,2015-08-29
1394-06-08,120.7,2015-08-30
