jdate,value,date
1387-09-15,972.3,2008-12-05
1387-09-16,964.2,2008-12-06
1387-09-17,962.2,2008-12-07
1387-09-18,961.5,2008-12-08
1387-09-20,961.4,2008-12-10
1387-09-23,964.3,2008-12-13
1387-09-24,964.0,2008-12-14
1387-09-25,963.4,2008-12-15
1387-09-26,960.7,2008-12-16
1387-09-30,960.7,2008-12-20
1387-10-01,945.0,2008-12-21
1387-10-02,936.4,2008-12-22
1387-10-03,936.5,2008-12-23
1387-10-04,936.7,2008-12-24
1387-10-07,935.3,2008-12-27
1387-10-08,936.2,2008-12-28
1387-10-09,935.3,2008-12-29
1387-10-10,934.5,2008-12-30
1387-10-11,935.0,2008-12-31
1387-10-14,935.3,2009-01-03
1387-10-15,938.7,2009-01-04
1387-10-16,942.0,2009-01-05
1387-10-21,945.4,2009-01-10
1387-10-22,948.8,2009-01-11
1387-10-23,951.4,2009-01-12
1387-10-24,955.4,2009-01-13
1387-10-25,955.0,2009-01-14
1387-10-28,955.0,2009-01-17
1387-10-29,955.0,2009-01-18
1387-10-30,953.5,2009-01-19
1387-11-01,953.5,2009-01-20
1387-11-02,953.9,2009-01-21
1387-11-05,959.3,2009-01-24
1387-11-06,959.0,2009-01-25
1387-11-07,957.9,2009-01-26
1387-11-08,957.7,2009-01-27
1387-11-09,957.7,2009-01-28
1387-11-12,958.5,2009-01-31
1387-11-13,959.2,2009-02-01
1387-11-14,959.4,2009-02-02
1387-11-15,959.3,2009-02-03
1387-11-16,959.5,2009-02-04
1387-11-19,956.0,2009-02-07
1387-11-20,951.9,2009-02-08
1387-11-21,948.0,2009-02-09
1387-11-23,968.9,2009-02-11
1387-11-26,968.9,2009-02-14
1387-11-27,993.7,2009-02-15
1387-11-29,995.1,2009-02-17
1387-11-30,992.7,2009-02-18
1387-12-03,992.9,2009-02-21
1387-12-04,993.3,2009-02-22
1387-12-05,992.6,2009-02-23
1387-12-07,992.5,2009-02-25
1387-12-10,994.4,2009-02-28
1387-12-11,994.6,2009-03-01
1387-12-12,998.2,2009-03-02
1387-12-13,1002.0,2009-03-03
1387-12-14,1005.9,2009-03-04
1387-12-17,1009.4,2009-03-07
1387-12-18,1013.4,2009-03-08
1387-12-19,1017.5,2009-03-09
1387-12-20,1021.7,2009-03-10
1387-12-21,1022.3,2009-03-11
1387-12-24,1020.3,2009-03-14
1387-12-26,1019.9,2009-03-16
1387-12-27,1018.6,2009-03-17
1387-12-28,1022.3,2009-03-18
1388-01-05,1022.1,2009-03-25
1388-01-08,1022.0,2009-03-28
1388-01-09,1021.1,2009-03-29
1388-01-10,1021.0,2009-03-30
1388-01-11,1022.2,2009-03-31
1388-01-15,1022.3,2009-04-04
1388-01-16,1022.3,2009-04-05
1388-01-17,1024.8,2009-04-06
1388-01-18,1021.5,2009-04-07
1388-01-19,1021.0,2009-04-08
1388-01-22,1020.8,2009-04-11
1388-01-23,992.5,2009-04-12
1388-01-24,992.8,2009-04-13
1388-01-25,992.2,2009-04-14
1388-01-26,992.2,2009-04-15
1388-01-29,992.2,2009-04-18
1388-01-30,998.8,2009-04-19
1388-01-31,999.9,2009-04-20
1388-02-01,1000.0,2009-04-21
1388-02-02,1000.8,2009-04-22
1388-02-05,1001.7,2009-04-25
1388-02-06,1002.9,2009-04-26
1388-02-07,1004.2,2009-04-27
1388-02-08,1004.9,2009-04-28
1388-02-09,1010.3,2009-04-29
1388-02-12,1014.9,2009-05-02
1388-02-13,1018.9,2009-05-03
1388-02-14,1048.7,2009-05-04
1388-02-15,1050.3,2009-05-05
1388-02-16,1053.6,2009-05-06
1388-02-19,1058.1,2009-05-09
1388-02-20,1062.6,2009-05-10
1388-02-21,1063.8,2009-05-11
1388-02-22,1064.8,2009-05-12
1388-02-23,1067.6,2009-05-13
1388-02-26,1069.3,2009-05-16
1388-02-27,1257.3,2009-05-17
1388-02-28,1285.0,2009-05-18
1388-02-29,1258.7,2009-05-19
1388-02-30,1266.3,2009-05-20
1388-03-02,1266.7,2009-05-23
1388-03-03,1267.3,2009-05-24
1388-03-04,1267.3,2009-05-25
1388-03-05,1267.3,2009-05-26
1388-03-06,1267.4,2009-05-27
1388-03-09,1267.4,2009-05-30
1388-03-10,1267.5,2009-05-31
1388-03-11,1267.5,2009-06-01
1388-03-12,1267.5,2009-06-02
1388-03-13,1267.7,2009-06-03
1388-03-16,1267.6,2009-06-06
1388-03-17,1353.6,2009-06-07
1388-03-18,1359.4,2009-06-08
1388-03-19,1361.3,2009-06-09
1388-03-20,1374.9,2009-06-10
1388-03-23,1372.6,2009-06-13
1388-03-24,1350.8,2009-06-14
1388-03-25,1327.0,2009-06-15
1388-03-26,1326.8,2009-06-16
1388-03-27,1327.0,2009-06-17
1388-03-30,1327.2,2009-06-20
1388-03-31,1326.7,2009-06-21
1388-04-01,1339.4,2009-06-22
1388-04-02,1340.7,2009-06-23
1388-04-03,1340.8,2009-06-24
1388-04-06,1347.4,2009-06-27
1388-04-07,1351.5,2009-06-28
1388-04-08,1361.4,2009-06-29
1388-04-09,1364.0,2009-06-30
1388-04-10,1382.5,2009-07-01
1388-04-13,1382.6,2009-07-04
1388-04-14,1382.4,2009-07-05
