jdate,value,date
1387-09-15,111.5,2008-12-05
1387-09-16,111.5,2008-12-06
1387-09-17,111.5,2008-12-07
1387-09-18,111.5,2008-12-08
1387-09-20,111.5,2008-12-10
1387-09-23,111.5,2008-12-13
1387-09-24,111.5,2008-12-14
1387-09-25,111.5,2008-12-15
1387-09-26,111.5,2008-12-16
1387-09-30,111.5,2008-12-20
1387-10-01,111.5,2008-12-21
1387-10-02,111.5,2008-12-22
1387-10-03,111.5,2008-12-23
1387-10-04,111.5,2008-12-24
1387-10-07,111.5,2008-12-27
1387-10-08,111.5,2008-12-28
1387-10-09,111.5,2008-12-29
1387-10-10,111.5,2008-12-30
1387-10-11,111.5,2008-12-31
1387-10-14,111.5,2009-01-03
1387-10-15,111.5,2009-01-04
1387-10-16,111.5,2009-01-05
1387-10-21,111.5,2009-01-10
1387-10-22,111.5,2009-01-11
1387-10-23,111.5,2009-01-12
1387-10-24,111.5,2009-01-13
1387-10-25,111.5,2009-01-14
1387-10-28,111.5,2009-01-17
1387-10-29,111.5,2009-01-18
1387-10-30,111.5,2009-01-19
1387-11-01,111.5,2009-01-20
1387-11-02,111.5,2009-01-21
1387-11-05,111.5,2009-01-24
1387-11-06,111.5,2009-01-25
1387-11-07,111.5,2009-01-26
1387-11-08,111.5,2009-01-27
1387-11-09,111.5,2009-01-28
1387-11-12,111.5,2009-01-31
1387-11-13,111.5,2009-02-01
1387-11-14,111.5,2009-02-02
1387-11-15,111.5,2009-02-03
1387-11-16,111.5,2009-02-04
1387-11-19,111.5,2009-02-07
1387-11-20,111.5,2009-02-08
1387-11-21,111.5,2009-02-09
1387-11-23,111.5,2009-02-11
1387-11-26,111.5,2009-02-14
1387-11-27,111.5,2009-02-15
1387-11-29,111.5,2009-02-17
1387-11-30,111.5,2009-02-18
1387-12-03,111.5,2009-02-21
1387-12-04,111.5,2009-02-22
1387-12-05,111.5,2009-02-23
1387-12-07,111.5,2009-02-25
1387-12-10,111.5,2009-02-28
1387-12-11,111.5,2009-03-01
1387-12-12,111.5,2009-03-02
1387-12-13,111.5,2009-03-03
1387-12-14,111.5,2009-03-04
1387-12-17,111.5,2009-03-07
1387-12-18,111.5,2009-03-08
1387-12-19,111.5,2009-03-09
1387-12-20,111.5,2009-03-10
1387-12-21,111.5,2009-03-11
1387-12-24,111.5,2009-03-14
1387-12-26,100.8,2009-03-16
1387-12-27,100.9,2009-03-17
1387-12-28,100.9,2009-03-18
1388-01-05,100.8,2009-03-25
1388-01-08,100.6,2009-03-28
1388-01-09,99.5,2009-03-29
1388-01-10,99.2,2009-03-30
1388-01-11,98.5,2009-03-31
1388-01-15,98.5,2009-04-04
1388-01-16,99.3,2009-04-05
1388-01-17,99.4,2009-04-06
1388-01-18,99.4,2009-04-07
1388-01-19,99.5,2009-04-08
1388-01-22,99.7,2009-04-11
1388-01-23,99.7,2009-04-12
1388-01-24,99.9,2009-04-13
1388-01-25,102.8,2009-04-14
1388-01-26,103.2,2009-04-15
1388-01-29,105.6,2009-04-18
1388-01-30,105.8,2009-04-19
1388-01-31,105.8,2009-04-20
1388-02-01,105.8,2009-04-21
1388-02-02,106.0,2009-04-22
1388-02-05,106.0,2009-04-25
1388-02-06,106.1,2009-04-26
1388-02-07,106.2,2009-04-27
1388-02-08,106.3,2009-04-28
1388-02-09,106.3,2009-04-29
1388-02-12,106.4,2009-05-02
1388-02-13,109.7,2009-05-03
1388-02-14,113.0,2009-05-04
1388-02-15,116.3,2009-05-05
1388-02-16,119.8,2009-05-06
1388-02-19,123.3,2009-05-09
1388-02-20,123.5,2009-05-10
1388-02-21,127.2,2009-05-11
1388-02-22,125.0,2009-05-12
1388-02-23,121.3,2009-05-13
1388-02-26,117.9,2009-05-16
1388-02-27,115.0,2009-05-17
1388-02-28,116.8,2009-05-18
1388-02-29,116.4,2009-05-19
1388-02-30,116.6,2009-05-20
1388-03-02,116.3,2009-05-23
1388-03-03,114.5,2009-05-24
1388-03-04,111.7,2009-05-25
1388-03-05,109.4,2009-05-26
1388-03-06,109.9,2009-05-27
1388-03-09,109.8,2009-05-30
1388-03-10,108.6,2009-05-31
1388-03-11,107.1,2009-06-01
1388-03-12,107.1,2009-06-02
1388-03-13,108.5,2009-06-03
1388-03-16,108.8,2009-06-06
1388-03-17,109.7,2009-06-07
1388-03-18,110.3,2009-06-08
1388-03-19,110.6,2009-06-09
1388-03-20,111.4,2009-06-10
1388-03-23,111.0,2009-06-13
1388-03-24,109.3,2009-06-14
1388-03-25,109.2,2009-06-15
1388-03-26,109.1,2009-06-16
1388-03-27,107.4,2009-06-17
1388-03-30,106.7,2009-06-20
1388-03-31,106.7,2009-06-21
1388-04-01,104.5,2009-06-22
1388-04-02,104.5,2009-06-23
1388-04-03,104.2,2009-06-24
1388-04-06,104.0,2009-06-27
1388-04-07,103.0,2009-06-28
1388-04-08,103.0,2009-06-29
1388-04-09,103.2,2009-06-30
1388-04-10,103.1,2009-07-01
1388-04-13,102.9,2009-07-04
1388-04-14,102.6,2009-07-05
1388-04-16,102.5,2009-07-07
1388-04-20,100.8,2009-07-11
1388-04-21,100.0,2009-07-12
1388-04-22,99.6,2009-07-13
1388-04-23,99.9,2009-07-14
1388-04-24,101.3,2009-07-15
1388-04-25,101.3,2009-07-16
1388-04-27,103.6,2009-07-18
1388-04-28,103.6,2009-07-19
1388-04-30,103.6,2009-07-21
1388-04-31,103.6,2009-07-22
1388-05-03,103.6,2009-07-25
1388-05-04,103.6,2009-07-26
1388-05-05,121.6,2009-07-27
1388-05-06,124.6,2009-07-28
1388-05-07,127.4,2009-07-29
1388-05-10,127.4,2009-08-01
1388-05-11,127.4,2009-08-02
1388-05-12,127.4,2009-08-03
1388-05-13,127.4,2009-08-04
1388-05-14,127.4,2009-08-05
1388-05-17,127.4,2009-08-08
1388-05-18,127.4,2009-08-09
1388-05-19,127.4,2009-08-10
1388-05-20,127.4,2009-08-11
1388-05-21,127.4,2009-08-12
1388-05-24,127.4,2009-08-15
1388-05-25,127.4,2009-08-16
1388-05-26,127.4,2009-08-17
1388-05-27,127.4,2009-08-18
1388-05-28,127.4,2009-08-19
1388-05-31,127.4,2009-08-22
1388-06-01,127.4,2009-08-23
1388-06-02,127.4,2009-08-24
1388-06-03,127.4,2009-08-25
1388-06-04,174.8,2009-08-26
1388-06-07,173.9,2009-08-29
1388-06-08,173.8,2009-08-30
1388-06-09,173.8,2009-08-31
1388-06-10,173.6,2009-09-01
1388-06-11,173.5,2009-09-02
1388-06-14,173.5,2009-09-05
1388-06-15,173.4,2009-09-06
1388-06-16,173.4,2009-09-07
1388-06-17,173.3,2009-09-08
1388-06-18,173.2,2009-09-09
1388-06-21,173.2,2009-09-12
1388-06-22,168.1,2009-09-13
1388-06-23,163.1,2009-09-14
1388-06-24,158.2,2009-09-15
1388-06-25,153.5,2009-09-16
1388-06-28,148.9,2009-09-19
1388-06-29,148.9,2009-09-20
1388-06-30,148.6,2009-09-21
1388-06-31,145.8,2009-09-22
1388-07-01,146.0,2009-09-23
1388-07-04,150.0,2009-09-26
1388-07-05,150.9,2009-09-27
1388-07-06,150.7,2009-09-28
1388-07-07,146.3,2009-09-29
1388-07-08,142.4,2009-09-30
1388-07-11,144.9,2009-10-03
1388-07-12,143.4,2009-10-04
1388-07-13,141.4,2009-10-05
1388-07-14,141.2,2009-10-06
1388-07-15,142.8,2009-10-07
1388-07-18,142.7,2009-10-10
1388-07-19,141.0,2009-10-11
1388-07-20,140.4,2009-10-12
1388-07-21,140.1,2009-10-13
1388-07-25,140.0,2009-10-17
1388-07-26,139.2,2009-10-18
1388-07-27,140.1,2009-10-19
1388-07-28,142.7,2009-10-20
1388-07-29,145.2,2009-10-21
1388-08-02,147.8,2009-10-24
1388-08-03,152.1,2009-10-25
1388-08-04,153.1,2009-10-26
1388-08-05,148.8,2009-10-27
1388-08-06,150.6,2009-10-28
1388-08-09,155.1,2009-10-31
1388-08-10,157.8,2009-11-01
1388-08-11,155.3,2009-11-02
1388-08-12,155.2,2009-11-03
1388-08-13,150.9,2009-11-04
1388-08-16,156.0,2009-11-07
1388-08-17,159.5,2009-11-08
1388-08-18,164.6,2009-11-09
1388-08-19,159.1,2009-11-10
1388-08-20,157.5,2009-11-11
1388-08-23,153.8,2009-11-14
1388-08-24,148.6,2009-11-15
1388-08-25,147.1,2009-11-16
1388-08-26,142.1,2009-11-17
1388-08-27,142.6,2009-11-18
1388-08-30,141.4,2009-11-21
1388-09-01,140.7,2009-11-22
1388-09-02,141.6,2009-11-23
1388-09-03,143.1,2009-11-24
1388-09-04,144.1,2009-11-25
1388-09-08,144.1,2009-11-29
1388-09-09,144.1,2009-11-30
1388-09-10,142.5,2009-12-01
1388-09-11,142.2,2009-12-02
1388-09-14,141.8,2009-12-05
1388-09-16,141.5,2009-12-07
1388-09-17,141.0,2009-12-08
1388-09-18,140.2,2009-12-09
1388-09-21,139.4,2009-12-12
1388-09-22,139.4,2009-12-13
1388-09-23,139.4,2009-12-14
1388-09-24,139.4,2009-12-15
1388-09-25,139.4,2009-12-16
1388-09-28,139.4,2009-12-19
1388-09-29,138.9,2009-12-20
1388-09-30,134.1,2009-12-21
1388-10-01,132.7,2009-12-22
1388-10-02,132.3,2009-12-23
1388-10-07,132.2,2009-12-28
1388-10-08,132.2,2009-12-29
1388-10-09,131.8,2009-12-30
1388-10-12,132.0,2010-01-02
1388-10-13,132.0,2010-01-03
1388-10-14,131.3,2010-01-04
1388-10-15,130.5,2010-01-05
1388-10-16,130.7,2010-01-06
1388-10-19,131.1,2010-01-09
1388-10-20,135.1,2010-01-10
1388-10-21,135.4,2010-01-11
1388-10-22,135.0,2010-01-12
1388-10-23,134.3,2010-01-13
1388-10-26,133.9,2010-01-16
1388-10-27,131.8,2010-01-17
1388-10-28,130.5,2010-01-18
1388-10-29,130.8,2010-01-19
1388-10-30,131.2,2010-01-20
1388-11-03,132.9,2010-01-23
1388-11-04,134.7,2010-01-24
1388-11-05,136.7,2010-01-25
1388-11-06,140.6,2010-01-26
1388-11-07,145.6,2010-01-27
1388-11-10,145.9,2010-01-30
1388-11-11,144.4,2010-01-31
1388-11-12,144.4,2010-02-01
1388-11-13,144.4,2010-02-02
1388-11-14,144.4,2010-02-03
1388-11-17,144.4,2010-02-06
1388-11-18,144.4,2010-02-07
1388-11-19,144.4,2010-02-08
1388-11-20,144.4,2010-02-09
1388-11-21,144.4,2010-02-10
1388-11-25,144.4,2010-02-14
1388-11-27,144.4,2010-02-16
1388-11-28,144.4,2010-02-17
1388-12-01,144.4,2010-02-20
1388-12-02,144.4,2010-02-21
1388-12-03,144.4,2010-02-22
1388-12-04,144.4,2010-02-23
1388-12-05,144.4,2010-02-24
1388-12-08,144.4,2010-02-27
1388-12-09,144.4,2010-02-28
1388-12-10,144.4,2010-03-01
1388-12-11,144.4,2010-03-02
1388-12-12,144.4,2010-03-03
1388-12-15,144.4,2010-03-06
1388-12-16,144.4,2010-03-07
1388-12-17,144.4,2010-03-08
1388-12-18,144.4,2010-03-09
1388-12-19,144.4,2010-03-10
1388-12-22,144.4,2010-03-13
1388-12-23,153.3,2010-03-14
1388-12-24,149.2,2010-03-15
1388-12-25,148.6,2010-03-16
1388-12-26,148.7,2010-03-17
1389-01-07,149.3,2010-03-27
1389-01-08,152.6,2010-03-28
1389-01-09,153.0,2010-03-29
1389-01-10,153.5,2010-03-30
1389-01-11,155.0,2010-03-31
1389-01-14,159.8,2010-04-03
1389-01-15,164.4,2010-04-04
1389-01-16,165.9,2010-04-05
1389-01-17,170.4,2010-04-06
1389-01-18,170.4,2010-04-07
1389-01-21,170.4,2010-04-10
1389-01-22,170.4,2010-04-11
1389-01-23,170.4,2010-04-12
1389-01-24,170.4,2010-04-13
1389-01-25,170.4,2010-04-14
1389-01-28,170.4,2010-04-17
1389-01-29,170.4,2010-04-18
1389-01-30,170.4,2010-04-19
1389-01-31,170.4,2010-04-20
1389-02-01,170.4,2010-04-21
1389-02-04,170.4,2010-04-24
1389-02-05,176.3,2010-04-25
1389-02-06,182.2,2010-04-26
1389-02-07,186.6,2010-04-27
1389-02-08,180.9,2010-04-28
1389-02-11,184.4,2010-05-01
1389-02-12,178.2,2010-05-02
1389-02-13,174.2,2010-05-03
1389-02-14,174.2,2010-05-04
1389-02-15,174.2,2010-05-05
1389-02-18,174.2,2010-05-08
1389-02-19,174.2,2010-05-09
1389-02-20,174.2,2010-05-10
1389-02-21,174.2,2010-05-11
1389-02-22,174.2,2010-05-12
1389-02-25,174.2,2010-05-15
1389-02-26,174.2,2010-05-16
1389-02-28,174.2,2010-05-18
1389-02-29,174.2,2010-05-19
1389-03-01,174.2,2010-05-22
1389-03-02,174.2,2010-05-23
1389-03-03,174.2,2010-05-24
1389-03-04,174.2,2010-05-25
1389-03-05,174.2,2010-05-26
1389-03-08,174.2,2010-05-29
1389-03-09,179.1,2010-05-30
1389-03-10,177.5,2010-05-31
1389-03-11,179.2,2010-06-01
1389-03-12,181.2,2010-06-02
1389-03-16,181.8,2010-06-06
1389-03-17,182.3,2010-06-07
1389-03-18,188.3,2010-06-08
1389-03-19,186.4,2010-06-09
1389-03-22,187.1,2010-06-12
1389-03-23,187.5,2010-06-13
1389-03-24,188.1,2010-06-14
1389-03-25,187.6,2010-06-15
1389-03-26,186.5,2010-06-16
1389-03-29,186.7,2010-06-19
1389-03-30,186.1,2010-06-20
1389-03-31,184.8,2010-06-21
1389-04-01,185.0,2010-06-22
1389-04-02,191.1,2010-06-23
1389-04-06,191.8,2010-06-27
1389-04-07,192.4,2010-06-28
1389-04-08,192.1,2010-06-29
