jdate,value,date
1389-05-24,1220.1,2010-08-15
1389-05-25,1228.3,2010-08-16
1389-05-26,1242.6,2010-08-17
1389-05-27,1247.2,2010-08-18
1389-05-30,1237.4,2010-08-21
1389-05-31,1000.0,2010-08-22
1389-06-01,1012.2,2010-08-23
1389-06-02,1014.5,2010-08-24
1389-06-03,1017.4,2010-08-25
1389-06-06,1029.3,2010-08-28
1389-06-07,1054.4,2010-08-29
1389-06-08,1064.8,2010-08-30
1389-06-09,1064.7,2010-08-31
1389-06-13,1088.5,2010-09-04
1389-06-14,1111.8,2010-09-05
1389-06-15,1113.5,2010-09-06
1389-06-16,1096.9,2010-09-07
1389-06-17,1096.4,2010-09-08
1389-06-21,1106.5,2010-09-12
1389-06-22,1108.9,2010-09-13
1389-06-23,1107.1,2010-09-14
1389-06-24,1106.9,2010-09-15
1389-06-27,1106.3,2010-09-18
1389-06-28,1089.2,2010-09-19
1389-06-29,1074.1,2010-09-20
1389-06-30,1086.4,2010-09-21
1389-06-31,1099.3,2010-09-22
1389-07-03,1109.6,2010-09-25
1389-07-04,1093.6,2010-09-26
1389-07-05,1085.4,2010-09-27
1389-07-06,1096.6,2010-09-28
1389-07-07,1109.2,2010-09-29
1389-07-10,1115.2,2010-10-02
1389-07-11,1108.4,2010-10-03
1389-07-13,1104.3,2010-10-05
1389-07-14,1111.4,2010-10-06
1389-07-17,1114.9,2010-10-09
1389-07-18,1093.6,2010-10-10
1389-07-19,1088.5,2010-10-11
1389-07-20,1066.0,2010-10-12
1389-07-21,1036.8,2010-10-13
1389-07-24,1047.8,2010-10-16
1389-07-25,1060.2,2010-10-17
1389-07-26,1079.0,2010-10-18
1389-07-27,1076.6,2010-10-19
1389-07-28,1071.6,2010-10-20
1389-08-01,1079.4,2010-10-23
1389-08-02,1067.9,2010-10-24
1389-08-03,1060.7,2010-10-25
1389-08-04,1059.5,2010-10-26
1389-08-05,1056.5,2010-10-27
1389-08-08,1061.0,2010-10-30
1389-08-09,1060.4,2010-10-31
1389-08-10,1057.9,2010-11-01
1389-08-11,1057.1,2010-11-02
1389-08-12,1058.9,2010-11-03
1389-08-15,1068.1,2010-11-06
1389-08-16,1064.1,2010-11-07
1389-08-17,1060.5,2010-11-08
1389-08-18,1065.4,2010-11-09
1389-08-19,1071.8,2010-11-10
1389-08-22,1067.1,2010-11-13
1389-08-23,1066.9,2010-11-14
1389-08-24,1066.1,2010-11-15
1389-08-25,1065.8,2010-11-16
1389-08-29,1069.1,2010-11-20
1389-08-30,1075.1,2010-11-21
1389-09-01,1086.5,2010-11-22
1389-09-02,1084.1,2010-11-23
1389-09-03,1087.7,2010-11-24
1389-09-06,1097.9,2010-11-27
1389-09-07,1099.1,2010-11-28
1389-09-08,1093.6,2010-11-29
1389-09-09,1089.1,2010-11-30
1389-09-10,1092.4,2010-12-01
1389-09-13,1092.4,2010-12-04
1389-09-14,1093.5,2010-12-05
1389-09-15,1091.3,2010-12-06
1389-09-16,1094.2,2010-12-07
1389-09-17,1097.0,2010-12-08
1389-09-20,1102.9,2010-12-11
1389-09-21,1102.2,2010-12-12
1389-09-22,1100.2,2010-12-13
1389-09-23,1100.3,2010-12-14
1389-09-27,1097.5,2010-12-18
1389-09-28,1087.2,2010-12-19
1389-09-29,1089.8,2010-12-20
1389-09-30,1097.5,2010-12-21
1389-10-01,1101.5,2010-12-22
1389-10-04,1114.5,2010-12-25
1389-10-05,1125.5,2010-12-26
1389-10-06,1122.8,2010-12-27
1389-10-07,1127.8,2010-12-28
1389-10-08,1134.8,2010-12-29
1389-10-11,1132.7,2011-01-01
1389-10-12,1136.4,2011-01-02
1389-10-13,1145.4,2011-01-03
1389-10-14,1156.8,2011-01-04
1389-10-15,1164.8,2011-01-05
1389-10-18,1167.4,2011-01-08
1389-10-19,1180.8,2011-01-09
1389-10-20,1179.1,2011-01-10
1389-10-21,1185.0,2011-01-11
1389-10-22,1184.0,2011-01-12
1389-10-25,1180.3,2011-01-15
1389-10-26,1189.7,2011-01-16
1389-10-27,1196.4,2011-01-17
1389-10-28,1199.9,2011-01-18
1389-10-29,1220.7,2011-01-19
1389-11-02,1231.1,2011-01-22
1389-11-03,1233.9,2011-01-23
1389-11-04,1235.6,2011-01-24
1389-11-06,1242.0,2011-01-26
1389-11-09,1248.3,2011-01-29
1389-11-10,1242.9,2011-01-30
1389-11-11,1253.6,2011-01-31
1389-11-12,1276.1,2011-02-01
1389-11-16,1307.1,2011-02-05
1389-11-17,1314.1,2011-02-06
1389-11-18,1322.5,2011-02-07
1389-11-19,1317.3,2011-02-08
1389-11-20,1321.9,2011-02-09
1389-11-23,1330.0,2011-02-12
1389-11-24,1337.9,2011-02-13
1389-11-25,1345.0,2011-02-14
1389-11-26,1343.7,2011-02-15
1389-11-27,1340.2,2011-02-16
1389-11-30,1328.9,2011-02-19
1389-12-01,1304.2,2011-02-20
1389-12-03,1300.9,2011-02-22
1389-12-04,1302.3,2011-02-23
1389-12-07,1315.5,2011-02-26
1389-12-08,1318.8,2011-02-27
1389-12-09,1295.6,2011-02-28
1389-12-10,1283.3,2011-03-01
1389-12-11,1299.6,2011-03-02
1389-12-14,1311.4,2011-03-05
1389-12-15,1318.4,2011-03-06
1389-12-16,1318.7,2011-03-07
1389-12-17,1325.5,2011-03-08
1389-12-18,1327.7,2011-03-09
1389-12-21,1316.5,2011-03-12
1389-12-22,1324.6,2011-03-13
1389-12-23,1341.0,2011-03-14
1389-12-24,1353.1,2011-03-15
1389-12-25,1373.8,2011-03-16
1389-12-28,1405.2,2011-03-19
1390-01-06,1436.5,2011-03-26
1390-01-07,1473.0,2011-03-27
1390-01-08,1477.0,2011-03-28
1390-01-09,1489.7,2011-03-29
1390-01-10,1485.3,2011-03-30
1390-01-14,1487.0,2011-04-03
1390-01-15,1514.8,2011-04-04
1390-01-16,1549.2,2011-04-05
1390-01-17,1572.9,2011-04-06
1390-01-20,1593.1,2011-04-09
1390-01-21,1576.6,2011-04-10
1390-01-22,1585.6,2011-04-11
1390-01-23,1603.9,2011-04-12
1390-01-24,1604.7,2011-04-13
1390-01-27,1610.3,2011-04-16
1390-01-28,1586.6,2011-04-17
1390-01-29,1579.2,2011-04-18
1390-01-30,1568.3,2011-04-19
1390-01-31,1589.9,2011-04-20
1390-02-03,1596.3,2011-04-23
1390-02-04,1587.4,2011-04-24
1390-02-05,1567.7,2011-04-25
1390-02-06,1571.3,2011-04-26
1390-02-07,1588.0,2011-04-27
1390-02-10,1545.7,2011-04-30
1390-02-11,1506.2,2011-05-01
1390-02-12,1533.1,2011-05-02
1390-02-13,1555.8,2011-05-03
1390-02-14,1581.7,2011-05-04
1390-02-18,1570.0,2011-05-08
1390-02-19,1602.1,2011-05-09
1390-02-20,1624.6,2011-05-10
1390-02-21,1632.5,2011-05-11
1390-02-24,1634.1,2011-05-14
1390-02-25,1625.0,2011-05-15
1390-02-26,1616.2,2011-05-16
1390-02-27,1617.2,2011-05-17
1390-02-28,1630.0,2011-05-18
1390-02-31,1648.2,2011-05-21
1390-03-01,1644.7,2011-05-22
1390-03-02,1647.7,2011-05-23
1390-03-03,1634.0,2011-05-24
1390-03-04,1595.8,2011-05-25
1390-03-07,1580.1,2011-05-28
1390-03-08,1535.9,2011-05-29
1390-03-09,1556.0,2011-05-30
1390-03-10,1574.1,2011-05-31
1390-03-16,1579.6,2011-06-06
1390-03-17,1563.6,2011-06-07
1390-03-18,1572.6,2011-06-08
1390-03-21,1569.3,2011-06-11
1390-03-22,1558.5,2011-06-12
1390-03-23,1570.4,2011-06-13
1390-03-24,1554.8,2011-06-14
1390-03-25,1540.5,2011-06-15
1390-03-28,1567.2,2011-06-18
1390-03-29,1569.7,2011-06-19
1390-03-30,1565.1,2011-06-20
1390-03-31,1573.3,2011-06-21
1390-04-01,1571.0,2011-06-22
1390-04-04,1563.9,2011-06-25
1390-04-05,1537.8,2011-06-26
1390-04-06,1497.5,2011-06-27
1390-04-07,1504.8,2011-06-28
1390-04-08,1528.4,2011-06-29
1390-04-11,1547.8,2011-07-02
1390-04-12,1548.6,2011-07-03
1390-04-13,1547.4,2011-07-04
1390-04-14,1559.9,2011-07-05
1390-04-15,1557.5,2011-07-06
1390-04-18,1548.7,2011-07-09
1390-04-19,1540.1,2011-07-10
1390-04-20,1539.1,2011-07-11
1390-04-21,1531.2,2011-07-12
1390-04-22,1521.3,2011-07-13
1390-04-25,1526.7,2011-07-16
1390-04-27,1538.6,2011-07-18
1390-04-28,1538.4,2011-07-19
1390-04-29,1546.1,2011-07-20
1390-05-01,1559.7,2011-07-23
1390-05-02,1586.0,2011-07-24
1390-05-03,1597.6,2011-07-25
1390-05-04,1607.2,2011-07-26
1390-05-05,1607.2,2011-07-27
1390-05-08,1595.0,2011-07-30
1390-05-09,1580.5,2011-07-31
1390-05-10,1593.2,2011-08-01
1390-05-11,1594.4,2011-08-02
1390-05-12,1599.5,2011-08-03
1390-05-15,1572.7,2011-08-06
1390-05-16,1565.1,2011-08-07
1390-05-17,1569.9,2011-08-08
1390-05-18,1539.2,2011-08-09
1390-05-19,1564.8,2011-08-10
1390-05-22,1572.9,2011-08-13
1390-05-23,1576.6,2011-08-14
1390-05-24,1569.8,2011-08-15
1390-05-25,1568.1,2011-08-16
1390-05-26,1579.2,2011-08-17
1390-05-29,1577.6,2011-08-20
1390-05-30,1576.6,2011-08-21
1390-06-01,1591.0,2011-08-23
1390-06-02,1598.8,2011-08-24
1390-06-05,1604.8,2011-08-27
1390-06-06,1595.1,2011-08-28
1390-06-07,1611.0,2011-08-29
1390-06-08,1630.6,2011-08-30
1390-06-12,1642.3,2011-09-03
1390-06-13,1653.8,2011-09-04
1390-06-14,1658.9,2011-09-05
1390-06-15,1681.8,2011-09-06
1390-06-16,1703.8,2011-09-07
1390-06-19,1715.6,2011-09-10
1390-06-20,1717.2,2011-09-11
1390-06-21,1714.0,2011-09-12
1390-06-22,1701.7,2011-09-13
1390-06-23,1691.3,2011-09-14
1390-06-26,1692.2,2011-09-17
1390-06-27,1697.5,2011-09-18
1390-06-28,1695.1,2011-09-19
1390-06-29,1691.7,2011-09-20
1390-06-30,1698.4,2011-09-21
1390-07-03,1678.1,2011-09-25
1390-07-04,1664.4,2011-09-26
1390-07-05,1673.8,2011-09-27
1390-07-06,1679.3,2011-09-28
1390-07-09,1671.5,2011-10-01
1390-07-10,1669.7,2011-10-02
1390-07-11,1667.5,2011-10-03
1390-07-12,1674.9,2011-10-04
1390-07-13,1680.0,2011-10-05
1390-07-16,1682.5,2011-10-08
1390-07-17,1679.1,2011-10-09
1390-07-18,1679.4,2011-10-10
1390-07-19,1688.0,2011-10-11
1390-07-20,1683.5,2011-10-12
1390-07-23,1670.4,2011-10-15
1390-07-24,1639.9,2011-10-16
1390-07-25,1635.3,2011-10-17
1390-07-26,1637.4,2011-10-18
1390-07-27,1639.7,2011-10-19
1390-07-30,1636.3,2011-10-22
1390-08-01,1626.8,2011-10-23
1390-08-02,1618.8,2011-10-24
1390-08-03,1624.3,2011-10-25
1390-08-04,1623.0,2011-10-26
1390-08-07,1623.6,2011-10-29
1390-08-08,1614.8,2011-10-30
1390-08-09,1610.9,2011-10-31
1390-08-10,1609.4,2011-11-01
1390-08-11,1613.1,2011-11-02
1390-08-14,1604.0,2011-11-05
1390-08-15,1586.2,2011-11-06
1390-08-17,1566.8,2011-11-08
1390-08-18,1572.2,2011-11-09
1390-08-21,1578.2,2011-11-12
1390-08-22,1572.4,2011-11-13
1390-08-23,1571.9,2011-11-14
1390-08-25,1570.4,2011-11-16
1390-08-28,1569.6,2011-11-19
1390-08-29,1564.6,2011-11-20
1390-08-30,1559.3,2011-11-21
1390-09-01,1535.9,2011-11-22
1390-09-02,1515.6,2011-11-23
1390-09-05,1509.2,2011-11-26
1390-09-06,1481.5,2011-11-27
1390-09-07,1476.5,2011-11-28
1390-09-08,1490.4,2011-11-29
1390-09-09,1486.9,2011-11-30
1390-09-12,1487.0,2011-12-03
1390-09-13,1505.5,2011-12-04
1390-09-16,1525.6,2011-12-07
1390-09-19,1526.0,2011-12-10
1390-09-20,1512.4,2011-12-11
1390-09-21,1511.4,2011-12-12
1390-09-22,1512.1,2011-12-13
1390-09-23,1508.9,2011-12-14
1390-09-26,1506.5,2011-12-17
1390-09-27,1509.3,2011-12-18
1390-09-28,1510.7,2011-12-19
1390-09-29,1505.6,2011-12-20
1390-09-30,1498.1,2011-12-21
1390-10-03,1492.8,2011-12-24
1390-10-04,1490.1,2011-12-25
1390-10-05,1483.0,2011-12-26
1390-10-06,1480.9,2011-12-27
1390-10-07,1477.5,2011-12-28
1390-10-10,1482.1,2011-12-31
1390-10-11,1485.9,2012-01-01
1390-10-12,1481.6,2012-01-02
1390-10-13,1493.9,2012-01-03
1390-10-14,1521.2,2012-01-04
1390-10-17,1526.3,2012-01-07
1390-10-18,1523.7,2012-01-08
1390-10-19,1540.2,2012-01-09
1390-10-20,1545.1,2012-01-10
1390-10-21,1560.1,2012-01-11
1390-10-25,1590.0,2012-01-15
1390-10-26,1594.9,2012-01-16
1390-10-27,1569.0,2012-01-17
1390-10-28,1582.4,2012-01-18
1390-11-01,1580.1,2012-01-21
1390-11-03,1564.9,2012-01-23
1390-11-05,1560.2,2012-01-25
1390-11-08,1574.2,2012-01-28
1390-11-09,1595.0,2012-01-29
1390-11-10,1586.0,2012-01-30
1390-11-11,1584.4,2012-01-31
1390-11-12,1583.9,2012-02-01
1390-11-15,1578.3,2012-02-04
1390-11-16,1560.1,2012-02-05
1390-11-17,1546.2,2012-02-06
1390-11-18,1533.2,2012-02-07
1390-11-19,1529.5,2012-02-08
1390-11-23,1525.6,2012-02-12
1390-11-24,1522.9,2012-02-13
1390-11-25,1498.0,2012-02-14
1390-11-26,1490.3,2012-02-15
1390-11-29,1487.3,2012-02-18
1390-11-30,1482.5,2012-02-19
1390-12-01,1479.8,2012-02-20
1390-12-02,1483.4,2012-02-21
1390-12-03,1484.4,2012-02-22
1390-12-06,1481.7,2012-02-25
1390-12-07,1483.1,2012-02-26
1390-12-08,1488.8,2012-02-27
1390-12-09,1500.3,2012-02-28
1390-12-10,1507.5,2012-02-29
1390-12-13,1507.9,2012-03-03
1390-12-14,1507.8,2012-03-04
1390-12-15,1499.2,2012-03-05
1390-12-16,1497.0,2012-03-06
1390-12-17,1502.7,2012-03-07
1390-12-20,1503.1,2012-03-10
1390-12-21,1508.4,2012-03-11
1390-12-22,1492.2,2012-03-12
1390-12-23,1486.7,2012-03-13
1390-12-24,1495.2,2012-03-14
1390-12-27,1501.3,2012-03-17
1390-12-28,1522.5,2012-03-18
1391-01-05,1545.0,2012-03-24
1391-01-06,1558.9,2012-03-25
1391-01-07,1555.3,2012-03-26
1391-01-08,1562.3,2012-03-27
1391-01-09,1561.6,2012-03-28
1391-01-14,1557.3,2012-04-02
1391-01-15,1545.9,2012-04-03
1391-01-16,1540.8,2012-04-04
1391-01-19,1538.4,2012-04-07
1391-01-20,1543.0,2012-04-08
1391-01-21,1542.4,2012-04-09
1391-01-22,1553.0,2012-04-10
1391-01-23,1563.6,2012-04-11
1391-01-26,1576.1,2012-04-14
1391-01-27,1606.6,2012-04-15
1391-01-28,1606.8,2012-04-16
1391-01-29,1601.5,2012-04-17
1391-01-30,1601.2,2012-04-18
1391-02-02,1595.5,2012-04-21
1391-02-03,1590.8,2012-04-22
1391-02-04,1583.6,2012-04-23
1391-02-05,1583.9,2012-04-24
1391-02-09,1573.2,2012-04-28
1391-02-10,1564.4,2012-04-29
1391-02-11,1566.9,2012-04-30
1391-02-12,1570.6,2012-05-01
1391-02-13,1573.9,2012-05-02
1391-02-16,1577.9,2012-05-05
1391-02-17,1580.1,2012-05-06
1391-02-18,1579.8,2012-05-07
1391-02-19,1577.9,2012-05-08
1391-02-20,1574.8,2012-05-09
1391-02-23,1565.8,2012-05-12
1391-02-24,1550.1,2012-05-13
1391-02-25,1549.7,2012-05-14
1391-02-26,1544.5,2012-05-15
1391-02-27,1541.3,2012-05-16
1391-02-30,1537.8,2012-05-19
1391-02-31,1535.9,2012-05-20
1391-03-01,1547.0,2012-05-21
1391-03-02,1549.9,2012-05-22
1391-03-03,1563.9,2012-05-23
1391-03-06,1553.3,2012-05-26
1391-03-07,1552.3,2012-05-27
1391-03-08,1547.1,2012-05-28
1391-03-09,1542.9,2012-05-29
1391-03-10,1538.3,2012-05-30
1391-03-13,1537.4,2012-06-02
1391-03-16,1534.1,2012-06-05
1391-03-17,1530.6,2012-06-06
1391-03-20,1515.9,2012-06-09
1391-03-21,1510.9,2012-06-10
1391-03-22,1512.9,2012-06-11
1391-03-23,1514.2,2012-06-12
1391-03-24,1514.6,2012-06-13
1391-03-27,1512.1,2012-06-16
1391-03-28,1507.6,2012-06-17
1391-03-30,1505.3,2012-06-19
1391-03-31,1496.8,2012-06-20
1391-04-03,1485.4,2012-06-23
1391-04-04,1464.5,2012-06-24
1391-04-05,1457.6,2012-06-25
1391-04-06,1443.6,2012-06-26
1391-04-07,1423.9,2012-06-27
1391-04-10,1430.5,2012-06-30
1391-04-11,1434.1,2012-07-01
1391-04-12,1440.4,2012-07-02
1391-04-13,1444.9,2012-07-03
1391-04-14,1443.8,2012-07-04
1391-04-17,1443.1,2012-07-07
1391-04-18,1430.8,2012-07-08
1391-04-19,1424.7,2012-07-09
1391-04-20,1425.6,2012-07-10
1391-04-21,1432.8,2012-07-11
1391-04-24,1435.5,2012-07-14
1391-04-25,1427.6,2012-07-15
1391-04-26,1419.4,2012-07-16
1391-04-27,1412.4,2012-07-17
1391-04-28,1412.9,2012-07-18
1391-04-31,1407.5,2012-07-21
1391-05-01,1405.8,2012-07-22
1391-05-02,1408.8,2012-07-23
1391-05-03,1416.0,2012-07-24
1391-05-04,1416.9,2012-07-25
1391-05-07,1413.5,2012-07-28
1391-05-08,1395.9,2012-07-29
1391-05-09,1381.1,2012-07-30
1391-05-10,1381.8,2012-07-31
1391-05-11,1381.0,2012-08-01
1391-05-14,1366.1,2012-08-04
1391-05-15,1348.4,2012-08-05
1391-05-16,1340.9,2012-08-06
1391-05-17,1331.0,2012-08-07
1391-05-18,1325.8,2012-08-08
1391-05-21,1333.3,2012-08-11
1391-05-22,1337.5,2012-08-12
1391-05-23,1340.7,2012-08-13
1391-05-24,1345.7,2012-08-14
1391-05-25,1348.5,2012-08-15
1391-05-28,1351.7,2012-08-18
1391-05-31,1362.0,2012-08-21
1391-06-01,1366.8,2012-08-22
1391-06-04,1374.4,2012-08-25
1391-06-05,1382.9,2012-08-26
1391-06-06,1386.6,2012-08-27
1391-06-12,1391.9,2012-09-02
1391-06-13,1412.4,2012-09-03
1391-06-14,1432.4,2012-09-04
1391-06-15,1447.1,2012-09-05
1391-06-18,1458.6,2012-09-08
1391-06-19,1443.0,2012-09-09
1391-06-20,1454.2,2012-09-10
1391-06-21,1463.3,2012-09-11
1391-06-25,1488.3,2012-09-15
1391-06-26,1483.2,2012-09-16
1391-06-27,1498.0,2012-09-17
1391-06-28,1497.9,2012-09-18
1391-06-29,1489.1,2012-09-19
1391-07-01,1510.5,2012-09-22
1391-07-02,1528.6,2012-09-23
1391-07-03,1527.4,2012-09-24
1391-07-04,1548.2,2012-09-25
1391-07-05,1593.5,2012-09-26
1391-07-08,1638.9,2012-09-29
1391-07-09,1663.7,2012-09-30
1391-07-10,1633.3,2012-10-01
1391-07-11,1627.0,2012-10-02
1391-07-12,1653.6,2012-10-03
1391-07-15,1631.2,2012-10-06
1391-07-16,1632.4,2012-10-07
1391-07-17,1644.7,2012-10-08
1391-07-18,1644.0,2012-10-09
1391-07-19,1628.3,2012-10-10
1391-07-22,1608.7,2012-10-13
1391-07-23,1615.3,2012-10-14
1391-07-24,1637.3,2012-10-15
1391-07-25,1652.7,2012-10-16
1391-07-26,1670.8,2012-10-17
1391-07-29,1694.8,2012-10-20
1391-07-30,1705.8,2012-10-21
1391-08-01,1744.4,2012-10-22
1391-08-02,1738.0,2012-10-23
1391-08-03,1742.1,2012-10-24
1391-08-06,1763.9,2012-10-27
1391-08-07,1760.1,2012-10-28
1391-08-08,1756.7,2012-10-29
1391-08-09,1756.8,2012-10-30
1391-08-10,1742.8,2012-10-31
1391-08-14,1754.3,2012-11-04
1391-08-15,1726.6,2012-11-05
1391-08-16,1742.4,2012-11-06
1391-08-17,1768.1,2012-11-07
1391-08-20,1758.5,2012-11-10
1391-08-21,1743.0,2012-11-11
1391-08-22,1735.0,2012-11-12
1391-08-23,1746.5,2012-11-13
1391-08-24,1753.0,2012-11-14
1391-08-27,1739.1,2012-11-17
1391-08-28,1733.8,2012-11-18
1391-08-29,1722.5,2012-11-19
1391-08-30,1728.4,2012-11-20
1391-09-01,1738.4,2012-11-21
1391-09-06,1759.9,2012-11-26
1391-09-07,1789.0,2012-11-27
1391-09-08,1813.4,2012-11-28
1391-09-11,1838.1,2012-12-01
1391-09-12,1865.6,2012-12-02
1391-09-13,1857.0,2012-12-03
1391-09-14,1859.5,2012-12-04
1391-09-15,1874.7,2012-12-05
1391-09-18,1906.2,2012-12-08
1391-09-19,1909.1,2012-12-09
1391-09-20,1925.1,2012-12-10
1391-09-21,1928.2,2012-12-11
1391-09-22,1908.9,2012-12-12
1391-09-25,1923.0,2012-12-15
1391-09-26,1935.3,2012-12-16
1391-09-27,1973.7,2012-12-17
1391-09-28,2004.7,2012-12-18
1391-09-29,2041.8,2012-12-19
1391-10-02,2052.7,2012-12-22
1391-10-03,2100.8,2012-12-23
1391-10-04,2145.0,2012-12-24
1391-10-05,2122.9,2012-12-25
1391-10-06,2149.9,2012-12-26
1391-10-09,2129.4,2012-12-29
1391-10-10,2097.2,2012-12-30
1391-10-11,2136.9,2012-12-31
1391-10-12,2143.0,2013-01-01
1391-10-13,2119.6,2013-01-02
1391-10-17,2080.6,2013-01-06
1391-10-18,2079.5,2013-01-07
1391-10-19,2096.0,2013-01-08
1391-10-20,2106.2,2013-01-09
1391-10-24,2130.0,2013-01-13
1391-10-25,2153.1,2013-01-14
1391-10-26,2170.7,2013-01-15
1391-10-27,2171.1,2013-01-16
1391-10-30,2136.8,2013-01-19
1391-11-01,2117.9,2013-01-20
1391-11-02,2092.4,2013-01-21
1391-11-03,2048.8,2013-01-22
1391-11-04,2086.3,2013-01-23
1391-11-07,2095.7,2013-01-26
1391-11-08,2046.5,2013-01-27
1391-11-09,2045.3,2013-01-28
1391-11-11,2036.9,2013-01-30
1391-11-14,2052.2,2013-02-02
1391-11-15,2046.8,2013-02-03
1391-11-16,2028.0,2013-02-04
1391-11-17,2028.3,2013-02-05
1391-11-18,2055.8,2013-02-06
1391-11-21,2064.5,2013-02-09
1391-11-23,2076.9,2013-02-11
1391-11-24,2086.7,2013-02-12
1391-11-25,2077.3,2013-02-13
1391-11-28,2071.8,2013-02-16
1391-11-29,2069.8,2013-02-17
1391-11-30,2065.9,2013-02-18
1391-12-01,2054.8,2013-02-19
1391-12-02,2043.0,2013-02-20
1391-12-05,2018.8,2013-02-23
1391-12-06,1990.4,2013-02-24
1391-12-07,1959.3,2013-02-25
1391-12-08,1974.4,2013-02-26
1391-12-09,1979.4,2013-02-27
1391-12-12,1950.7,2013-03-02
1391-12-13,1934.4,2013-03-03
1391-12-14,1937.5,2013-03-04
1391-12-15,1931.7,2013-03-05
1391-12-16,1928.4,2013-03-06
1391-12-19,1904.8,2013-03-09
1391-12-20,1926.6,2013-03-10
1391-12-21,1926.1,2013-03-11
1391-12-22,1941.3,2013-03-12
1391-12-23,1979.7,2013-03-13
1391-12-26,1977.7,2013-03-16
1391-12-27,1969.8,2013-03-17
1391-12-28,2004.6,2013-03-18
1392-01-05,2036.3,2013-03-25
1392-01-06,2078.0,2013-03-26
1392-01-07,2093.5,2013-03-27
1392-01-10,2090.4,2013-03-30
1392-01-11,2097.3,2013-03-31
1392-01-14,2107.5,2013-04-03
1392-01-17,2106.6,2013-04-06
1392-01-18,2092.0,2013-04-07
1392-01-19,2083.7,2013-04-08
1392-01-20,2099.5,2013-04-09
1392-01-21,2089.8,2013-04-10
1392-01-24,2070.6,2013-04-13
1392-01-26,2082.9,2013-04-15
1392-01-27,2082.3,2013-04-16
1392-01-28,2064.7,2013-04-17
1392-01-31,2043.4,2013-04-20
1392-02-01,2042.6,2013-04-21
1392-02-02,2076.9,2013-04-22
1392-02-03,2110.9,2013-04-23
1392-02-04,2125.1,2013-04-24
