jdate,value,date
1387-09-14,12798.9,2008-12-04
1387-09-15,12798.9,2008-12-05
1387-09-16,12773.2,2008-12-06
1387-09-17,12768.7,2008-12-07
1387-09-18,12703.8,2008-12-08
1387-09-20,12707.3,2008-12-10
1387-09-23,12705.6,2008-12-13
1387-09-24,12683.3,2008-12-14
1387-09-25,12711.7,2008-12-15
1387-09-26,12710.2,2008-12-16
1387-09-30,12716.5,2008-12-20
1387-10-01,12723.5,2008-12-21
1387-10-02,12733.2,2008-12-22
1387-10-03,12701.0,2008-12-23
1387-10-04,12729.1,2008-12-24
1387-10-07,12733.9,2008-12-27
1387-10-08,12727.8,2008-12-28
1387-10-09,12728.7,2008-12-29
1387-10-10,12753.6,2008-12-30
1387-10-11,12761.7,2008-12-31
1387-10-14,12756.1,2009-01-03
1387-10-15,12757.1,2009-01-04
1387-10-16,12734.3,2009-01-05
1387-10-21,12725.0,2009-01-10
1387-10-22,12710.9,2009-01-11
1387-10-23,12707.3,2009-01-12
1387-10-24,12706.3,2009-01-13
1387-10-25,12705.9,2009-01-14
1387-10-28,12709.4,2009-01-17
1387-10-29,12720.8,2009-01-18
1387-10-30,12689.0,2009-01-19
1387-11-01,12782.7,2009-01-20
1387-11-02,12795.5,2009-01-21
1387-11-05,12757.4,2009-01-24
1387-11-06,12728.8,2009-01-25
1387-11-07,12714.4,2009-01-26
1387-11-08,12685.4,2009-01-27
1387-11-09,12656.9,2009-01-28
1387-11-12,12644.8,2009-01-31
1387-11-13,12640.1,2009-02-01
1387-11-14,12662.6,2009-02-02
1387-11-15,12704.9,2009-02-03
1387-11-16,12733.9,2009-02-04
1387-11-19,12730.0,2009-02-07
1387-11-20,12768.7,2009-02-08
1387-11-21,12786.5,2009-02-09
1387-11-23,12792.5,2009-02-11
1387-11-26,12815.0,2009-02-14
1387-11-27,12803.5,2009-02-15
1387-11-29,12789.6,2009-02-17
1387-11-30,12786.5,2009-02-18
1387-12-03,12794.8,2009-02-21
1387-12-04,12793.7,2009-02-22
1387-12-05,12791.3,2009-02-23
1387-12-07,12783.5,2009-02-25
1387-12-10,12811.8,2009-02-28
1387-12-11,12796.9,2009-03-01
1387-12-12,12786.0,2009-03-02
1387-12-13,12755.0,2009-03-03
1387-12-14,12752.9,2009-03-04
1387-12-17,12738.7,2009-03-07
1387-12-18,12710.5,2009-03-08
1387-12-19,12713.2,2009-03-09
1387-12-20,12658.2,2009-03-10
1387-12-21,12699.9,2009-03-11
1387-12-24,12680.6,2009-03-14
1387-12-26,12599.5,2009-03-16
1387-12-27,12562.2,2009-03-17
1387-12-28,12563.5,2009-03-18
1388-01-05,12556.5,2009-03-25
1388-01-08,12537.4,2009-03-28
1388-01-09,12555.6,2009-03-29
1388-01-10,12553.9,2009-03-30
1388-01-11,12594.7,2009-03-31
1388-01-15,12595.4,2009-04-04
1388-01-16,12528.8,2009-04-05
1388-01-17,12564.0,2009-04-06
1388-01-18,12588.2,2009-04-07
1388-01-19,12595.8,2009-04-08
1388-01-22,12595.9,2009-04-11
1388-01-23,12609.4,2009-04-12
1388-01-24,12626.2,2009-04-13
1388-01-25,12591.2,2009-04-14
1388-01-26,12596.6,2009-04-15
1388-01-29,12621.3,2009-04-18
1388-01-30,12659.1,2009-04-19
1388-01-31,12697.7,2009-04-20
1388-02-01,12702.5,2009-04-21
1388-02-02,12788.2,2009-04-22
1388-02-05,12792.7,2009-04-25
1388-02-06,12810.3,2009-04-26
1388-02-07,12869.8,2009-04-27
1388-02-08,12921.4,2009-04-28
1388-02-09,12934.9,2009-04-29
1388-02-12,12938.1,2009-05-02
1388-02-13,12943.5,2009-05-03
1388-02-14,12948.4,2009-05-04
1388-02-15,12960.5,2009-05-05
1388-02-16,12983.0,2009-05-06
1388-02-19,12994.6,2009-05-09
1388-02-20,13027.0,2009-05-10
1388-02-21,13042.9,2009-05-11
1388-02-22,13066.2,2009-05-12
1388-02-23,13087.9,2009-05-13
1388-02-26,13147.0,2009-05-16
1388-02-27,13209.0,2009-05-17
1388-02-28,13230.1,2009-05-18
1388-02-29,13287.7,2009-05-19
1388-02-30,13338.4,2009-05-20
1388-03-02,13483.5,2009-05-23
1388-03-03,13527.7,2009-05-24
1388-03-04,13511.9,2009-05-25
1388-03-05,13494.9,2009-05-26
1388-03-06,13483.4,2009-05-27
1388-03-09,13513.0,2009-05-30
1388-03-10,13487.0,2009-05-31
1388-03-11,13492.0,2009-06-01
1388-03-12,13483.5,2009-06-02
1388-03-13,13493.5,2009-06-03
1388-03-16,13537.9,2009-06-06
1388-03-17,13516.3,2009-06-07
1388-03-18,13524.6,2009-06-08
1388-03-19,13534.9,2009-06-09
1388-03-20,13558.7,2009-06-10
1388-03-23,13542.3,2009-06-13
1388-03-24,13518.9,2009-06-14
1388-03-25,13526.4,2009-06-15
1388-03-26,13504.7,2009-06-16
1388-03-27,13488.6,2009-06-17
1388-03-30,13522.1,2009-06-20
1388-03-31,13544.3,2009-06-21
1388-04-01,13586.6,2009-06-22
1388-04-02,13595.1,2009-06-23
1388-04-03,13596.8,2009-06-24
1388-04-06,13607.6,2009-06-27
1388-04-07,13624.2,2009-06-28
1388-04-08,13632.0,2009-06-29
1388-04-09,13694.6,2009-06-30
1388-04-10,13758.2,2009-07-01
1388-04-13,13764.1,2009-07-04
1388-04-14,13806.6,2009-07-05
1388-04-16,13810.8,2009-07-07
1388-04-20,13833.1,2009-07-11
1388-04-21,13914.1,2009-07-12
1388-04-22,13984.5,2009-07-13
1388-04-23,13986.3,2009-07-14
1388-04-24,13991.2,2009-07-15
1388-04-25,13991.2,2009-07-16
1388-04-27,14005.3,2009-07-18
1388-04-28,14036.7,2009-07-19
1388-04-30,14280.5,2009-07-21
1388-04-31,14303.7,2009-07-22
1388-05-03,14328.9,2009-07-25
1388-05-04,14362.2,2009-07-26
