jdate,value,date
1387-09-14,37629.6,2008-12-04
1387-09-15,37629.6,2008-12-05
1387-09-16,37342.4,2008-12-06
1387-09-17,37147.9,2008-12-07
1387-09-18,36979.8,2008-12-08
1387-09-20,36713.4,2008-12-10
1387-09-23,36508.3,2008-12-13
1387-09-24,36238.6,2008-12-14
1387-09-25,36172.2,2008-12-15
1387-09-26,36084.0,2008-12-16
1387-09-30,36035.5,2008-12-20
1387-10-01,36013.2,2008-12-21
1387-10-02,35934.2,2008-12-22
1387-10-03,35817.1,2008-12-23
1387-10-04,35785.7,2008-12-24
1387-10-07,35749.1,2008-12-27
1387-10-08,35631.5,2008-12-28
1387-10-09,35505.8,2008-12-29
1387-10-10,35376.0,2008-12-30
1387-10-11,35218.6,2008-12-31
1387-10-14,35159.6,2009-01-03
1387-10-15,35069.3,2009-01-04
1387-10-16,34974.9,2009-01-05
1387-10-21,34890.6,2009-01-10
1387-10-22,34753.5,2009-01-11
1387-10-23,34660.0,2009-01-12
1387-10-24,34435.0,2009-01-13
1387-10-25,34407.3,2009-01-14
1387-10-28,34412.2,2009-01-17
1387-10-29,34419.5,2009-01-18
1387-10-30,34450.0,2009-01-19
1387-11-01,34570.0,2009-01-20
1387-11-02,34640.8,2009-01-21
1387-11-05,34801.1,2009-01-24
1387-11-06,34660.4,2009-01-25
1387-11-07,34612.4,2009-01-26
1387-11-08,34619.7,2009-01-27
1387-11-09,34605.4,2009-01-28
1387-11-12,34616.4,2009-01-31
1387-11-13,34549.3,2009-02-01
1387-11-14,34567.2,2009-02-02
1387-11-15,34515.1,2009-02-03
1387-11-16,34446.0,2009-02-04
1387-11-19,34384.5,2009-02-07
1387-11-20,34330.4,2009-02-08
1387-11-21,34272.2,2009-02-09
1387-11-23,34297.9,2009-02-11
1387-11-26,34257.2,2009-02-14
1387-11-27,34227.5,2009-02-15
1387-11-29,34135.9,2009-02-17
1387-11-30,34080.6,2009-02-18
1387-12-03,33996.4,2009-02-21
1387-12-04,33756.7,2009-02-22
1387-12-05,33631.4,2009-02-23
1387-12-07,33561.0,2009-02-25
1387-12-10,33537.9,2009-02-28
1387-12-11,33471.1,2009-03-01
1387-12-12,33427.6,2009-03-02
1387-12-13,33365.8,2009-03-03
1387-12-14,33302.3,2009-03-04
1387-12-17,33091.5,2009-03-07
1387-12-18,33000.8,2009-03-08
1387-12-19,32939.0,2009-03-09
1387-12-20,33063.1,2009-03-10
1387-12-21,33078.9,2009-03-11
1387-12-24,33037.8,2009-03-14
1387-12-26,32455.2,2009-03-16
1387-12-27,32435.7,2009-03-17
1387-12-28,32412.1,2009-03-18
1388-01-05,32408.4,2009-03-25
1388-01-08,32409.2,2009-03-28
1388-01-09,32366.9,2009-03-29
1388-01-10,32427.5,2009-03-30
1388-01-11,32502.4,2009-03-31
1388-01-15,32554.9,2009-04-04
1388-01-16,32572.8,2009-04-05
1388-01-17,32747.7,2009-04-06
1388-01-18,32865.3,2009-04-07
1388-01-19,33000.4,2009-04-08
1388-01-22,33172.9,2009-04-11
1388-01-23,33264.0,2009-04-12
1388-01-24,33376.7,2009-04-13
1388-01-25,33575.3,2009-04-14
1388-01-26,33572.0,2009-04-15
1388-01-29,33729.9,2009-04-18
1388-01-30,33964.2,2009-04-19
1388-01-31,34302.7,2009-04-20
1388-02-01,34317.8,2009-04-21
1388-02-02,34486.6,2009-04-22
1388-02-05,34456.9,2009-04-25
1388-02-06,34593.2,2009-04-26
1388-02-07,34656.3,2009-04-27
1388-02-08,34695.8,2009-04-28
1388-02-09,34725.1,2009-04-29
1388-02-12,34779.2,2009-05-02
1388-02-13,34926.9,2009-05-03
1388-02-14,35145.3,2009-05-04
1388-02-15,35394.3,2009-05-05
1388-02-16,35698.3,2009-05-06
1388-02-19,36097.8,2009-05-09
1388-02-20,36333.8,2009-05-10
1388-02-21,36574.2,2009-05-11
1388-02-22,36488.0,2009-05-12
1388-02-23,36340.7,2009-05-13
1388-02-26,36161.3,2009-05-16
1388-02-27,36289.0,2009-05-17
1388-02-28,36469.7,2009-05-18
1388-02-29,36439.1,2009-05-19
1388-02-30,36620.2,2009-05-20
1388-03-02,36788.2,2009-05-23
1388-03-03,36696.3,2009-05-24
1388-03-04,36499.4,2009-05-25
1388-03-05,36350.8,2009-05-26
1388-03-06,36428.6,2009-05-27
1388-03-09,36622.2,2009-05-30
1388-03-10,36619.4,2009-05-31
1388-03-11,36642.6,2009-06-01
1388-03-12,36748.3,2009-06-02
1388-03-13,36949.3,2009-06-03
1388-03-16,37110.4,2009-06-06
1388-03-17,37410.7,2009-06-07
1388-03-18,37575.1,2009-06-08
1388-03-19,37750.0,2009-06-09
1388-03-20,38013.7,2009-06-10
1388-03-23,38103.6,2009-06-13
1388-03-24,37879.4,2009-06-14
1388-03-25,37833.4,2009-06-15
1388-03-26,37719.9,2009-06-16
1388-03-27,37622.7,2009-06-17
1388-03-30,37624.7,2009-06-20
1388-03-31,37668.2,2009-06-21
1388-04-01,37641.4,2009-06-22
1388-04-02,38000.2,2009-06-23
1388-04-03,37994.5,2009-06-24
1388-04-06,38010.8,2009-06-27
1388-04-07,38056.0,2009-06-28
1388-04-08,38082.0,2009-06-29
1388-04-09,38194.0,2009-06-30
1388-04-10,38533.0,2009-07-01
1388-04-13,38531.0,2009-07-04
1388-04-14,38459.0,2009-07-05
1388-04-16,38480.0,2009-07-07
1388-04-20,38401.0,2009-07-11
1388-04-21,38309.0,2009-07-12
1388-04-22,38052.0,2009-07-13
1388-04-23,38138.0,2009-07-14
1388-04-24,38222.0,2009-07-15
1388-04-27,38416.0,2009-07-18
1388-04-28,38547.0,2009-07-19
1388-04-30,38696.0,2009-07-21
1388-04-31,38742.0,2009-07-22
1388-05-03,38745.0,2009-07-25
1388-05-04,38775.0,2009-07-26
1388-05-05,39480.0,2009-07-27
1388-05-06,39575.0,2009-07-28
1388-05-07,39732.0,2009-07-29
1388-05-10,39917.0,2009-08-01
1388-05-11,39999.0,2009-08-02
1388-05-12,40014.0,2009-08-03
1388-05-13,40120.0,2009-08-04
1388-05-14,40297.0,2009-08-05
1388-05-17,40681.0,2009-08-08
1388-05-18,40865.0,2009-08-09
1388-05-19,41150.0,2009-08-10
1388-05-20,41253.0,2009-08-11
1388-05-21,41475.0,2009-08-12
1388-05-24,41706.0,2009-08-15
1388-05-25,42041.0,2009-08-16
1388-05-26,42335.0,2009-08-17
1388-05-27,42486.0,2009-08-18
1388-05-28,42608.0,2009-08-19
1388-05-31,42945.0,2009-08-22
1388-06-01,43176.0,2009-08-23
1388-06-02,43477.0,2009-08-24
1388-06-03,44687.0,2009-08-25
1388-06-04,47101.0,2009-08-26
1388-06-07,47742.0,2009-08-29
1388-06-08,47576.0,2009-08-30
1388-06-09,47554.0,2009-08-31
1388-06-10,47769.0,2009-09-01
1388-06-11,47794.0,2009-09-02
1388-06-14,47514.0,2009-09-05
1388-06-15,47335.0,2009-09-06
1388-06-16,47153.0,2009-09-07
1388-06-17,47354.0,2009-09-08
1388-06-18,47588.0,2009-09-09
1388-06-21,47588.0,2009-09-12
1388-06-22,47351.0,2009-09-13
1388-06-23,47190.0,2009-09-14
1388-06-24,46884.0,2009-09-15
1388-06-25,46630.0,2009-09-16
1388-06-28,46532.0,2009-09-19
1388-06-30,46592.0,2009-09-21
1388-06-31,46706.0,2009-09-22
1388-07-01,47126.0,2009-09-23
1388-07-04,47278.0,2009-09-26
1388-07-05,47147.0,2009-09-27
1388-07-06,47029.0,2009-09-28
1388-07-07,47012.0,2009-09-29
1388-07-08,46934.0,2009-09-30
1388-07-11,47428.0,2009-10-03
1388-07-12,47672.0,2009-10-04
1388-07-13,47757.0,2009-10-05
1388-07-14,47980.0,2009-10-06
1388-07-15,48380.0,2009-10-07
1388-07-18,48651.0,2009-10-10
1388-07-19,48519.0,2009-10-11
1388-07-20,48466.0,2009-10-12
1388-07-21,48490.0,2009-10-13
1388-07-25,48488.0,2009-10-17
1388-07-26,48473.0,2009-10-18
1388-07-27,48727.0,2009-10-19
1388-07-28,49137.0,2009-10-20
1388-07-29,49540.0,2009-10-21
1388-08-02,49811.0,2009-10-24
1388-08-03,50148.0,2009-10-25
1388-08-04,50216.0,2009-10-26
1388-08-05,50226.0,2009-10-27
1388-08-06,50484.0,2009-10-28
1388-08-09,50785.0,2009-10-31
1388-08-10,51040.0,2009-11-01
1388-08-11,50976.0,2009-11-02
1388-08-12,50790.0,2009-11-03
1388-08-13,50881.0,2009-11-04
1388-08-16,51170.0,2009-11-07
1388-08-17,51125.0,2009-11-08
1388-08-18,51189.0,2009-11-09
1388-08-19,50556.0,2009-11-10
1388-08-20,50374.0,2009-11-11
1388-08-23,50463.0,2009-11-14
1388-08-24,50294.0,2009-11-15
1388-08-25,50146.0,2009-11-16
1388-08-26,49807.0,2009-11-17
1388-08-27,49540.0,2009-11-18
1388-08-30,49175.0,2009-11-21
1388-09-01,48835.0,2009-11-22
1388-09-02,48808.0,2009-11-23
1388-09-03,49118.0,2009-11-24
1388-09-04,49284.0,2009-11-25
1388-09-08,48935.0,2009-11-29
1388-09-09,48680.0,2009-11-30
1388-09-10,48533.0,2009-12-01
1388-09-11,48475.0,2009-12-02
1388-09-14,48436.0,2009-12-05
1388-09-16,48597.0,2009-12-07
1388-09-17,48455.0,2009-12-08
1388-09-18,48156.0,2009-12-09
1388-09-21,47818.0,2009-12-12
1388-09-22,47510.0,2009-12-13
1388-09-23,47313.0,2009-12-14
1388-09-24,46229.0,2009-12-15
1388-09-25,45833.0,2009-12-16
1388-09-28,45607.0,2009-12-19
1388-09-29,45794.0,2009-12-20
1388-09-30,45872.0,2009-12-21
1388-10-01,45709.0,2009-12-22
1388-10-02,45654.0,2009-12-23
1388-10-07,45555.0,2009-12-28
1388-10-08,45480.0,2009-12-29
1388-10-09,45598.0,2009-12-30
1388-10-12,45955.0,2010-01-02
1388-10-13,46182.0,2010-01-03
1388-10-14,45995.0,2010-01-04
1388-10-15,46005.0,2010-01-05
1388-10-16,46281.0,2010-01-06
1388-10-19,46583.0,2010-01-09
1388-10-20,47164.0,2010-01-10
1388-10-21,47426.0,2010-01-11
1388-10-22,47383.0,2010-01-12
1388-10-23,47195.0,2010-01-13
1388-10-26,47256.0,2010-01-16
1388-10-27,47279.0,2010-01-17
1388-10-28,47130.0,2010-01-18
1388-10-29,47070.0,2010-01-19
1388-10-30,47070.0,2010-01-20
1388-11-03,47268.0,2010-01-23
1388-11-04,47540.0,2010-01-24
1388-11-05,47623.0,2010-01-25
1388-11-06,47815.0,2010-01-26
1388-11-07,48021.0,2010-01-27
1388-11-10,47806.0,2010-01-30
1388-11-11,47703.0,2010-01-31
1388-11-12,47641.0,2010-02-01
1388-11-13,47689.0,2010-02-02
1388-11-14,47813.0,2010-02-03
1388-11-17,47665.0,2010-02-06
1388-11-18,47546.0,2010-02-07
1388-11-19,47467.0,2010-02-08
1388-11-20,47442.0,2010-02-09
1388-11-21,47578.0,2010-02-10
1388-11-25,47846.0,2010-02-14
1388-11-27,47967.0,2010-02-16
1388-11-28,47904.0,2010-02-17
1388-12-01,48086.0,2010-02-20
1388-12-02,48534.0,2010-02-21
1388-12-03,48858.0,2010-02-22
1388-12-04,48864.0,2010-02-23
1388-12-05,48795.0,2010-02-24
1388-12-08,48674.0,2010-02-27
1388-12-09,48859.0,2010-02-28
1388-12-10,49022.0,2010-03-01
1388-12-11,49275.0,2010-03-02
1388-12-12,49365.0,2010-03-03
1388-12-15,49723.0,2010-03-06
1388-12-16,49835.0,2010-03-07
1388-12-17,50072.0,2010-03-08
1388-12-18,50568.0,2010-03-09
1388-12-19,50640.0,2010-03-10
1388-12-22,50615.0,2010-03-13
1388-12-23,51056.0,2010-03-14
1388-12-24,50993.0,2010-03-15
1388-12-25,50856.0,2010-03-16
1388-12-26,51006.0,2010-03-17
1389-01-07,51320.0,2010-03-27
1389-01-08,51801.0,2010-03-28
1389-01-09,52175.0,2010-03-29
1389-01-10,52350.0,2010-03-30
1389-01-11,52667.0,2010-03-31
1389-01-14,53443.0,2010-04-03
1389-01-15,54194.0,2010-04-04
1389-01-16,54181.0,2010-04-05
1389-01-17,54830.0,2010-04-06
1389-01-18,55663.0,2010-04-07
1389-01-21,55959.0,2010-04-10
1389-01-22,56157.0,2010-04-11
1389-01-23,56280.0,2010-04-12
1389-01-24,56569.0,2010-04-13
1389-01-25,56567.0,2010-04-14
1389-01-28,56210.0,2010-04-17
1389-01-29,56695.0,2010-04-18
1389-01-30,57522.0,2010-04-19
1389-01-31,57715.0,2010-04-20
1389-02-01,57485.0,2010-04-21
1389-02-04,57285.0,2010-04-24
1389-02-05,57177.0,2010-04-25
1389-02-06,57485.0,2010-04-26
1389-02-08,57010.0,2010-04-28
1389-02-11,57516.0,2010-05-01
1389-02-12,57309.0,2010-05-02
1389-02-13,57011.0,2010-05-03
1389-02-14,57109.0,2010-05-04
1389-02-15,56735.0,2010-05-05
1389-02-18,56636.0,2010-05-08
1389-02-19,57018.0,2010-05-09
1389-02-20,57364.0,2010-05-10
1389-02-21,57495.0,2010-05-11
1389-02-22,57388.0,2010-05-12
1389-02-25,57351.0,2010-05-15
1389-02-26,57525.0,2010-05-16
1389-02-28,57597.0,2010-05-18
1389-02-29,57593.0,2010-05-19
1389-03-01,57437.0,2010-05-22
1389-03-02,57287.0,2010-05-23
1389-03-03,57430.0,2010-05-24
1389-03-04,57709.0,2010-05-25
1389-03-05,57585.0,2010-05-26
1389-03-08,57447.0,2010-05-29
1389-03-09,57316.0,2010-05-30
1389-03-10,57115.0,2010-05-31
1389-03-11,57403.0,2010-06-01
1389-03-12,57702.0,2010-06-02
1389-03-16,57630.0,2010-06-06
1389-03-17,57510.0,2010-06-07
1389-03-18,57565.0,2010-06-08
1389-03-19,57184.0,2010-06-09
1389-03-22,57427.0,2010-06-12
1389-03-23,57693.0,2010-06-13
1389-03-24,58133.0,2010-06-14
1389-03-25,58563.0,2010-06-15
1389-03-26,58473.0,2010-06-16
1389-03-29,58345.0,2010-06-19
1389-03-30,58102.0,2010-06-20
1389-03-31,58005.0,2010-06-21
1389-04-01,58386.0,2010-06-22
1389-04-02,58951.0,2010-06-23
1389-04-06,59006.0,2010-06-27
1389-04-07,58998.0,2010-06-28
1389-04-08,59178.0,2010-06-29
1389-04-09,59207.0,2010-06-30
1389-04-12,59242.0,2010-07-03
1389-04-13,59011.0,2010-07-04
1389-04-14,59210.0,2010-07-05
1389-04-15,59285.0,2010-07-06
1389-04-16,59884.0,2010-07-07
1389-04-20,60554.0,2010-07-11
1389-04-21,60953.0,2010-07-12
1389-04-22,61052.0,2010-07-13
1389-04-23,61355.0,2010-07-14
1389-04-26,61508.0,2010-07-17
1389-04-27,61797.0,2010-07-18
1389-04-28,62024.0,2010-07-19
1389-04-29,62430.0,2010-07-20
1389-04-30,62496.0,2010-07-21
1389-05-02,62881.0,2010-07-24
1389-05-03,63717.0,2010-07-25
1389-05-04,64065.0,2010-07-26
1389-05-06,64259.0,2010-07-28
1389-05-09,64448.0,2010-07-31
1389-05-10,64568.0,2010-08-01
1389-05-11,65414.0,2010-08-02
1389-05-12,66243.0,2010-08-03
1389-05-13,66390.0,2010-08-04
1389-05-16,67563.0,2010-08-07
1389-05-17,67643.0,2010-08-08
1389-05-18,67840.0,2010-08-09
1389-05-19,68520.0,2010-08-10
1389-05-20,69145.0,2010-08-11
1389-05-23,68615.0,2010-08-14
1389-05-24,67949.0,2010-08-15
1389-05-25,68217.0,2010-08-16
1389-05-26,68804.0,2010-08-17
1389-05-27,69204.0,2010-08-18
1389-05-30,69062.0,2010-08-21
1389-05-31,68993.0,2010-08-22
1389-06-01,69640.0,2010-08-23
1389-06-02,69787.0,2010-08-24
1389-06-06,70797.0,2010-08-28
1389-06-07,72289.0,2010-08-29
1389-06-08,72982.0,2010-08-30
1389-06-09,73055.0,2010-08-31
1389-06-13,74519.0,2010-09-04
1389-06-14,75822.0,2010-09-05
1389-06-15,75871.0,2010-09-06
1389-06-16,75101.0,2010-09-07
1389-06-17,74982.0,2010-09-08
1389-06-21,75404.0,2010-09-12
1389-06-22,75405.0,2010-09-13
1389-06-23,75444.0,2010-09-14
1389-06-24,75495.0,2010-09-15
1389-06-27,75910.0,2010-09-18
1389-06-28,75218.0,2010-09-19
1389-06-29,74468.0,2010-09-20
1389-06-30,74914.0,2010-09-21
1389-06-31,75466.0,2010-09-22
1389-07-03,75973.0,2010-09-25
1389-07-04,75381.0,2010-09-26
1389-07-05,74884.0,2010-09-27
1389-07-06,75412.0,2010-09-28
1389-07-07,75965.0,2010-09-29
1389-07-10,76450.0,2010-10-02
1389-07-11,76336.0,2010-10-03
1389-07-13,76285.0,2010-10-05
1389-07-14,76781.0,2010-10-06
1389-07-17,77049.0,2010-10-09
1389-07-18,75846.0,2010-10-10
1389-07-19,75529.0,2010-10-11
1389-07-20,74385.0,2010-10-12
1389-07-21,72837.0,2010-10-13
1389-07-24,73124.0,2010-10-16
1389-07-25,73686.0,2010-10-17
1389-07-26,74633.0,2010-10-18
1389-07-27,74426.0,2010-10-19
1389-07-28,74168.0,2010-10-20
1389-08-01,74554.5,2010-10-23
1389-08-02,73899.8,2010-10-24
1389-08-03,73380.0,2010-10-25
1389-08-04,73259.0,2010-10-26
1389-08-05,73058.0,2010-10-27
1389-08-08,73376.0,2010-10-30
1389-08-09,73279.0,2010-10-31
1389-08-10,73124.0,2010-11-01
1389-08-11,73073.0,2010-11-02
1389-08-12,73139.0,2010-11-03
1389-08-15,73599.0,2010-11-06
1389-08-16,73298.0,2010-11-07
1389-08-17,73110.0,2010-11-08
1389-08-18,73391.0,2010-11-09
1389-08-19,73695.0,2010-11-10
1389-08-22,73414.0,2010-11-13
1389-08-23,73405.0,2010-11-14
1389-08-24,73378.7,2010-11-15
1389-08-25,73319.3,2010-11-16
1389-08-29,73488.0,2010-11-20
1389-08-30,73778.0,2010-11-21
1389-09-01,74282.9,2010-11-22
1389-09-02,74156.0,2010-11-23
1389-09-03,74411.0,2010-11-24
1389-09-06,74974.0,2010-11-27
1389-09-07,74879.0,2010-11-28
1389-09-08,74392.0,2010-11-29
1389-09-09,74221.0,2010-11-30
1389-09-10,74373.0,2010-12-01
