jdate,value,date
1387-09-15,336.2,2008-12-05
1387-09-16,330.8,2008-12-06
1387-09-17,329.5,2008-12-07
1387-09-18,319.8,2008-12-08
1387-09-20,315.9,2008-12-10
1387-09-23,312.1,2008-12-13
1387-09-24,308.4,2008-12-14
1387-09-25,304.7,2008-12-15
1387-09-26,303.7,2008-12-16
1387-09-30,300.2,2008-12-20
1387-10-01,300.0,2008-12-21
1387-10-02,296.6,2008-12-22
1387-10-03,293.2,2008-12-23
1387-10-04,292.7,2008-12-24
1387-10-07,289.5,2008-12-27
1387-10-08,286.4,2008-12-28
1387-10-09,285.4,2008-12-29
1387-10-10,285.0,2008-12-30
1387-10-11,282.1,2008-12-31
1387-10-14,279.4,2009-01-03
1387-10-15,278.9,2009-01-04
1387-10-16,281.4,2009-01-05
1387-10-21,280.0,2009-01-10
1387-10-22,279.7,2009-01-11
1387-10-23,276.9,2009-01-12
1387-10-24,276.9,2009-01-13
1387-10-25,277.0,2009-01-14
1387-10-28,278.3,2009-01-17
1387-10-29,280.6,2009-01-18
1387-10-30,280.9,2009-01-19
1387-11-01,281.0,2009-01-20
1387-11-02,282.4,2009-01-21
1387-11-05,285.0,2009-01-24
1387-11-06,286.2,2009-01-25
1387-11-07,286.0,2009-01-26
1387-11-08,286.1,2009-01-27
1387-11-09,286.1,2009-01-28
1387-11-12,287.7,2009-01-31
1387-11-13,287.9,2009-02-01
1387-11-14,287.9,2009-02-02
1387-11-15,286.8,2009-02-03
1387-11-16,283.7,2009-02-04
1387-11-19,283.8,2009-02-07
1387-11-20,283.9,2009-02-08
1387-11-21,283.8,2009-02-09
1387-11-23,283.8,2009-02-11
1387-11-26,283.4,2009-02-14
1387-11-27,283.3,2009-02-15
1387-11-29,283.1,2009-02-17
1387-11-30,282.7,2009-02-18
1387-12-03,282.5,2009-02-21
1387-12-04,282.5,2009-02-22
1387-12-05,274.5,2009-02-23
1387-12-07,274.0,2009-02-25
1387-12-10,273.5,2009-02-28
1387-12-11,273.3,2009-03-01
1387-12-12,273.2,2009-03-02
1387-12-13,272.4,2009-03-03
1387-12-14,272.3,2009-03-04
1387-12-17,254.5,2009-03-07
1387-12-18,253.7,2009-03-08
1387-12-19,253.4,2009-03-09
1387-12-20,251.7,2009-03-10
1387-12-21,252.3,2009-03-11
1387-12-24,252.9,2009-03-14
1387-12-26,253.8,2009-03-16
1387-12-27,254.3,2009-03-17
1387-12-28,254.7,2009-03-18
1388-01-05,254.8,2009-03-25
1388-01-08,254.7,2009-03-28
1388-01-09,254.8,2009-03-29
1388-01-10,255.6,2009-03-30
