jdate,value,date
1387-09-15,2163.5,2008-12-05
1387-09-16,2163.5,2008-12-06
1387-09-17,2160.6,2008-12-07
1387-09-18,2157.7,2008-12-08
1387-09-20,2155.9,2008-12-10
1387-09-23,2151.7,2008-12-13
1387-09-24,2149.5,2008-12-14
1387-09-25,2136.4,2008-12-15
1387-09-26,2131.3,2008-12-16
1387-09-30,2123.9,2008-12-20
1387-10-01,2123.3,2008-12-21
1387-10-02,2119.6,2008-12-22
1387-10-03,2118.9,2008-12-23
1387-10-04,2118.4,2008-12-24
1387-10-07,2118.2,2008-12-27
1387-10-08,2124.4,2008-12-28
1387-10-09,2126.7,2008-12-29
1387-10-10,2133.5,2008-12-30
1387-10-11,2155.7,2008-12-31
1387-10-14,2157.6,2009-01-03
1387-10-15,2158.3,2009-01-04
1387-10-16,2161.8,2009-01-05
1387-10-21,2163.7,2009-01-10
1387-10-22,2164.7,2009-01-11
1387-10-23,2164.2,2009-01-12
1387-10-24,2161.6,2009-01-13
1387-10-25,2164.6,2009-01-14
1387-10-28,2189.7,2009-01-17
1387-10-29,2214.2,2009-01-18
1387-10-30,2217.7,2009-01-19
1387-11-01,2221.5,2009-01-20
1387-11-02,2244.4,2009-01-21
1387-11-05,2236.8,2009-01-24
1387-11-06,2233.7,2009-01-25
1387-11-07,2216.0,2009-01-26
1387-11-08,2208.1,2009-01-27
1387-11-09,2203.9,2009-01-28
1387-11-12,2197.2,2009-01-31
1387-11-13,2190.6,2009-02-01
1387-11-14,2184.6,2009-02-02
1387-11-15,2181.2,2009-02-03
1387-11-16,2180.4,2009-02-04
1387-11-19,2179.8,2009-02-07
1387-11-20,2174.6,2009-02-08
1387-11-21,2168.4,2009-02-09
1387-11-23,2166.2,2009-02-11
1387-11-26,2166.4,2009-02-14
1387-11-27,2166.7,2009-02-15
1387-11-29,2164.3,2009-02-17
1387-11-30,2165.3,2009-02-18
1387-12-03,2165.6,2009-02-21
1387-12-04,2165.6,2009-02-22
1387-12-05,2165.6,2009-02-23
1387-12-07,2163.7,2009-02-25
1387-12-10,2140.5,2009-02-28
1387-12-11,2141.5,2009-03-01
1387-12-12,2139.9,2009-03-02
1387-12-13,2138.1,2009-03-03
1387-12-14,2138.1,2009-03-04
1387-12-17,2137.5,2009-03-07
1387-12-18,2135.0,2009-03-08
1387-12-19,2135.1,2009-03-09
1387-12-20,2135.0,2009-03-10
1387-12-21,2134.4,2009-03-11
1387-12-24,2014.7,2009-03-14
1387-12-26,2015.4,2009-03-16
1387-12-27,2008.4,2009-03-17
1387-12-28,2007.9,2009-03-18
1388-01-05,2007.9,2009-03-25
1388-01-08,2008.9,2009-03-28
1388-01-09,2009.2,2009-03-29
1388-01-10,2000.0,2009-03-30
1388-01-11,2000.0,2009-03-31
1388-01-15,1999.9,2009-04-04
1388-01-16,2000.3,2009-04-05
1388-01-17,2020.8,2009-04-06
1388-01-18,2020.6,2009-04-07
1388-01-19,2018.5,2009-04-08
1388-01-22,2025.6,2009-04-11
1388-01-23,2043.2,2009-04-12
1388-01-24,2062.1,2009-04-13
1388-01-25,2052.4,2009-04-14
1388-01-26,2026.5,2009-04-15
1388-01-29,2008.4,2009-04-18
1388-01-30,2007.0,2009-04-19
1388-01-31,2010.4,2009-04-20
1388-02-01,2008.9,2009-04-21
1388-02-02,2007.7,2009-04-22
1388-02-05,2006.1,2009-04-25
1388-02-06,1992.0,2009-04-26
1388-02-07,1984.0,2009-04-27
1388-02-08,1981.7,2009-04-28
1388-02-09,1973.1,2009-04-29
1388-02-12,1971.0,2009-05-02
1388-02-13,1967.4,2009-05-03
1388-02-14,1967.2,2009-05-04
1388-02-15,1957.4,2009-05-05
1388-02-16,1961.6,2009-05-06
1388-02-19,1963.1,2009-05-09
1388-02-20,1965.3,2009-05-10
1388-02-21,1965.9,2009-05-11
1388-02-22,1968.7,2009-05-12
