jdate,value,date
1387-09-15,1282.3,2008-12-05
1387-09-16,1280.5,2008-12-06
1387-09-17,1279.8,2008-12-07
1387-09-18,1269.9,2008-12-08
1387-09-20,1269.9,2008-12-10
1387-09-23,1271.3,2008-12-13
1387-09-24,1271.5,2008-12-14
1387-09-25,1271.5,2008-12-15
1387-09-26,1271.0,2008-12-16
1387-09-30,1271.0,2008-12-20
1387-10-01,1268.0,2008-12-21
1387-10-02,1265.2,2008-12-22
1387-10-03,1265.9,2008-12-23
1387-10-04,1344.9,2008-12-24
1387-10-07,1365.1,2008-12-27
1387-10-08,1357.6,2008-12-28
1387-10-09,1364.0,2008-12-29
1387-10-10,1361.6,2008-12-30
1387-10-11,1355.1,2008-12-31
1387-10-14,1354.3,2009-01-03
1387-10-15,1351.1,2009-01-04
1387-10-16,1346.1,2009-01-05
1387-10-21,1335.0,2009-01-10
1387-10-22,1325.7,2009-01-11
1387-10-23,1318.0,2009-01-12
1387-10-24,1302.5,2009-01-13
1387-10-25,1298.2,2009-01-14
1387-10-28,1283.1,2009-01-17
1387-10-29,1264.3,2009-01-18
1387-10-30,1266.9,2009-01-19
1387-11-01,1267.0,2009-01-20
1387-11-02,1270.6,2009-01-21
1387-11-05,1273.5,2009-01-24
1387-11-06,1286.5,2009-01-25
1387-11-07,1295.1,2009-01-26
1387-11-08,1292.2,2009-01-27
1387-11-09,1285.8,2009-01-28
1387-11-12,1286.1,2009-01-31
1387-11-13,1285.7,2009-02-01
1387-11-14,1280.9,2009-02-02
1387-11-15,1279.4,2009-02-03
1387-11-16,1282.3,2009-02-04
1387-11-19,1271.7,2009-02-07
1387-11-20,1272.8,2009-02-08
1387-11-21,1269.0,2009-02-09
1387-11-23,1268.9,2009-02-11
1387-11-26,1268.8,2009-02-14
1387-11-27,1265.3,2009-02-15
1387-11-29,1261.1,2009-02-17
1387-11-30,1261.1,2009-02-18
1387-12-03,1239.4,2009-02-21
1387-12-04,1242.4,2009-02-22
1387-12-05,1244.2,2009-02-23
1387-12-07,1241.5,2009-02-25
1387-12-10,1235.5,2009-02-28
1387-12-11,1222.8,2009-03-01
