date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2005-02-16,15179.0,15179.0,15179.0,15179.0,13117832,6734,1,15179.0,15179.0,1383-11-28
2005-02-16,15179.0,15179.0,15179.0,15179.0,13117832,6734,1,15179.0,15179.0,1383-11-28
2005-02-22,14727.0,14727.0,14727.0,14727.0,2173500,1150,1,15179.0,14727.0,1383-12-04
2005-02-22,14288.0,14288.0,14288.0,14288.0,2173500,1150,1,14727.0,14288.0,1383-12-04
2005-03-01,13442.0,13457.0,13442.0,13442.0,1796606,1010,4,14288.0,13442.0,1383-12-11
2005-03-01,12645.0,12659.0,12645.0,12645.0,1796606,1010,4,13442.0,12645.0,1383-12-11
2005-03-02,12517.0,12517.0,11386.0,11991.0,52546030,31160,13,12645.0,11991.0,1383-12-12
2005-03-02,11869.0,11869.0,10797.0,11370.0,52546030,31160,13,11991.0,11370.0,1383-12-12
2005-03-09,12139.0,12139.0,12139.0,12139.0,450000000,250000,14,11370.0,12139.0,1383-12-19
2005-03-09,12960.0,12960.0,12960.0,12960.0,450000000,250000,14,12139.0,12960.0,1383-12-19
2005-03-12,12989.0,12989.0,12989.0,12989.0,35080584,19446,1,12960.0,12989.0,1383-12-22
2005-03-12,13018.0,13018.0,13018.0,13018.0,35080584,19446,1,12989.0,13018.0,1383-12-22
2005-03-13,13285.0,13285.0,13285.0,13285.0,4609864,2504,1,13018.0,13285.0,1383-12-23
2005-03-13,13557.0,13557.0,13557.0,13557.0,4609864,2504,1,13285.0,13557.0,1383-12-23
2006-11-20,1841.0,1841.0,1841.0,1841.0,488078250,1952313,79,13557.0,1841.0,1385-08-29
2006-11-20,250.0,250.0,250.0,250.0,488078250,1952313,79,1841.0,250.0,1385-08-29
