date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2016-02-03,9995.0,9995.0,9995.0,9995.0,687600000,68760,10,9995.0,9995.0,1394-11-14
2016-02-06,9995.0,9995.0,9995.0,9995.0,761130000,76113,4,9995.0,9995.0,1394-11-17
2016-02-07,9995.0,9995.0,9995.0,9995.0,475100000,47510,9,9995.0,9995.0,1394-11-18
2016-02-08,9995.0,9995.0,9995.0,9995.0,31940810000,3194081,60,9995.0,9995.0,1394-11-19
2016-02-09,9995.0,9995.0,9995.0,9995.0,151975780000,15197578,210,9995.0,9995.0,1394-11-20
2016-02-10,9995.0,9995.0,9995.0,9995.0,122000000000,12200000,122,9995.0,9995.0,1394-11-21
2016-03-16,10215.0,10215.0,10215.0,10215.0,1022000000,100000,5,9995.0,10215.0,1394-12-26
2016-03-26,10314.0,10314.0,10312.0,10313.0,4861696530,471170,11,10215.0,10313.0,1395-01-07
2016-03-27,10320.0,10320.0,10320.0,10320.0,356212500,34500,6,10313.0,10320.0,1395-01-08
2016-03-28,10326.0,10327.0,10325.0,10327.0,1725406811,167000,7,10320.0,10325.0,1395-01-09
2016-03-29,10332.0,10333.0,9995.0,10291.0,19670385485,1910405,46,10327.0,10332.0,1395-01-10
2016-03-30,10338.0,10339.0,10338.0,10338.0,2074915744,200601,10,10291.0,10339.0,1395-01-11
2016-04-02,10358.0,10358.0,10357.0,10357.0,1841671038,177726,15,10338.0,10357.0,1395-01-14
2016-04-03,10358.0,10358.0,10331.0,10343.0,3376596800,326300,9,10357.0,10343.0,1395-01-15
2016-04-04,10345.0,10345.0,10335.0,10337.0,9155731480,885260,15,10343.0,10335.0,1395-01-16
2016-04-05,10344.0,10345.0,10344.0,10344.0,30513515909,2948441,74,10337.0,10344.0,1395-01-17
2016-04-06,10349.0,10352.0,10349.0,10351.0,1020193554,98510,27,10344.0,10352.0,1395-01-18
2016-04-09,10368.0,10370.0,10368.0,10369.0,33455278469,3224916,82,10351.0,10369.0,1395-01-21
2016-04-10,10376.0,10376.0,10376.0,10376.0,4659231563,448823,26,10369.0,10376.0,1395-01-22
2016-04-11,10382.0,10382.0,10381.0,10382.0,27776914400,2674200,77,10376.0,10382.0,1395-01-23
2016-04-12,10388.0,10388.0,10388.0,10388.0,7504993160,722120,24,10382.0,10388.0,1395-01-24
2016-04-13,10394.0,10395.0,10394.0,10394.0,36257554248,3486552,82,10388.0,10394.0,1395-01-25
2016-04-16,10413.0,10413.0,10413.0,10413.0,16815277080,1614060,53,10394.0,10413.0,1395-01-28
2016-04-17,10419.0,10420.0,10419.0,10420.0,18677568049,1791616,64,10413.0,10420.0,1395-01-29
2016-04-18,10426.0,10426.0,10426.0,10426.0,13266375282,1271822,44,10420.0,10426.0,1395-01-30
2016-04-19,10433.0,10433.0,10432.0,10432.0,3443565747,329931,16,10426.0,10432.0,1395-01-31
2016-04-20,10438.0,10439.0,10438.0,10438.0,22090767238,2115366,79,10432.0,10438.0,1395-02-01
2016-04-23,10457.0,10458.0,10457.0,10457.0,13253760725,1266846,55,10438.0,10457.0,1395-02-04
2016-04-24,10464.0,10464.0,10464.0,10464.0,4666588157,445753,16,10457.0,10464.0,1395-02-05
