date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2019-02-16,4872.0,4872.0,4872.0,4872.0,1069315717350,63086473,386816,287.0,4872.0,1397-11-27
2019-02-17,5115.0,5115.0,5115.0,5115.0,18670369978,1049074,499,4872.0,5115.0,1397-11-28
2019-02-18,5371.0,5371.0,5371.0,5371.0,178735439316,9565206,1677,5115.0,5371.0,1397-11-29
2019-02-19,5639.0,5639.0,5639.0,5639.0,137808819900,7023895,6216,5371.0,5639.0,1397-11-30
2019-02-20,5921.0,5921.0,5921.0,5921.0,132937655571,6452971,11422,5639.0,5921.0,1397-12-01
2019-02-23,6174.0,6174.0,5625.0,6124.0,542677871272,25466789,128107,5921.0,6079.0,1397-12-04
2019-02-24,6323.0,6431.0,5818.0,6402.0,561654898968,25213944,80888,6124.0,6431.0,1397-12-05
2019-02-25,6510.0,6722.0,6431.0,6622.0,255619855360,11095263,54716,6402.0,6697.0,1397-12-06
2019-02-26,6602.0,6869.0,6467.0,6724.0,383685644787,16400513,22494,6622.0,6800.0,1397-12-07
2019-02-27,6754.0,6895.0,6682.0,6766.0,99495832290,4226504,11217,6724.0,6725.0,1397-12-08
2019-03-02,6697.0,6711.0,6496.0,6554.0,292759704454,12839335,15325,6766.0,6553.0,1397-12-11
2019-03-03,6498.0,6610.0,6483.0,6543.0,67249712809,2954060,8261,6554.0,6554.0,1397-12-12
2019-03-04,6525.0,6625.0,6484.0,6554.0,73448855258,3220732,5396,6543.0,6543.0,1397-12-13
2019-03-05,6607.0,6607.0,6483.0,6530.0,63710688111,2804275,4921,6554.0,6490.0,1397-12-14
2019-03-06,6484.0,6577.0,6468.0,6537.0,36424896065,1601580,3231,6530.0,6495.0,1397-12-15
2019-03-09,6524.0,6754.0,6524.0,6626.0,60042212837,2604409,5651,6537.0,6668.0,1397-12-18
2019-03-10,6668.0,6783.0,6627.0,6668.0,51843687051,2234634,6586,6626.0,6697.0,1397-12-19
2019-03-11,6615.0,6750.0,6591.0,6656.0,48312224606,2086090,5646,6668.0,6625.0,1397-12-20
2019-03-12,6656.0,6724.0,6639.0,6671.0,35124538974,1513321,6142,6656.0,6668.0,1397-12-21
2019-03-13,6587.0,6725.0,6587.0,6680.0,64162068770,2760726,11578,6671.0,6724.0,1397-12-22
2019-03-16,6697.0,6955.0,6680.0,6823.0,92466392545,3894943,5298,6680.0,6884.0,1397-12-25
2019-03-17,6899.0,7041.0,6899.0,6967.0,52760638736,2176495,2449,6823.0,6955.0,1397-12-26
2019-03-18,7013.0,7154.0,6998.0,7054.0,70943053084,2890594,2322,6967.0,7099.0,1397-12-27
2019-03-19,7070.0,7315.0,7070.0,7226.0,48744684175,1938931,1930,7054.0,7300.0,1397-12-28
2019-03-25,7320.0,7587.0,7217.0,7480.0,51500959037,1978954,1747,7226.0,7587.0,1398-01-05
2019-03-26,7852.0,7854.0,7647.0,7839.0,112594215327,4128034,3294,7480.0,7841.0,1398-01-06
2019-03-27,7904.0,8160.0,7760.0,7910.0,52185494460,1896185,2319,7839.0,8027.0,1398-01-07
2019-03-30,8131.0,8157.0,8004.0,8076.0,48590192512,1729289,2080,7910.0,8068.0,1398-01-10
2019-03-31,8191.0,8191.0,7905.0,8016.0,59476000708,2132345,2457,8076.0,7984.0,1398-01-11
