date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2014-08-16,10177.0,10177.0,10177.0,10177.0,522000000,52200,3,10177.0,10177.0,1393-05-25
2014-08-17,10177.0,10177.0,10177.0,10177.0,252900000,25290,15,10177.0,10177.0,1393-05-26
2014-08-18,10177.0,10177.0,10177.0,10177.0,431000000,43100,16,10177.0,10177.0,1393-05-27
2014-08-19,10177.0,10177.0,10177.0,10177.0,255000000,25500,15,10177.0,10177.0,1393-05-28
2014-08-20,10177.0,10177.0,10177.0,10177.0,39326000000,3932600,55,10177.0,10177.0,1393-05-29
2014-09-15,10432.0,10432.0,10432.0,10432.0,10250000,1000,1,10177.0,10432.0,1393-06-24
2014-09-16,10432.0,10432.0,10432.0,10432.0,1025000,100,1,10432.0,10432.0,1393-06-25
2014-09-17,10432.0,10442.0,10432.0,10437.0,56400000,5500,4,10432.0,10442.0,1393-06-26
2014-09-20,10452.0,10452.0,10452.0,10452.0,10270000,1000,1,10437.0,10452.0,1393-06-29
2014-09-21,10452.0,10452.0,10452.0,10452.0,10270000,1000,1,10452.0,10452.0,1393-06-30
2014-09-24,10473.0,10473.0,10473.0,10473.0,1029000,100,1,10452.0,10473.0,1393-07-02
2014-09-27,10493.0,10493.0,10493.0,10493.0,20620000,2000,2,10473.0,10493.0,1393-07-05
2014-10-04,10523.0,10584.0,10523.0,10547.0,3119400,301,3,10493.0,10534.0,1393-07-12
2014-10-06,10549.0,10549.0,10549.0,10549.0,10365000,1000,1,10547.0,10549.0,1393-07-14
2014-10-07,10554.0,10554.0,10554.0,10554.0,1451800000,140000,4,10549.0,10554.0,1393-07-15
2014-10-08,10554.0,10554.0,10554.0,10554.0,9333000,900,1,10554.0,10554.0,1393-07-16
2014-10-11,10564.0,10564.0,10564.0,10564.0,103800000,10000,1,10554.0,10564.0,1393-07-19
2014-10-21,10686.0,10686.0,10686.0,10686.0,1050000,100,1,10564.0,10686.0,1393-07-29
2014-11-05,10686.0,10686.0,10686.0,10686.0,105000000,10000,2,10686.0,10686.0,1393-08-14
2014-11-10,11093.0,11093.0,10992.0,11073.0,1354600000,124500,3,10686.0,10992.0,1393-08-19
2014-11-11,11093.0,11093.0,11093.0,11093.0,3270000,300,1,11073.0,11093.0,1393-08-20
2014-11-15,10992.0,10992.0,10992.0,10992.0,185760000,17200,4,11093.0,10992.0,1393-08-24
2014-11-16,11042.0,11042.0,11042.0,11042.0,2148300000,198000,4,10992.0,11042.0,1393-08-25
2014-11-23,11053.0,11053.0,11053.0,11053.0,217200000,20000,1,11042.0,11053.0,1393-09-02
2014-12-01,10788.0,10788.0,10686.0,10687.0,530300000,50500,2,11053.0,10686.0,1393-09-10
2014-12-06,10534.0,10534.0,10534.0,10534.0,2070000,200,1,10687.0,10534.0,1393-09-15
2014-12-08,10555.0,10555.0,10555.0,10555.0,1555650000,150000,2,10534.0,10555.0,1393-09-17
2014-12-15,10483.0,10483.0,10483.0,10483.0,156560000,15200,2,10555.0,10483.0,1393-09-24
2014-12-16,10381.0,10381.0,10381.0,10381.0,28560000,2800,1,10483.0,10381.0,1393-09-25
2014-12-31,10432.0,10432.0,10432.0,10432.0,205000000,20000,2,10381.0,10432.0,1393-10-10
2015-01-05,10381.0,10381.0,10381.0,10381.0,306000000,30000,2,10432.0,10381.0,1393-10-15
2015-03-29,11154.0,11154.0,11154.0,11154.0,10960000,1000,1,10381.0,11154.0,1394-01-09
2015-04-04,11806.0,12467.0,11806.0,12276.0,1220203450,101165,28,11154.0,12416.0,1394-01-15
2015-04-05,12620.0,12824.0,12416.0,12750.0,760525472,60706,37,12276.0,12793.0,1394-01-16
2015-04-06,12824.0,12824.0,12213.0,12219.0,130842600,10898,4,12750.0,12213.0,1394-01-17
2015-04-07,12722.0,12722.0,12010.0,12647.0,20342600,1637,3,12219.0,12010.0,1394-01-18
2015-04-08,12315.0,12315.0,12315.0,12315.0,126711200,10472,2,12647.0,12315.0,1394-01-19
2015-04-11,12269.0,12315.0,12269.0,12270.0,124180000,10300,2,12315.0,12315.0,1394-01-22
2015-04-12,11958.0,11958.0,11806.0,11881.0,396482400,33964,5,12270.0,11806.0,1394-01-23
2015-04-13,11704.0,11704.0,11653.0,11673.0,17331500,1511,3,11881.0,11704.0,1394-01-24
2015-04-18,11399.0,11399.0,11399.0,11399.0,940800,84,1,11673.0,11399.0,1394-01-29
2015-04-19,11348.0,11399.0,11348.0,11348.0,140941750,12640,4,11399.0,11399.0,1394-01-30
2015-04-21,11317.0,11399.0,11317.0,11399.0,337278800,30115,2,11348.0,11399.0,1394-02-01
2015-04-22,11450.0,11450.0,11450.0,11450.0,106875000,9500,1,11399.0,11450.0,1394-02-02
2015-04-28,11093.0,11093.0,11093.0,11093.0,32700000,3000,1,11450.0,11093.0,1394-02-08
2015-05-03,11093.0,11093.0,11093.0,11093.0,54500000,5000,1,11093.0,11093.0,1394-02-13
