date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2020-08-05,6156.0,6156.0,6156.0,6156.0,8736000000000,840000000,5410754,592.0,6156.0,1399-05-15
2020-08-09,6463.0,6463.0,6463.0,6463.0,151640427120,13886486,2506,6156.0,6463.0,1399-05-19
2020-08-12,6783.0,6783.0,6783.0,6617.0,26254126560,2290936,3136,6463.0,6783.0,1399-05-22
2020-08-15,6943.0,6943.0,6943.0,6659.0,6298646370,536969,3687,6617.0,6943.0,1399-05-25
2020-08-16,6990.0,6990.0,6990.0,6694.0,5511526230,466683,3201,6659.0,6990.0,1399-05-26
2020-08-17,7026.0,7026.0,7026.0,6818.0,19460817520,1639496,11363,6694.0,7026.0,1399-05-27
2020-08-18,7156.0,7156.0,7156.0,6949.0,20593441050,1703345,11082,6818.0,7156.0,1399-05-28
2020-08-19,7292.0,7292.0,7292.0,7055.0,17521750400,1422220,9896,6949.0,7292.0,1399-05-29
2020-08-22,7404.0,7404.0,7404.0,7256.0,30562055100,2443010,13618,7055.0,7404.0,1399-06-01
2020-08-23,7617.0,7617.0,7617.0,7617.0,160849131300,12497990,19460,7256.0,7617.0,1399-06-02
2020-08-24,7996.0,7996.0,7996.0,7902.0,42094674160,3115816,19947,7617.0,7996.0,1399-06-03
2020-08-25,8292.0,8292.0,8292.0,8115.0,32382545880,2311388,15251,7902.0,8292.0,1399-06-04
2020-08-26,8517.0,8517.0,8517.0,8263.0,22593321690,1570071,11076,8115.0,8517.0,1399-06-05
2020-08-31,8671.0,8671.0,8671.0,8671.0,64762141600,4420624,22249,8263.0,8671.0,1399-06-10
2020-09-01,9103.0,9103.0,9103.0,9103.0,81960512160,5329032,26132,8671.0,9103.0,1399-06-11
2020-09-02,9553.0,9553.0,9553.0,9553.0,105570190560,6540904,27443,9103.0,9553.0,1399-06-12
2020-09-05,10026.0,10026.0,10026.0,10026.0,70846010620,4182173,10909,9553.0,10026.0,1399-06-15
2020-09-07,9529.0,10524.0,9529.0,9529.0,306634167980,19043602,13810,10026.0,9529.0,1399-06-17
2020-09-08,9056.0,9056.0,9056.0,9139.0,38990933100,2548427,2558,9529.0,9056.0,1399-06-18
2020-09-09,8683.0,9588.0,8683.0,9032.0,3515658333170,230371004,336598,9139.0,9470.0,1399-06-19
2020-09-12,9482.0,9482.0,9056.0,9452.0,1546753044990,96847244,101484,9032.0,9482.0,1399-06-22
2020-09-13,9411.0,9411.0,8985.0,9074.0,189729598130,12375671,13841,9452.0,8985.0,1399-06-23
2020-09-14,8624.0,9464.0,8624.0,8997.0,1203854842020,79206244,118977,9074.0,9150.0,1399-06-24
2020-09-15,9221.0,9446.0,8967.0,9387.0,317609679620,20021512,47527,8997.0,9446.0,1399-06-25
2020-09-16,9796.0,9825.0,8920.0,9269.0,1061286118430,67767859,120094,9387.0,8955.0,1399-06-26
2020-09-19,8807.0,9056.0,8807.0,8849.0,632519421070,42309184,121624,9269.0,8807.0,1399-06-29
2020-09-20,8411.0,8411.0,8411.0,8511.0,35112995260,2471006,4596,8849.0,8411.0,1399-06-30
2020-09-21,8091.0,8091.0,8091.0,8351.0,16678862690,1220107,996,8511.0,8091.0,1399-06-31
2020-09-22,7937.0,7937.0,7937.0,8014.0,34746637590,2591099,1425,8351.0,7937.0,1399-07-01
2020-09-23,7990.0,8411.0,7706.0,8263.0,993605853020,71164902,119561,8014.0,8411.0,1399-07-02
2020-09-26,8286.0,8671.0,7961.0,8387.0,462212587520,32612737,74669,8263.0,8624.0,1399-07-05
2020-09-27,8286.0,8286.0,7973.0,8032.0,82700892330,6092609,7223,8387.0,7973.0,1399-07-06
2020-09-28,7635.0,7635.0,7635.0,7925.0,12580092900,975201,622,8032.0,7635.0,1399-07-07
2020-09-29,7535.0,8168.0,7535.0,7600.0,494910047480,38559365,73763,7925.0,7730.0,1399-07-08
2020-09-30,7546.0,7825.0,7221.0,7481.0,341225020890,26990342,57912,7600.0,7623.0,1399-07-09
2020-10-03,7854.0,7854.0,7760.0,7854.0,289592024930,21829597,34564,7481.0,7854.0,1399-07-12
2020-10-04,7854.0,7996.0,7464.0,7535.0,488930345890,38400229,49594,7854.0,7517.0,1399-07-13
2020-10-05,7274.0,7908.0,7221.0,7683.0,443708556920,34188329,65003,7535.0,7908.0,1399-07-14
2020-10-06,7931.0,8061.0,7694.0,8038.0,228530093210,16829536,27563,7683.0,8061.0,1399-07-15
2020-10-07,8286.0,8434.0,7819.0,8227.0,464625320080,33426768,49253,8038.0,8180.0,1399-07-16
2020-10-10,7872.0,8168.0,7819.0,7919.0,498410381100,37238044,56308,8227.0,7943.0,1399-07-19
2020-10-12,7831.0,7831.0,7440.0,7564.0,189710600140,14841300,20091,7919.0,7754.0,1399-07-21
2020-10-13,7683.0,7937.0,7517.0,7842.0,520073331110,39254026,67741,7564.0,7931.0,1399-07-22
2020-10-14,7860.0,8085.0,7458.0,7617.0,305602025510,23748551,43379,7842.0,7523.0,1399-07-23
2020-10-18,7398.0,7694.0,7239.0,7274.0,250737900430,20396490,28822,7617.0,7239.0,1399-07-27
2020-10-19,6984.0,7215.0,6913.0,6937.0,104190364230,8890235,10979,7274.0,6913.0,1399-07-28
2020-10-20,6594.0,7280.0,6594.0,7091.0,586724949120,48977573,47563,6937.0,7280.0,1399-07-29
2020-10-21,7327.0,7381.0,6895.0,7156.0,317474730690,26263223,31388,7091.0,7061.0,1399-07-30
2020-10-24,6824.0,7061.0,6801.0,6824.0,55245873450,4791227,4142,7156.0,6801.0,1399-08-03
2020-10-26,6487.0,6736.0,6487.0,6523.0,331717968330,30111707,42447,6824.0,6499.0,1399-08-05
2020-10-27,6576.0,6789.0,6197.0,6440.0,403993452620,37123007,42242,6523.0,6688.0,1399-08-06
2020-10-28,6511.0,6759.0,6457.0,6712.0,253978282600,22399955,28729,6440.0,6759.0,1399-08-07
2020-10-31,7043.0,7043.0,6848.0,7037.0,363716185640,30593784,25733,6712.0,7043.0,1399-08-10
2020-11-01,7061.0,7108.0,6688.0,6747.0,227772237460,19984916,14328,7037.0,6688.0,1399-08-11
2020-11-02,6528.0,6919.0,6481.0,6730.0,188799779050,16612031,20355,6747.0,6759.0,1399-08-12
2020-11-04,6759.0,6955.0,6481.0,6777.0,202440304580,17680687,21151,6730.0,6830.0,1399-08-14
2020-11-07,6528.0,6688.0,6440.0,6463.0,181935658920,16654966,12369,6777.0,6440.0,1399-08-17
2020-11-08,6244.0,6718.0,6144.0,6262.0,395899844070,37418421,26294,6463.0,6528.0,1399-08-18
2020-11-09,6475.0,6570.0,6286.0,6534.0,448373546660,40615975,29052,6262.0,6570.0,1399-08-19
2020-11-10,6742.0,6836.0,6534.0,6700.0,260298450490,22990626,17205,6534.0,6712.0,1399-08-20
2020-11-11,6724.0,6889.0,6375.0,6700.0,395692321960,34953238,24630,6700.0,6747.0,1399-08-21
2020-11-14,6836.0,7032.0,6747.0,6984.0,223171283520,18906030,18557,6700.0,7032.0,1399-08-24
2020-11-15,7221.0,7310.0,6635.0,6860.0,475315921750,41024698,23746,6984.0,6641.0,1399-08-25
2020-11-16,6635.0,6919.0,6570.0,6777.0,301117245330,26305946,23623,6860.0,6700.0,1399-08-26
2020-11-17,6747.0,6955.0,6564.0,6759.0,529300198400,46328985,30872,6777.0,6795.0,1399-08-27
2020-11-18,6801.0,7014.0,6665.0,6842.0,549165575290,47504334,34575,6759.0,6889.0,1399-08-28
2020-11-21,6919.0,6919.0,6505.0,6623.0,487443512470,43578305,28342,6842.0,6505.0,1399-09-01
2020-11-22,6469.0,6836.0,6386.0,6694.0,472568893310,41791006,26199,6623.0,6765.0,1399-09-02
2020-11-23,6777.0,6836.0,6694.0,6736.0,240874279290,21169750,25971,6694.0,6736.0,1399-09-03
2020-11-24,6753.0,6836.0,6552.0,6747.0,477490614870,41882060,29810,6736.0,6801.0,1399-09-04
2020-11-25,6753.0,7085.0,6747.0,6907.0,357332086990,30628807,33886,6747.0,7085.0,1399-09-05
2020-11-28,7251.0,7251.0,7251.0,7251.0,193979595250,15835069,22978,6907.0,7251.0,1399-09-08
2020-11-29,7612.0,7612.0,7310.0,7535.0,879975006750,69146731,37491,7251.0,7612.0,1399-09-09
