date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2019-04-09,20883.0,20883.0,20883.0,20883.0,13816369260,1656639,17,21338.0,20883.0,1398-01-20
2019-04-13,21915.0,21915.0,21915.0,20966.0,390809770,40001,2,20883.0,21915.0,1398-01-24
2019-09-14,21030.0,22013.0,21036.0,20988.0,224721672,15012,2,20966.0,22013.0,1398-06-23
2019-09-23,21278.0,21608.0,21278.0,21608.0,19911565440,1383716,15,20988.0,21608.0,1398-07-01
2019-09-30,22688.0,22688.0,22688.0,21608.0,7133910,490,1,21608.0,22688.0,1398-07-08
2019-12-02,21254.0,20528.0,20528.0,21049.0,5074239016,368152,7,21608.0,20528.0,1398-09-11
2019-12-04,21205.0,19997.0,19997.0,20457.0,5847881658,400074,7,21049.0,19997.0,1398-09-13
2019-12-10,19786.0,19434.0,19434.0,20151.0,2960400000,200000,4,20457.0,19434.0,1398-09-19
2019-12-16,21154.0,21154.0,21154.0,20795.0,7344000000,400000,16,20151.0,21154.0,1398-09-25
2019-12-17,21818.0,21818.0,21818.0,21617.0,9575000000,500000,5,20795.0,21818.0,1398-09-26
2020-01-19,22684.0,22684.0,22684.0,22684.0,27033224004,1126666,41,21617.0,22684.0,1398-10-29
2020-02-19,23818.0,23818.0,23818.0,22707.0,239425000,5000,1,22684.0,23818.0,1398-11-30
2020-06-08,21572.0,21572.0,21572.0,22616.0,4998771632,59674,2,22707.0,21572.0,1399-03-19
2020-06-15,21486.0,21486.0,21486.0,22573.0,2244408280,28228,1,22616.0,21486.0,1399-03-26
2020-07-26,21447.0,21447.0,21447.0,22573.0,33630000,500,1,22573.0,21447.0,1399-05-05
2020-08-11,21798.0,21798.0,21798.0,22523.0,4555200000,65000,1,22573.0,21798.0,1399-05-21
2021-01-23,22523.0,22523.0,22523.0,22523.0,763990,19,1,22523.0,22523.0,1399-11-04
2021-04-18,22523.0,22523.0,22074.0,22378.0,32295000000,1000000,10,22523.0,22074.0,1400-01-29
2021-04-19,21931.0,21931.0,21931.0,22343.0,3830400000,120000,3,22378.0,21931.0,1400-01-30
2021-05-01,21675.0,21675.0,21675.0,22075.0,19442889810,617823,7,22343.0,21675.0,1400-02-11
2021-05-16,20977.0,20977.0,20977.0,21688.0,10430000000,350000,7,22075.0,20977.0,1400-02-26
2021-05-23,20606.0,20606.0,20606.0,21576.0,2954000000,100000,1,21688.0,20606.0,1400-03-02
2021-05-25,20498.0,20498.0,20498.0,21465.0,2948000000,100000,1,21576.0,20498.0,1400-03-04
2022-03-26,20951.0,20951.0,20951.0,21245.0,16900000000,845000,9,21465.0,20951.0,1401-01-06
2022-05-17,20059.0,20059.0,20059.0,20059.0,137000000000,5000000,50,21245.0,20059.0,1401-02-27
2022-06-07,20059.0,20059.0,20059.0,20059.0,15048000000,600000,6,20059.0,20059.0,1401-03-17
2022-06-26,18855.0,18855.0,18855.0,19843.0,8165817920,359411,4,20059.0,18855.0,1401-04-05
2022-07-02,19433.0,19433.0,19433.0,19721.0,13380000000,600000,6,19843.0,19433.0,1401-04-11
2022-07-06,18769.0,18769.0,18769.0,18937.0,35096031300,1647701,17,19721.0,18769.0,1401-04-15
2022-07-11,18296.0,18296.0,18296.0,18617.0,20000000000,1000000,10,18937.0,18296.0,1401-04-20
2022-07-13,18617.0,18617.0,18617.0,18617.0,42280000000,2000000,20,18617.0,18617.0,1401-04-22
2022-07-26,18326.0,18326.0,17966.0,18257.0,39476000000,3000000,34,18617.0,17994.0,1401-05-04
2022-08-09,17672.0,17672.0,17672.0,18080.0,13000000000,1000000,10,18257.0,17672.0,1401-05-18
2022-08-31,17010.0,17010.0,16820.0,18020.0,2709106440,161042,6,18080.0,16820.0,1401-06-09
