date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2021-04-21,5719.0,5719.0,5719.0,5719.0,84450233000,24128638,495,817.0,5719.0,1400-02-01
2021-04-24,5891.0,5891.0,5891.0,5891.0,20600001030,5714286,142,5719.0,5891.0,1400-02-04
2021-04-25,6067.0,6067.0,6067.0,6067.0,21878173021,5892317,93,5891.0,6067.0,1400-02-05
2021-04-26,6249.0,6249.0,6249.0,6074.0,812600000,212500,26,6067.0,6249.0,1400-02-06
2021-04-27,6255.0,6255.0,6255.0,6076.0,191400000,50000,7,6074.0,6255.0,1400-02-07
2021-04-28,6378.0,6378.0,6378.0,6082.0,446913015,114505,13,6076.0,6378.0,1400-02-08
2021-05-01,6264.0,6264.0,6264.0,6095.0,1398891680,364960,21,6082.0,6264.0,1400-02-11
2021-05-02,6277.0,6277.0,6277.0,6099.0,377866057,98377,17,6095.0,6277.0,1400-02-12
2021-05-03,6280.0,6280.0,6280.0,6108.0,1126882890,293230,24,6099.0,6280.0,1400-02-13
2021-05-05,6412.0,6412.0,6412.0,6120.0,751226256,191444,19,6108.0,6412.0,1400-02-15
2021-05-08,6303.0,6303.0,6303.0,6123.0,390752670,101310,14,6120.0,6303.0,1400-02-18
2021-05-09,6306.0,6306.0,6306.0,6136.0,1555177000,403000,26,6123.0,6306.0,1400-02-19
2021-05-10,6319.0,6319.0,6319.0,6141.0,560637660,144980,12,6136.0,6319.0,1400-02-20
2021-05-11,6447.0,6447.0,6447.0,6170.0,1991617470,504846,15,6141.0,6447.0,1400-02-21
2021-05-12,6355.0,6355.0,6355.0,6172.0,118808950,30550,7,6170.0,6355.0,1400-02-22
2021-05-15,6357.0,6357.0,6357.0,6179.0,373440000,96000,12,6172.0,6357.0,1400-02-25
2021-05-16,6363.0,6363.0,6363.0,6187.0,450492966,115689,6,6179.0,6363.0,1400-02-26
2021-05-17,6496.0,6496.0,6496.0,6239.0,1807830000,454800,18,6187.0,6496.0,1400-02-27
2021-05-18,6425.0,6425.0,6425.0,6244.0,266982800,67900,7,6239.0,6425.0,1400-02-28
2021-05-19,6430.0,6430.0,6430.0,6249.0,257486725,65435,8,6244.0,6430.0,1400-02-29
2021-05-22,6435.0,6435.0,6435.0,6262.0,728530000,185000,10,6249.0,6435.0,1400-03-01
2021-05-23,6574.0,6574.0,6574.0,6272.0,305957196,76052,9,6262.0,6574.0,1400-03-02
2021-05-24,6460.0,6460.0,6460.0,6306.0,1921707467,486139,13,6272.0,6460.0,1400-03-03
2021-05-25,6494.0,6494.0,6494.0,6309.0,140361680,35320,10,6306.0,6494.0,1400-03-04
2021-05-26,6497.0,6497.0,6497.0,6313.0,168980000,42500,9,6309.0,6497.0,1400-03-05
2021-05-29,6628.0,6628.0,6628.0,6396.0,2752454328,678613,20,6313.0,6628.0,1400-03-08
2021-05-30,6587.0,6587.0,6587.0,6404.0,431337155,107005,11,6396.0,6587.0,1400-03-09
2021-05-31,6595.0,6595.0,6595.0,6406.0,53703016,13306,4,6404.0,6595.0,1400-03-10
2021-06-01,6597.0,6597.0,6597.0,6419.0,672160500,166500,7,6406.0,6597.0,1400-03-11
2021-06-02,6739.0,6739.0,6739.0,6463.0,1492958108,362017,16,6419.0,6739.0,1400-03-12
2021-06-07,6656.0,6656.0,6656.0,6478.0,764457297,187689,12,6463.0,6656.0,1400-03-17
2021-06-08,6670.0,6670.0,6670.0,6519.0,2148299452,526286,16,6478.0,6670.0,1400-03-18
2021-06-09,6713.0,6713.0,6713.0,6522.0,135806372,33059,5,6519.0,6713.0,1400-03-19
2021-06-15,8661.0,8661.0,8661.0,8661.0,171514418300,32361211,281,6522.0,8661.0,1400-03-25
2021-06-16,8401.0,8818.0,8401.0,8466.0,300588311309,58016396,2263,8661.0,8708.0,1400-03-26
2021-06-19,8720.0,8720.0,8213.0,8401.0,61495635984,11962028,974,8466.0,8383.0,1400-03-29
2021-06-20,8367.0,8367.0,8149.0,8159.0,38466848438,7704509,338,8401.0,8149.0,1400-03-30
2021-06-21,7916.0,8086.0,7916.0,8074.0,3338782964,688766,91,8159.0,7916.0,1400-03-31
