date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2019-09-25,1904.0,1904.0,1904.0,1904.0,2402454599820,1207263618,818287,957.0,1904.0,1398-07-03
2019-09-28,1999.0,1999.0,1999.0,1999.0,1287099748,616132,515,1904.0,1999.0,1398-07-06
2019-09-29,2099.0,2099.0,2099.0,2099.0,1994088321,909297,720,1999.0,2099.0,1398-07-07
2019-09-30,2203.0,2203.0,2203.0,2203.0,3467900846,1506473,1302,2099.0,2203.0,1398-07-08
2019-10-01,2313.0,2313.0,2313.0,2313.0,293884905592,121590776,16018,2203.0,2313.0,1398-07-09
2019-10-02,2428.0,2428.0,2428.0,2428.0,35093217405,13832565,8056,2313.0,2428.0,1398-07-10
2019-10-05,2548.0,2548.0,2548.0,2548.0,11381914985,4274095,3220,2428.0,2548.0,1398-07-13
2019-10-06,2676.0,2676.0,2676.0,2676.0,84831685704,30340374,7439,2548.0,2676.0,1398-07-14
2019-10-07,2809.0,2809.0,2543.0,2805.0,843781506085,287915325,145420,2676.0,2809.0,1398-07-15
2019-10-08,2775.0,2775.0,2665.0,2712.0,186398309744,65766994,41306,2805.0,2665.0,1398-07-16
2019-10-09,2577.0,2577.0,2577.0,2577.0,111500522269,41403833,21469,2712.0,2577.0,1398-07-17
2019-10-12,2587.0,2705.0,2449.0,2649.0,398810323364,144089622,91157,2577.0,2705.0,1398-07-20
2019-10-13,2781.0,2781.0,2517.0,2699.0,446623786322,158396990,88386,2649.0,2661.0,1398-07-21
2019-10-14,2612.0,2630.0,2564.0,2578.0,257129404369,95442898,39501,2699.0,2564.0,1398-07-22
2019-10-15,2565.0,2615.0,2450.0,2483.0,103747392865,39979362,15937,2578.0,2450.0,1398-07-23
2019-10-16,2421.0,2565.0,2363.0,2398.0,201441354294,80399617,34220,2483.0,2383.0,1398-07-24
2019-10-20,2383.0,2450.0,2278.0,2311.0,94000728588,38928261,12031,2398.0,2278.0,1398-07-28
2019-10-21,2239.0,2426.0,2196.0,2327.0,338978897555,139395502,41410,2311.0,2426.0,1398-07-29
2019-10-22,2443.0,2443.0,2341.0,2433.0,137871750632,54241923,12988,2327.0,2443.0,1398-07-30
2019-10-23,2487.0,2531.0,2311.0,2413.0,154699430475,61339515,26579,2433.0,2423.0,1398-08-01
2019-10-26,2411.0,2413.0,2293.0,2331.0,94642912135,38852872,20502,2413.0,2328.0,1398-08-04
2019-10-28,2316.0,2414.0,2294.0,2370.0,96543919725,38977912,18452,2331.0,2387.0,1398-08-06
2019-10-30,2418.0,2421.0,2380.0,2394.0,136420327084,54526560,18832,2370.0,2392.0,1398-08-08
2019-11-02,2407.0,2407.0,2296.0,2329.0,142206325463,58427359,19718,2394.0,2316.0,1398-08-11
2019-11-03,2309.0,2378.0,2281.0,2337.0,119820283243,49071549,15934,2329.0,2338.0,1398-08-12
2019-11-04,2338.0,2343.0,2280.0,2300.0,89551181317,37243269,11582,2337.0,2286.0,1398-08-13
2019-11-05,2305.0,2415.0,2278.0,2376.0,142708624223,57468008,15278,2300.0,2415.0,1398-08-14
2019-11-09,2495.0,2495.0,2495.0,2495.0,95432694489,36606327,6092,2376.0,2495.0,1398-08-18
2019-11-10,2478.0,2506.0,2397.0,2440.0,160050700351,62757337,15507,2495.0,2430.0,1398-08-19
2019-11-11,2404.0,2464.0,2393.0,2411.0,89279239833,35428860,11006,2440.0,2400.0,1398-08-20
2019-11-12,2411.0,2469.0,2393.0,2432.0,89229835537,35114107,10639,2411.0,2422.0,1398-08-21
2019-11-13,2421.0,2467.0,2399.0,2422.0,80026830369,31617028,9787,2432.0,2411.0,1398-08-22
2019-11-16,2458.0,2485.0,2392.0,2434.0,101912892411,40076316,9087,2422.0,2400.0,1398-08-25
2019-11-17,2318.0,2390.0,2312.0,2316.0,118057386019,48794063,7544,2434.0,2312.0,1398-08-26
2019-11-18,2274.0,2372.0,2274.0,2327.0,55765380619,22931286,5559,2316.0,2311.0,1398-08-27
2019-11-19,2349.0,2388.0,2318.0,2354.0,53065778564,21568877,6358,2327.0,2357.0,1398-08-28
2019-11-20,2355.0,2420.0,2345.0,2384.0,58471415119,23473622,6780,2354.0,2382.0,1398-08-29
2019-11-23,2416.0,2440.0,2352.0,2384.0,64331612453,25821982,7400,2384.0,2360.0,1398-09-02
2019-11-24,2364.0,2373.0,2321.0,2342.0,61697472671,25211950,7871,2384.0,2359.0,1398-09-03
2019-11-25,2344.0,2404.0,2344.0,2361.0,78612061795,31861491,8503,2342.0,2354.0,1398-09-04
2019-11-26,2354.0,2478.0,2354.0,2434.0,188702109991,74171386,12912,2361.0,2478.0,1398-09-05
2019-11-27,2501.0,2556.0,2498.0,2551.0,479517238147,179847086,16312,2434.0,2556.0,1398-09-06
2019-11-30,2574.0,2612.0,2497.0,2557.0,221824094802,83016056,14252,2551.0,2538.0,1398-09-09
2019-12-01,2535.0,2656.0,2505.0,2602.0,216834462934,79760481,12687,2557.0,2611.0,1398-09-10
2019-12-02,2625.0,2675.0,2526.0,2593.0,165946849438,61238329,10524,2602.0,2593.0,1398-09-11
2019-12-03,2584.0,2632.0,2536.0,2581.0,122952079634,45587712,8833,2593.0,2558.0,1398-09-12
2019-12-04,2546.0,2631.0,2545.0,2584.0,167100343772,61886877,10772,2581.0,2579.0,1398-09-13
2019-12-07,2622.0,2713.0,2599.0,2699.0,328588410897,116507653,12654,2584.0,2713.0,1398-09-16
