date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2016-03-15,415.0,415.0,415.0,415.0,246200000000,492400000,5036,829.0,415.0,1394-12-25
2017-09-13,290.0,290.0,290.0,290.0,2128000000,3040000,307,415.0,290.0,1396-06-22
2017-09-16,290.0,290.0,290.0,290.0,651721000,931030,174,290.0,290.0,1396-06-25
2017-09-18,249.0,249.0,249.0,249.0,411649800,686083,29,290.0,249.0,1396-06-27
2017-09-20,278.0,278.0,278.0,278.0,218719490,326447,28,249.0,278.0,1396-06-29
2017-09-23,253.0,253.0,253.0,253.0,189100000,310000,23,278.0,253.0,1396-07-01
2017-09-25,269.0,269.0,253.0,255.0,1473431041,2399809,116,253.0,253.0,1396-07-03
2017-09-27,258.0,258.0,253.0,258.0,290331700,467700,28,255.0,253.0,1396-07-05
2017-10-02,258.0,258.0,249.0,249.0,236694000,394000,13,258.0,249.0,1396-07-10
2017-10-04,249.0,249.0,249.0,249.0,37111750,61750,5,249.0,249.0,1396-07-12
2017-10-07,249.0,249.0,249.0,249.0,11297000,18800,7,249.0,249.0,1396-07-15
2017-10-09,249.0,249.0,249.0,249.0,178644245,297245,24,249.0,249.0,1396-07-17
2017-10-11,249.0,249.0,249.0,249.0,357166686,595086,32,249.0,249.0,1396-07-19
2017-10-14,249.0,249.0,249.0,249.0,43920000,73200,4,249.0,249.0,1396-07-22
2017-10-16,249.0,249.0,249.0,249.0,214200000,357000,18,249.0,249.0,1396-07-24
2017-10-18,249.0,249.0,236.0,236.0,2953200000,5180000,179,249.0,236.0,1396-07-26
2017-10-21,232.0,232.0,232.0,232.0,174301120,311252,10,236.0,232.0,1396-07-29
2017-10-23,232.0,232.0,232.0,232.0,122349920,218482,11,232.0,232.0,1396-08-01
2017-10-25,228.0,228.0,228.0,228.0,264888750,480868,32,232.0,228.0,1396-08-03
2017-10-28,228.0,228.0,228.0,228.0,440782368,799968,54,228.0,228.0,1396-08-06
2017-10-30,228.0,228.0,228.0,228.0,40589966,73666,9,228.0,228.0,1396-08-08
2017-11-01,228.0,228.0,220.0,227.0,472374900,862318,39,228.0,220.0,1396-08-10
2017-11-04,227.0,227.0,227.0,227.0,23290000,42500,4,227.0,227.0,1396-08-13
2017-11-06,228.0,228.0,228.0,228.0,88000000,160000,11,227.0,228.0,1396-08-15
2017-11-08,246.0,255.0,246.0,250.0,8791490778,14597737,509,228.0,255.0,1396-08-17
2017-11-11,278.0,278.0,278.0,278.0,8227833640,12279692,654,250.0,278.0,1396-08-20
2017-11-13,279.0,285.0,279.0,281.0,3363944710,4967263,293,278.0,285.0,1396-08-22
2017-11-15,289.0,303.0,289.0,291.0,6537316420,9317690,439,281.0,303.0,1396-08-24
2017-11-18,299.0,299.0,282.0,296.0,3093319341,4334820,250,291.0,282.0,1396-08-27
2017-11-20,289.0,289.0,273.0,279.0,879774101,1304467,71,296.0,273.0,1396-08-29
2017-11-22,279.0,279.0,257.0,271.0,892798580,1364767,73,279.0,257.0,1396-09-01
2017-11-25,258.0,261.0,258.0,258.0,2621151972,4220132,234,271.0,261.0,1396-09-04
2017-11-29,264.0,264.0,250.0,255.0,956698491,1556439,74,258.0,250.0,1396-09-08
2017-12-02,241.0,257.0,241.0,248.0,405597340,679323,46,255.0,257.0,1396-09-11
2017-12-04,253.0,253.0,253.0,253.0,1398520770,2292657,156,248.0,253.0,1396-09-13
2017-12-09,253.0,253.0,253.0,253.0,562596900,922290,73,253.0,253.0,1396-09-18
2017-12-11,261.0,261.0,257.0,260.0,440908312,703328,55,253.0,257.0,1396-09-20
2017-12-13,258.0,258.0,244.0,247.0,522421342,878194,30,260.0,244.0,1396-09-22
2017-12-16,255.0,255.0,249.0,249.0,833717265,1386271,49,247.0,249.0,1396-09-25
2017-12-18,249.0,249.0,249.0,249.0,680104822,1131622,67,249.0,249.0,1396-09-27
2017-12-20,249.0,249.0,248.0,249.0,309501571,515896,44,249.0,248.0,1396-09-29
2017-12-23,245.0,249.0,245.0,245.0,563390110,951729,56,249.0,249.0,1396-10-02
2017-12-25,245.0,249.0,245.0,246.0,636424576,1073528,63,245.0,249.0,1396-10-04
2017-12-27,263.0,263.0,249.0,250.0,723713310,1199346,40,246.0,249.0,1396-10-06
2017-12-30,242.0,242.0,242.0,242.0,18980000,32500,4,250.0,242.0,1396-10-09
2018-01-01,241.0,249.0,241.0,241.0,688539966,1182913,79,242.0,249.0,1396-10-11
2018-01-03,241.0,241.0,241.0,241.0,429206380,740011,56,241.0,241.0,1396-10-13
2018-01-06,241.0,241.0,241.0,241.0,154070040,265638,19,241.0,241.0,1396-10-16
2018-01-08,256.0,256.0,247.0,255.0,14775392,23994,6,241.0,247.0,1396-10-18
2018-01-10,240.0,240.0,240.0,240.0,17370000,30000,6,255.0,240.0,1396-10-20
2018-01-13,240.0,241.0,240.0,241.0,98892161,170559,9,240.0,241.0,1396-10-23
2018-01-15,241.0,245.0,241.0,241.0,382243940,658973,41,241.0,245.0,1396-10-25
2018-01-17,248.0,248.0,247.0,248.0,430135605,718395,49,241.0,247.0,1396-10-27
2018-01-20,247.0,247.0,245.0,247.0,175833030,295674,25,248.0,245.0,1396-10-30
2018-01-22,241.0,241.0,241.0,241.0,217500000,375000,12,247.0,241.0,1396-11-02
2018-01-24,241.0,241.0,236.0,241.0,309036240,533228,47,241.0,236.0,1396-11-04
2018-01-27,239.0,239.0,239.0,239.0,78099835,135355,7,241.0,239.0,1396-11-07
2018-01-29,239.0,239.0,212.0,217.0,132524949,253437,21,239.0,212.0,1396-11-09
2018-01-31,217.0,232.0,217.0,218.0,214883831,408809,26,217.0,232.0,1396-11-11
2018-02-03,239.0,239.0,239.0,239.0,84749183,146879,15,218.0,239.0,1396-11-14
2018-02-05,238.0,238.0,238.0,238.0,53155270,92605,11,239.0,238.0,1396-11-16
2018-02-07,232.0,232.0,232.0,232.0,187809440,335374,15,238.0,232.0,1396-11-18
2018-02-10,232.0,232.0,228.0,232.0,266404000,476525,34,232.0,228.0,1396-11-21
2018-02-12,239.0,239.0,225.0,231.0,162731100,292700,14,232.0,225.0,1396-11-23
2018-02-14,231.0,231.0,228.0,228.0,220301300,400526,19,231.0,228.0,1396-11-25
2018-02-17,228.0,229.0,228.0,228.0,56146368,102084,12,228.0,229.0,1396-11-28
2018-02-19,228.0,228.0,228.0,228.0,12650000,23000,4,228.0,228.0,1396-11-30
2018-02-21,228.0,228.0,228.0,228.0,410198800,745816,51,228.0,228.0,1396-12-02
2018-02-24,228.0,237.0,228.0,228.0,99896950,181249,13,228.0,237.0,1396-12-05
2018-02-26,228.0,238.0,228.0,235.0,170271952,300648,17,228.0,238.0,1396-12-07
2018-02-28,235.0,235.0,234.0,235.0,69784214,123329,11,235.0,234.0,1396-12-09
2018-03-03,235.0,235.0,235.0,235.0,97908378,172983,11,235.0,235.0,1396-12-12
2018-03-05,235.0,235.0,235.0,235.0,104766034,185099,17,235.0,235.0,1396-12-14
2018-03-07,235.0,235.0,235.0,235.0,510012412,901082,74,235.0,235.0,1396-12-16
2018-03-10,235.0,235.0,235.0,235.0,367648130,649555,45,235.0,235.0,1396-12-19
2018-03-12,235.0,235.0,235.0,235.0,174627980,308530,26,235.0,235.0,1396-12-21
2018-03-14,220.0,224.0,220.0,222.0,107200000,200000,9,235.0,224.0,1396-12-23
2018-03-17,225.0,225.0,225.0,225.0,75852358,139949,5,222.0,225.0,1396-12-26
