date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2016-02-17,873.0,873.0,873.0,873.0,2294365402500,199510035,32443,76.0,873.0,1394-11-28
2016-02-20,916.0,916.0,916.0,916.0,10926027525,904847,211,873.0,916.0,1394-12-01
2016-02-21,962.0,962.0,962.0,962.0,12075604830,952485,294,916.0,962.0,1394-12-02
2016-02-22,1010.0,1010.0,1010.0,1010.0,66187935864,4972424,582,962.0,1010.0,1394-12-03
2016-02-23,1061.0,1061.0,1061.0,1061.0,332836147936,23814836,1858,1010.0,1061.0,1394-12-04
2016-02-24,1114.0,1114.0,1114.0,1114.0,265214589024,18073776,3796,1061.0,1114.0,1394-12-05
2016-02-27,1169.0,1169.0,1169.0,1169.0,82190875515,5334645,2384,1114.0,1169.0,1394-12-08
2016-02-28,1228.0,1228.0,1209.0,1225.0,2004161643562,124118147,43170,1169.0,1228.0,1394-12-09
2016-02-29,1215.0,1229.0,1177.0,1195.0,283751069059,18022584,8778,1225.0,1180.0,1394-12-10
2016-03-01,1180.0,1182.0,1146.0,1165.0,178399788438,11618400,5290,1195.0,1161.0,1394-12-11
2016-03-02,1161.0,1222.0,1154.0,1199.0,225921088334,14300887,5629,1165.0,1205.0,1394-12-12
2016-03-07,1226.0,1227.0,1195.0,1208.0,112930899142,7093910,1992,1199.0,1199.0,1394-12-17
2016-03-08,1199.0,1199.0,1165.0,1180.0,84698359104,5449410,2305,1208.0,1167.0,1394-12-18
2016-03-09,1173.0,1173.0,1160.0,1164.0,60957349561,3975534,1360,1180.0,1163.0,1394-12-19
2016-03-12,1164.0,1214.0,1157.0,1187.0,56093911264,3586676,1469,1164.0,1178.0,1394-12-22
2016-03-14,1198.0,1222.0,1180.0,1201.0,60229387241,3805763,2128,1187.0,1188.0,1394-12-24
2016-03-15,1207.0,1210.0,1176.0,1193.0,47578645832,3025777,997,1201.0,1188.0,1394-12-25
2016-03-16,1192.0,1192.0,1161.0,1173.0,53357159336,3451430,1048,1193.0,1176.0,1394-12-26
2016-03-26,1176.0,1199.0,1170.0,1191.0,12492306812,796066,454,1173.0,1199.0,1395-01-07
2016-03-27,1199.0,1199.0,1177.0,1187.0,37569013709,2402108,564,1191.0,1192.0,1395-01-08
2016-03-28,1188.0,1189.0,1177.0,1183.0,10586530898,679112,383,1187.0,1186.0,1395-01-09
2016-03-29,1178.0,1213.0,1178.0,1197.0,37563965369,2380817,850,1183.0,1209.0,1395-01-10
2016-03-30,1213.0,1257.0,1197.0,1254.0,121423171227,7348572,1533,1197.0,1257.0,1395-01-11
2016-04-02,1256.0,1260.0,1226.0,1250.0,31969414427,1941079,653,1254.0,1251.0,1395-01-14
