date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2021-11-16,9010.0,9010.0,8110.0,8690.0,36664163050,4219595,788,1000.0,8800.0,1400-08-25
2021-11-17,8800.0,9050.0,8200.0,8830.0,18178276230,2058528,553,8690.0,8910.0,1400-08-26
2021-11-20,8490.0,8830.0,8490.0,8710.0,10946299800,1257015,287,8830.0,8740.0,1400-08-29
2021-11-21,8260.0,8900.0,8100.0,8390.0,30442863760,3628542,534,8710.0,8300.0,1400-08-30
2021-11-22,9000.0,9180.0,8450.0,8830.0,29728593790,3365418,563,8390.0,8650.0,1400-09-01
2021-11-23,9100.0,9100.0,8360.0,8670.0,13681224090,1578199,288,8830.0,8810.0,1400-09-02
2021-11-24,8950.0,8950.0,8200.0,8390.0,21991308380,2621982,257,8670.0,8300.0,1400-09-03
2021-11-27,8120.0,8250.0,7820.0,8080.0,9096100890,1126315,205,8390.0,7990.0,1400-09-06
2021-11-28,7990.0,8300.0,7830.0,8240.0,15492962500,1879261,216,8080.0,8250.0,1400-09-07
2021-11-29,8040.0,8540.0,8040.0,8460.0,28126728560,3322949,330,8240.0,8540.0,1400-09-08
2021-11-30,8270.0,8520.0,8270.0,8440.0,6333240610,750560,156,8460.0,8480.0,1400-09-09
2021-12-01,8310.0,8410.0,8130.0,8360.0,3619515320,432904,79,8440.0,8210.0,1400-09-10
2021-12-04,8000.0,8150.0,7600.0,7960.0,6525041320,819510,122,8360.0,8080.0,1400-09-13
2021-12-05,7900.0,8500.0,7730.0,8190.0,6145735300,750608,204,7960.0,8490.0,1400-09-14
2021-12-06,8500.0,8720.0,7960.0,8480.0,8990271310,1060205,225,8190.0,8720.0,1400-09-15
2021-12-07,8320.0,8700.0,8310.0,8540.0,24680455110,2890404,291,8480.0,8700.0,1400-09-16
2021-12-08,8380.0,9100.0,8380.0,8910.0,18028840000,2022621,235,8540.0,9000.0,1400-09-17
2021-12-11,8600.0,9120.0,8600.0,9020.0,10659609680,1182123,286,8910.0,9010.0,1400-09-20
2021-12-12,9010.0,9010.0,8470.0,8770.0,16722653440,1907062,160,9020.0,8470.0,1400-09-21
2021-12-13,8280.0,8870.0,8250.0,8430.0,9089556610,1078791,188,8770.0,8480.0,1400-09-22
2021-12-14,8230.0,8520.0,8230.0,8390.0,2889949170,344261,127,8430.0,8410.0,1400-09-23
2021-12-15,8250.0,8850.0,8170.0,8310.0,5467244050,657926,152,8390.0,8390.0,1400-09-24
2021-12-18,8100.0,8850.0,8100.0,8630.0,10762320180,1247409,201,8310.0,8500.0,1400-09-27
2021-12-19,8350.0,8690.0,8350.0,8500.0,4481177830,526933,82,8630.0,8450.0,1400-09-28
2021-12-20,8400.0,8680.0,8260.0,8550.0,11059063320,1293675,146,8500.0,8630.0,1400-09-29
2021-12-21,8450.0,9030.0,8440.0,8920.0,11960724210,1340207,151,8550.0,8890.0,1400-09-30
2021-12-27,8910.0,9000.0,8540.0,8830.0,1322614780,149737,48,8920.0,8800.0,1400-10-06
2021-12-28,8600.0,8970.0,8600.0,8830.0,4425608410,501291,109,8830.0,8810.0,1400-10-07
2021-12-29,8650.0,8960.0,8650.0,8820.0,6860025860,777840,144,8830.0,8840.0,1400-10-08
2022-01-01,8720.0,9000.0,8710.0,8900.0,11200603620,1258714,157,8820.0,8820.0,1400-10-11
2022-01-02,8540.0,9010.0,8540.0,8920.0,9105456600,1021236,118,8900.0,8980.0,1400-10-12
2022-01-03,8810.0,8900.0,8710.0,8840.0,42336645330,4787403,96,8920.0,8770.0,1400-10-13
2022-01-04,8730.0,8900.0,8670.0,8730.0,6585834500,754250,64,8840.0,8740.0,1400-10-14
2022-01-05,8670.0,8950.0,8500.0,8670.0,12002586030,1383801,191,8730.0,8950.0,1400-10-15
2022-01-08,8430.0,8830.0,8430.0,8780.0,4388434800,499846,80,8670.0,8820.0,1400-10-18
2022-01-09,8500.0,8750.0,8470.0,8560.0,3245598490,379014,64,8780.0,8590.0,1400-10-19
2022-01-10,8600.0,8660.0,8500.0,8630.0,2927086760,339302,61,8560.0,8640.0,1400-10-20
2022-01-11,8630.0,8700.0,8460.0,8560.0,4358433390,509441,60,8630.0,8540.0,1400-10-21
2022-01-12,8590.0,8600.0,8450.0,8490.0,1667928000,196458,41,8560.0,8460.0,1400-10-22
2022-01-15,8600.0,8690.0,8450.0,8590.0,11449908780,1332903,129,8490.0,8450.0,1400-10-25
