date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2013-07-09,496.0,496.0,496.0,496.0,5075000000000,1450000000,8033,142.0,496.0,1392-04-18
2013-07-10,516.0,516.0,516.0,516.0,33125015560,9100279,329,496.0,516.0,1392-04-19
2013-07-13,537.0,537.0,513.0,527.0,1065175161707,286615698,21661,516.0,517.0,1392-04-22
2013-07-14,522.0,523.0,507.0,513.0,288222076955,79697159,8630,527.0,516.0,1392-04-23
2013-07-15,519.0,533.0,517.0,525.0,219182809445,59148749,6516,513.0,517.0,1392-04-24
2013-07-16,526.0,530.0,513.0,519.0,170167303685,46474422,4607,525.0,515.0,1392-04-25
2013-07-17,517.0,526.0,513.0,520.0,170310083872,46471305,4674,519.0,516.0,1392-04-26
2013-07-20,522.0,540.0,520.0,536.0,358288096282,94687661,8775,520.0,540.0,1392-04-29
2013-07-21,549.0,551.0,528.0,536.0,144152152209,38119378,4525,536.0,531.0,1392-04-30
2013-07-22,533.0,538.0,524.0,529.0,143480960926,38434453,4087,536.0,525.0,1392-04-31
2013-07-23,530.0,546.0,528.0,536.0,168442300222,44516973,4869,529.0,535.0,1392-05-01
2013-07-24,540.0,541.0,532.0,536.0,142274196981,37605892,4173,536.0,535.0,1392-05-02
2013-07-27,539.0,540.0,529.0,533.0,101277723905,26959353,3155,536.0,531.0,1392-05-05
2013-07-28,529.0,535.0,525.0,531.0,67226098575,17945121,2209,533.0,530.0,1392-05-06
2013-07-29,530.0,535.0,523.0,528.0,168898093442,45326738,4568,531.0,527.0,1392-05-07
2013-07-31,529.0,530.0,522.0,525.0,145432134020,39246718,3940,528.0,522.0,1392-05-09
2013-08-03,525.0,526.0,510.0,516.0,146626445956,40289626,4328,525.0,512.0,1392-05-12
2013-08-04,512.0,516.0,505.0,509.0,106452789507,29619726,3784,516.0,509.0,1392-05-13
2013-08-05,515.0,530.0,511.0,526.0,118935750846,32074854,3350,509.0,517.0,1392-05-14
2013-08-06,522.0,524.0,513.0,516.0,83097069619,22809777,2367,526.0,516.0,1392-05-15
2013-08-07,517.0,517.0,509.0,512.0,140737907811,38973058,4297,516.0,509.0,1392-05-16
2013-08-12,526.0,526.0,517.0,523.0,113078034921,30628280,3178,512.0,520.0,1392-05-21
2013-08-13,524.0,531.0,513.0,520.0,105425834529,28754779,3127,523.0,516.0,1392-05-22
2013-08-14,516.0,520.0,514.0,516.0,92449936383,25387254,2488,520.0,517.0,1392-05-23
2013-08-17,537.0,537.0,537.0,537.0,150877170192,39840816,1393,516.0,537.0,1392-05-26
2013-08-18,542.0,550.0,532.0,539.0,221145047467,58123187,5105,537.0,537.0,1392-05-27
2013-08-19,539.0,561.0,532.0,556.0,270175539862,68847904,6522,539.0,553.0,1392-05-28
2013-08-20,561.0,566.0,547.0,555.0,76878006324,19651029,2538,556.0,551.0,1392-05-29
2013-08-21,549.0,555.0,546.0,549.0,48138227296,12431849,1766,555.0,546.0,1392-05-30
2013-08-24,553.0,559.0,546.0,553.0,52615151091,13476316,1925,549.0,553.0,1392-06-02
2013-08-25,557.0,557.0,544.0,550.0,57474456841,14799886,1898,553.0,550.0,1392-06-03
2013-08-26,550.0,550.0,541.0,543.0,69792224866,18219058,1939,550.0,543.0,1392-06-04
2013-08-27,547.0,553.0,523.0,538.0,113626242507,29944277,3751,543.0,525.0,1392-06-05
2013-08-28,519.0,525.0,517.0,517.0,134318718678,36825211,3137,538.0,517.0,1392-06-06
2013-08-31,523.0,527.0,517.0,523.0,35173438193,9535807,1615,517.0,525.0,1392-06-09
2013-09-01,527.0,541.0,525.0,537.0,50847607497,13421605,1782,523.0,541.0,1392-06-10
2013-09-03,541.0,554.0,530.0,540.0,53421204883,14035291,1629,537.0,535.0,1392-06-12
2013-09-04,524.0,524.0,518.0,529.0,15576576575,4256759,577,540.0,518.0,1392-06-13
2013-09-07,511.0,522.0,511.0,515.0,65224534600,17953062,2004,529.0,520.0,1392-06-16
2013-09-08,520.0,536.0,520.0,531.0,73591764059,19638180,2167,515.0,536.0,1392-06-17
2013-09-09,546.0,547.0,536.0,542.0,55694145802,14559009,1881,531.0,538.0,1392-06-18
2013-09-10,550.0,564.0,550.0,561.0,223348576373,56399420,6441,542.0,564.0,1392-06-19
2013-09-11,570.0,571.0,553.0,561.0,315739950151,79766809,7448,561.0,566.0,1392-06-20
2013-09-21,617.0,626.0,601.0,611.0,194599640443,51682032,5382,561.0,605.0,1392-06-30
2013-09-22,600.0,600.0,587.0,588.0,135362915650,37366609,4131,611.0,588.0,1392-06-31
2013-09-23,592.0,607.0,588.0,597.0,86088509332,23412009,3000,588.0,595.0,1392-07-01
2013-09-24,599.0,599.0,586.0,589.0,65862306139,18128873,2656,597.0,587.0,1392-07-02
2013-09-25,591.0,602.0,584.0,593.0,72283781099,19767123,2267,589.0,595.0,1392-07-03
2013-09-28,608.0,610.0,600.0,605.0,103748521250,27806754,3293,593.0,607.0,1392-07-06
2013-09-29,612.0,626.0,602.0,612.0,124982797959,33114813,3331,605.0,613.0,1392-07-07
2013-09-30,615.0,623.0,602.0,612.0,119883240212,31800974,2882,612.0,614.0,1392-07-08
2013-10-01,611.0,615.0,602.0,610.0,83881106562,22297469,2118,612.0,612.0,1392-07-09
2013-10-02,610.0,610.0,600.0,603.0,71341758842,19208185,2453,610.0,604.0,1392-07-10
2013-10-05,605.0,608.0,599.0,602.0,67391614546,18162075,2340,603.0,600.0,1392-07-13
2013-10-06,602.0,608.0,596.0,599.0,72274573431,19568219,2351,602.0,600.0,1392-07-14
2013-10-07,602.0,612.0,595.0,603.0,54020332489,14526236,1970,599.0,608.0,1392-07-15
2013-10-08,614.0,615.0,604.0,608.0,46524048400,12421736,1890,603.0,608.0,1392-07-16
2013-10-09,610.0,632.0,608.0,625.0,120821815665,31392423,2762,608.0,632.0,1392-07-17
2013-10-12,649.0,649.0,649.0,649.0,50818280442,12698221,430,625.0,649.0,1392-07-20
2013-10-13,675.0,675.0,664.0,674.0,1060703075929,255257093,15892,649.0,669.0,1392-07-21
2013-10-14,669.0,701.0,663.0,695.0,445113714260,103841125,6205,674.0,701.0,1392-07-22
