date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2002-07-01,120.0,120.0,120.0,120.0,700000,700,1,0.0,120.0,1381-04-10
2002-08-03,131.0,131.0,131.0,131.0,770000,700,1,120.0,131.0,1381-05-12
2002-08-07,138.0,138.0,138.0,138.0,11550000,10000,3,131.0,138.0,1381-05-16
2002-08-10,145.0,145.0,145.0,145.0,24240000,20000,5,138.0,145.0,1381-05-19
2002-08-11,152.0,152.0,152.0,152.0,12720000,10000,1,145.0,152.0,1381-05-20
2002-08-13,160.0,160.0,160.0,160.0,80100000,60000,31,152.0,160.0,1381-05-22
2002-08-14,167.0,167.0,167.0,167.0,280200000,200000,78,160.0,167.0,1381-05-23
2002-08-17,176.0,176.0,176.0,176.0,147100000,100000,40,167.0,176.0,1381-05-26
2002-08-19,180.0,180.0,180.0,180.0,301400000,200000,82,176.0,180.0,1381-05-28
2002-08-20,185.0,185.0,185.0,185.0,386000000,250000,94,180.0,185.0,1381-05-29
2002-08-21,189.0,189.0,189.0,189.0,449288000,284000,61,185.0,189.0,1381-05-30
2002-08-26,198.0,198.0,198.0,198.0,36375900,21900,14,189.0,198.0,1381-06-04
2002-08-27,208.0,208.0,208.0,208.0,976465600,559900,95,198.0,208.0,1381-06-05
2002-08-28,219.0,219.0,218.0,219.0,1179343710,644230,182,208.0,219.0,1381-06-06
2002-08-31,219.0,219.0,214.0,215.0,193540813,107238,42,219.0,215.0,1381-06-09
2002-09-01,215.0,215.0,215.0,215.0,405446055,225510,50,215.0,215.0,1381-06-10
2002-09-02,215.0,215.0,210.0,210.0,100621415,56097,19,215.0,210.0,1381-06-11
2002-09-03,209.0,209.0,200.0,200.0,74890750,44689,12,210.0,200.0,1381-06-12
2002-09-04,199.0,199.0,191.0,191.0,128783000,80000,20,200.0,191.0,1381-06-13
2002-09-08,183.0,183.0,182.0,182.0,9558400,6280,3,191.0,182.0,1381-06-17
2002-09-10,180.0,180.0,180.0,180.0,77932462,51618,8,182.0,180.0,1381-06-19
2002-09-17,178.0,180.0,178.0,180.0,38725560,25695,10,180.0,180.0,1381-06-26
2002-09-18,183.0,189.0,180.0,189.0,51054210,32731,13,180.0,189.0,1381-06-27
2002-09-22,191.0,198.0,191.0,198.0,24469500,15000,8,189.0,198.0,1381-06-31
2002-09-23,208.0,208.0,203.0,208.0,759470200,440900,59,198.0,208.0,1381-07-01
2002-09-24,203.0,208.0,201.0,207.0,309489802,179260,53,208.0,207.0,1381-07-02
2002-09-29,203.0,207.0,203.0,207.0,53291500,31000,6,207.0,207.0,1381-07-07
2002-10-01,200.0,200.0,200.0,200.0,9325610,5583,3,207.0,200.0,1381-07-09
2002-10-02,191.0,191.0,191.0,191.0,26255740,16420,11,200.0,191.0,1381-07-10
2002-10-06,191.0,191.0,191.0,191.0,26350500,16500,5,191.0,191.0,1381-07-14
2002-10-07,191.0,191.0,191.0,191.0,11975000,7500,4,191.0,191.0,1381-07-15
2002-10-08,191.0,191.0,191.0,191.0,79800,50,1,191.0,191.0,1381-07-16
2002-10-09,190.0,190.0,190.0,190.0,1984530,1245,2,191.0,190.0,1381-07-17
2002-10-12,191.0,191.0,191.0,191.0,2976270,1866,2,190.0,191.0,1381-07-20
2002-10-14,190.0,190.0,190.0,190.0,1192500,750,1,191.0,190.0,1381-07-22
2002-10-19,189.0,189.0,189.0,189.0,496120,314,1,190.0,189.0,1381-07-27
2002-10-21,184.0,184.0,184.0,184.0,2288440,1486,2,189.0,184.0,1381-07-29
2002-10-27,184.0,185.0,184.0,184.0,10606826,6877,9,184.0,184.0,1381-08-05
2002-10-28,184.0,184.0,184.0,184.0,7705000,5000,5,184.0,184.0,1381-08-06
2002-10-29,184.0,184.0,184.0,184.0,1540000,1000,1,184.0,184.0,1381-08-07
2002-10-30,184.0,192.0,184.0,192.0,23259420,14873,11,184.0,192.0,1381-08-08
2002-11-02,196.0,196.0,193.0,194.0,70025017,43005,21,192.0,194.0,1381-08-11
2002-11-03,203.0,204.0,200.0,204.0,69527000,40750,12,194.0,204.0,1381-08-12
2002-11-04,203.0,203.0,203.0,203.0,4165000,2450,2,204.0,203.0,1381-08-13
2002-11-05,203.0,203.0,198.0,198.0,17805950,10500,7,203.0,198.0,1381-08-14
2002-11-06,191.0,192.0,156.0,192.0,12621398362,9689532,2900,198.0,192.0,1381-08-15
2002-11-09,192.0,194.0,192.0,194.0,40325000,25000,5,192.0,194.0,1381-08-18
2002-11-10,203.0,204.0,203.0,204.0,334812918,196398,38,194.0,204.0,1381-08-19
2002-11-11,214.0,214.0,214.0,214.0,322168662,179882,43,204.0,214.0,1381-08-20
2002-11-12,219.0,219.0,214.0,215.0,20547471,11359,12,214.0,215.0,1381-08-21
2002-11-13,215.0,215.0,204.0,204.0,30851700,17414,7,215.0,204.0,1381-08-22
2002-11-16,215.0,215.0,214.0,215.0,140751980,78444,20,204.0,215.0,1381-08-25
2002-11-17,225.0,225.0,225.0,225.0,479478000,254500,44,215.0,225.0,1381-08-26
2002-11-18,236.0,236.0,235.0,235.0,378979700,191650,49,225.0,235.0,1381-08-27
2002-11-19,233.0,235.0,233.0,235.0,109867949,56223,26,235.0,235.0,1381-08-28
2002-11-20,243.0,244.0,238.0,238.0,102888520,50915,24,235.0,238.0,1381-08-29
2002-11-23,245.0,250.0,245.0,250.0,61560305,29945,13,238.0,250.0,1381-09-02
2002-11-24,251.0,251.0,239.0,239.0,58790200,28112,16,250.0,239.0,1381-09-03
2002-11-25,251.0,251.0,239.0,239.0,73921644,36049,21,239.0,239.0,1381-09-04
2002-11-26,242.0,251.0,242.0,251.0,68676520,32997,13,239.0,251.0,1381-09-05
2002-11-30,258.0,259.0,258.0,259.0,25149520,11597,3,251.0,259.0,1381-09-09
2002-12-01,272.0,272.0,272.0,272.0,515898660,226470,55,259.0,272.0,1381-09-10
2002-12-02,272.0,272.0,272.0,272.0,116986956,51355,16,272.0,272.0,1381-09-11
2002-12-03,272.0,283.0,272.0,283.0,152973200,66158,22,272.0,283.0,1381-09-12
2002-12-04,287.0,297.0,286.0,293.0,1818700280,740638,131,283.0,293.0,1381-09-13
2002-12-07,295.0,296.0,295.0,295.0,2806052910,1135441,158,293.0,295.0,1381-09-16
2002-12-08,299.0,304.0,299.0,304.0,1596085858,636580,95,295.0,304.0,1381-09-17
2002-12-09,307.0,308.0,304.0,308.0,956689257,371979,61,304.0,308.0,1381-09-18
2002-12-10,324.0,324.0,321.0,321.0,2697133750,1000000,149,308.0,321.0,1381-09-19
2002-12-11,337.0,337.0,337.0,337.0,1653129256,586424,108,321.0,337.0,1381-09-20
2002-12-14,354.0,354.0,354.0,354.0,82704050,27950,18,337.0,354.0,1381-09-23
2002-12-15,371.0,371.0,336.0,347.0,910380705,311388,121,354.0,347.0,1381-09-24
2002-12-16,347.0,347.0,329.0,335.0,373634365,133438,46,347.0,335.0,1381-09-25
2002-12-17,330.0,347.0,318.0,334.0,594159838,214179,70,335.0,334.0,1381-09-26
2002-12-18,324.0,341.0,324.0,335.0,769178366,270867,43,334.0,335.0,1381-09-27
2002-12-21,335.0,335.0,322.0,323.0,176286363,64744,31,335.0,323.0,1381-09-30
2002-12-22,307.0,307.0,307.0,307.0,17724150,6910,4,323.0,307.0,1381-10-01
2002-12-23,291.0,300.0,291.0,300.0,433392146,175903,65,307.0,300.0,1381-10-02
