date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2003-09-28,172.0,172.0,172.0,172.0,899855000,857000,72,0.0,172.0,1382-07-06
2003-09-29,181.0,181.0,181.0,181.0,157586000,143000,28,172.0,181.0,1382-07-07
2003-09-30,190.0,190.0,190.0,190.0,578500000,500000,93,181.0,190.0,1382-07-08
2003-10-04,181.0,199.0,181.0,199.0,477212012,430676,364,190.0,199.0,1382-07-12
2003-11-08,492.0,492.0,377.0,431.0,79266895,30155,30,199.0,431.0,1382-08-17
2003-11-09,452.0,452.0,409.0,424.0,480217743,185750,52,431.0,424.0,1382-08-18
2003-11-10,445.0,445.0,445.0,445.0,92037168,33912,14,424.0,445.0,1382-08-19
2003-11-11,467.0,467.0,450.0,450.0,5697898,2000,3,445.0,450.0,1382-08-20
2003-11-15,473.0,473.0,452.0,452.0,1441871,500,2,450.0,452.0,1382-08-24
2003-11-17,474.0,474.0,464.0,464.0,12759441,4412,6,452.0,464.0,1382-08-26
2003-11-18,487.0,487.0,466.0,466.0,2969876,1000,11,464.0,466.0,1382-08-27
2003-11-19,490.0,490.0,490.0,490.0,766613232,256564,54,466.0,490.0,1382-08-28
2003-11-22,514.0,514.0,489.0,497.0,153133387,50458,29,490.0,497.0,1382-09-01
2003-11-23,522.0,522.0,499.0,499.0,1592358,500,2,497.0,499.0,1382-09-02
2003-11-24,524.0,524.0,524.0,524.0,286831125,89775,26,499.0,524.0,1382-09-03
2003-11-25,524.0,550.0,524.0,542.0,671643226,203093,84,524.0,542.0,1382-09-04
2003-11-29,569.0,569.0,569.0,569.0,97216000,28000,21,542.0,569.0,1382-09-08
2003-11-30,597.0,597.0,597.0,597.0,124134120,34056,11,569.0,597.0,1382-09-09
2003-12-01,627.0,627.0,574.0,620.0,343054591,90642,48,597.0,620.0,1382-09-10
2003-12-02,589.0,606.0,589.0,591.0,104795260,29076,17,620.0,591.0,1382-09-11
2003-12-03,620.0,620.0,607.0,607.0,16830412,4448,6,591.0,607.0,1382-09-12
2003-12-06,590.0,607.0,576.0,582.0,130373950,36719,29,607.0,582.0,1382-09-15
2003-12-07,576.0,590.0,576.0,578.0,63596262,18044,15,582.0,578.0,1382-09-16
2003-12-09,577.0,590.0,577.0,578.0,133556040,37870,8,578.0,578.0,1382-09-18
2003-12-10,578.0,578.0,578.0,578.0,1763000,500,1,578.0,578.0,1382-09-19
2003-12-13,574.0,590.0,574.0,586.0,79644426,22274,10,578.0,586.0,1382-09-22
2003-12-14,590.0,590.0,589.0,589.0,20210320,5614,6,586.0,589.0,1382-09-23
2003-12-15,560.0,585.0,560.0,585.0,3449700,1010,2,589.0,585.0,1382-09-24
2003-12-16,560.0,560.0,556.0,558.0,37247745,10939,6,585.0,558.0,1382-09-25
2003-12-17,556.0,558.0,556.0,557.0,16659525,4901,7,558.0,557.0,1382-09-26
2003-12-21,533.0,533.0,533.0,533.0,41425331,12746,8,557.0,533.0,1382-09-30
2003-12-22,510.0,510.0,508.0,509.0,38919496,12522,7,533.0,509.0,1382-10-01
2003-12-23,509.0,509.0,495.0,502.0,14141668,4673,8,509.0,502.0,1382-10-02
2003-12-24,495.0,497.0,495.0,497.0,17710420,5866,4,502.0,497.0,1382-10-03
2003-12-27,497.0,497.0,497.0,497.0,15907500,5250,2,497.0,497.0,1382-10-06
2003-12-28,497.0,497.0,497.0,497.0,12152300,4010,4,497.0,497.0,1382-10-07
2004-01-04,523.0,533.0,523.0,528.0,38892811,12062,12,497.0,528.0,1382-10-14
2004-01-05,529.0,530.0,529.0,529.0,33834757,10479,7,528.0,529.0,1382-10-15
2004-01-06,529.0,549.0,529.0,536.0,20900976,6362,10,529.0,536.0,1382-10-16
2004-01-07,536.0,536.0,536.0,536.0,6544000,2000,3,536.0,536.0,1382-10-17
