date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2014-06-07,98.0,98.0,98.0,98.0,2117850,2017,1,93.0,98.0,1393-03-17
2014-07-07,98.0,98.0,98.0,98.0,2100000,2000,1,98.0,98.0,1393-04-16
2014-07-08,102.0,102.0,98.0,98.0,1141150,1083,2,98.0,98.0,1393-04-17
2014-07-12,97.0,97.0,97.0,97.0,7193680,6917,1,98.0,97.0,1393-04-21
2014-07-15,93.0,95.0,93.0,95.0,6094000,5994,6,97.0,95.0,1393-04-24
2014-08-24,93.0,93.0,93.0,93.0,7911000,7911,2,95.0,93.0,1393-06-02
2014-09-24,99.0,99.0,99.0,99.0,2231300,2105,3,93.0,99.0,1393-07-02
2014-10-27,93.0,99.0,93.0,94.0,38401740,38007,13,99.0,99.0,1393-08-05
2014-10-28,112.0,112.0,99.0,110.0,19403200,16487,7,94.0,103.0,1393-08-06
2014-11-01,112.0,112.0,112.0,112.0,1200000,1000,1,110.0,112.0,1393-08-10
2014-11-18,112.0,112.0,112.0,112.0,3628800,3024,2,112.0,112.0,1393-08-27
2014-11-19,121.0,121.0,121.0,121.0,332800,256,1,112.0,121.0,1393-08-28
2014-12-01,104.0,131.0,104.0,105.0,8198400,7256,2,121.0,131.0,1393-09-10
2014-12-08,131.0,131.0,131.0,131.0,980700,700,1,105.0,131.0,1393-09-17
2014-12-09,113.0,113.0,113.0,113.0,2420000,2000,1,131.0,113.0,1393-09-18
2014-12-10,233.0,233.0,233.0,233.0,5847500,2339,1,113.0,233.0,1393-09-19
2014-12-15,280.0,280.0,280.0,280.0,5998000,2000,1,233.0,280.0,1393-09-24
2015-01-24,123.0,123.0,123.0,123.0,10560000,8000,1,280.0,123.0,1393-11-04
2015-02-02,127.0,200.0,127.0,165.0,31018000,17550,3,123.0,200.0,1393-11-13
2015-02-04,186.0,186.0,186.0,186.0,2050000,1025,1,165.0,186.0,1393-11-15
2015-02-15,186.0,373.0,186.0,359.0,47991600,12452,13,186.0,373.0,1393-11-26
2015-02-21,373.0,373.0,373.0,373.0,20000000,5000,1,359.0,373.0,1393-12-02
2015-02-22,373.0,373.0,373.0,373.0,7948000,1987,3,373.0,373.0,1393-12-03
2015-02-23,373.0,466.0,373.0,451.0,5800000,1200,2,373.0,466.0,1393-12-04
2015-02-24,373.0,373.0,373.0,373.0,6032000,1508,2,451.0,373.0,1393-12-05
2015-04-07,398.0,454.0,398.0,430.0,1104000,1200,3,373.0,454.0,1394-01-18
2015-04-12,454.0,454.0,454.0,454.0,436500,450,1,430.0,454.0,1394-01-23
2015-04-15,454.0,454.0,454.0,454.0,4842240,4992,3,454.0,454.0,1394-01-26
2015-04-18,454.0,454.0,454.0,454.0,428740,442,1,454.0,454.0,1394-01-29
2015-04-22,398.0,398.0,398.0,398.0,8347850,9821,3,454.0,398.0,1394-02-02
2015-04-27,402.0,402.0,402.0,402.0,8600000,10000,4,398.0,402.0,1394-02-07
2015-04-28,402.0,402.0,398.0,398.0,4033929,4738,3,402.0,398.0,1394-02-08
2015-04-29,248.0,248.0,248.0,248.0,138860,262,1,398.0,248.0,1394-02-09
2015-06-23,374.0,374.0,285.0,338.0,1201000,1660,3,248.0,285.0,1394-04-02
2015-08-03,337.0,337.0,337.0,337.0,18000,25,1,338.0,337.0,1394-05-12
2015-10-12,234.0,234.0,234.0,234.0,12894500,25789,2,337.0,234.0,1394-07-20
2015-10-14,234.0,234.0,234.0,234.0,2978000,5956,2,234.0,234.0,1394-07-22
2015-10-19,255.0,255.0,255.0,255.0,2180000,4000,1,234.0,255.0,1394-07-27
2015-10-20,271.0,271.0,271.0,271.0,2030000,3500,1,255.0,271.0,1394-07-28
2015-10-26,285.0,285.0,285.0,285.0,4270000,7000,1,271.0,285.0,1394-08-04
2015-11-23,293.0,293.0,293.0,293.0,4194200,6700,1,285.0,293.0,1394-09-02
2016-02-14,304.0,304.0,304.0,304.0,4095000,6300,1,293.0,304.0,1394-11-25
2016-02-20,318.0,318.0,318.0,318.0,5440000,8000,1,304.0,318.0,1394-12-01
2016-02-21,332.0,332.0,332.0,332.0,4970000,7000,1,318.0,332.0,1394-12-02
2016-02-23,349.0,349.0,349.0,349.0,5960000,8000,1,332.0,349.0,1394-12-04
2016-03-05,365.0,383.0,365.0,374.0,13805331,17278,3,349.0,383.0,1394-12-15
2016-03-06,365.0,365.0,365.0,365.0,1365780,1751,1,374.0,365.0,1394-12-16
2016-03-16,365.0,365.0,365.0,365.0,994500,1275,1,365.0,365.0,1394-12-26
2016-04-23,239.0,239.0,239.0,239.0,7753914,15174,1,365.0,239.0,1395-02-04
2016-04-30,243.0,251.0,243.0,249.0,2235200,4200,2,239.0,251.0,1395-02-11
2016-05-03,261.0,261.0,261.0,261.0,17204802,30886,3,249.0,261.0,1395-02-14
2016-05-07,261.0,261.0,261.0,261.0,5570000,10000,1,261.0,261.0,1395-02-18
2016-05-10,286.0,286.0,261.0,270.0,3577327,6186,2,261.0,261.0,1395-02-21
2016-05-17,304.0,305.0,304.0,305.0,18547000,28500,2,270.0,305.0,1395-02-28
2016-05-18,309.0,309.0,309.0,309.0,8358240,12664,2,305.0,309.0,1395-02-29
2016-05-21,318.0,318.0,318.0,318.0,522920,769,1,309.0,318.0,1395-03-01
2016-06-13,318.0,318.0,318.0,318.0,1496000,2200,1,318.0,318.0,1395-03-24
2016-06-22,318.0,318.0,318.0,318.0,1044480,1536,1,318.0,318.0,1395-04-02
2016-07-12,318.0,318.0,318.0,318.0,20361820,29964,2,318.0,318.0,1395-04-22
2016-07-16,332.0,332.0,318.0,321.0,8888714,12946,2,318.0,318.0,1395-04-26
2016-07-17,321.0,321.0,321.0,321.0,15114000,22000,1,321.0,321.0,1395-04-27
2016-07-19,337.0,337.0,337.0,337.0,2160000,3000,1,321.0,337.0,1395-04-29
2016-07-23,353.0,353.0,337.0,351.0,3001510,3996,2,337.0,337.0,1395-05-02
2016-07-25,337.0,337.0,321.0,328.0,74667374,106694,7,351.0,337.0,1395-05-04
2016-07-31,337.0,337.0,337.0,337.0,622386,864,2,328.0,337.0,1395-05-10
2016-08-02,321.0,337.0,321.0,322.0,13755306,20001,3,337.0,337.0,1395-05-12
2016-08-07,322.0,322.0,321.0,322.0,688000,1000,2,322.0,321.0,1395-05-17
2016-08-08,286.0,286.0,281.0,284.0,53150000,87500,5,322.0,281.0,1395-05-18
