date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2020-09-05,4849.0,4994.0,4742.0,4968.0,3326172316363,216401209,12071,323.0,4994.0,1399-06-15
2020-09-06,5117.0,5117.0,4819.0,4983.0,3813180591743,247362269,11826,4968.0,4819.0,1399-06-16
2020-09-07,4834.0,4834.0,4834.0,4834.0,112552955848,7526612,262,4983.0,4834.0,1399-06-17
2020-09-08,4689.0,4689.0,4689.0,4689.0,72923547780,5027130,104,4834.0,4689.0,1399-06-18
2020-09-09,4455.0,4687.0,4455.0,4471.0,1623635924305,117393214,6215,4689.0,4461.0,1399-06-19
2020-09-12,4496.0,4590.0,4337.0,4428.0,413816872919,30209354,2998,4471.0,4337.0,1399-06-22
2020-09-13,4295.0,4295.0,4295.0,4412.0,2203695208,165841,81,4428.0,4295.0,1399-06-23
2020-09-14,4280.0,4338.0,4280.0,4284.0,1081284484532,81591282,5114,4412.0,4280.0,1399-06-24
2020-09-15,4186.0,4487.0,4089.0,4347.0,463859321179,34490654,6259,4284.0,4267.0,1399-06-25
2020-09-16,4270.0,4299.0,4217.0,4219.0,341498791662,26162727,1386,4347.0,4217.0,1399-06-26
2020-09-19,4093.0,4093.0,4093.0,4093.0,297837437976,23522148,1419,4219.0,4093.0,1399-06-29
2020-09-20,3979.0,4073.0,3970.0,3979.0,270925254162,22009971,2020,4093.0,3970.0,1399-06-30
2020-09-21,3780.0,3830.0,3780.0,3781.0,115167854742,9845163,753,3979.0,3780.0,1399-06-31
2020-09-22,3685.0,3856.0,3668.0,3675.0,303372912749,26687164,2334,3781.0,3717.0,1399-07-01
2020-09-23,3717.0,3785.0,3620.0,3777.0,179261396597,15340531,1264,3675.0,3785.0,1399-07-02
2020-09-26,3890.0,3890.0,3890.0,3850.0,13349920030,1109258,292,3777.0,3890.0,1399-07-05
2020-09-27,3966.0,3966.0,3735.0,3949.0,628797918953,51465917,3282,3850.0,3966.0,1399-07-06
2020-09-28,3885.0,3950.0,3752.0,3823.0,184714551817,15616817,1447,3949.0,3911.0,1399-07-07
2020-09-29,3908.0,3938.0,3832.0,3919.0,45921591066,3787952,719,3823.0,3938.0,1399-07-08
2020-09-30,4036.0,4036.0,4036.0,4036.0,45386347794,3634979,327,3919.0,4036.0,1399-07-09
2020-10-03,4157.0,4157.0,4157.0,4111.0,12775612680,993438,207,4036.0,4157.0,1399-07-12
2020-10-04,4316.0,4316.0,4316.0,4316.0,25599209889,1917113,279,4111.0,4316.0,1399-07-13
2020-10-05,4445.0,4445.0,4445.0,4445.0,22239591216,1617072,271,4316.0,4445.0,1399-07-14
2020-10-07,4579.0,4579.0,4579.0,4579.0,22701565580,1602652,246,4445.0,4579.0,1399-07-16
2020-10-10,4716.0,4716.0,4716.0,4716.0,187736868765,12868385,591,4579.0,4716.0,1399-07-19
2020-10-11,4574.0,4857.0,4574.0,4793.0,558233350590,37649629,2333,4716.0,4857.0,1399-07-20
2020-10-12,4910.0,4936.0,4784.0,4910.0,127404674830,8386870,1080,4793.0,4936.0,1399-07-21
2020-10-13,5057.0,5057.0,4914.0,5047.0,126571875433,8105772,793,4910.0,5057.0,1399-07-22
2020-10-14,5299.0,5299.0,5199.0,5299.0,187572335927,11442049,675,5047.0,5299.0,1399-07-23
2020-10-18,5458.0,5458.0,5140.0,5383.0,813940540903,48879521,3965,5299.0,5458.0,1399-07-27
2020-10-19,5317.0,5511.0,5221.0,5388.0,264269524724,15852552,2008,5383.0,5382.0,1399-07-28
2020-10-20,5382.0,5382.0,5227.0,5242.0,113472702708,6997558,812,5388.0,5227.0,1399-07-29
2020-10-21,5399.0,5399.0,5084.0,5266.0,238825697036,14658357,1530,5242.0,5084.0,1399-07-30
