date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2001-03-26,85.0,85.0,85.0,85.0,5403309,1077,1,85.0,85.0,1380-01-06
2001-03-28,87.0,87.0,87.0,87.0,2551000,500,2,85.0,87.0,1380-01-08
2001-04-08,87.0,88.0,87.0,88.0,2837700,550,3,87.0,88.0,1380-01-19
2001-04-10,88.0,88.0,88.0,88.0,10940800,2104,6,88.0,88.0,1380-01-21
2001-04-14,88.0,88.0,88.0,88.0,5361030,1030,3,88.0,88.0,1380-01-25
2001-04-21,93.0,93.0,93.0,93.0,3453880,632,2,88.0,93.0,1380-02-01
2001-04-22,94.0,94.0,94.0,94.0,15118200,2724,3,93.0,94.0,1380-02-02
2001-04-28,99.0,99.0,99.0,99.0,15779516,2708,3,94.0,99.0,1380-02-08
2001-04-29,100.0,100.0,100.0,100.0,11849511,2019,7,99.0,100.0,1380-02-09
2001-04-30,100.0,100.0,100.0,100.0,1003770,171,1,100.0,100.0,1380-02-10
2001-05-01,100.0,100.0,100.0,100.0,7467600,1270,1,100.0,100.0,1380-02-11
2001-05-02,100.0,100.0,100.0,100.0,3716160,632,1,100.0,100.0,1380-02-12
2001-05-05,100.0,100.0,100.0,100.0,15128504,2572,3,100.0,100.0,1380-02-15
2001-05-12,103.0,103.0,103.0,103.0,10882319,1796,4,100.0,103.0,1380-02-22
2001-05-13,103.0,103.0,103.0,103.0,6922080,1140,1,103.0,103.0,1380-02-23
2001-05-21,105.0,105.0,105.0,105.0,31025000,5000,1,103.0,105.0,1380-02-31
2001-05-23,106.0,106.0,106.0,106.0,1306410,210,1,105.0,106.0,1380-03-02
2001-05-26,111.0,111.0,111.0,111.0,32660000,5000,1,106.0,111.0,1380-03-05
2001-05-27,112.0,112.0,112.0,112.0,6183320,940,2,111.0,112.0,1380-03-06
2001-05-28,112.0,112.0,112.0,112.0,16484500,2500,2,112.0,112.0,1380-03-07
2001-05-29,112.0,112.0,112.0,112.0,15024439,2278,6,112.0,112.0,1380-03-08
2001-05-30,112.0,112.0,112.0,112.0,1186740,180,3,112.0,112.0,1380-03-09
2001-06-03,112.0,117.0,112.0,117.0,5619428154,814558,22,112.0,117.0,1380-03-13
2001-06-06,117.0,117.0,117.0,117.0,586500,85,1,117.0,117.0,1380-03-16
2001-06-11,116.0,116.0,114.0,114.0,47348500,7050,6,117.0,114.0,1380-03-21
2001-06-12,112.0,112.0,112.0,112.0,6600000,1000,1,114.0,112.0,1380-03-22
2001-06-13,110.0,110.0,110.0,110.0,7955552,1224,2,112.0,110.0,1380-03-23
2001-06-17,110.0,110.0,109.0,109.0,18287716,2854,6,110.0,109.0,1380-03-27
2001-06-18,107.0,107.0,107.0,107.0,8190000,1300,2,109.0,107.0,1380-03-28
2001-06-19,107.0,107.0,106.0,106.0,61299800,9734,10,107.0,106.0,1380-03-29
2001-06-20,106.0,106.0,106.0,106.0,3175000,508,1,106.0,106.0,1380-03-30
2001-06-23,106.0,106.0,106.0,106.0,1250000,200,1,106.0,106.0,1380-04-02
2001-06-24,106.0,106.0,106.0,106.0,44041460,7047,8,106.0,106.0,1380-04-03
2001-06-25,106.0,106.0,106.0,106.0,12501000,2000,3,106.0,106.0,1380-04-04
2001-06-26,106.0,106.0,106.0,106.0,36248470,5800,4,106.0,106.0,1380-04-05
2001-06-27,106.0,106.0,106.0,106.0,49881250,7981,5,106.0,106.0,1380-04-06
2001-06-30,106.0,106.0,106.0,106.0,11387500,1822,4,106.0,106.0,1380-04-09
2001-07-01,106.0,106.0,106.0,106.0,1875000,300,1,106.0,106.0,1380-04-10
2001-07-02,106.0,106.0,106.0,106.0,31350216,5016,9,106.0,106.0,1380-04-11
2001-07-03,106.0,106.0,106.0,106.0,2450784,392,2,106.0,106.0,1380-04-12
2001-07-04,106.0,106.0,106.0,106.0,43254530,6918,9,106.0,106.0,1380-04-13
2001-07-07,106.0,106.0,106.0,106.0,8550000,1368,3,106.0,106.0,1380-04-16
2001-07-29,88.0,89.0,88.0,89.0,5458636,1048,3,106.0,89.0,1380-05-07
2001-08-01,93.0,93.0,93.0,93.0,15883300,2900,4,89.0,93.0,1380-05-10
2001-08-14,98.0,98.0,98.0,98.0,6819500,1186,2,93.0,98.0,1380-05-23
2001-08-18,103.0,103.0,103.0,103.0,10226678,1694,2,98.0,103.0,1380-05-27
2001-08-19,108.0,108.0,108.0,108.0,10837980,1710,3,103.0,108.0,1380-05-28
2001-08-20,113.0,113.0,113.0,113.0,102714641,15437,16,108.0,113.0,1380-05-29
2001-08-21,113.0,113.0,113.0,113.0,31946500,4800,7,113.0,113.0,1380-05-30
2001-08-22,113.0,113.0,113.0,113.0,13098288,1969,2,113.0,113.0,1380-05-31
2001-08-25,113.0,113.0,113.0,113.0,66530000,10000,4,113.0,113.0,1380-06-03
2001-08-26,113.0,113.0,113.0,113.0,15081601,2267,7,113.0,113.0,1380-06-04
2001-08-28,113.0,113.0,112.0,112.0,23860464,3599,6,113.0,112.0,1380-06-06
2001-09-03,110.0,110.0,110.0,110.0,7798800,1200,5,112.0,110.0,1380-06-12
2001-09-04,109.0,109.0,107.0,107.0,23039640,3620,5,110.0,107.0,1380-06-13
2001-09-08,107.0,107.0,107.0,107.0,1310400,208,1,107.0,107.0,1380-06-17
2001-09-09,107.0,107.0,107.0,107.0,19504800,3096,6,107.0,107.0,1380-06-18
2001-09-10,107.0,107.0,107.0,107.0,15655500,2485,3,107.0,107.0,1380-06-19
2001-09-11,107.0,107.0,107.0,107.0,6400800,1016,2,107.0,107.0,1380-06-20
2001-09-15,107.0,107.0,107.0,107.0,12801600,2032,3,107.0,107.0,1380-06-24
2001-09-16,107.0,107.0,105.0,105.0,10565600,1688,3,107.0,105.0,1380-06-25
2001-09-17,105.0,105.0,105.0,105.0,14237824,2296,2,105.0,105.0,1380-06-26
2001-09-22,105.0,105.0,105.0,105.0,6202000,1000,1,105.0,105.0,1380-06-31
2001-09-23,105.0,110.0,105.0,110.0,1311762688,201896,26,105.0,110.0,1380-07-01
2001-09-24,110.0,110.0,110.0,110.0,6798936,1046,4,110.0,110.0,1380-07-02
2001-09-26,110.0,110.0,110.0,110.0,28663590,4410,5,110.0,110.0,1380-07-04
2001-10-02,110.0,110.0,110.0,110.0,7795370,1200,3,110.0,110.0,1380-07-10
2001-10-07,109.0,110.0,108.0,110.0,143785650,22252,14,110.0,110.0,1380-07-15
2001-10-08,110.0,110.0,110.0,110.0,194940,30,1,110.0,110.0,1380-07-16
2001-10-09,109.0,109.0,109.0,109.0,17638400,2756,4,110.0,109.0,1380-07-17
2001-10-10,109.0,110.0,109.0,110.0,15540000,2400,3,109.0,110.0,1380-07-18
2001-10-16,110.0,110.0,110.0,110.0,27916720,4306,7,110.0,110.0,1380-07-24
2001-10-21,110.0,110.0,110.0,110.0,4470110,690,2,110.0,110.0,1380-07-29
2001-10-23,110.0,110.0,110.0,110.0,44610300,6874,5,110.0,110.0,1380-08-01
2001-10-24,110.0,110.0,110.0,110.0,6607048,1016,1,110.0,110.0,1380-08-02
2001-10-27,110.0,110.0,110.0,110.0,383677,59,1,110.0,110.0,1380-08-05
2001-10-28,111.0,111.0,111.0,111.0,22042424,3380,8,110.0,111.0,1380-08-06
2001-10-29,111.0,111.0,111.0,111.0,42179998,6482,8,111.0,111.0,1380-08-07
2001-10-31,111.0,111.0,111.0,111.0,338260,52,1,111.0,111.0,1380-08-09
2001-11-04,111.0,111.0,111.0,111.0,8090760,1240,2,111.0,111.0,1380-08-13
2001-11-10,116.0,116.0,116.0,116.0,6850000,1000,2,111.0,116.0,1380-08-19
2001-11-11,116.0,116.0,116.0,116.0,109957500,16050,11,116.0,116.0,1380-08-20
2001-11-12,117.0,117.0,117.0,117.0,198683370,28951,6,116.0,117.0,1380-08-21
2001-11-14,117.0,117.0,117.0,117.0,11531989,1673,2,117.0,117.0,1380-08-23
2001-11-17,118.0,118.0,118.0,118.0,9862625,1425,3,117.0,118.0,1380-08-26
2001-11-19,119.0,119.0,119.0,119.0,37972498,5414,15,118.0,119.0,1380-08-28
2001-11-20,120.0,120.0,120.0,120.0,2111100,300,1,119.0,120.0,1380-08-29
2001-11-24,120.0,120.0,120.0,120.0,6006950,850,1,120.0,120.0,1380-09-03
2001-11-25,121.0,121.0,121.0,121.0,31648400,4450,4,120.0,121.0,1380-09-04
2001-11-27,122.0,122.0,121.0,121.0,43398911,6072,15,121.0,121.0,1380-09-06
2001-12-01,121.0,121.0,121.0,121.0,3103100,434,1,121.0,121.0,1380-09-10
2001-12-03,122.0,122.0,122.0,122.0,18663995,2609,3,121.0,122.0,1380-09-12
2001-12-04,122.0,122.0,122.0,122.0,60320705,8411,8,122.0,122.0,1380-09-13
2001-12-05,124.0,124.0,124.0,124.0,7300000,1000,2,122.0,124.0,1380-09-14
2001-12-08,124.0,124.0,124.0,124.0,18980000,2600,5,124.0,124.0,1380-09-17
