date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2004-01-17,189.0,189.0,189.0,189.0,695930400,159984,130,189.0,189.0,1382-10-27
2004-01-18,189.0,198.0,189.0,196.0,883065280,200010,109,189.0,196.0,1382-10-28
2004-01-19,206.0,206.0,206.0,206.0,118850000,25000,12,196.0,206.0,1382-10-29
2004-01-20,208.0,208.0,208.0,208.0,96000000,20000,10,206.0,208.0,1382-10-30
2004-01-21,208.0,209.0,208.0,208.0,45711035,9510,8,208.0,208.0,1382-11-01
2004-01-24,213.0,219.0,213.0,218.0,137130824,27310,21,208.0,218.0,1382-11-04
2004-01-25,218.0,221.0,218.0,220.0,66918932,13166,6,218.0,220.0,1382-11-05
2004-01-26,226.0,231.0,223.0,228.0,129812900,24650,15,220.0,228.0,1382-11-06
2004-01-27,240.0,240.0,240.0,240.0,97276000,17600,12,228.0,240.0,1382-11-07
2004-02-01,252.0,252.0,244.0,244.0,5859180,1010,2,240.0,244.0,1382-11-12
2004-02-03,252.0,252.0,252.0,252.0,75015381,12927,15,244.0,252.0,1382-11-14
2004-02-04,252.0,252.0,252.0,252.0,32856444,5661,4,252.0,252.0,1382-11-15
2004-02-07,252.0,252.0,252.0,252.0,1566030,270,2,252.0,252.0,1382-11-18
2004-02-08,252.0,252.0,252.0,252.0,19890852,3430,6,252.0,252.0,1382-11-19
2004-02-09,252.0,252.0,252.0,252.0,5820379,1003,2,252.0,252.0,1382-11-20
2004-02-15,239.0,239.0,239.0,239.0,42283740,7674,4,252.0,239.0,1382-11-26
2004-02-16,247.0,247.0,242.0,242.0,5751710,1010,2,239.0,242.0,1382-11-27
2004-02-18,242.0,242.0,242.0,242.0,27907700,5010,5,242.0,242.0,1382-11-29
2004-03-10,230.0,242.0,230.0,235.0,35549838,6568,27,242.0,235.0,1382-12-20
2004-03-27,230.0,233.0,230.0,233.0,20681912,3852,5,235.0,233.0,1383-01-08
2004-03-28,233.0,233.0,233.0,233.0,26758710,4983,3,233.0,233.0,1383-01-09
2004-04-07,234.0,234.0,234.0,234.0,89158542,16517,38,233.0,234.0,1383-01-19
2004-04-10,234.0,234.0,234.0,234.0,2077845,385,2,234.0,234.0,1383-01-22
2004-04-12,234.0,234.0,234.0,234.0,2471826,458,2,234.0,234.0,1383-01-24
2004-04-18,234.0,234.0,234.0,234.0,3908517,725,3,234.0,234.0,1383-01-30
2004-06-07,222.0,234.0,222.0,227.0,52474387,10010,11,234.0,227.0,1383-03-18
2004-06-09,234.0,234.0,234.0,234.0,27952950,5180,7,227.0,234.0,1383-03-20
2004-06-14,236.0,236.0,236.0,236.0,21720000,4000,1,234.0,236.0,1383-03-25
2004-06-15,236.0,239.0,236.0,238.0,137414940,25010,5,236.0,238.0,1383-03-26
2004-06-19,239.0,243.0,239.0,241.0,50617440,9130,5,238.0,241.0,1383-03-30
2004-06-20,241.0,241.0,241.0,241.0,22200000,4000,1,241.0,241.0,1383-03-31
2004-06-27,241.0,241.0,241.0,241.0,12762700,2300,2,241.0,241.0,1383-04-07
2004-07-12,241.0,241.0,241.0,241.0,70791645,12760,16,241.0,241.0,1383-04-22
2004-08-10,241.0,249.0,241.0,245.0,49139840,8690,5,241.0,245.0,1383-05-20
2004-08-11,249.0,249.0,249.0,249.0,24150000,4200,3,245.0,249.0,1383-05-21
2004-08-14,254.0,254.0,254.0,254.0,25155000,4300,4,249.0,254.0,1383-05-24
2004-08-15,258.0,258.0,258.0,258.0,59500000,10000,1,254.0,258.0,1383-05-25
2004-08-16,260.0,265.0,260.0,260.0,143356040,23876,6,258.0,260.0,1383-05-26
2004-08-17,265.0,265.0,265.0,265.0,30500000,5000,1,260.0,265.0,1383-05-27
2004-08-22,265.0,265.0,265.0,265.0,30550000,5000,1,265.0,265.0,1383-06-01
2004-08-23,271.0,271.0,271.0,271.0,62500000,10000,1,265.0,271.0,1383-06-02
2004-08-25,271.0,284.0,271.0,276.0,197784970,31110,9,271.0,276.0,1383-06-04
2004-09-01,276.0,276.0,276.0,276.0,3178500,500,1,276.0,276.0,1383-06-11
2004-09-18,270.0,270.0,270.0,270.0,31150000,5000,1,276.0,270.0,1383-06-28
2004-09-19,265.0,265.0,265.0,265.0,30500000,5000,1,270.0,265.0,1383-06-29
2004-09-20,259.0,259.0,259.0,259.0,29850000,5000,1,265.0,259.0,1383-06-30
2004-09-21,259.0,259.0,254.0,255.0,157289380,26710,6,259.0,255.0,1383-06-31
2004-09-22,268.0,268.0,264.0,268.0,44179958,7154,4,255.0,268.0,1383-07-01
2004-09-25,268.0,279.0,268.0,277.0,108269505,16939,7,268.0,277.0,1383-07-04
2004-09-26,277.0,291.0,277.0,284.0,65520450,10010,4,277.0,284.0,1383-07-05
2004-09-27,284.0,285.0,284.0,284.0,19735530,3010,5,284.0,284.0,1383-07-06
2004-09-28,285.0,285.0,285.0,285.0,26300000,4000,1,284.0,285.0,1383-07-07
2004-10-04,286.0,286.0,286.0,286.0,26400000,4000,1,285.0,286.0,1383-07-13
2004-10-05,286.0,288.0,286.0,288.0,26606350,4010,4,286.0,288.0,1383-07-14
2004-10-06,289.0,289.0,289.0,289.0,26680000,4000,1,288.0,289.0,1383-07-15
2004-10-09,291.0,291.0,290.0,290.0,26907400,4022,2,289.0,290.0,1383-07-18
2004-10-10,289.0,290.0,289.0,290.0,13406800,2010,2,290.0,290.0,1383-07-19
2004-10-11,290.0,290.0,290.0,290.0,654640,98,1,290.0,290.0,1383-07-20
2004-10-12,289.0,289.0,289.0,289.0,67626721,10151,7,290.0,289.0,1383-07-21
2004-10-13,288.0,288.0,288.0,288.0,26600000,4000,1,289.0,288.0,1383-07-22
2004-10-26,274.0,274.0,274.0,274.0,233873406,37017,11,288.0,274.0,1383-08-05
2004-11-13,274.0,274.0,274.0,274.0,29647600,4700,2,274.0,274.0,1383-08-23
2004-11-15,274.0,274.0,274.0,274.0,54314080,8610,10,274.0,274.0,1383-08-25
2004-12-07,260.0,260.0,260.0,260.0,33600000,5600,2,274.0,260.0,1383-09-17
2004-12-11,260.0,260.0,260.0,260.0,9000000,1500,1,260.0,260.0,1383-09-21
2004-12-13,247.0,255.0,247.0,255.0,9634740,1690,3,260.0,255.0,1383-09-23
2004-12-14,260.0,260.0,256.0,256.0,6059050,1010,2,255.0,256.0,1383-09-24
2004-12-18,256.0,256.0,256.0,256.0,5905000,1000,1,256.0,256.0,1383-09-28
2004-12-20,269.0,269.0,259.0,259.0,6259780,1010,2,256.0,259.0,1383-09-30
2004-12-22,272.0,272.0,263.0,263.0,6336520,1010,2,259.0,263.0,1383-10-02
2004-12-25,276.0,276.0,266.0,266.0,6415270,1010,3,263.0,266.0,1383-10-05
2004-12-27,279.0,279.0,279.0,279.0,48247500,7500,3,266.0,279.0,1383-10-07
2004-12-28,286.0,286.0,286.0,286.0,49500000,7500,5,279.0,286.0,1383-10-08
2004-12-29,301.0,301.0,301.0,301.0,72765000,10500,6,286.0,301.0,1383-10-09
2005-01-01,316.0,316.0,316.0,316.0,40018000,5500,4,301.0,316.0,1383-10-12
2005-01-02,331.0,331.0,316.0,316.0,1562535,205,2,316.0,316.0,1383-10-13
2005-01-03,332.0,332.0,332.0,332.0,68913000,9000,9,316.0,332.0,1383-10-14
2005-01-04,349.0,349.0,349.0,349.0,80373922,9998,4,332.0,349.0,1383-10-15
2005-01-05,349.0,349.0,331.0,335.0,58365044,7559,12,349.0,335.0,1383-10-16
2005-01-08,331.0,331.0,318.0,320.0,52737684,7143,3,335.0,320.0,1383-10-19
2005-01-09,320.0,320.0,310.0,313.0,37598087,5219,4,320.0,313.0,1383-10-20
2005-01-11,313.0,321.0,313.0,320.0,33275780,4510,4,313.0,320.0,1383-10-22
2005-01-12,330.0,330.0,330.0,330.0,38752400,5099,3,320.0,330.0,1383-10-23
2005-01-15,325.0,346.0,325.0,340.0,2036625060,255417,11,330.0,340.0,1383-10-26
2005-01-16,351.0,351.0,343.0,348.0,2053011220,253540,7,340.0,348.0,1383-10-27
2005-01-17,341.0,341.0,341.0,341.0,1960284000,249400,4,348.0,341.0,1383-10-28
2005-01-18,334.0,341.0,334.0,341.0,1894360000,246000,2,341.0,341.0,1383-10-29
2005-01-19,347.0,347.0,342.0,342.0,3047101,381,2,341.0,342.0,1383-10-30
2005-01-22,347.0,347.0,347.0,347.0,193754195,24220,9,342.0,347.0,1383-11-03
2005-01-23,347.0,347.0,347.0,347.0,1967754000,246000,2,347.0,347.0,1383-11-04
2005-01-24,347.0,347.0,347.0,347.0,2399700,300,1,347.0,347.0,1383-11-05
2005-01-25,347.0,347.0,347.0,347.0,2123206400,265600,3,347.0,347.0,1383-11-06
2005-03-13,329.0,329.0,329.0,329.0,77499380,10204,4,347.0,329.0,1383-12-23
2005-03-14,313.0,313.0,313.0,313.0,28864000,4000,1,329.0,313.0,1383-12-24
2005-03-15,297.0,297.0,297.0,297.0,27424000,4000,1,313.0,297.0,1383-12-25
2005-03-16,283.0,283.0,283.0,283.0,28590704,4389,3,297.0,283.0,1383-12-26
2005-04-03,269.0,282.0,268.0,271.0,41892980,6705,7,283.0,271.0,1384-01-14
2005-04-05,271.0,271.0,271.0,271.0,2124980,340,2,271.0,271.0,1384-01-16
2005-04-06,271.0,271.0,271.0,271.0,8813480,1410,3,271.0,271.0,1384-01-17
