date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2004-06-13,0.0,0.0,0.0,0.0,3012022,806,1,0.0,0.0,1383-03-24
2004-06-13,81668.0,81668.0,81668.0,81668.0,3012022,806,1,0.0,81668.0,1383-03-24
2005-05-02,32781.0,32781.0,32781.0,32781.0,900000,600,1,81668.0,32781.0,1384-02-12
2005-05-02,13158.0,13158.0,13158.0,13158.0,900000,600,1,32781.0,13158.0,1384-02-12
2005-05-03,13167.0,13167.0,13158.0,13158.0,74889075,49918,36,13158.0,13158.0,1384-02-13
2005-05-03,13167.0,13167.0,13158.0,13158.0,74889075,49918,36,13158.0,13158.0,1384-02-13
2005-05-04,13149.0,13158.0,13149.0,13149.0,45837069,30559,17,13158.0,13149.0,1384-02-14
2005-05-04,13140.0,13149.0,13140.0,13140.0,45837069,30559,17,13149.0,13140.0,1384-02-14
2005-05-07,12737.0,12772.0,12728.0,12755.0,31446199,21619,11,13140.0,12755.0,1384-02-17
2005-05-07,12363.0,12397.0,12355.0,12380.0,31446199,21619,11,12755.0,12380.0,1384-02-17
2005-05-08,12372.0,12814.0,12372.0,12687.0,60232113,40390,21,12380.0,12687.0,1384-02-18
2005-05-08,12678.0,13131.0,12678.0,13000.0,60232113,40390,21,12687.0,13000.0,1384-02-18
2005-05-09,12852.0,13245.0,12852.0,13079.0,72887012,48576,33,13000.0,13079.0,1384-02-19
2005-05-09,12930.0,13325.0,12930.0,13158.0,72887012,48576,33,13079.0,13158.0,1384-02-19
2005-05-10,13158.0,14026.0,13158.0,13579.0,24870178,16065,19,13158.0,13579.0,1384-02-20
2005-05-10,13579.0,14475.0,13579.0,14013.0,24870178,16065,19,13579.0,14013.0,1384-02-20
2005-05-23,15408.0,15408.0,15408.0,15408.0,7047982,4141,6,14013.0,15408.0,1384-03-02
2005-05-23,16940.0,16940.0,16940.0,16940.0,7047982,4141,6,15408.0,16940.0,1384-03-02
2005-05-24,18632.0,18632.0,18632.0,18632.0,1106352,591,1,16940.0,18632.0,1384-03-03
2005-05-24,20493.0,20493.0,20493.0,20493.0,1106352,591,1,18632.0,20493.0,1384-03-03
2005-05-25,22541.0,22541.0,20526.0,22355.0,6656970,3260,6,20493.0,22355.0,1384-03-04
2005-05-25,24588.0,24588.0,22390.0,24385.0,6656970,3260,6,22355.0,24385.0,1384-03-04
2005-05-28,24420.0,24420.0,24420.0,24420.0,1537840,752,1,24385.0,24420.0,1384-03-07
2005-05-28,24456.0,24456.0,24456.0,24456.0,1537840,752,1,24420.0,24456.0,1384-03-07
2005-05-29,26896.0,26896.0,26896.0,26896.0,66017146,29354,14,24456.0,26896.0,1384-03-08
2005-05-29,29579.0,29579.0,29579.0,29579.0,66017146,29354,14,26896.0,29579.0,1384-03-08
2005-05-30,29566.0,29987.0,29566.0,29710.0,59520851,26340,19,29579.0,29710.0,1384-03-09
2005-05-30,29697.0,30120.0,29697.0,29843.0,59520851,26340,19,29710.0,29843.0,1384-03-09
2005-05-31,30120.0,30120.0,29697.0,29724.0,83308688,37025,25,29843.0,29724.0,1384-03-10
2005-05-31,30000.0,30000.0,29579.0,29605.0,83308688,37025,25,29724.0,29605.0,1384-03-10
2005-08-20,19737.0,19737.0,18684.0,18684.0,7215599260,5018703,125,29605.0,18684.0,1384-05-29
2005-08-20,12456.0,12456.0,11792.0,11792.0,7215599260,5018703,125,18684.0,11792.0,1384-05-29
2007-05-13,3089.0,3089.0,3089.0,3089.0,817284,2197,2,11792.0,3089.0,1386-02-23
2007-05-13,809.0,809.0,809.0,809.0,817284,2197,2,3089.0,809.0,1386-02-23
2007-05-15,779.0,779.0,779.0,779.0,365160,1020,2,809.0,779.0,1386-02-25
2007-05-15,749.0,749.0,749.0,749.0,365160,1020,2,779.0,749.0,1386-02-25
2007-05-16,735.0,735.0,735.0,735.0,351000,1000,1,749.0,735.0,1386-02-26
2007-05-16,720.0,720.0,720.0,720.0,351000,1000,1,735.0,720.0,1386-02-26
2007-05-19,692.0,692.0,692.0,692.0,1790818,5314,1,720.0,692.0,1386-02-29
2007-05-19,664.0,664.0,664.0,664.0,1790818,5314,1,692.0,664.0,1386-02-29
2007-05-29,639.0,639.0,639.0,639.0,64800,200,2,664.0,639.0,1386-03-08
2007-05-29,614.0,614.0,614.0,614.0,64800,200,2,639.0,614.0,1386-03-08
2007-05-30,591.0,591.0,591.0,591.0,93600,300,1,614.0,591.0,1386-03-09
2007-05-30,569.0,569.0,569.0,569.0,93600,300,1,591.0,569.0,1386-03-09
2007-06-03,547.0,547.0,547.0,547.0,60000,200,1,569.0,547.0,1386-03-13
2007-06-03,526.0,526.0,526.0,526.0,60000,200,1,547.0,526.0,1386-03-13
2007-06-06,505.0,505.0,505.0,505.0,86400,300,1,526.0,505.0,1386-03-16
2007-06-06,485.0,485.0,485.0,485.0,86400,300,1,505.0,485.0,1386-03-16
2007-06-09,467.0,467.0,467.0,467.0,98335,355,1,485.0,467.0,1386-03-19
2007-06-09,449.0,449.0,449.0,449.0,98335,355,1,467.0,449.0,1386-03-19
2007-06-10,431.0,431.0,431.0,431.0,68894,259,1,449.0,431.0,1386-03-20
2007-06-10,414.0,414.0,414.0,414.0,68894,259,1,431.0,414.0,1386-03-20
2007-06-12,398.0,398.0,398.0,398.0,76800,300,1,414.0,398.0,1386-03-22
2007-06-12,383.0,383.0,383.0,383.0,76800,300,1,398.0,383.0,1386-03-22
2007-06-13,368.0,368.0,368.0,368.0,55350,225,1,383.0,368.0,1386-03-23
2007-06-13,354.0,354.0,354.0,354.0,55350,225,1,368.0,354.0,1386-03-23
2007-06-16,341.0,341.0,341.0,341.0,60435,255,1,354.0,341.0,1386-03-26
2007-06-16,328.0,328.0,328.0,328.0,60435,255,1,341.0,328.0,1386-03-26
2007-07-31,277.0,277.0,277.0,277.0,3000000,15000,1,328.0,277.0,1386-05-09
2007-07-31,234.0,234.0,234.0,234.0,3000000,15000,1,277.0,234.0,1386-05-09
2007-08-01,225.0,225.0,225.0,225.0,384000,2000,1,234.0,225.0,1386-05-10
2007-08-01,216.0,216.0,216.0,216.0,384000,2000,1,225.0,216.0,1386-05-10
2007-08-05,208.0,208.0,208.0,208.0,370000,2000,1,216.0,208.0,1386-05-14
2007-08-05,200.0,200.0,200.0,200.0,370000,2000,1,208.0,200.0,1386-05-14
2007-08-06,193.0,193.0,193.0,193.0,356000,2000,8,200.0,193.0,1386-05-15
2007-08-06,185.0,185.0,185.0,185.0,356000,2000,8,193.0,185.0,1386-05-15
2007-08-07,178.0,179.0,178.0,178.0,670121181,3912546,327,185.0,178.0,1386-05-16
2007-08-07,171.0,172.0,171.0,171.0,670121181,3912546,327,178.0,171.0,1386-05-16
