date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2002-06-22,504.0,504.0,504.0,504.0,1205100000,1030000,75,504.0,504.0,1381-04-01
2002-06-23,504.0,504.0,504.0,504.0,117000000,100000,175,504.0,504.0,1381-04-02
2002-06-24,504.0,504.0,504.0,504.0,124020000,106000,338,504.0,504.0,1381-04-03
2002-06-25,504.0,504.0,504.0,504.0,58500000,50000,257,504.0,504.0,1381-04-04
2002-06-26,504.0,504.0,504.0,504.0,164659950,140735,249,504.0,504.0,1381-04-05
2002-06-29,505.0,505.0,504.0,504.0,43356801,37056,243,504.0,504.0,1381-04-08
2002-06-30,504.0,504.0,504.0,504.0,95336280,81484,12,504.0,504.0,1381-04-09
2002-07-01,504.0,505.0,504.0,504.0,73386410,62723,282,504.0,504.0,1381-04-10
2002-07-02,504.0,504.0,504.0,504.0,112364460,96038,481,504.0,504.0,1381-04-11
2002-07-03,504.0,505.0,504.0,505.0,7021000,6000,2,504.0,505.0,1381-04-12
2002-07-06,504.0,505.0,504.0,505.0,34150181,29193,17,505.0,505.0,1381-04-15
2002-07-07,504.0,505.0,504.0,505.0,15497553,13243,7,505.0,505.0,1381-04-16
2002-07-08,505.0,505.0,505.0,505.0,7032000,6000,2,505.0,505.0,1381-04-17
2002-07-10,506.0,506.0,504.0,506.0,100121437,85519,16,505.0,506.0,1381-04-19
2002-07-13,506.0,506.0,506.0,506.0,1174000,1000,5,506.0,506.0,1381-04-22
2002-07-14,507.0,507.0,506.0,506.0,1897348,1615,4,506.0,506.0,1381-04-23
2002-07-15,507.0,507.0,507.0,507.0,1175000,1000,1,506.0,507.0,1381-04-24
2002-07-16,507.0,507.0,507.0,507.0,1176000,1000,2,507.0,507.0,1381-04-25
2002-07-17,507.0,508.0,507.0,508.0,26479136,22512,5,507.0,508.0,1381-04-26
2002-07-20,508.0,508.0,508.0,508.0,2836674,2406,2,508.0,508.0,1381-04-29
2002-07-21,508.0,509.0,508.0,508.0,14818672,12568,9,508.0,508.0,1381-04-30
2002-07-22,509.0,509.0,509.0,509.0,64653845,54745,19,508.0,509.0,1381-04-31
2002-07-23,513.0,513.0,510.0,510.0,12806342,10801,3,509.0,510.0,1381-05-01
2002-07-24,510.0,510.0,510.0,510.0,3013216,2545,2,510.0,510.0,1381-05-02
2002-07-27,511.0,511.0,511.0,511.0,5930000,5000,1,510.0,511.0,1381-05-05
2002-07-28,512.0,512.0,512.0,512.0,13057000,11000,2,511.0,512.0,1381-05-06
2002-07-29,517.0,517.0,512.0,512.0,35478965,29708,7,512.0,512.0,1381-05-07
2002-07-30,512.0,512.0,512.0,512.0,5533704,4658,3,512.0,512.0,1381-05-08
2002-07-31,513.0,513.0,513.0,513.0,1117639225,939201,9,512.0,513.0,1381-05-09
2002-08-03,518.0,518.0,518.0,518.0,68663572,57172,8,513.0,518.0,1381-05-12
2002-08-04,518.0,519.0,518.0,519.0,78732595,65384,20,518.0,519.0,1381-05-13
2002-08-05,535.0,535.0,522.0,522.0,16989690,13790,5,519.0,522.0,1381-05-14
2002-08-06,527.0,527.0,527.0,527.0,1248683,1021,1,522.0,527.0,1381-05-15
2002-08-07,531.0,532.0,531.0,532.0,1276192,1036,3,527.0,532.0,1381-05-16
2002-08-10,533.0,533.0,533.0,533.0,18110917,14641,2,532.0,533.0,1381-05-19
2002-08-11,541.0,542.0,541.0,542.0,80392830,63947,67,533.0,542.0,1381-05-20
2002-08-13,549.0,549.0,549.0,549.0,2094085,1645,3,542.0,549.0,1381-05-22
2002-08-14,553.0,554.0,553.0,554.0,6649372,5174,5,549.0,554.0,1381-05-23
2002-08-17,582.0,582.0,582.0,582.0,1915650,1419,2,554.0,582.0,1381-05-26
2002-08-18,611.0,611.0,611.0,611.0,22504794,15882,8,582.0,611.0,1381-05-27
2002-08-19,641.0,641.0,641.0,641.0,4461000,3000,4,611.0,641.0,1381-05-28
2002-08-20,643.0,655.0,643.0,654.0,177632834,118944,89,641.0,654.0,1381-05-29
2002-08-21,687.0,687.0,687.0,687.0,1919565,1205,3,654.0,687.0,1381-05-30
2002-08-24,721.0,721.0,721.0,721.0,2125112,1271,1,687.0,721.0,1381-06-02
2002-08-25,757.0,757.0,757.0,757.0,2311335,1317,4,721.0,757.0,1381-06-03
2002-08-26,794.0,794.0,757.0,757.0,188327974,104769,67,757.0,757.0,1381-06-04
2002-08-31,757.0,757.0,757.0,757.0,3510000,2000,3,757.0,757.0,1381-06-09
2002-09-01,757.0,759.0,757.0,757.0,38988351,22205,18,757.0,757.0,1381-06-10
2002-09-02,756.0,757.0,719.0,757.0,72327042,42695,29,757.0,757.0,1381-06-11
2002-09-03,757.0,757.0,757.0,757.0,8893830,5066,5,757.0,757.0,1381-06-12
2002-09-04,757.0,757.0,757.0,757.0,46361334,26400,12,757.0,757.0,1381-06-13
2002-09-07,757.0,757.0,757.0,757.0,2674154,1522,4,757.0,757.0,1381-06-16
2002-09-08,757.0,757.0,720.0,757.0,21597714,12360,8,757.0,757.0,1381-06-17
2002-09-09,756.0,757.0,756.0,757.0,68414609,39000,36,757.0,757.0,1381-06-18
2002-09-11,757.0,757.0,757.0,757.0,3336727,1900,4,757.0,757.0,1381-06-20
2002-09-14,756.0,757.0,756.0,757.0,19850665,11315,5,757.0,757.0,1381-06-23
2002-09-15,756.0,756.0,756.0,756.0,2173720,1240,11,757.0,756.0,1381-06-24
2002-09-16,755.0,755.0,755.0,755.0,10222920,5835,2,756.0,755.0,1381-06-25
2002-09-17,754.0,754.0,754.0,754.0,26893727,15385,24,755.0,754.0,1381-06-26
2002-09-18,751.0,751.0,751.0,751.0,1742000,1000,7,754.0,751.0,1381-06-27
2002-09-22,749.0,750.0,749.0,749.0,6205660,3570,3,751.0,749.0,1381-06-31
2002-09-23,744.0,744.0,744.0,744.0,16297800,9448,34,749.0,744.0,1381-07-01
2002-09-24,740.0,740.0,740.0,740.0,1717000,1000,1,744.0,740.0,1381-07-02
2002-09-25,737.0,737.0,737.0,737.0,22623300,13230,30,740.0,737.0,1381-07-03
2002-09-28,724.0,724.0,724.0,724.0,6662880,3966,26,737.0,724.0,1381-07-06
2002-09-29,710.0,710.0,710.0,710.0,1648000,1000,1,724.0,710.0,1381-07-07
2002-09-30,708.0,708.0,708.0,708.0,1643000,1000,1,710.0,708.0,1381-07-08
2002-10-01,701.0,701.0,701.0,701.0,15060500,9268,10,708.0,701.0,1381-07-09
2002-10-02,687.0,687.0,687.0,687.0,15935000,10000,44,701.0,687.0,1381-07-10
2002-10-06,679.0,681.0,676.0,676.0,30119412,19064,45,687.0,676.0,1381-07-14
2002-10-08,642.0,642.0,642.0,642.0,1892519,1271,5,676.0,642.0,1381-07-16
2002-10-09,610.0,610.0,610.0,610.0,14622610,10334,23,642.0,610.0,1381-07-17
2002-10-12,608.0,608.0,580.0,608.0,64026190,45500,62,610.0,608.0,1381-07-20
2002-10-13,604.0,605.0,604.0,605.0,85402728,61000,65,608.0,605.0,1381-07-21
2002-10-14,595.0,603.0,595.0,603.0,69132612,49500,198,605.0,603.0,1381-07-22
2002-10-15,600.0,600.0,600.0,600.0,1798563,1293,2,603.0,600.0,1381-07-23
2002-10-16,594.0,594.0,586.0,592.0,18076173,13171,33,600.0,592.0,1381-07-24
2002-10-19,563.0,604.0,563.0,604.0,55577624,40489,52,592.0,604.0,1381-07-27
2002-10-20,604.0,604.0,604.0,604.0,76315400,54511,250,604.0,604.0,1381-07-28
2002-10-21,604.0,604.0,604.0,604.0,38222800,27302,189,604.0,604.0,1381-07-29
2002-10-23,604.0,604.0,604.0,604.0,161868000,115620,32,604.0,604.0,1381-08-01
2002-10-26,604.0,604.0,604.0,604.0,9800000,7000,2,604.0,604.0,1381-08-04
2002-10-27,604.0,604.0,604.0,604.0,296800,212,1,604.0,604.0,1381-08-05
2002-10-28,604.0,604.0,604.0,604.0,10252200,7323,14,604.0,604.0,1381-08-06
2002-10-29,603.0,604.0,603.0,604.0,2391100,1709,3,604.0,604.0,1381-08-07
2002-11-02,603.0,609.0,603.0,609.0,38694423,27490,48,604.0,609.0,1381-08-11
2002-11-03,610.0,610.0,610.0,610.0,708000000,500000,1,609.0,610.0,1381-08-12
2002-11-04,616.0,625.0,612.0,625.0,10589672,7406,14,610.0,625.0,1381-08-13
2002-11-05,641.0,641.0,641.0,641.0,5944000,4000,2,625.0,641.0,1381-08-14
2002-11-06,641.0,645.0,641.0,645.0,5804894,3894,4,641.0,645.0,1381-08-15
2002-11-09,652.0,655.0,651.0,655.0,21749310,14370,5,645.0,655.0,1381-08-18
2002-11-10,658.0,658.0,656.0,656.0,12963652,8500,6,655.0,656.0,1381-08-19
2002-11-12,659.0,661.0,659.0,661.0,11593194,7563,5,656.0,661.0,1381-08-21
2002-11-13,661.0,661.0,661.0,661.0,6889194,4491,2,661.0,661.0,1381-08-22
2002-11-16,662.0,662.0,661.0,662.0,10926111,7119,10,661.0,662.0,1381-08-25
2002-11-17,663.0,663.0,663.0,663.0,1482632,964,2,662.0,663.0,1381-08-26
2002-11-18,663.0,663.0,663.0,663.0,2214728,1440,2,663.0,663.0,1381-08-27
2002-11-19,664.0,664.0,664.0,664.0,16590420,10773,19,663.0,664.0,1381-08-28
2002-11-20,664.0,664.0,663.0,663.0,10874635,7063,7,664.0,663.0,1381-08-29
