date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2015-08-01,10077.0,10077.0,10077.0,10077.0,3260300000,326030,37,10077.0,10077.0,1394-05-10
2015-08-02,10077.0,10077.0,10077.0,10077.0,5000000000,500000,50,10077.0,10077.0,1394-05-11
2015-08-03,10077.0,10077.0,10077.0,10077.0,21839700000,2183970,30,10077.0,10077.0,1394-05-12
2015-11-24,11049.0,11049.0,11035.0,11047.0,658795000,60100,3,10077.0,11035.0,1394-09-03
2015-11-25,11055.0,11055.0,11055.0,11055.0,76790000,7000,2,11047.0,11055.0,1394-09-04
2015-11-30,11086.0,11086.0,11086.0,11086.0,4950450,450,2,11055.0,11086.0,1394-09-09
2015-12-01,11095.0,11095.0,11095.0,11095.0,550500000,50000,1,11086.0,11095.0,1394-09-10
2015-12-05,11124.0,11124.0,11124.0,11124.0,149026500,13500,1,11095.0,11124.0,1394-09-14
2015-12-06,11129.0,11129.0,11129.0,11129.0,12148400,1100,2,11124.0,11129.0,1394-09-15
2015-12-13,11185.0,11185.0,11185.0,11185.0,99558030,8970,2,11129.0,11185.0,1394-09-22
2015-12-14,11186.0,11186.0,11186.0,11186.0,4551000,410,1,11185.0,11186.0,1394-09-23
2015-12-15,11194.0,11196.0,11194.0,11196.0,166649660,15000,4,11186.0,11196.0,1394-09-24
2015-12-22,11229.0,11229.0,11229.0,11229.0,1225730,110,1,11196.0,11229.0,1394-10-01
2015-12-26,11251.0,11251.0,11251.0,11251.0,42427000,3800,1,11229.0,11251.0,1394-10-05
2015-12-28,11260.0,11260.0,11260.0,11260.0,99448600,8900,1,11251.0,11260.0,1394-10-07
2016-01-02,11315.0,11315.0,11315.0,11315.0,112280000,10000,1,11260.0,11315.0,1394-10-12
2016-01-03,11313.0,11317.0,11313.0,11316.0,32338880,2880,3,11315.0,11317.0,1394-10-13
2016-01-06,11367.0,11367.0,11367.0,11367.0,14664000,1300,1,11316.0,11367.0,1394-10-16
2016-01-10,11376.0,11397.0,11376.0,11377.0,15806700,1400,2,11367.0,11397.0,1394-10-20
2016-02-02,11940.0,11940.0,11940.0,11940.0,459148750,38750,2,11377.0,11940.0,1394-11-13
2016-02-07,11992.0,11992.0,11992.0,11992.0,595000000,50000,2,11940.0,11992.0,1394-11-18
2016-02-08,12043.0,12043.0,12043.0,12043.0,26292200,2200,2,11992.0,12043.0,1394-11-19
2016-02-09,12192.0,12192.0,12192.0,12192.0,331028640,27360,3,12043.0,12192.0,1394-11-20
2016-02-13,12192.0,12192.0,12192.0,12192.0,49605900,4100,1,12192.0,12192.0,1394-11-24
2016-02-16,12186.0,12186.0,12186.0,12186.0,108837000,9000,1,12192.0,12186.0,1394-11-27
2016-02-17,12244.0,12244.0,12244.0,12244.0,248467500,20450,1,12186.0,12244.0,1394-11-28
2016-02-20,12264.0,12264.0,12255.0,12263.0,212952500,17500,3,12244.0,12255.0,1394-12-01
2016-02-21,12334.0,12334.0,12153.0,12278.0,169474670,13910,4,12263.0,12160.0,1394-12-02
2016-02-22,12229.0,12229.0,12229.0,12229.0,631020000,52000,2,12278.0,12229.0,1394-12-03
2016-02-23,12239.0,12239.0,12216.0,12227.0,4853400,400,2,12229.0,12216.0,1394-12-04
2016-02-24,12221.0,12222.0,12221.0,12222.0,52148900,4300,2,12227.0,12222.0,1394-12-05
2016-02-27,12243.0,12243.0,12243.0,12243.0,2429800,200,1,12222.0,12243.0,1394-12-08
2016-03-08,12119.0,12119.0,12119.0,12119.0,148641360,12360,1,12243.0,12119.0,1394-12-18
2016-03-12,12192.0,12294.0,12192.0,12277.0,73099000,6000,2,12119.0,12294.0,1394-12-22
2016-03-16,12375.0,12375.0,12375.0,12375.0,614000000,50000,1,12277.0,12375.0,1394-12-26
2016-04-02,12798.0,12939.0,12752.0,12803.0,591561600,46560,11,12375.0,12768.0,1395-01-14
2016-04-06,12795.0,12795.0,12795.0,12795.0,63485000,5000,1,12803.0,12795.0,1395-01-18
2016-04-13,12656.0,12656.0,12656.0,12656.0,62795000,5000,1,12795.0,12656.0,1395-01-25
2016-04-16,12641.0,12657.0,12641.0,12643.0,713236000,56850,3,12656.0,12657.0,1395-01-28
2016-04-17,12496.0,12643.0,12496.0,12627.0,93099980,7430,2,12643.0,12643.0,1395-01-29
2016-04-19,12596.0,12596.0,12596.0,12596.0,59375000,4750,1,12627.0,12596.0,1395-01-31
2016-04-23,12596.0,12596.0,12596.0,12596.0,91250000,7300,1,12596.0,12596.0,1395-02-04
2016-04-30,12697.0,12697.0,12662.0,12696.0,50900500,4040,2,12596.0,12662.0,1395-02-11
2016-05-01,12662.0,12662.0,12612.0,12629.0,37595000,3000,2,12696.0,12612.0,1395-02-12
2016-05-30,12653.0,12653.0,12653.0,12653.0,6278000,500,1,12629.0,12653.0,1395-03-10
2016-06-01,12659.0,12659.0,12625.0,12645.0,76540800,6100,3,12653.0,12638.0,1395-03-12
2016-06-05,12689.0,12692.0,12689.0,12690.0,86260210,6850,3,12645.0,12692.0,1395-03-16
2016-06-14,12567.0,12567.0,12567.0,12567.0,3866010,310,1,12690.0,12567.0,1395-03-25
2016-06-18,12633.0,12633.0,12633.0,12633.0,12536000,1000,1,12567.0,12633.0,1395-03-29
2016-06-22,12766.0,12766.0,12766.0,12766.0,6334000,500,1,12633.0,12766.0,1395-04-02
2016-06-29,12820.0,12820.0,12820.0,12820.0,2544400,200,1,12766.0,12820.0,1395-04-09
2016-07-09,12930.0,12930.0,12930.0,12930.0,68004300,5300,2,12820.0,12930.0,1395-04-19
2016-07-16,12987.0,12987.0,12987.0,12987.0,6444000,500,1,12930.0,12987.0,1395-04-26
2016-07-23,13080.0,13080.0,13080.0,13080.0,1298000,100,1,12987.0,13080.0,1395-05-02
2016-07-25,13051.0,13051.0,13051.0,13051.0,7770600,600,1,13080.0,13051.0,1395-05-04
2016-07-31,13080.0,13120.0,13072.0,13094.0,119675960,9210,4,13051.0,13072.0,1395-05-10
2016-08-01,13101.0,13101.0,13101.0,13101.0,6500500,500,1,13094.0,13101.0,1395-05-11
2016-08-08,13194.0,13194.0,13194.0,13194.0,70440340,5380,1,13101.0,13194.0,1395-05-18
2016-08-09,13157.0,13157.0,13157.0,13157.0,1175040,90,1,13194.0,13157.0,1395-05-19
2016-08-10,13221.0,13221.0,13221.0,13221.0,918400,70,1,13157.0,13221.0,1395-05-20
2016-08-13,13236.0,13236.0,13213.0,13232.0,39393500,3000,2,13221.0,13213.0,1395-05-23
2016-08-24,13378.0,13443.0,13378.0,13403.0,35510920,2670,2,13232.0,13443.0,1395-06-03
2016-08-28,13332.0,13332.0,13332.0,13332.0,1984500,150,1,13403.0,13332.0,1395-06-07
2016-09-03,13176.0,13176.0,13176.0,13176.0,6537500,500,1,13332.0,13176.0,1395-06-13
2016-09-04,13187.0,13187.0,13187.0,13187.0,62158500,4750,1,13176.0,13187.0,1395-06-14
2016-09-07,13264.0,13264.0,13264.0,13264.0,13162000,1000,1,13187.0,13264.0,1395-06-17
2016-09-10,13241.0,13241.0,13241.0,13241.0,5256000,400,1,13264.0,13241.0,1395-06-20
2016-09-13,13281.0,13281.0,13281.0,13281.0,10543200,800,1,13241.0,13281.0,1395-06-23
2016-09-17,13285.0,13285.0,13285.0,13285.0,3954900,300,1,13281.0,13285.0,1395-06-27
2016-09-24,13393.0,13393.0,13393.0,13393.0,5316000,400,1,13285.0,13393.0,1395-07-03
2016-09-26,13423.0,13423.0,13423.0,13423.0,103896000,7800,1,13393.0,13423.0,1395-07-05
2016-09-27,13463.0,13463.0,13395.0,13446.0,68849400,5160,3,13423.0,13433.0,1395-07-06
2016-10-02,13473.0,13473.0,13473.0,13473.0,14707000,1100,1,13446.0,13473.0,1395-07-11
2016-10-04,13472.0,13472.0,13472.0,13472.0,10026750,750,1,13473.0,13472.0,1395-07-13
2016-10-08,13668.0,13668.0,13668.0,13668.0,4475790,330,1,13472.0,13668.0,1395-07-17
2016-10-15,13675.0,13675.0,13559.0,13579.0,15496250,1150,2,13668.0,13559.0,1395-07-24
2016-10-17,13450.0,13470.0,13450.0,13457.0,10683600,800,2,13579.0,13470.0,1395-07-26
2016-10-19,13584.0,13604.0,13584.0,13593.0,2428000,180,2,13457.0,13604.0,1395-07-28
2016-10-22,13554.0,13561.0,13554.0,13555.0,8070700,600,2,13593.0,13561.0,1395-08-01
2016-10-26,13620.0,13620.0,13620.0,13620.0,2703200,200,1,13555.0,13620.0,1395-08-05
2016-10-29,13653.0,13653.0,13653.0,13653.0,28450800,2100,1,13620.0,13653.0,1395-08-08
2016-10-31,13796.0,13796.0,13796.0,13796.0,1369000,100,1,13653.0,13796.0,1395-08-10
2016-11-02,13615.0,13685.0,13615.0,13632.0,14339600,1060,2,13796.0,13685.0,1395-08-12
2016-11-06,13685.0,13685.0,13607.0,13683.0,41956040,3090,3,13632.0,13607.0,1395-08-16
2016-11-09,13690.0,13690.0,13583.0,13619.0,22029350,1630,3,13683.0,13583.0,1395-08-19
2016-11-14,13589.0,13589.0,13589.0,13589.0,2022750,150,1,13619.0,13589.0,1395-08-24
2016-12-03,13719.0,13719.0,13719.0,13719.0,4084200,300,1,13589.0,13719.0,1395-09-13
2016-12-04,13752.0,13752.0,13752.0,13752.0,4094100,300,1,13719.0,13752.0,1395-09-14
2016-12-10,13836.0,13836.0,13836.0,13836.0,34325000,2500,1,13752.0,13836.0,1395-09-20
2016-12-12,13775.0,13775.0,13775.0,13775.0,6014360,440,1,13836.0,13775.0,1395-09-22
2016-12-13,13756.0,13756.0,13756.0,13756.0,6825500,500,1,13775.0,13756.0,1395-09-23
2016-12-14,13765.0,13776.0,13765.0,13768.0,20495000,1500,2,13756.0,13776.0,1395-09-24
2016-12-18,13782.0,13782.0,13782.0,13782.0,59217080,4330,2,13768.0,13782.0,1395-09-28
2016-12-28,13805.0,13805.0,13805.0,13805.0,10000270,730,1,13782.0,13805.0,1395-10-08
2017-01-03,13826.0,13826.0,13826.0,13826.0,34300000,2500,1,13805.0,13826.0,1395-10-14
2017-01-04,13816.0,13816.0,13816.0,13816.0,274200,20,1,13826.0,13816.0,1395-10-15
2017-01-07,13822.0,13822.0,13822.0,13822.0,630936000,46000,1,13816.0,13822.0,1395-10-18
2017-01-08,13814.0,13814.0,13715.0,13715.0,303640080,22310,2,13822.0,13715.0,1395-10-19
2017-01-17,13813.0,13886.0,13813.0,13825.0,16463000,1200,2,13715.0,13886.0,1395-10-28
2017-01-25,13510.0,13510.0,13510.0,13510.0,12066300,900,1,13825.0,13510.0,1395-11-06
2017-01-28,13574.0,13574.0,13574.0,13574.0,51455400,3820,1,13510.0,13574.0,1395-11-09
2017-01-29,13444.0,13444.0,13444.0,13444.0,1334100,100,1,13574.0,13444.0,1395-11-10
2017-02-01,13484.0,13826.0,13484.0,13826.0,686936670,50070,2,13444.0,13826.0,1395-11-13
2017-02-05,13433.0,13433.0,13405.0,13411.0,58023020,4360,3,13826.0,13405.0,1395-11-17
2017-02-12,13442.0,13442.0,13442.0,13442.0,53489390,4010,1,13411.0,13442.0,1395-11-24
2017-02-18,13498.0,13524.0,13498.0,13520.0,16099000,1200,2,13442.0,13524.0,1395-11-30
2017-02-27,13594.0,13594.0,13594.0,13594.0,39525700,2930,1,13520.0,13594.0,1395-12-09
2017-04-26,13907.0,13907.0,13907.0,13907.0,10350000,750,1,13594.0,13907.0,1396-02-06
2017-05-02,13947.0,13947.0,13947.0,13947.0,4982400,360,1,13907.0,13947.0,1396-02-12
2017-06-20,13997.0,13997.0,13997.0,13997.0,1111200,80,1,13947.0,13997.0,1396-03-30
2017-06-21,13909.0,13987.0,13909.0,13935.0,3318720,240,3,13997.0,13909.0,1396-03-31
2017-06-25,13942.0,13942.0,13942.0,13942.0,138350,10,1,13935.0,13942.0,1396-04-04
2017-06-28,13957.0,13957.0,13957.0,13957.0,9695000,700,1,13942.0,13957.0,1396-04-07
2017-07-12,14249.0,14249.0,14165.0,14214.0,12976540,920,11,13957.0,14239.0,1396-04-21
2017-07-18,14110.0,14239.0,14110.0,14154.0,7022920,500,4,14214.0,14184.0,1396-04-27
2017-07-25,14398.0,14398.0,14398.0,14398.0,1143040,80,1,14154.0,14398.0,1396-05-03
2017-08-06,14444.0,14461.0,14425.0,14439.0,4441720,310,4,14398.0,14425.0,1396-05-15
2017-08-07,14461.0,14461.0,14399.0,14437.0,13466270,940,11,14439.0,14461.0,1396-05-16
2017-08-08,14404.0,14481.0,14401.0,14446.0,7167400,500,7,14437.0,14461.0,1396-05-17
2017-08-09,14451.0,14451.0,14451.0,14451.0,1147200,80,1,14446.0,14451.0,1396-05-18
2017-08-15,14446.0,14446.0,14446.0,14446.0,1146800,80,1,14451.0,14446.0,1396-05-24
2017-08-16,14511.0,14511.0,14432.0,14462.0,13489820,940,11,14446.0,14432.0,1396-05-25
2017-08-19,14440.0,14521.0,14440.0,14467.0,3445440,240,3,14462.0,14440.0,1396-05-28
2017-08-20,14460.0,14460.0,14452.0,14455.0,3299070,230,3,14467.0,14452.0,1396-05-29
2017-08-21,14455.0,14531.0,14455.0,14523.0,1297040,90,2,14455.0,14531.0,1396-05-30
2017-08-22,14541.0,14541.0,14466.0,14509.0,8063140,560,7,14523.0,14468.0,1396-05-31
2017-08-26,14602.0,14612.0,14519.0,14566.0,8238660,570,7,14509.0,14537.0,1396-06-04
2017-09-11,14713.0,14713.0,14713.0,14713.0,1460000,100,1,14566.0,14713.0,1396-06-20
2017-09-17,14661.0,14661.0,14661.0,14661.0,8583910,590,7,14713.0,14661.0,1396-06-26
2017-10-14,15065.0,15065.0,15065.0,15065.0,41526764500,2777710,115,14661.0,15065.0,1396-07-22
2017-10-16,15035.0,15035.0,15035.0,15035.0,7460000,500,1,15065.0,15035.0,1396-07-24
2017-10-28,15610.0,15610.0,15610.0,15610.0,43372000000,2800000,112,15035.0,15610.0,1396-08-06
2017-10-30,15116.0,15116.0,15116.0,15116.0,15000000,1000,1,15610.0,15116.0,1396-08-08
2017-10-31,15307.0,15307.0,15307.0,15307.0,12152000,800,3,15116.0,15307.0,1396-08-09
2017-11-01,15116.0,15116.0,15116.0,15116.0,7500000,500,1,15307.0,15116.0,1396-08-10
2017-11-04,15116.0,15116.0,15116.0,15116.0,7500000,500,1,15116.0,15116.0,1396-08-13
2017-11-08,15358.0,15358.0,15358.0,15358.0,16002000,1050,2,15116.0,15358.0,1396-08-17
2017-11-18,15419.0,15419.0,15419.0,15419.0,1071070,70,1,15358.0,15419.0,1396-08-27
2017-11-21,15569.0,15569.0,15460.0,15555.0,12349200,800,3,15419.0,15460.0,1396-08-30
2017-11-29,15678.0,15678.0,15678.0,15678.0,1555800,100,1,15555.0,15678.0,1396-09-08
2017-12-20,16224.0,16224.0,16224.0,16224.0,16100000,1000,1,15678.0,16224.0,1396-09-29
2017-12-27,16291.0,16291.0,16291.0,16291.0,3233200,200,1,16224.0,16291.0,1396-10-06
2018-01-01,16254.0,16254.0,16254.0,16254.0,12097500,750,1,16291.0,16254.0,1396-10-11
2018-01-14,16233.0,16233.0,16233.0,16233.0,2577440,160,2,16254.0,16233.0,1396-10-24
2018-01-16,16627.0,16627.0,16627.0,16627.0,49500000,3000,1,16233.0,16627.0,1396-10-26
2018-01-17,16637.0,16637.0,16627.0,16635.0,14857000,900,4,16627.0,16627.0,1396-10-27
2018-01-21,16553.0,16553.0,16552.0,16553.0,91985000,5600,2,16635.0,16552.0,1396-11-01
2018-01-22,16627.0,16627.0,16627.0,16627.0,2475000,150,1,16553.0,16627.0,1396-11-02
2018-01-23,16668.0,16668.0,16668.0,16668.0,6616000,400,1,16627.0,16668.0,1396-11-03
2018-01-24,16720.0,16720.0,16720.0,16720.0,3318400,200,1,16668.0,16720.0,1396-11-04
2018-01-28,16743.0,16743.0,16743.0,16743.0,996900,60,1,16720.0,16743.0,1396-11-08
2018-01-30,16748.0,16748.0,16748.0,16748.0,18282000,1100,2,16743.0,16748.0,1396-11-10
