date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2013-10-20,365.0,365.0,365.0,365.0,208200000,100000,1,175.0,365.0,1392-07-28
2014-05-25,365.0,365.0,365.0,365.0,4164000,2000,1,365.0,365.0,1393-03-04
2014-08-13,431.0,431.0,431.0,431.0,104100000,50000,1,365.0,431.0,1393-05-22
2014-10-25,435.0,435.0,435.0,435.0,78712500,37500,1,431.0,435.0,1393-08-03
2015-01-07,435.0,435.0,435.0,435.0,36750000,17500,1,435.0,435.0,1393-10-17
2015-05-09,456.0,456.0,456.0,456.0,110000000,50000,3,435.0,456.0,1394-02-19
2015-06-02,466.0,466.0,466.0,466.0,67530000,30000,1,456.0,466.0,1394-03-12
2015-06-16,621.0,621.0,559.0,590.0,114000000,40000,2,466.0,559.0,1394-03-26
2015-06-20,559.0,559.0,559.0,559.0,27000000,10000,1,590.0,559.0,1394-03-30
2015-06-22,559.0,559.0,559.0,559.0,27000000,10000,1,559.0,559.0,1394-04-01
2015-07-05,570.0,570.0,559.0,561.0,135500000,50000,4,559.0,559.0,1394-04-14
2015-07-14,828.0,828.0,828.0,828.0,80000000,20000,2,561.0,828.0,1394-04-23
2015-07-15,870.0,870.0,870.0,870.0,42000000,10000,2,828.0,870.0,1394-04-24
2015-09-01,964.0,964.0,964.0,964.0,1797400000,418000,1,870.0,964.0,1394-06-10
2015-09-08,915.0,964.0,915.0,953.0,1255907000,295300,7,964.0,939.0,1394-06-17
2015-09-20,935.0,935.0,935.0,935.0,417000,100,1,953.0,935.0,1394-06-29
2015-09-22,935.0,935.0,930.0,933.0,832000,200,2,935.0,930.0,1394-06-31
2015-09-28,938.0,938.0,928.0,937.0,457290000,109400,3,933.0,928.0,1394-07-06
2015-09-29,1009.0,1009.0,1009.0,1009.0,45000000,10000,1,937.0,1009.0,1394-07-07
2015-10-07,1076.0,1076.0,1076.0,1076.0,19104000,3980,1,1009.0,1076.0,1394-07-15
2015-10-10,1072.0,1143.0,1072.0,1117.0,137050000,27500,3,1076.0,1143.0,1394-07-18
2015-10-11,1211.0,1233.0,1211.0,1228.0,119400000,21800,2,1117.0,1233.0,1394-07-19
2015-10-12,1233.0,1233.0,1233.0,1233.0,182600000,33200,1,1228.0,1233.0,1394-07-20
2015-10-17,1233.0,1233.0,1233.0,1233.0,990000,180,1,1233.0,1233.0,1394-07-25
2015-10-20,1233.0,1233.0,1233.0,1233.0,552062500,100375,3,1233.0,1233.0,1394-07-28
2015-10-31,1211.0,1211.0,1211.0,1211.0,27000000,5000,3,1233.0,1211.0,1394-08-09
2015-11-22,1096.0,1096.0,1094.0,1094.0,48819200,40000,3,1211.0,1094.0,1394-09-01
