date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2013-10-20,995.0,995.0,995.0,995.0,25000000,25000,4,995.0,995.0,1392-07-28
2013-12-22,697.0,697.0,697.0,697.0,14000000,20000,2,995.0,697.0,1392-10-01
2013-12-24,697.0,697.0,697.0,697.0,21000000,30000,1,697.0,697.0,1392-10-03
2013-12-29,861.0,861.0,846.0,853.0,17150000,20000,2,697.0,846.0,1392-10-08
2014-01-04,906.0,906.0,906.0,906.0,911000,1000,1,853.0,906.0,1392-10-14
2014-01-13,906.0,906.0,906.0,906.0,32249400,35400,1,906.0,906.0,1392-10-23
2014-01-14,896.0,1194.0,896.0,920.0,55476250,59950,7,906.0,896.0,1392-10-24
2014-02-01,905.0,1194.0,901.0,1031.0,140069350,135150,9,920.0,1194.0,1392-11-12
2014-02-03,915.0,915.0,901.0,907.0,18245000,20000,4,1031.0,901.0,1392-11-14
2014-02-09,907.0,907.0,901.0,901.0,113230000,125000,4,907.0,901.0,1392-11-20
2014-02-22,897.0,897.0,896.0,897.0,54050000,60000,3,901.0,896.0,1392-12-03
2014-02-23,897.0,906.0,897.0,897.0,119863000,133000,4,897.0,906.0,1392-12-04
2014-08-11,886.0,886.0,716.0,852.0,21400000,25000,2,897.0,716.0,1393-05-20
2014-08-19,697.0,736.0,697.0,705.0,24996200,35240,7,852.0,697.0,1393-05-28
2014-08-20,699.0,699.0,698.0,699.0,35450102,50501,9,705.0,699.0,1393-05-29
2014-08-23,697.0,697.0,697.0,697.0,26852000,38360,4,699.0,697.0,1393-06-01
2014-08-24,746.0,746.0,746.0,746.0,597000,796,1,697.0,746.0,1393-06-02
2014-09-27,597.0,597.0,597.0,597.0,3000000,5000,1,746.0,597.0,1393-07-05
2014-10-06,697.0,884.0,597.0,711.0,351696000,491630,15,597.0,884.0,1393-07-14
2014-10-07,806.0,985.0,786.0,820.0,247730000,300600,9,711.0,985.0,1393-07-15
2014-10-08,806.0,806.0,806.0,806.0,18630000,23000,1,820.0,806.0,1393-07-16
2014-10-11,797.0,811.0,797.0,803.0,14522500,18000,4,806.0,797.0,1393-07-19
2014-10-12,697.0,697.0,697.0,697.0,3150000,4500,1,803.0,697.0,1393-07-20
2014-10-14,746.0,747.0,746.0,747.0,28533000,38000,2,697.0,747.0,1393-07-22
2014-10-18,794.0,794.0,794.0,794.0,7581000,9500,3,747.0,794.0,1393-07-26
2014-10-19,794.0,794.0,794.0,794.0,798000,1000,1,794.0,794.0,1393-07-27
2014-10-20,776.0,876.0,747.0,808.0,129781200,159800,7,794.0,747.0,1393-07-28
2014-10-22,702.0,702.0,702.0,702.0,13020758,18443,1,808.0,702.0,1393-07-30
2014-10-25,700.0,700.0,700.0,700.0,12965429,18443,1,702.0,700.0,1393-08-03
2014-10-27,706.0,716.0,706.0,707.0,42661557,60000,4,700.0,707.0,1393-08-05
2014-10-28,706.0,706.0,706.0,706.0,26270000,37000,3,707.0,706.0,1393-08-06
2014-10-29,697.0,717.0,697.0,701.0,49015470,69557,4,706.0,716.0,1393-08-07
2014-11-01,649.0,649.0,649.0,649.0,32600000,50000,2,701.0,649.0,1393-08-10
2014-11-02,668.0,668.0,667.0,668.0,8413810,12543,2,649.0,667.0,1393-08-11
2014-11-05,736.0,736.0,697.0,701.0,30375000,43100,4,668.0,697.0,1393-08-14
2014-11-08,668.0,668.0,658.0,664.0,53327113,80000,3,701.0,658.0,1393-08-17
2014-11-09,662.0,662.0,661.0,662.0,33230000,50000,2,664.0,661.0,1393-08-18
2014-11-10,697.0,740.0,661.0,686.0,154830128,224687,8,662.0,713.0,1393-08-19
2014-12-03,696.0,696.0,696.0,696.0,2496828,3572,1,686.0,696.0,1393-09-12
2014-12-06,696.0,696.0,694.0,695.0,17460000,25000,4,696.0,695.0,1393-09-15
2014-12-07,686.0,686.0,686.0,686.0,1378000,2000,1,695.0,686.0,1393-09-16
2014-12-08,667.0,667.0,667.0,667.0,1340000,2000,1,686.0,667.0,1393-09-17
2014-12-09,664.0,664.0,645.0,656.0,11335600,17200,2,667.0,645.0,1393-09-18
2014-12-16,647.0,647.0,647.0,647.0,3250000,5000,1,656.0,647.0,1393-09-25
2014-12-20,636.0,637.0,636.0,636.0,57481420,89928,2,647.0,637.0,1393-09-29
2014-12-27,608.0,608.0,608.0,608.0,6110000,10000,1,636.0,608.0,1393-10-06
2014-12-29,607.0,607.0,607.0,607.0,30195000,49500,2,608.0,607.0,1393-10-08
2014-12-30,607.0,607.0,607.0,607.0,305000,500,1,607.0,607.0,1393-10-09
2015-01-03,607.0,637.0,577.0,594.0,29845000,50000,5,607.0,637.0,1393-10-13
2015-01-07,735.0,796.0,697.0,749.0,272322100,361658,11,594.0,697.0,1393-10-17
2015-01-10,692.0,692.0,597.0,628.0,18925000,30000,3,749.0,597.0,1393-10-20
2015-01-11,687.0,795.0,687.0,777.0,99912560,127864,4,628.0,795.0,1393-10-21
2015-01-12,795.0,843.0,795.0,800.0,30904944,38444,10,777.0,843.0,1393-10-22
2015-01-13,843.0,895.0,843.0,867.0,191472950,219850,3,800.0,895.0,1393-10-23
2015-01-21,597.0,597.0,597.0,597.0,6000000,10000,1,867.0,597.0,1393-11-01
2015-01-26,746.0,796.0,746.0,785.0,39475000,50000,4,597.0,791.0,1393-11-06
2015-01-27,801.0,985.0,756.0,947.0,136491100,143429,5,785.0,985.0,1393-11-07
2015-01-31,897.0,897.0,896.0,896.0,38450000,42700,7,947.0,896.0,1393-11-11
2015-02-01,896.0,1000.0,846.0,969.0,254170000,261000,14,896.0,1000.0,1393-11-12
2015-02-02,1000.0,1000.0,1000.0,1000.0,7035000,7000,1,969.0,1000.0,1393-11-13
2015-02-03,1193.0,1244.0,1193.0,1237.0,28597000,23000,3,1000.0,1244.0,1393-11-14
2015-02-04,1134.0,1134.0,947.0,1065.0,68371840,63920,2,1237.0,947.0,1393-11-15
2015-02-07,995.0,995.0,956.0,979.0,9844000,10000,3,1065.0,956.0,1393-11-18
2015-02-08,956.0,1025.0,847.0,894.0,132670250,147750,5,979.0,1025.0,1393-11-19
2015-02-09,994.0,994.0,915.0,953.0,124604340,130060,7,894.0,985.0,1393-11-20
2015-02-10,925.0,925.0,915.0,920.0,18500000,20000,2,953.0,915.0,1393-11-21
2015-02-14,993.0,993.0,945.0,947.0,9899200,10400,2,920.0,945.0,1393-11-25
2015-02-16,908.0,908.0,896.0,904.0,36350000,40000,4,947.0,896.0,1393-11-27
2015-02-18,857.0,857.0,857.0,857.0,17220000,20000,1,904.0,857.0,1393-11-29
2015-02-22,859.0,859.0,847.0,849.0,47265400,55400,2,857.0,847.0,1393-12-03
2015-02-23,846.0,846.0,807.0,812.0,19592700,24000,2,849.0,807.0,1393-12-04
2015-03-04,709.0,709.0,701.0,706.0,19961993,28099,4,812.0,703.0,1393-12-13
2015-03-07,705.0,794.0,705.0,753.0,39838800,52600,3,706.0,794.0,1393-12-16
2015-03-08,796.0,796.0,760.0,766.0,46560800,60451,3,753.0,760.0,1393-12-17
2015-03-09,796.0,796.0,796.0,796.0,781600,977,1,766.0,796.0,1393-12-18
2015-03-10,890.0,890.0,890.0,890.0,4470000,5000,1,796.0,890.0,1393-12-19
2015-03-18,842.0,908.0,842.0,869.0,158229800,181200,9,890.0,908.0,1393-12-27
2015-04-04,995.0,995.0,985.0,994.0,218379000,218500,6,869.0,995.0,1394-01-15
2015-04-05,1045.0,1114.0,946.0,1043.0,714207500,681310,18,994.0,946.0,1394-01-16
2015-04-06,1244.0,1244.0,905.0,1195.0,42050000,35000,2,1043.0,905.0,1394-01-17
2015-04-07,896.0,896.0,896.0,896.0,22500000,25000,1,1195.0,896.0,1394-01-18
2015-04-08,876.0,896.0,876.0,895.0,159100,177,2,896.0,896.0,1394-01-19
2015-04-11,896.0,896.0,896.0,896.0,13500000,15000,1,895.0,896.0,1394-01-22
2015-04-12,994.0,1094.0,896.0,1005.0,85846000,85000,5,896.0,1094.0,1394-01-23
2015-04-13,1094.0,1154.0,1094.0,1115.0,326554000,291400,10,1005.0,1154.0,1394-01-24
2015-04-15,1144.0,1194.0,1144.0,1189.0,495476000,414480,7,1115.0,1194.0,1394-01-26
2015-04-18,1037.0,1234.0,1037.0,1145.0,54292000,47150,6,1189.0,1194.0,1394-01-29
2015-05-04,995.0,995.0,995.0,995.0,5000,5,1,1145.0,995.0,1394-02-14
2015-05-05,985.0,985.0,985.0,985.0,495000,500,1,995.0,985.0,1394-02-15
2015-05-17,697.0,697.0,567.0,576.0,11570500,20000,5,985.0,567.0,1394-02-27
2015-05-18,602.0,618.0,602.0,604.0,30628080,50480,2,576.0,618.0,1394-02-28
2015-05-31,640.0,640.0,640.0,640.0,6430000,10000,1,604.0,640.0,1394-03-10
2015-06-02,640.0,640.0,639.0,639.0,25692500,40000,3,640.0,639.0,1394-03-12
2015-06-09,647.0,647.0,647.0,647.0,3250000,5000,1,639.0,647.0,1394-03-19
2015-06-24,697.0,697.0,697.0,697.0,2800000,4000,2,647.0,697.0,1394-04-03
2015-06-28,657.0,657.0,644.0,651.0,6531765,9995,2,697.0,644.0,1394-04-07
2015-06-29,644.0,644.0,644.0,644.0,12940000,20000,1,651.0,644.0,1394-04-08
2015-07-15,717.0,786.0,717.0,739.0,23411500,31500,3,644.0,786.0,1394-04-24
2015-07-25,746.0,746.0,718.0,729.0,19052000,26000,4,739.0,718.0,1394-05-03
2015-07-28,731.0,731.0,731.0,731.0,7350000,10000,1,729.0,731.0,1394-05-06
2015-07-29,731.0,731.0,731.0,731.0,6504750,8850,1,731.0,731.0,1394-05-07
2015-08-12,732.0,732.0,732.0,732.0,7360000,10000,1,731.0,732.0,1394-05-21
2015-08-18,731.0,731.0,731.0,731.0,33920250,46150,1,732.0,731.0,1394-05-27
2015-08-31,644.0,644.0,617.0,622.0,6254000,10000,2,731.0,617.0,1394-06-09
2015-09-13,647.0,647.0,647.0,647.0,5200000,8000,1,622.0,647.0,1394-06-22
2015-09-22,599.0,599.0,599.0,599.0,3010000,5000,1,647.0,599.0,1394-06-31
2015-10-14,602.0,602.0,600.0,601.0,20667600,34200,4,599.0,600.0,1394-07-22
2015-10-20,601.0,601.0,601.0,601.0,10690800,17700,1,601.0,601.0,1394-07-28
2015-10-21,601.0,601.0,601.0,601.0,6040000,10000,1,601.0,601.0,1394-07-29
2015-12-01,640.0,640.0,617.0,620.0,12451000,20000,4,601.0,617.0,1394-09-10
2015-12-09,648.0,648.0,627.0,643.0,3232100,5000,4,620.0,627.0,1394-09-18
2015-12-13,687.0,696.0,687.0,693.0,11139000,16000,2,643.0,696.0,1394-09-22
2015-12-22,696.0,696.0,696.0,696.0,977901,1399,1,693.0,696.0,1394-10-01
2015-12-26,613.0,613.0,613.0,613.0,13181784,21399,1,696.0,613.0,1394-10-05
2016-01-06,696.0,697.0,696.0,696.0,34970000,50000,2,613.0,697.0,1394-10-16
2016-01-27,735.0,735.0,735.0,735.0,443400,600,3,696.0,735.0,1394-11-07
2016-02-20,667.0,667.0,647.0,651.0,15833280,24202,4,735.0,667.0,1394-12-01
2016-02-21,647.0,647.0,647.0,647.0,128700,198,1,651.0,647.0,1394-12-02
2016-02-28,667.0,667.0,667.0,667.0,7303670,10901,1,647.0,667.0,1394-12-09
2016-03-06,745.0,746.0,745.0,746.0,80387500,107250,4,667.0,746.0,1394-12-16
2016-03-07,993.0,993.0,607.0,651.0,14396000,22000,3,746.0,607.0,1394-12-17
2016-04-10,647.0,647.0,647.0,647.0,7800000,12000,1,651.0,647.0,1395-01-22
2016-04-17,647.0,647.0,608.0,612.0,13521560,22000,4,647.0,608.0,1395-01-29
2016-04-27,607.0,619.0,499.0,564.0,66859400,118000,6,612.0,499.0,1395-02-08
2016-05-02,517.0,517.0,517.0,517.0,2600000,5000,1,564.0,517.0,1395-02-13
2016-05-04,518.0,518.0,518.0,518.0,1276450,2450,1,517.0,518.0,1395-02-15
2016-05-15,524.0,524.0,524.0,524.0,5270000,10000,1,518.0,524.0,1395-02-26
2016-05-17,527.0,527.0,527.0,527.0,5300000,10000,1,524.0,527.0,1395-02-28
2016-05-18,527.0,527.0,526.0,526.0,10590000,20000,2,527.0,526.0,1395-02-29
2016-05-24,541.0,541.0,527.0,528.0,21931000,41300,2,526.0,527.0,1395-03-04
2016-06-20,541.0,541.0,527.0,534.0,10740000,20000,2,528.0,527.0,1395-03-31
2016-06-22,527.0,527.0,527.0,527.0,1094450,2065,1,534.0,527.0,1395-04-02
2016-06-25,529.0,529.0,529.0,529.0,2128000,4000,1,527.0,529.0,1395-04-05
2016-07-02,549.0,550.0,529.0,539.0,23869685,44000,5,529.0,530.0,1395-04-12
