date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2015-09-16,846.0,846.0,846.0,846.0,162000000000,30000000,25805,157.0,846.0,1394-06-25
2015-09-19,888.0,888.0,888.0,888.0,563819130,99439,162,846.0,888.0,1394-06-28
2015-09-20,933.0,933.0,859.0,904.0,114580430938,19863098,21935,888.0,868.0,1394-06-29
2015-09-21,869.0,882.0,859.0,861.0,36285218526,6600413,6589,904.0,860.0,1394-06-30
2015-09-22,862.0,879.0,852.0,866.0,15807910690,2861003,2433,861.0,862.0,1394-06-31
2015-09-23,858.0,876.0,858.0,871.0,11260689113,2025384,1766,866.0,868.0,1394-07-01
2015-09-26,868.0,871.0,834.0,861.0,8133417337,1480702,1299,871.0,857.0,1394-07-04
2015-09-27,851.0,860.0,846.0,853.0,4471465734,821135,614,861.0,855.0,1394-07-05
2015-09-28,849.0,870.0,849.0,864.0,5464712156,991377,1218,853.0,865.0,1394-07-06
2015-09-29,869.0,869.0,852.0,857.0,1905148069,348111,324,864.0,858.0,1394-07-07
2015-09-30,851.0,851.0,845.0,847.0,2869072755,530476,390,857.0,847.0,1394-07-08
2015-10-03,847.0,847.0,815.0,835.0,3306571861,620337,441,847.0,819.0,1394-07-11
2015-10-04,807.0,822.0,799.0,813.0,4104787560,790757,896,835.0,815.0,1394-07-12
2015-10-05,822.0,846.0,807.0,834.0,4165635669,782277,428,813.0,843.0,1394-07-13
2015-10-06,846.0,846.0,809.0,832.0,2135431068,402296,309,834.0,830.0,1394-07-14
2015-10-07,818.0,832.0,815.0,823.0,1489331488,283337,189,832.0,815.0,1394-07-15
2015-10-10,815.0,826.0,810.0,815.0,1279200511,245823,191,823.0,814.0,1394-07-18
2015-10-11,813.0,815.0,809.0,812.0,1222854415,235942,218,815.0,810.0,1394-07-19
2015-10-12,815.0,822.0,806.0,814.0,1544258926,297097,352,812.0,816.0,1394-07-20
2015-10-13,814.0,855.0,812.0,841.0,3194272984,594734,483,814.0,854.0,1394-07-21
2015-10-14,846.0,858.0,830.0,843.0,3088976909,573779,298,841.0,835.0,1394-07-22
2015-10-17,825.0,855.0,822.0,840.0,3378061500,630171,385,843.0,855.0,1394-07-25
2015-10-18,846.0,847.0,818.0,828.0,2110743018,399331,220,840.0,823.0,1394-07-26
2015-10-19,813.0,830.0,813.0,819.0,1333033513,254960,91,828.0,815.0,1394-07-27
2015-10-20,829.0,841.0,815.0,833.0,1078190775,202804,171,819.0,836.0,1394-07-28
2015-10-21,840.0,840.0,811.0,814.0,1493550853,287411,164,833.0,821.0,1394-07-29
2015-10-25,810.0,815.0,805.0,810.0,1578572409,305279,207,814.0,806.0,1394-08-03
2015-10-26,804.0,816.0,802.0,809.0,696305332,134873,129,810.0,813.0,1394-08-04
2015-10-27,814.0,822.0,808.0,812.0,2039747421,393491,119,809.0,810.0,1394-08-05
2015-10-28,807.0,819.0,801.0,806.0,761557829,147931,129,812.0,802.0,1394-08-06
2015-10-31,802.0,811.0,788.0,799.0,1750727179,343427,158,806.0,798.0,1394-08-09
2015-11-01,791.0,813.0,791.0,801.0,1724045154,336984,220,799.0,797.0,1394-08-10
2015-11-02,799.0,799.0,791.0,792.0,1731998905,342470,163,801.0,791.0,1394-08-11
2015-11-03,790.0,797.0,789.0,790.0,806375847,159875,92,792.0,790.0,1394-08-12
2015-11-04,794.0,809.0,790.0,796.0,1414177531,278450,119,790.0,801.0,1394-08-13
2015-11-07,807.0,810.0,794.0,801.0,995438681,194661,122,796.0,799.0,1394-08-16
2015-11-08,794.0,797.0,761.0,785.0,638747506,127551,145,801.0,775.0,1394-08-17
2015-11-09,774.0,794.0,768.0,789.0,2272281133,451370,152,785.0,788.0,1394-08-18
2015-11-10,796.0,796.0,776.0,786.0,708486285,141255,85,789.0,777.0,1394-08-19
2015-11-11,783.0,785.0,774.0,782.0,1076453683,215575,107,786.0,783.0,1394-08-20
2015-11-14,775.0,783.0,763.0,774.0,753185132,152512,116,782.0,783.0,1394-08-23
2015-11-15,775.0,777.0,766.0,772.0,558885340,113358,89,774.0,777.0,1394-08-24
2015-11-16,774.0,774.0,763.0,767.0,1835359736,374645,137,772.0,763.0,1394-08-25
2015-11-17,760.0,772.0,755.0,764.0,573557842,117627,126,767.0,758.0,1394-08-26
2015-11-18,764.0,773.0,763.0,767.0,1545479862,315440,163,764.0,766.0,1394-08-27
2015-11-21,772.0,806.0,768.0,798.0,4470485359,877489,314,767.0,806.0,1394-08-30
2015-11-22,807.0,810.0,797.0,801.0,1270237038,248570,129,798.0,801.0,1394-09-01
2015-11-23,809.0,809.0,783.0,793.0,461741982,91198,89,801.0,793.0,1394-09-02
2015-11-24,802.0,829.0,802.0,819.0,3290655309,629226,258,793.0,818.0,1394-09-03
2015-11-25,821.0,823.0,804.0,817.0,387134157,74211,78,819.0,812.0,1394-09-04
2015-11-28,814.0,818.0,777.0,788.0,2076198756,412655,101,817.0,777.0,1394-09-07
