date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2019-06-17,13344.0,13344.0,13344.0,13344.0,4500000000000,200000000,468443,593.0,13344.0,1398-03-27
2019-06-18,14011.0,14011.0,14011.0,13893.0,8644482000,365904,1290,13344.0,14011.0,1398-03-28
2019-06-19,14587.0,14587.0,14587.0,14587.0,198442028601,8067733,20277,13893.0,14587.0,1398-03-29
2019-06-24,20500.0,21184.0,19475.0,20213.0,1049361670293,35476160,75834,14587.0,20090.0,1398-04-03
2019-06-25,19352.0,19988.0,19203.0,19370.0,597089030155,21065215,50121,20213.0,19208.0,1398-04-04
2019-06-26,19134.0,20159.0,19133.0,19495.0,833838064535,29227967,75556,19370.0,19585.0,1398-04-05
2019-06-30,19745.0,19745.0,18997.0,19253.0,419070599453,14874614,37954,19495.0,19048.0,1398-04-09
2019-07-01,18793.0,19100.0,18450.0,18625.0,327507020325,12016146,28584,19253.0,18669.0,1398-04-10
2019-07-02,18660.0,19267.0,18655.0,18845.0,239092636469,8669950,20925,18625.0,19052.0,1398-04-11
2019-07-03,19130.0,19415.0,18999.0,19117.0,180904235537,6466293,20231,18845.0,19059.0,1398-04-12
2019-07-06,19065.0,19065.0,18451.0,18548.0,183003399781,6742298,15957,19117.0,18483.0,1398-04-15
2019-07-07,18451.0,18601.0,18315.0,18465.0,152199395777,5632324,13005,18548.0,18560.0,1398-04-16
2019-07-08,18519.0,18519.0,18450.0,18476.0,166071179332,6142395,12774,18465.0,18457.0,1398-04-17
2019-07-09,18245.0,18266.0,17904.0,18045.0,246777891184,9345260,21991,18476.0,18040.0,1398-04-18
2019-07-10,17839.0,17993.0,17768.0,17833.0,253283036716,9705642,23752,18045.0,17913.0,1398-04-19
2019-07-13,17767.0,17904.0,17460.0,17589.0,320653781923,12457854,35145,17833.0,17769.0,1398-04-22
2019-07-14,18040.0,18467.0,17994.0,18382.0,92941138330,3455051,6829,17589.0,18467.0,1398-04-23
2019-07-15,19087.0,19128.0,18204.0,18657.0,203473891786,7452808,12525,18382.0,18314.0,1398-04-24
2019-07-16,18245.0,18245.0,17724.0,17930.0,213198166264,8125349,11267,18657.0,18110.0,1398-04-25
2019-07-17,17816.0,18602.0,17816.0,18347.0,111476517493,4152000,9142,17930.0,18448.0,1398-04-26
2019-07-20,18450.0,18519.0,18112.0,18221.0,131443844550,4929441,7573,18347.0,18245.0,1398-04-29
2019-07-21,18143.0,19064.0,18143.0,18817.0,188894472956,6859635,10719,18221.0,18950.0,1398-04-30
2019-07-22,19758.0,19758.0,19476.0,19726.0,214263781657,7422780,6664,18817.0,19758.0,1398-04-31
2019-07-23,19821.0,20145.0,19175.0,19715.0,309936630387,10743156,13327,19726.0,19783.0,1398-05-01
2019-07-24,19821.0,19821.0,19449.0,19663.0,152714811152,5307134,6325,19715.0,19684.0,1398-05-02
2019-07-27,19652.0,19652.0,19166.0,19310.0,135074792482,4780075,5870,19663.0,19225.0,1398-05-05
2019-07-28,19141.0,19202.0,18829.0,18927.0,96257434802,3475246,5143,19310.0,18909.0,1398-05-06
2019-07-29,18906.0,19202.0,18782.0,18947.0,94189216354,3397109,4490,18927.0,18929.0,1398-05-07
2019-07-30,18947.0,19202.0,18944.0,19048.0,119577626582,4290006,3423,18947.0,18997.0,1398-05-08
2019-07-31,19065.0,19270.0,18929.0,19111.0,91737339291,3280164,4638,19048.0,19188.0,1398-05-09
2019-08-03,19086.0,19188.0,18949.0,19054.0,91188779168,3270460,4149,19111.0,19087.0,1398-05-12
2019-08-04,19065.0,19087.0,18796.0,18906.0,113950666800,4118693,4573,19054.0,18936.0,1398-05-13
2019-08-05,18860.0,18895.0,18608.0,18698.0,83592043926,3055073,4397,18906.0,18664.0,1398-05-14
2019-08-06,18724.0,18724.0,18457.0,18498.0,77503983551,2863190,4314,18698.0,18526.0,1398-05-15
2019-08-07,18450.0,18635.0,18382.0,18461.0,60461415996,2238022,4601,18498.0,18554.0,1398-05-16
2019-08-10,18450.0,18457.0,18232.0,18315.0,69839832436,2605756,6870,18461.0,18314.0,1398-05-19
2019-08-11,18291.0,18620.0,18280.0,18439.0,38709986588,1434583,3488,18315.0,18385.0,1398-05-20
2019-08-13,18452.0,19175.0,18390.0,18729.0,88869608965,3242545,5087,18439.0,19127.0,1398-05-22
2019-08-14,19188.0,19188.0,18792.0,18906.0,53993130826,1951614,3646,18729.0,18808.0,1398-05-23
2019-08-17,18829.0,18829.0,18536.0,18612.0,58640347115,2153075,3723,18906.0,18541.0,1398-05-26
2019-08-18,18458.0,18724.0,18449.0,18502.0,63631491797,2350200,3810,18612.0,18621.0,1398-05-27
2019-08-19,18604.0,18792.0,18452.0,18607.0,51473403044,1890399,4353,18502.0,18659.0,1398-05-28
2019-08-21,18744.0,18997.0,18608.0,18726.0,97556786717,3560125,3974,18607.0,18860.0,1398-05-30
2019-08-24,18782.0,19168.0,18636.0,19014.0,113306558476,4072154,5201,18726.0,19141.0,1398-06-02
2019-08-25,19134.0,19202.0,18997.0,19093.0,126545723829,4529084,4336,19014.0,19141.0,1398-06-03
2019-08-26,19229.0,20048.0,19134.0,19685.0,259575116229,9011182,7583,19093.0,19817.0,1398-06-04
2019-08-27,20023.0,20043.0,19339.0,19604.0,105781562745,3687333,3994,19685.0,19361.0,1398-06-05
2019-08-28,19332.0,19612.0,19113.0,19284.0,65513009554,2321522,2922,19604.0,19380.0,1398-06-06
2019-08-31,19206.0,19528.0,19203.0,19352.0,81639511612,2882716,3378,19284.0,19209.0,1398-06-09
2019-09-01,19202.0,19280.0,19005.0,19134.0,55438754450,1979929,2898,19352.0,19160.0,1398-06-10
2019-09-02,19342.0,19342.0,18644.0,19008.0,96050198533,3453005,3164,19134.0,19003.0,1398-06-11
2019-09-03,19031.0,19817.0,18930.0,19285.0,146850361875,5203424,3638,19008.0,19544.0,1398-06-12
2019-09-04,19339.0,19544.0,19339.0,19477.0,146844586649,5152162,3567,19285.0,19489.0,1398-06-13
2019-09-07,19475.0,19809.0,19441.0,19586.0,83548258151,2914970,3226,19477.0,19631.0,1398-06-16
2019-09-08,19810.0,19810.0,19477.0,19585.0,83107369670,2899660,2677,19586.0,19608.0,1398-06-17
2019-09-11,19613.0,19626.0,19456.0,19529.0,61632053109,2156537,2667,19585.0,19473.0,1398-06-20
2019-09-14,19475.0,19475.0,19339.0,19385.0,86573188772,3051740,4136,19529.0,19348.0,1398-06-23
2019-09-15,19312.0,19339.0,19130.0,19229.0,58012344027,2061631,3372,19385.0,19230.0,1398-06-24
2019-09-16,19346.0,19749.0,19270.0,19538.0,73151028014,2558553,2930,19229.0,19428.0,1398-06-25
2019-09-17,19285.0,19503.0,19120.0,19270.0,71831505903,2547222,2632,19538.0,19134.0,1398-06-26
