date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2017-10-09,1111.0,1111.0,1111.0,1111.0,96000000000,80000000,126817,926.0,1111.0,1396-07-17
2017-10-10,1167.0,1167.0,1167.0,1167.0,69817860,55411,149,1111.0,1167.0,1396-07-18
2017-10-11,1225.0,1225.0,1225.0,1225.0,244534059,184833,324,1167.0,1225.0,1396-07-19
2017-10-14,1286.0,1286.0,1286.0,1286.0,261401466,188194,348,1225.0,1286.0,1396-07-22
2017-10-15,1350.0,1350.0,1350.0,1350.0,1491885378,1023241,592,1286.0,1350.0,1396-07-23
2017-10-16,1416.0,1416.0,1407.0,1416.0,112202875674,73337321,50101,1350.0,1416.0,1396-07-24
2017-10-17,1390.0,1412.0,1348.0,1367.0,71445089456,48383810,55720,1416.0,1357.0,1396-07-25
2017-10-18,1360.0,1379.0,1342.0,1354.0,32881563327,22480302,19041,1367.0,1353.0,1396-07-26
2017-10-21,1353.0,1358.0,1301.0,1314.0,21717972383,15300074,8793,1354.0,1304.0,1396-07-29
2017-10-22,1297.0,1305.0,1252.0,1268.0,16701046618,12190255,6809,1314.0,1271.0,1396-07-30
2017-10-23,1268.0,1292.0,1232.0,1254.0,8014725177,5916996,4287,1268.0,1242.0,1396-08-01
2017-10-24,1235.0,1273.0,1214.0,1237.0,5282993448,3954464,2861,1254.0,1223.0,1396-08-02
2017-10-25,1214.0,1267.0,1214.0,1226.0,5576113025,4211975,2299,1237.0,1215.0,1396-08-03
2017-10-28,1213.0,1262.0,1213.0,1238.0,5513524848,4124094,2123,1226.0,1231.0,1396-08-06
2017-10-29,1231.0,1241.0,1215.0,1221.0,3454645150,2619909,1235,1238.0,1217.0,1396-08-07
2017-10-30,1217.0,1234.0,1189.0,1199.0,5554618927,4287865,1719,1221.0,1193.0,1396-08-08
2017-10-31,1196.0,1205.0,1184.0,1193.0,3026114008,2347883,1215,1199.0,1188.0,1396-08-09
2017-11-01,1186.0,1200.0,1177.0,1184.0,2679021159,2094368,929,1193.0,1182.0,1396-08-10
2017-11-04,1173.0,1241.0,1145.0,1211.0,8446282015,6455561,2841,1184.0,1228.0,1396-08-13
2017-11-05,1229.0,1231.0,1182.0,1200.0,3277268990,2528998,981,1211.0,1198.0,1396-08-14
2017-11-06,1184.0,1216.0,1182.0,1192.0,1492353590,1159123,567,1200.0,1188.0,1396-08-15
2017-11-07,1198.0,1198.0,1162.0,1168.0,2465674235,1953900,724,1192.0,1174.0,1396-08-16
2017-11-08,1167.0,1177.0,1151.0,1156.0,2782998546,2229015,886,1168.0,1156.0,1396-08-17
2017-11-11,1156.0,1170.0,1140.0,1149.0,2976901488,2399453,868,1156.0,1144.0,1396-08-20
2017-11-12,1148.0,1161.0,1142.0,1150.0,1994757571,1605958,632,1149.0,1154.0,1396-08-21
2017-11-13,1153.0,1154.0,1143.0,1146.0,2007381444,1621371,625,1150.0,1147.0,1396-08-22
2017-11-14,1153.0,1157.0,1142.0,1146.0,1881056247,1519980,695,1146.0,1145.0,1396-08-23
2017-11-15,1148.0,1150.0,1134.0,1142.0,2443263518,1981923,750,1146.0,1136.0,1396-08-24
2017-11-18,1136.0,1147.0,1129.0,1134.0,1309201288,1068745,434,1142.0,1132.0,1396-08-27
2017-11-20,1129.0,1138.0,1122.0,1130.0,1081109169,885532,435,1134.0,1131.0,1396-08-29
2017-11-21,1129.0,1131.0,1111.0,1117.0,2780099061,2304569,807,1130.0,1116.0,1396-08-30
2017-11-22,1120.0,1147.0,1117.0,1129.0,1680196705,1377052,640,1117.0,1130.0,1396-09-01
2017-11-25,1131.0,1186.0,1131.0,1178.0,6962209520,5473545,1824,1129.0,1186.0,1396-09-04
2017-11-26,1204.0,1204.0,1180.0,1191.0,4878061610,3793291,1540,1178.0,1199.0,1396-09-05
2017-11-28,1190.0,1195.0,1162.0,1178.0,2941537373,2312564,917,1191.0,1167.0,1396-09-07
2017-11-29,1160.0,1182.0,1153.0,1161.0,1768102030,1409424,560,1178.0,1161.0,1396-09-08
2017-12-02,1161.0,1192.0,1158.0,1177.0,972874530,765413,366,1161.0,1180.0,1396-09-11
2017-12-03,1163.0,1192.0,1149.0,1155.0,1002359246,803418,345,1177.0,1150.0,1396-09-12
2017-12-04,1157.0,1162.0,1153.0,1155.0,1487394566,1191614,365,1155.0,1155.0,1396-09-13
2017-12-05,1171.0,1183.0,1148.0,1154.0,1739795820,1396396,506,1155.0,1148.0,1396-09-14
2017-12-09,1142.0,1148.0,1132.0,1139.0,959987141,780343,356,1154.0,1144.0,1396-09-18
2017-12-10,1154.0,1157.0,1130.0,1139.0,1154141428,938217,412,1139.0,1132.0,1396-09-19
2017-12-11,1130.0,1142.0,1120.0,1130.0,2252219915,1844093,639,1139.0,1129.0,1396-09-20
2017-12-12,1122.0,1141.0,1121.0,1128.0,2988466121,2453798,835,1130.0,1129.0,1396-09-21
2017-12-13,1134.0,1176.0,1112.0,1143.0,3868124088,3132164,1057,1128.0,1134.0,1396-09-22
2017-12-16,1139.0,1142.0,1112.0,1123.0,1875541051,1545991,547,1143.0,1123.0,1396-09-25
2017-12-17,1123.0,1136.0,1111.0,1117.0,5034685527,4173696,1208,1123.0,1120.0,1396-09-26
2017-12-18,1115.0,1134.0,1115.0,1122.0,1785239754,1472819,451,1117.0,1133.0,1396-09-27
2017-12-19,1128.0,1146.0,1117.0,1130.0,1537381737,1259464,544,1122.0,1125.0,1396-09-28
2017-12-20,1120.0,1128.0,1115.0,1118.0,3679563453,3046855,1263,1130.0,1121.0,1396-09-29
2017-12-23,1115.0,1129.0,1115.0,1122.0,1126228803,929477,443,1118.0,1121.0,1396-10-02
2017-12-24,1126.0,1146.0,1120.0,1129.0,2083414238,1709744,699,1122.0,1120.0,1396-10-03
2017-12-25,1120.0,1139.0,1112.0,1117.0,3271881608,2711998,913,1129.0,1116.0,1396-10-04
2017-12-26,1116.0,1144.0,1113.0,1135.0,2825846842,2304638,940,1117.0,1127.0,1396-10-05
2017-12-27,1121.0,1127.0,1114.0,1118.0,1832390488,1517273,564,1135.0,1115.0,1396-10-06
2017-12-30,1129.0,1134.0,1111.0,1117.0,3105859952,2572812,823,1118.0,1124.0,1396-10-09
2017-12-31,1111.0,1120.0,1108.0,1111.0,19588209768,16324976,3758,1117.0,1117.0,1396-10-10
2018-01-01,1122.0,1129.0,1113.0,1118.0,671026204,555326,244,1111.0,1113.0,1396-10-11
2018-01-02,1114.0,1127.0,1111.0,1115.0,5826775045,4841371,1161,1118.0,1122.0,1396-10-12
2018-01-03,1118.0,1128.0,1111.0,1116.0,2176264185,1805721,587,1115.0,1114.0,1396-10-13
2018-01-06,1120.0,1149.0,1117.0,1141.0,3590174270,2914702,908,1116.0,1147.0,1396-10-16
