date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2021-09-13,2886.0,2886.0,2886.0,2886.0,1237875920028,371399916,139,866.0,2886.0,1400-06-22
2021-09-14,3030.0,3030.0,3030.0,3030.0,15780490000,4510000,463,2886.0,3030.0,1400-06-23
2021-09-15,3180.0,3180.0,3180.0,3180.0,16601960000,4520000,716,3030.0,3180.0,1400-06-24
2021-09-18,3339.0,3339.0,3339.0,3339.0,17352053984,4500014,471,3180.0,3339.0,1400-06-27
2021-09-19,3505.0,3505.0,3505.0,3505.0,18355656000,4534500,563,3339.0,3505.0,1400-06-28
2021-09-20,3680.0,3680.0,3680.0,3680.0,19174300000,4511600,551,3505.0,3680.0,1400-06-29
2021-09-21,3864.0,3864.0,3864.0,3831.0,16523785488,3703224,561,3680.0,3864.0,1400-06-30
2021-09-22,4022.0,4022.0,3827.0,4004.0,479665611761,103733703,23714,3831.0,4022.0,1400-06-31
2021-09-25,4191.0,4191.0,3827.0,4050.0,202117304403,43210685,10287,4004.0,4004.0,1400-07-03
2021-09-26,4050.0,4104.0,3848.0,3950.0,121951131919,26729676,6632,4050.0,3983.0,1400-07-04
2021-09-28,3983.0,4148.0,3908.0,4058.0,80517566444,17181884,4387,3950.0,4065.0,1400-07-06
2021-09-29,4138.0,4243.0,3909.0,4043.0,75003257899,16062628,2111,4058.0,3973.0,1400-07-07
2021-10-02,3927.0,4035.0,3841.0,3857.0,87016794808,19534028,1554,4043.0,3841.0,1400-07-10
2021-10-03,3896.0,4032.0,3757.0,3935.0,80231449161,17658500,1830,3857.0,3888.0,1400-07-11
2021-10-04,3857.0,3982.0,3741.0,3826.0,36799970403,8326756,1082,3935.0,3766.0,1400-07-12
2021-10-06,3800.0,3800.0,3636.0,3660.0,27642577285,6539026,889,3826.0,3636.0,1400-07-14
2021-10-09,3637.0,3757.0,3477.0,3591.0,22282276688,5373391,649,3660.0,3496.0,1400-07-17
2021-10-10,3591.0,3770.0,3591.0,3732.0,58748658762,13630507,1373,3591.0,3749.0,1400-07-18
2021-10-11,3732.0,3818.0,3593.0,3725.0,27368981325,6362490,753,3732.0,3737.0,1400-07-19
2021-10-12,3809.0,3809.0,3565.0,3657.0,15244828468,3608704,549,3725.0,3611.0,1400-07-20
2021-10-13,3559.0,3675.0,3475.0,3572.0,11634596317,2837511,361,3657.0,3475.0,1400-07-21
2021-10-16,3472.0,3671.0,3393.0,3470.0,18062446086,4506066,780,3572.0,3430.0,1400-07-24
2021-10-17,3533.0,3533.0,3309.0,3413.0,17539302775,4449334,425,3470.0,3320.0,1400-07-25
2021-10-18,3312.0,3584.0,3257.0,3483.0,142133117768,35335714,697,3413.0,3584.0,1400-07-26
2021-10-19,3657.0,3657.0,3657.0,3657.0,18537690431,4389697,157,3483.0,3657.0,1400-07-27
2021-10-20,3715.0,3839.0,3546.0,3825.0,62346479978,14110745,742,3657.0,3839.0,1400-07-28
2021-10-23,3878.0,4016.0,3847.0,4013.0,100276854901,21635824,588,3825.0,4016.0,1400-08-01
2021-10-25,4087.0,4213.0,4041.0,4198.0,86067118348,17753631,823,4013.0,4213.0,1400-08-03
2021-10-26,4407.0,4407.0,4407.0,4407.0,67833651230,13326847,354,4198.0,4407.0,1400-08-04
2021-10-27,4627.0,4627.0,4627.0,4627.0,123147900192,23044143,579,4407.0,4627.0,1400-08-05
2021-10-30,4806.0,4806.0,4396.0,4490.0,169905905779,32762198,2448,4627.0,4477.0,1400-08-08
2021-10-31,4503.0,4628.0,4266.0,4368.0,61415944011,12173297,767,4490.0,4266.0,1400-08-09
2021-11-01,4165.0,4587.0,4165.0,4534.0,50025341011,9553426,804,4368.0,4503.0,1400-08-10
2021-11-02,4410.0,4571.0,4308.0,4324.0,77904683223,15598159,852,4534.0,4308.0,1400-08-11
2021-11-03,4109.0,4425.0,4109.0,4244.0,110732738475,22592221,1352,4324.0,4260.0,1400-08-12
2021-11-06,4303.0,4456.0,4303.0,4444.0,69214002172,13487752,729,4244.0,4456.0,1400-08-15
2021-11-07,4485.0,4589.0,4222.0,4398.0,51243788018,10089936,767,4444.0,4397.0,1400-08-16
2021-11-08,4485.0,4617.0,4407.0,4593.0,57020813754,10748941,609,4398.0,4617.0,1400-08-17
2021-11-09,4823.0,4823.0,4823.0,4823.0,58421808350,10488655,268,4593.0,4823.0,1400-08-18
2021-11-10,5064.0,5064.0,4828.0,5024.0,128735314338,22187112,1345,4823.0,5064.0,1400-08-19
2021-11-13,5273.0,5275.0,4851.0,5204.0,75077684507,12491523,833,5024.0,5272.0,1400-08-22
2021-11-14,5274.0,5464.0,5066.0,5393.0,125008276965,20073242,1392,5204.0,5464.0,1400-08-23
2021-11-15,5415.0,5541.0,5123.0,5207.0,56537765312,9400824,684,5393.0,5123.0,1400-08-24
2021-11-16,5230.0,5247.0,4970.0,5207.0,491430132970,81725697,1468,5207.0,5124.0,1400-08-25
2021-11-17,5195.0,5412.0,4970.0,5155.0,40822586608,6856831,650,5207.0,5096.0,1400-08-26
2021-11-20,5117.0,5207.0,4927.0,5071.0,33737901513,5761128,830,5155.0,4970.0,1400-08-29
2021-11-21,5058.0,5300.0,5022.0,5168.0,37720117081,6319292,670,5071.0,5110.0,1400-08-30
2021-11-22,5148.0,5227.0,4910.0,4936.0,82125527586,14405503,1044,5168.0,4989.0,1400-09-01
2021-11-23,5013.0,5183.0,4979.0,5156.0,162651671811,27313387,1504,4936.0,5183.0,1400-09-02
2021-11-24,5247.0,5247.0,4899.0,5024.0,43364977184,7474731,792,5156.0,4961.0,1400-09-03
2021-11-27,4979.0,5017.0,4773.0,4814.0,37509875842,6745984,676,5024.0,4773.0,1400-09-06
2021-11-28,4814.0,5039.0,4574.0,4901.0,40170783418,7096791,1167,4814.0,4936.0,1400-09-07
2021-11-29,5022.0,5122.0,4728.0,4937.0,31627504674,5547072,924,4901.0,4814.0,1400-09-08
2021-11-30,4963.0,5031.0,4762.0,4935.0,128304640654,22514995,784,4937.0,4849.0,1400-09-09
2021-12-01,4936.0,5021.0,4711.0,4871.0,31520141960,5603491,525,4935.0,4961.0,1400-09-10
2021-12-04,4806.0,5097.0,4806.0,4896.0,13625535125,2407131,295,4871.0,4892.0,1400-09-13
2021-12-05,4892.0,5057.0,4892.0,4989.0,35909608433,6231962,489,4896.0,4944.0,1400-09-14
2021-12-06,4995.0,5039.0,4810.0,4929.0,10543058804,1865595,269,4989.0,4917.0,1400-09-15
2021-12-07,4936.0,4936.0,4732.0,4881.0,5613173855,1014979,218,4929.0,4754.0,1400-09-16
2021-12-08,4840.0,4840.0,4638.0,4655.0,21309460652,3963585,379,4881.0,4638.0,1400-09-17
2021-12-11,4728.0,4844.0,4464.0,4736.0,29833701115,5454256,566,4655.0,4467.0,1400-09-20
2021-12-12,4511.0,4511.0,4500.0,4538.0,12926649456,2487314,52,4736.0,4500.0,1400-09-21
2021-12-13,4311.0,4311.0,4311.0,4383.0,10122531055,2033045,40,4538.0,4311.0,1400-09-22
2021-12-14,4164.0,4164.0,4164.0,4377.0,407101086,84654,20,4383.0,4164.0,1400-09-23
2021-12-15,4159.0,4159.0,4159.0,4374.0,154166694,32098,16,4377.0,4159.0,1400-09-24
2021-12-18,4156.0,4156.0,4156.0,4331.0,2856796800,595166,22,4374.0,4156.0,1400-09-27
2021-12-19,4115.0,4115.0,4115.0,4328.0,198063360,41680,10,4331.0,4115.0,1400-09-28
2021-12-20,4112.0,4112.0,4112.0,4325.0,165730602,34898,6,4328.0,4112.0,1400-09-29
2021-12-21,4109.0,4109.0,4109.0,4300.0,1633335900,344150,30,4325.0,4109.0,1400-09-30
2021-12-22,4085.0,4085.0,4085.0,4167.0,8659148274,1835343,149,4300.0,4085.0,1400-10-01
2021-12-25,3960.0,4104.0,3960.0,3982.0,230844115847,50189105,2362,4167.0,3960.0,1400-10-04
2021-12-26,3820.0,3913.0,3784.0,3812.0,176312527309,40055458,2903,3982.0,3784.0,1400-10-05
2021-12-27,3723.0,3944.0,3676.0,3784.0,103521384327,23690875,2681,3812.0,3700.0,1400-10-06
2021-12-28,3775.0,3973.0,3637.0,3950.0,686862018116,150551645,5052,3784.0,3973.0,1400-10-07
2021-12-29,3973.0,3974.0,3753.0,3776.0,491448658292,112684741,5868,3950.0,3753.0,1400-10-08
2022-01-01,3706.0,3896.0,3637.0,3775.0,112361881648,25769556,2421,3776.0,3723.0,1400-10-11
