date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2004-06-16,769.0,769.0,769.0,769.0,2178999000,262530,497,0.0,769.0,1383-03-27
2004-07-12,417.0,417.0,417.0,417.0,46350000,10300,9,769.0,417.0,1383-04-22
2004-07-13,438.0,438.0,417.0,420.0,137435734,30310,24,417.0,420.0,1383-04-23
2004-07-14,441.0,441.0,441.0,441.0,113811600,23910,11,420.0,441.0,1383-04-24
2004-07-17,463.0,463.0,451.0,451.0,17541610,3510,6,441.0,451.0,1383-04-27
2004-07-18,473.0,473.0,473.0,473.0,41903820,8210,5,451.0,473.0,1383-04-28
2004-07-19,496.0,496.0,496.0,496.0,54641400,10200,7,473.0,496.0,1383-04-29
2004-07-20,521.0,521.0,521.0,521.0,47804000,8500,6,496.0,521.0,1383-04-30
2004-07-24,547.0,547.0,547.0,547.0,53145000,9000,1,521.0,547.0,1383-05-03
2004-07-26,575.0,575.0,575.0,575.0,104346000,16830,21,547.0,575.0,1383-05-05
2004-07-27,603.0,603.0,603.0,603.0,82546800,12680,9,575.0,603.0,1383-05-06
2004-07-28,633.0,633.0,633.0,633.0,69648650,10190,26,603.0,633.0,1383-05-07
2004-07-31,665.0,665.0,665.0,665.0,97808880,13630,15,633.0,665.0,1383-05-10
2004-08-01,668.0,668.0,667.0,667.0,253338191,35186,27,665.0,667.0,1383-05-11
2004-08-02,700.0,700.0,695.0,699.0,144243149,19114,27,667.0,699.0,1383-05-12
2004-08-03,734.0,734.0,734.0,734.0,146575500,18500,13,699.0,734.0,1383-05-13
2004-08-04,734.0,744.0,734.0,738.0,31647780,3949,11,734.0,738.0,1383-05-14
2004-08-07,744.0,744.0,738.0,739.0,92162395,11553,17,738.0,739.0,1383-05-17
2004-08-08,732.0,736.0,732.0,734.0,66703919,8423,15,739.0,734.0,1383-05-18
2004-08-09,737.0,737.0,732.0,736.0,66767549,8408,13,734.0,736.0,1383-05-19
2004-08-10,732.0,736.0,732.0,734.0,24602130,3113,8,736.0,734.0,1383-05-20
2004-08-11,732.0,733.0,732.0,733.0,39819352,5042,7,734.0,733.0,1383-05-21
2004-08-14,699.0,718.0,699.0,718.0,27849950,3690,3,733.0,718.0,1383-05-24
2004-08-15,699.0,705.0,682.0,705.0,22034002,2990,7,718.0,705.0,1383-05-25
2004-08-21,670.0,670.0,670.0,670.0,144560000,20000,18,705.0,670.0,1383-05-31
2004-08-22,639.0,668.0,639.0,664.0,12320167,1773,5,670.0,664.0,1383-06-01
2004-08-24,667.0,667.0,666.0,666.0,30149214,4188,6,664.0,666.0,1383-06-03
2004-08-28,664.0,665.0,664.0,665.0,4491789,627,3,666.0,665.0,1383-06-07
2004-08-29,649.0,649.0,648.0,649.0,142220097,20322,20,665.0,649.0,1383-06-08
