date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2016-03-16,548.0,548.0,548.0,548.0,213640000000,196000000,50657,503.0,548.0,1394-12-26
2016-03-26,575.0,575.0,575.0,575.0,250103568,218622,143,548.0,575.0,1395-01-07
2016-03-27,604.0,604.0,604.0,604.0,526836665,438665,258,575.0,604.0,1395-01-08
2016-03-28,634.0,634.0,634.0,634.0,2488219071,1973211,979,604.0,634.0,1395-01-09
2016-03-29,644.0,644.0,602.0,615.0,126662238760,103490489,32677,634.0,611.0,1395-01-10
2016-03-30,603.0,639.0,603.0,625.0,52570854557,42247039,9722,615.0,632.0,1395-01-11
2016-04-02,631.0,641.0,626.0,631.0,32592390039,25961545,5749,625.0,626.0,1395-01-14
2016-04-03,627.0,627.0,604.0,614.0,14963790767,12249511,3053,631.0,623.0,1395-01-15
2016-04-04,618.0,626.0,609.0,617.0,9517984914,7750258,2256,614.0,617.0,1395-01-16
2016-04-05,618.0,648.0,608.0,638.0,24445568191,19268316,3682,617.0,648.0,1395-01-17
2016-04-06,670.0,670.0,654.0,670.0,38774450539,29112288,2414,638.0,670.0,1395-01-18
2016-04-09,670.0,683.0,654.0,669.0,38104695887,28649825,3868,670.0,668.0,1395-01-21
2016-04-10,664.0,668.0,643.0,653.0,22116272580,17030718,2136,669.0,643.0,1395-01-22
2016-04-11,642.0,663.0,634.0,647.0,9783363475,7603588,1279,653.0,639.0,1395-01-23
2016-04-12,643.0,679.0,640.0,676.0,61047846440,45418814,4114,647.0,677.0,1395-01-24
2016-04-13,679.0,684.0,642.0,652.0,14295417972,11009226,1255,676.0,646.0,1395-01-25
2016-04-16,657.0,657.0,620.0,622.0,19100639427,15424922,1353,652.0,620.0,1395-01-28
2016-04-17,612.0,653.0,596.0,634.0,11908518127,9444264,1154,622.0,642.0,1395-01-29
2016-04-18,646.0,659.0,634.0,645.0,8826261688,6872241,836,634.0,638.0,1395-01-30
2016-04-19,638.0,642.0,617.0,627.0,6608329671,5299674,750,645.0,623.0,1395-01-31
2016-04-20,623.0,643.0,623.0,633.0,4270780234,3391654,563,627.0,632.0,1395-02-01
2016-04-23,639.0,643.0,624.0,631.0,3424088349,2726761,458,633.0,636.0,1395-02-04
2016-04-24,628.0,647.0,628.0,638.0,7732592600,6089414,953,631.0,638.0,1395-02-05
2016-04-25,639.0,654.0,632.0,641.0,8262000654,6476441,862,638.0,638.0,1395-02-06
2016-04-26,643.0,673.0,635.0,666.0,32296108217,24389736,2545,641.0,673.0,1395-02-07
2016-04-27,685.0,696.0,669.0,681.0,13813286358,10198936,1359,666.0,669.0,1395-02-08
2016-04-30,679.0,681.0,652.0,660.0,5947386235,4534081,631,681.0,655.0,1395-02-11
2016-05-01,664.0,676.0,644.0,661.0,5296330165,4029396,601,660.0,659.0,1395-02-12
2016-05-02,660.0,660.0,637.0,644.0,8893770982,6943920,852,661.0,651.0,1395-02-13
2016-05-03,652.0,654.0,639.0,644.0,2607981148,2036272,395,644.0,643.0,1395-02-14
2016-05-04,646.0,664.0,640.0,650.0,5723064796,4423965,627,644.0,644.0,1395-02-15
2016-05-07,646.0,652.0,623.0,633.0,4946766992,3925357,594,650.0,630.0,1395-02-18
2016-05-08,623.0,648.0,621.0,635.0,6827396136,5403521,971,633.0,643.0,1395-02-19
2016-05-09,639.0,651.0,637.0,644.0,6982175791,5447129,574,635.0,644.0,1395-02-20
2016-05-10,638.0,650.0,628.0,635.0,3977823516,3148152,388,644.0,633.0,1395-02-21
2016-05-11,629.0,638.0,614.0,622.0,5634818191,4551433,533,635.0,628.0,1395-02-22
2016-05-14,637.0,643.0,622.0,632.0,4230756763,3365186,417,622.0,628.0,1395-02-25
2016-05-15,638.0,638.0,619.0,624.0,6403403393,5160773,641,632.0,628.0,1395-02-26
2016-05-16,628.0,638.0,623.0,630.0,4032460940,3215068,438,624.0,634.0,1395-02-27
2016-05-17,634.0,643.0,628.0,636.0,4171880752,3297462,469,630.0,632.0,1395-02-28
2016-05-18,631.0,638.0,628.0,632.0,3926758624,3121430,382,636.0,636.0,1395-02-29
2016-05-21,641.0,641.0,625.0,630.0,6682966182,5331280,460,632.0,633.0,1395-03-01
2016-05-23,628.0,662.0,628.0,655.0,6718806612,5160852,617,630.0,662.0,1395-03-03
2016-05-24,671.0,687.0,664.0,682.0,51974785410,38299655,3369,655.0,687.0,1395-03-04
2016-05-25,699.0,716.0,694.0,713.0,33634969893,23726305,2145,682.0,716.0,1395-03-05
2016-05-28,734.0,748.0,713.0,739.0,61551749002,41864316,3139,713.0,718.0,1395-03-08
2016-05-29,720.0,729.0,702.0,709.0,16481815278,11687502,1150,739.0,714.0,1395-03-09
2016-05-30,714.0,728.0,695.0,710.0,6337013557,4487101,540,709.0,699.0,1395-03-10
2016-05-31,713.0,730.0,679.0,706.0,12590590962,8966726,848,710.0,684.0,1395-03-11
2016-06-01,675.0,693.0,671.0,680.0,7111785880,5261074,677,706.0,685.0,1395-03-12
2016-06-05,684.0,699.0,664.0,678.0,4491979349,3332450,461,680.0,673.0,1395-03-16
2016-06-06,661.0,684.0,660.0,675.0,6912750368,5151288,513,678.0,664.0,1395-03-17
2016-06-07,678.0,678.0,652.0,660.0,5117331782,3900476,435,675.0,654.0,1395-03-18
2016-06-08,666.0,676.0,653.0,665.0,4220019549,3190148,618,660.0,654.0,1395-03-19
2016-06-11,652.0,659.0,632.0,640.0,6344027943,4984924,486,665.0,638.0,1395-03-22
