date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2001-04-09,456.0,458.0,456.0,458.0,149649355,4049,17,0.0,458.0,1380-01-20
2001-04-10,458.0,458.0,458.0,458.0,144532077,3905,9,458.0,458.0,1380-01-21
2001-04-11,458.0,458.0,458.0,458.0,90727600,2450,4,458.0,458.0,1380-01-22
2001-04-14,458.0,459.0,458.0,459.0,127919088,3448,11,458.0,459.0,1380-01-25
2001-04-15,460.0,460.0,460.0,460.0,735005193,19759,40,459.0,460.0,1380-01-26
2001-04-16,461.0,463.0,461.0,463.0,94519120,2530,9,460.0,463.0,1380-01-27
2001-04-18,471.0,471.0,465.0,471.0,111664630,2952,17,463.0,471.0,1380-01-29
2001-04-21,488.0,488.0,488.0,488.0,39500000,1000,4,471.0,488.0,1380-02-01
2001-04-22,488.0,495.0,488.0,488.0,2112014619,53393,53,488.0,488.0,1380-02-02
2001-04-23,489.0,489.0,488.0,488.0,410865532,10401,19,488.0,488.0,1380-02-03
2001-04-24,488.0,489.0,488.0,489.0,105692330,2675,12,488.0,489.0,1380-02-04
2001-04-25,489.0,489.0,489.0,489.0,256704334,6497,24,489.0,489.0,1380-02-05
2001-04-28,489.0,489.0,482.0,482.0,263681272,6694,16,489.0,482.0,1380-02-08
2001-04-29,482.0,482.0,476.0,482.0,2912966830,74738,13,482.0,482.0,1380-02-09
2001-04-30,476.0,476.0,476.0,476.0,206262300,5358,19,482.0,476.0,1380-02-10
2001-05-01,476.0,482.0,476.0,476.0,1891344593,48615,16,476.0,476.0,1380-02-11
2001-05-02,476.0,476.0,476.0,476.0,68182950,1771,8,476.0,476.0,1380-02-12
2001-05-05,476.0,476.0,476.0,476.0,145298749,3774,12,476.0,476.0,1380-02-15
2001-05-06,476.0,477.0,476.0,477.0,297376051,7710,10,476.0,477.0,1380-02-16
2001-05-07,477.0,484.0,476.0,484.0,4106203400,105069,24,477.0,484.0,1380-02-17
2001-05-08,488.0,495.0,488.0,495.0,328228694,8224,19,484.0,495.0,1380-02-18
2001-05-09,501.0,501.0,495.0,501.0,190627605,4712,19,495.0,501.0,1380-02-19
2001-05-12,501.0,501.0,501.0,501.0,348464899,8600,17,501.0,501.0,1380-02-22
2001-05-13,501.0,502.0,501.0,502.0,48103212,1187,6,501.0,502.0,1380-02-23
2001-05-15,507.0,508.0,507.0,508.0,88925693,2168,13,502.0,508.0,1380-02-25
2001-05-16,510.0,525.0,510.0,525.0,375963491,8911,31,508.0,525.0,1380-02-26
2001-05-19,525.0,534.0,525.0,534.0,482576812,11234,33,525.0,534.0,1380-02-29
2001-05-20,534.0,534.0,525.0,525.0,233348465,5407,17,534.0,525.0,1380-02-30
2001-05-21,522.0,522.0,499.0,499.0,166470707,4124,14,525.0,499.0,1380-02-31
2001-05-27,487.0,487.0,482.0,482.0,73064199,1866,10,499.0,482.0,1380-03-06
2001-05-28,482.0,482.0,482.0,482.0,52142100,1337,5,482.0,482.0,1380-03-07
2001-05-29,481.0,481.0,476.0,476.0,55240500,1432,12,482.0,476.0,1380-03-08
2001-05-30,470.0,476.0,470.0,470.0,350164350,9110,10,476.0,470.0,1380-03-09
2001-06-02,470.0,470.0,470.0,470.0,167849166,4417,21,470.0,470.0,1380-03-12
2001-06-03,470.0,470.0,467.0,467.0,95387565,2515,8,470.0,467.0,1380-03-13
2001-06-09,467.0,467.0,459.0,459.0,94318803,2539,22,467.0,459.0,1380-03-19
2001-06-11,461.0,461.0,461.0,461.0,139086280,3729,27,459.0,461.0,1380-03-21
2001-06-12,461.0,464.0,461.0,464.0,334585898,8929,19,461.0,464.0,1380-03-22
2001-06-13,464.0,465.0,464.0,465.0,87446818,2330,17,464.0,465.0,1380-03-23
2001-06-16,465.0,465.0,465.0,465.0,22410105,596,10,465.0,465.0,1380-03-26
2001-06-17,465.0,465.0,464.0,464.0,99048285,2638,17,465.0,464.0,1380-03-27
2001-06-19,455.0,463.0,455.0,455.0,79047000,2135,14,464.0,455.0,1380-03-29
2001-06-20,455.0,458.0,455.0,458.0,217026955,5877,31,455.0,458.0,1380-03-30
2001-06-23,458.0,458.0,458.0,458.0,38220750,1033,9,458.0,458.0,1380-04-02
2001-06-24,458.0,458.0,458.0,458.0,64128549,1733,12,458.0,458.0,1380-04-03
2001-06-25,458.0,459.0,458.0,459.0,398155376,10744,42,458.0,459.0,1380-04-04
2001-06-27,457.0,459.0,454.0,459.0,830019425,22489,22,459.0,459.0,1380-04-06
2001-06-30,460.0,460.0,460.0,460.0,147639193,3972,12,459.0,460.0,1380-04-09
2001-07-01,459.0,459.0,451.0,458.0,381888903,10310,26,460.0,458.0,1380-04-10
2001-07-02,458.0,458.0,458.0,458.0,27672468,747,4,458.0,458.0,1380-04-11
2001-07-03,457.0,457.0,457.0,457.0,45126350,1220,3,458.0,457.0,1380-04-12
2001-07-04,457.0,457.0,457.0,457.0,3698200,100,1,457.0,457.0,1380-04-13
2001-07-07,457.0,457.0,457.0,457.0,12965589,351,1,457.0,457.0,1380-04-16
2001-07-08,453.0,453.0,453.0,453.0,118942550,3250,7,457.0,453.0,1380-04-17
2001-07-09,452.0,452.0,445.0,445.0,859279015,23750,12,453.0,445.0,1380-04-18
2001-07-10,445.0,445.0,445.0,445.0,632982995,17595,13,445.0,445.0,1380-04-19
2001-07-11,445.0,445.0,439.0,439.0,168145400,4688,8,445.0,439.0,1380-04-20
2001-07-14,434.0,439.0,433.0,437.0,361710674,10278,38,439.0,437.0,1380-04-23
2001-09-09,365.0,366.0,365.0,366.0,13307550,450,4,437.0,366.0,1380-06-18
2001-09-10,368.0,369.0,365.0,365.0,54253028,1823,17,366.0,365.0,1380-06-19
2001-09-12,347.0,347.0,347.0,347.0,139312275,4971,16,365.0,347.0,1380-06-21
2001-09-15,347.0,347.0,346.0,346.0,40063250,1430,7,347.0,346.0,1380-06-24
2001-09-19,344.0,345.0,344.0,345.0,244578104,8781,17,346.0,345.0,1380-06-28
2001-09-22,345.0,346.0,340.0,346.0,272151373,9777,15,345.0,346.0,1380-06-31
2001-09-25,345.0,345.0,345.0,345.0,85889128,3080,8,346.0,345.0,1380-07-03
2001-09-29,330.0,330.0,330.0,330.0,39038280,1462,8,345.0,330.0,1380-07-07
2001-09-30,329.0,329.0,329.0,329.0,72103040,2710,7,330.0,329.0,1380-07-08
2001-10-02,333.0,334.0,329.0,329.0,1298160074,48796,20,329.0,329.0,1380-07-10
2001-10-03,329.0,330.0,329.0,330.0,260389500,9770,6,329.0,330.0,1380-07-11
2001-10-06,331.0,334.0,331.0,334.0,54737097,2032,5,330.0,334.0,1380-07-14
2001-10-07,334.0,334.0,334.0,334.0,106731000,3953,20,334.0,334.0,1380-07-15
2001-10-08,333.0,333.0,333.0,333.0,18318900,681,3,334.0,333.0,1380-07-16
2001-10-10,331.0,331.0,331.0,331.0,27407275,1025,4,333.0,331.0,1380-07-18
2001-10-13,331.0,331.0,330.0,331.0,273620289,10235,22,331.0,331.0,1380-07-21
2001-10-14,330.0,332.0,330.0,332.0,475230365,17747,16,331.0,332.0,1380-07-22
2001-10-16,333.0,333.0,333.0,333.0,268999444,10000,14,332.0,333.0,1380-07-24
2001-10-17,333.0,334.0,333.0,334.0,1403743900,52030,29,333.0,334.0,1380-07-25
2001-10-20,334.0,334.0,334.0,334.0,69677240,2580,4,334.0,334.0,1380-07-28
2001-10-21,344.0,351.0,340.0,351.0,99765424,3583,22,334.0,351.0,1380-07-29
2001-10-22,365.0,368.0,365.0,368.0,118273000,4000,11,351.0,368.0,1380-07-30
2001-10-23,387.0,387.0,387.0,387.0,407549657,13037,28,368.0,387.0,1380-08-01
2001-10-24,367.0,387.0,367.0,371.0,599920850,19967,56,387.0,371.0,1380-08-02
2001-11-20,100.0,100.0,99.0,100.0,109594000,13638,17,371.0,100.0,1380-08-29
2001-11-21,99.0,100.0,97.0,97.0,41309920,5194,11,100.0,97.0,1380-08-30
2001-11-24,97.0,97.0,96.0,96.0,79453876,10150,19,97.0,96.0,1380-09-03
2001-11-25,96.0,96.0,96.0,96.0,30454095,3905,7,96.0,96.0,1380-09-04
2001-11-26,96.0,96.0,96.0,96.0,65686126,8428,23,96.0,96.0,1380-09-05
2001-11-27,96.0,96.0,96.0,96.0,12210030,1567,5,96.0,96.0,1380-09-06
2001-11-28,99.0,99.0,99.0,99.0,43789215,5474,13,96.0,99.0,1380-09-07
2001-12-01,99.0,99.0,99.0,99.0,20191246,2524,9,99.0,99.0,1380-09-10
2001-12-02,99.0,99.0,99.0,99.0,61345180,7662,10,99.0,99.0,1380-09-11
2001-12-03,99.0,100.0,99.0,100.0,34678814,4318,7,99.0,100.0,1380-09-12
2001-12-04,100.0,100.0,99.0,100.0,52768925,6557,14,100.0,100.0,1380-09-13
2001-12-05,100.0,100.0,100.0,100.0,112357500,13950,19,100.0,100.0,1380-09-14
2001-12-08,100.0,101.0,100.0,101.0,132488736,16300,23,100.0,101.0,1380-09-17
2001-12-09,101.0,103.0,101.0,103.0,44160200,5361,7,101.0,103.0,1380-09-18
2001-12-10,104.0,106.0,104.0,106.0,128828506,15191,23,103.0,106.0,1380-09-19
2001-12-11,107.0,107.0,107.0,107.0,4307000,500,1,106.0,107.0,1380-09-20
2001-12-15,112.0,112.0,112.0,112.0,19942020,2205,6,107.0,112.0,1380-09-24
2001-12-17,117.0,117.0,117.0,117.0,409675432,43142,52,112.0,117.0,1380-09-26
2001-12-18,117.0,117.0,117.0,117.0,8358000,880,6,117.0,117.0,1380-09-27
2001-12-19,120.0,123.0,119.0,123.0,126205030,12721,27,117.0,123.0,1380-09-28
2001-12-22,123.0,124.0,123.0,123.0,232520941,23237,49,123.0,123.0,1380-10-01
2001-12-23,124.0,124.0,123.0,123.0,145697131,14583,30,123.0,123.0,1380-10-02
2001-12-24,124.0,124.0,123.0,124.0,136925198,13695,24,123.0,124.0,1380-10-03
2001-12-25,124.0,124.0,124.0,124.0,66345027,6635,20,124.0,124.0,1380-10-04
2001-12-26,124.0,124.0,123.0,123.0,93077960,9310,20,124.0,123.0,1380-10-05
2001-12-29,122.0,123.0,121.0,122.0,64976322,6606,20,123.0,122.0,1380-10-08
2001-12-30,122.0,122.0,121.0,121.0,2097616,214,2,122.0,121.0,1380-10-09
2001-12-31,117.0,117.0,117.0,117.0,38375594,4042,7,121.0,117.0,1380-10-10
2002-01-01,116.0,117.0,116.0,116.0,56626690,6030,7,117.0,116.0,1380-10-11
2002-01-02,115.0,115.0,114.0,114.0,103035350,11175,17,116.0,114.0,1380-10-12
2002-01-05,114.0,114.0,114.0,114.0,28501500,3100,5,114.0,114.0,1380-10-15
2002-01-06,113.0,113.0,113.0,113.0,39330897,4322,9,114.0,113.0,1380-10-16
2002-01-07,111.0,111.0,111.0,111.0,45000000,5000,4,113.0,111.0,1380-10-17
2002-01-08,111.0,111.0,110.0,110.0,16472200,1850,5,111.0,110.0,1380-10-18
2002-01-12,110.0,110.0,109.0,110.0,14855320,1678,7,110.0,110.0,1380-10-22
2002-01-13,110.0,111.0,110.0,111.0,20003420,2233,7,110.0,111.0,1380-10-23
2002-01-14,115.0,117.0,115.0,117.0,17173054,1838,4,111.0,117.0,1380-10-24
2002-01-15,117.0,119.0,117.0,119.0,104810982,10980,17,117.0,119.0,1380-10-25
2002-01-16,119.0,119.0,119.0,119.0,5078400,529,3,119.0,119.0,1380-10-26
2002-01-19,118.0,118.0,116.0,116.0,25186025,2669,8,119.0,116.0,1380-10-29
2002-01-20,111.0,112.0,111.0,111.0,44295981,4917,9,116.0,111.0,1380-10-30
2002-01-21,111.0,112.0,111.0,112.0,8142174,904,3,111.0,112.0,1380-11-01
