date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2013-05-08,158.0,158.0,158.0,158.0,642562221600,89244753,7218,22.0,158.0,1392-02-18
2013-05-11,166.0,166.0,166.0,166.0,277149600,36660,39,158.0,166.0,1392-02-21
2013-05-12,174.0,174.0,174.0,174.0,19221271650,2421425,576,166.0,174.0,1392-02-22
2013-05-13,176.0,182.0,172.0,177.0,327319643055,40667375,15608,174.0,173.0,1392-02-23
2013-05-14,169.0,174.0,168.0,169.0,98285421686,12805488,5722,177.0,171.0,1392-02-24
2013-05-15,174.0,176.0,162.0,168.0,39149222903,5104300,2651,169.0,164.0,1392-02-25
2013-05-18,163.0,163.0,160.0,161.0,45978287252,6271727,2523,168.0,162.0,1392-02-28
2013-05-19,161.0,169.0,159.0,165.0,30892183614,4105457,2006,161.0,169.0,1392-02-29
2013-05-20,163.0,170.0,161.0,166.0,40742967969,5405789,1915,165.0,166.0,1392-02-30
2013-05-21,165.0,167.0,161.0,164.0,20547548551,2755066,1255,166.0,164.0,1392-02-31
2013-05-22,159.0,167.0,159.0,163.0,20976139515,2822650,1459,164.0,165.0,1392-03-01
2013-05-25,163.0,171.0,163.0,171.0,38351429995,4924007,1473,163.0,171.0,1392-03-04
2013-05-26,177.0,178.0,170.0,174.0,103272559578,13046005,4648,171.0,171.0,1392-03-05
2013-06-01,139.0,141.0,137.0,140.0,14365582634,2255341,947,174.0,141.0,1392-03-11
2013-06-02,145.0,147.0,145.0,147.0,11212965859,1679754,380,140.0,147.0,1392-03-12
2013-06-03,153.0,154.0,149.0,152.0,28016197791,4051678,1364,147.0,150.0,1392-03-13
2013-06-08,152.0,152.0,144.0,146.0,7755241523,1170550,572,152.0,145.0,1392-03-18
2013-06-09,147.0,147.0,138.0,139.0,11118575814,1758931,753,146.0,138.0,1392-03-19
2013-06-10,138.0,145.0,135.0,142.0,6904188734,1065023,513,139.0,144.0,1392-03-20
