date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2001-03-26,399.0,399.0,399.0,399.0,1182792,204,1,0.0,399.0,1380-01-06
2001-03-28,399.0,399.0,399.0,399.0,1159400,200,1,399.0,399.0,1380-01-08
2001-04-09,398.0,398.0,398.0,398.0,1976418,342,1,399.0,398.0,1380-01-20
2001-04-10,398.0,398.0,398.0,398.0,16938249,2931,5,398.0,398.0,1380-01-21
2001-04-11,399.0,399.0,399.0,399.0,6711768,1158,1,398.0,399.0,1380-01-22
2001-04-14,399.0,403.0,399.0,403.0,4167572,714,2,399.0,403.0,1380-01-25
2001-04-16,403.0,403.0,403.0,403.0,6735221,1151,3,403.0,403.0,1380-01-27
2001-04-17,403.0,403.0,403.0,403.0,5635358,962,2,403.0,403.0,1380-01-28
2001-04-18,409.0,413.0,404.0,413.0,33144564,5554,8,403.0,413.0,1380-01-29
2001-04-21,420.0,420.0,420.0,420.0,6039000,990,1,413.0,420.0,1380-02-01
2001-04-24,441.0,441.0,441.0,441.0,4694865,733,1,420.0,441.0,1380-02-04
2001-04-25,441.0,463.0,441.0,442.0,22396825,3377,7,441.0,442.0,1380-02-05
2001-04-28,448.0,464.0,448.0,464.0,25165544,3767,5,442.0,464.0,1380-02-08
2001-04-29,464.0,465.0,463.0,464.0,437133816,64904,29,464.0,464.0,1380-02-09
2001-04-30,464.0,487.0,464.0,464.0,340649000,50500,26,464.0,464.0,1380-02-10
2001-05-01,464.0,464.0,464.0,464.0,90950500,13500,17,464.0,464.0,1380-02-11
2001-05-02,464.0,464.0,464.0,464.0,33685000,5000,8,464.0,464.0,1380-02-12
2001-05-05,464.0,464.0,464.0,464.0,37293032,5536,7,464.0,464.0,1380-02-15
2001-05-06,464.0,464.0,464.0,464.0,23599711,3503,2,464.0,464.0,1380-02-16
2001-05-07,464.0,464.0,463.0,464.0,21348090,3170,5,464.0,464.0,1380-02-17
2001-05-08,461.0,464.0,461.0,464.0,67305952,10000,8,464.0,464.0,1380-02-18
2001-05-09,464.0,464.0,464.0,464.0,18392010,2730,2,464.0,464.0,1380-02-19
2001-05-12,448.0,448.0,448.0,448.0,19500000,3000,4,464.0,448.0,1380-02-22
2001-05-13,449.0,449.0,448.0,448.0,133530624,20517,18,448.0,448.0,1380-02-23
2001-05-15,448.0,448.0,448.0,448.0,100769342,15491,10,448.0,448.0,1380-02-25
2001-05-16,448.0,470.0,448.0,465.0,106700000,15945,16,448.0,465.0,1380-02-26
2001-05-19,475.0,475.0,468.0,470.0,40697545,5918,10,465.0,470.0,1380-02-29
2001-05-20,471.0,471.0,470.0,470.0,15714600,2300,6,470.0,470.0,1380-02-30
2001-05-21,471.0,471.0,471.0,471.0,8202000,1200,3,470.0,471.0,1380-02-31
2001-05-23,482.0,492.0,482.0,482.0,37705600,5365,6,471.0,482.0,1380-03-02
2001-05-26,506.0,506.0,484.0,484.0,16103400,2200,3,482.0,484.0,1380-03-05
2001-05-27,508.0,508.0,485.0,489.0,19568500,2700,4,484.0,489.0,1380-03-06
2001-05-29,506.0,506.0,490.0,490.0,10624950,1465,2,489.0,490.0,1380-03-08
2001-05-30,490.0,490.0,490.0,490.0,3556120,500,4,490.0,490.0,1380-03-09
2001-06-02,490.0,490.0,490.0,490.0,58507125,8220,8,490.0,490.0,1380-03-12
2001-06-03,490.0,490.0,490.0,490.0,31726275,4455,9,490.0,490.0,1380-03-13
2001-06-06,490.0,506.0,490.0,506.0,32263285,4465,8,490.0,506.0,1380-03-16
2001-06-11,517.0,517.0,517.0,517.0,13503200,1800,2,506.0,517.0,1380-03-21
2001-06-12,517.0,518.0,516.0,516.0,61934201,8247,16,517.0,516.0,1380-03-22
2001-06-13,515.0,516.0,515.0,515.0,50430229,6736,14,516.0,515.0,1380-03-23
2001-06-17,514.0,514.0,514.0,514.0,10748020,1440,2,515.0,514.0,1380-03-27
2001-06-18,512.0,512.0,512.0,512.0,13488720,1813,2,514.0,512.0,1380-03-28
2001-06-19,512.0,514.0,512.0,514.0,215832030,29006,30,512.0,514.0,1380-03-29
2001-06-20,515.0,516.0,515.0,516.0,204909060,27408,20,514.0,516.0,1380-03-30
2001-06-23,518.0,518.0,516.0,518.0,16395000,2180,5,516.0,518.0,1380-04-02
2001-06-24,527.0,527.0,520.0,527.0,62541320,8208,12,518.0,527.0,1380-04-03
2001-06-25,527.0,530.0,527.0,530.0,44131250,5750,7,527.0,530.0,1380-04-04
2001-06-26,530.0,534.0,530.0,534.0,26511904,3424,3,530.0,534.0,1380-04-05
2001-06-27,536.0,547.0,536.0,547.0,35333464,4500,6,534.0,547.0,1380-04-06
2001-06-30,551.0,551.0,541.0,541.0,83710710,10540,23,547.0,541.0,1380-04-09
2001-07-01,536.0,541.0,523.0,523.0,40721057,5290,11,541.0,523.0,1380-04-10
2001-07-02,516.0,516.0,515.0,516.0,75334000,10050,15,523.0,516.0,1380-04-11
2001-07-03,510.0,521.0,510.0,511.0,366662292,49002,40,516.0,511.0,1380-04-12
2001-07-04,512.0,536.0,512.0,531.0,109939755,14292,14,511.0,531.0,1380-04-13
2001-07-29,482.0,482.0,448.0,482.0,63787093,9120,13,531.0,482.0,1380-05-07
2001-07-30,478.0,478.0,478.0,478.0,3471000,500,1,482.0,478.0,1380-05-08
2001-07-31,476.0,476.0,458.0,458.0,68916550,10327,18,478.0,458.0,1380-05-09
2001-08-01,468.0,468.0,458.0,468.0,67476320,10010,19,458.0,468.0,1380-05-10
2001-08-04,472.0,472.0,468.0,468.0,30730136,4512,9,468.0,468.0,1380-05-13
2001-08-05,468.0,468.0,468.0,468.0,1360000,200,3,468.0,468.0,1380-05-14
2001-08-06,468.0,469.0,468.0,468.0,45710877,6719,9,468.0,468.0,1380-05-15
2001-08-07,465.0,465.0,465.0,465.0,42273780,6260,10,468.0,465.0,1380-05-16
2001-08-08,464.0,465.0,464.0,465.0,13693470,2030,5,465.0,465.0,1380-05-17
2001-08-11,465.0,465.0,464.0,465.0,51970564,7700,11,465.0,465.0,1380-05-20
2001-08-12,465.0,465.0,454.0,454.0,11763900,1780,3,465.0,454.0,1380-05-21
2001-08-13,461.0,461.0,461.0,461.0,46866500,6995,5,454.0,461.0,1380-05-22
2001-08-14,461.0,465.0,461.0,465.0,63544124,9455,10,461.0,465.0,1380-05-23
2001-08-15,468.0,468.0,468.0,468.0,74800000,11000,11,465.0,468.0,1380-05-24
2001-08-18,469.0,482.0,468.0,482.0,120328100,17430,22,468.0,482.0,1380-05-27
2001-08-19,482.0,488.0,482.0,482.0,60521364,8614,14,482.0,482.0,1380-05-28
