date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2005-03-05,98.0,98.0,98.0,98.0,1895925000,379185,197,0.0,98.0,1383-12-15
2005-03-06,101.0,101.0,100.0,100.0,252410460,49473,12,98.0,100.0,1383-12-16
2005-03-07,102.0,102.0,101.0,101.0,19489070,3748,5,100.0,101.0,1383-12-17
2005-03-08,102.0,102.0,102.0,102.0,12037620,2315,3,101.0,102.0,1383-12-18
2005-03-09,97.0,100.0,97.0,100.0,11433054,2331,3,102.0,100.0,1383-12-19
2005-03-14,95.0,100.0,95.0,100.0,3675380,760,5,100.0,100.0,1383-12-24
2005-03-15,95.0,100.0,95.0,100.0,291110,60,2,100.0,100.0,1383-12-25
2005-03-16,95.0,100.0,95.0,100.0,290990,60,2,100.0,100.0,1383-12-26
2005-03-28,95.0,100.0,95.0,96.0,107583025,22058,24,100.0,96.0,1384-01-08
2005-03-29,100.0,100.0,97.0,97.0,10667670,2100,4,96.0,97.0,1384-01-09
2005-03-30,100.0,100.0,99.0,99.0,44954221,8897,9,97.0,99.0,1384-01-10
2005-04-04,98.0,99.0,98.0,98.0,45387010,9075,14,99.0,98.0,1384-01-15
2005-04-06,94.0,98.0,94.0,98.0,905130,190,2,98.0,98.0,1384-01-17
2005-04-10,98.0,98.0,95.0,98.0,116298754,23476,14,98.0,98.0,1384-01-21
2005-04-11,95.0,97.0,95.0,97.0,15583198,3218,8,98.0,97.0,1384-01-22
2005-04-12,96.0,96.0,92.0,94.0,34662721,7297,5,97.0,94.0,1384-01-23
2005-04-13,96.0,98.0,95.0,97.0,64599600,13059,15,94.0,97.0,1384-01-24
2005-04-16,99.0,102.0,99.0,101.0,186294680,36170,50,97.0,101.0,1384-01-27
2005-04-17,101.0,102.0,98.0,101.0,67927664,13222,19,101.0,101.0,1384-01-28
2005-04-18,99.0,99.0,98.0,99.0,35967150,7165,5,101.0,99.0,1384-01-29
2005-04-19,102.0,102.0,99.0,99.0,5005376,971,2,99.0,99.0,1384-01-30
2005-04-20,98.0,98.0,96.0,97.0,99049500,20010,9,99.0,97.0,1384-01-31
2005-04-23,97.0,98.0,97.0,97.0,19712921,3981,4,97.0,97.0,1384-02-03
2005-04-24,98.0,98.0,98.0,98.0,3024530,605,2,97.0,98.0,1384-02-04
2005-04-27,97.0,97.0,97.0,97.0,13711310,2770,5,98.0,97.0,1384-02-07
2005-05-01,93.0,97.0,93.0,97.0,1037490,220,2,97.0,97.0,1384-02-11
2005-05-02,97.0,97.0,97.0,97.0,3035105,615,2,97.0,97.0,1384-02-12
2005-05-03,96.0,97.0,96.0,97.0,9856295,2022,4,97.0,97.0,1384-02-13
2005-05-04,95.0,95.0,93.0,94.0,33340760,7000,6,97.0,94.0,1384-02-14
2005-05-07,93.0,93.0,92.0,93.0,29599035,6320,10,94.0,93.0,1384-02-17
2005-05-09,93.0,93.0,93.0,93.0,1411425,300,2,93.0,93.0,1384-02-19
2005-05-10,93.0,93.0,93.0,93.0,32991850,7010,6,93.0,93.0,1384-02-20
2005-05-11,95.0,96.0,93.0,93.0,7829130,1624,7,93.0,93.0,1384-02-21
2005-05-14,97.0,98.0,94.0,94.0,7345955,1485,4,93.0,94.0,1384-02-24
2005-05-15,98.0,98.0,95.0,95.0,22877076,4660,8,94.0,95.0,1384-02-25
2005-05-17,98.0,100.0,98.0,100.0,38281611,7539,7,95.0,100.0,1384-02-27
2005-05-18,102.0,102.0,102.0,102.0,102580574,19766,12,100.0,102.0,1384-02-28
2005-07-05,134.0,134.0,134.0,134.0,68000000,10000,2,102.0,134.0,1384-04-14
2005-07-09,127.0,134.0,127.0,134.0,1896180,293,2,134.0,134.0,1384-04-18
2005-07-11,127.0,134.0,127.0,134.0,1230800,190,2,134.0,134.0,1384-04-20
2005-08-07,98.0,98.0,98.0,98.0,64300000,12860,4,134.0,98.0,1384-05-16
