date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2018-08-18,1071.0,1071.0,1071.0,1071.0,39758840750,34572905,790,932.0,1071.0,1397-05-27
2018-08-20,1090.0,1090.0,1073.0,1073.0,26507072358,22999787,550,1071.0,1073.0,1397-05-29
2018-08-25,1081.0,1081.0,1075.0,1075.0,9901627720,8577362,255,1073.0,1075.0,1397-06-03
2018-08-27,1109.0,1109.0,1076.0,1078.0,8756179250,7567640,215,1075.0,1076.0,1397-06-05
2018-08-29,1075.0,1075.0,1071.0,1074.0,15307277172,13278520,425,1078.0,1071.0,1397-06-07
2018-09-01,1071.0,1075.0,1071.0,1071.0,6190937880,5383026,269,1074.0,1075.0,1397-06-10
2018-09-03,1075.0,1075.0,1071.0,1071.0,19042098558,16552877,463,1071.0,1071.0,1397-06-12
2018-09-05,1075.0,1075.0,1071.0,1073.0,5645446676,4898884,191,1071.0,1071.0,1397-06-14
2018-09-08,1099.0,1118.0,1099.0,1103.0,3681776780,3109808,167,1073.0,1118.0,1397-06-17
2018-09-10,1212.0,1212.0,1212.0,1212.0,9815324246,7544446,339,1103.0,1212.0,1397-06-19
2018-09-12,1276.0,1276.0,1276.0,1276.0,34121603600,24906280,1076,1212.0,1276.0,1397-06-21
2018-09-15,1300.0,1397.0,1300.0,1307.0,258799413015,184485173,8985,1276.0,1397.0,1397-06-24
2018-09-17,1397.0,1397.0,1397.0,1397.0,318603727500,212402485,7571,1307.0,1397.0,1397-06-26
2018-09-22,1397.0,1397.0,1397.0,1397.0,205464511500,136976341,4790,1397.0,1397.0,1397-06-31
2018-09-24,1397.0,1397.0,1397.0,1397.0,175764880500,117176587,4075,1397.0,1397.0,1397-07-02
2018-09-26,1467.0,1467.0,1467.0,1467.0,264650163750,168031850,4032,1397.0,1467.0,1397-07-04
2018-09-29,1772.0,2152.0,1772.0,1872.0,120799372536,60116936,2587,1467.0,2152.0,1397-07-07
2018-10-01,2329.0,2376.0,2329.0,2335.0,434156378850,173188420,7359,1872.0,2376.0,1397-07-09
2018-10-03,1926.0,2360.0,1926.0,2144.0,91860761568,39918696,1495,2335.0,2360.0,1397-07-11
2018-10-06,2690.0,2690.0,2147.0,2547.0,137775587625,50399062,2840,2144.0,2147.0,1397-07-14
2018-10-08,2143.0,2143.0,2140.0,2142.0,78879059743,34317572,1668,2547.0,2140.0,1397-07-16
2018-10-10,2124.0,2124.0,1789.0,1919.0,83647391280,40602092,1333,2142.0,1789.0,1397-07-18
2018-10-13,1789.0,1789.0,1463.0,1610.0,72665475540,42057057,1379,1919.0,1463.0,1397-07-21
2018-10-15,1733.0,1863.0,1733.0,1792.0,133793413320,69528130,2747,1610.0,1863.0,1397-07-23
2018-10-17,1751.0,1769.0,1751.0,1757.0,144696307632,76733276,3452,1792.0,1769.0,1397-07-25
2018-10-20,1956.0,1956.0,1938.0,1951.0,109736225880,52403529,2657,1757.0,1938.0,1397-07-28
2018-10-22,1817.0,1817.0,1735.0,1777.0,63424910958,33250577,1519,1951.0,1735.0,1397-07-30
2018-10-24,1592.0,1592.0,1546.0,1581.0,57863394273,34101808,1754,1777.0,1546.0,1397-08-02
2018-10-27,1616.0,1616.0,1555.0,1605.0,48716880552,28267914,1537,1581.0,1555.0,1397-08-05
2018-10-29,1779.0,1779.0,1779.0,1779.0,95550601630,50026493,2690,1605.0,1779.0,1397-08-07
2018-10-31,1751.0,1751.0,1733.0,1749.0,52959871880,28221739,1613,1779.0,1733.0,1397-08-09
2018-11-03,1705.0,1705.0,1587.0,1628.0,26191158390,14983329,661,1749.0,1587.0,1397-08-12
2018-11-05,1613.0,1722.0,1613.0,1697.0,32156261111,17644793,686,1628.0,1722.0,1397-08-14
2018-11-10,1737.0,1737.0,1668.0,1714.0,44336218885,24092984,1166,1697.0,1668.0,1397-08-19
2018-11-12,1677.0,1687.0,1677.0,1680.0,81182850667,45032728,2309,1714.0,1687.0,1397-08-21
2018-11-14,1621.0,1649.0,1621.0,1628.0,31256794500,17876940,1069,1680.0,1649.0,1397-08-23
2018-11-17,1668.0,1668.0,1630.0,1658.0,44170646780,24820798,1424,1628.0,1630.0,1397-08-26
2018-11-19,1616.0,1616.0,1602.0,1614.0,42747397990,24667261,1531,1658.0,1602.0,1397-08-28
2018-11-21,1640.0,1676.0,1640.0,1651.0,30874269225,17421291,1121,1614.0,1676.0,1397-08-30
2018-11-24,1723.0,1723.0,1686.0,1709.0,29685722020,16185290,778,1651.0,1686.0,1397-09-03
2018-11-26,1658.0,1658.0,1619.0,1630.0,12885970106,7363679,309,1709.0,1619.0,1397-09-05
2018-11-28,1583.0,1583.0,1556.0,1568.0,14995773477,8911400,537,1630.0,1556.0,1397-09-07
2018-12-01,1537.0,1537.0,1509.0,1525.0,14360388390,8773903,474,1568.0,1509.0,1397-09-10
2018-12-03,1565.0,1565.0,1518.0,1540.0,11213095190,6781858,430,1525.0,1518.0,1397-09-12
2018-12-05,1537.0,1611.0,1537.0,1569.0,19235383079,11420128,616,1540.0,1611.0,1397-09-14
2018-12-08,1657.0,1657.0,1657.0,1657.0,54096609423,30408437,1588,1569.0,1657.0,1397-09-17
2018-12-10,1538.0,1538.0,1537.0,1538.0,36199909756,21928981,1304,1657.0,1537.0,1397-09-19
2018-12-12,1557.0,1557.0,1509.0,1532.0,10410673773,6333421,412,1538.0,1509.0,1397-09-21
2018-12-15,1491.0,1491.0,1472.0,1488.0,29880073642,18708827,1218,1532.0,1472.0,1397-09-24
2018-12-17,1532.0,1532.0,1463.0,1498.0,14267685490,8874592,461,1488.0,1463.0,1397-09-26
2018-12-19,1435.0,1453.0,1435.0,1438.0,25667824620,16624400,1160,1498.0,1453.0,1397-09-28
2018-12-22,1453.0,1453.0,1416.0,1447.0,14228969000,9163013,620,1438.0,1416.0,1397-10-01
2018-12-24,1444.0,1444.0,1379.0,1401.0,11990719530,7970454,510,1447.0,1379.0,1397-10-03
2018-12-26,1351.0,1440.0,1351.0,1371.0,44833484374,30456463,1721,1401.0,1440.0,1397-10-05
2018-12-29,1442.0,1442.0,1379.0,1416.0,14029671624,9230650,554,1371.0,1379.0,1397-10-08
2018-12-31,1398.0,1398.0,1398.0,1398.0,15910879186,10600186,566,1416.0,1398.0,1397-10-10
2019-01-02,1403.0,1403.0,1350.0,1396.0,41300548614,27554081,1788,1398.0,1350.0,1397-10-12
2019-01-05,1359.0,1359.0,1358.0,1359.0,36329132948,24902643,1582,1396.0,1358.0,1397-10-15
2019-01-07,1370.0,1378.0,1370.0,1372.0,21633603289,14689271,852,1359.0,1378.0,1397-10-17
2019-01-09,1396.0,1396.0,1384.0,1393.0,15960560493,10672745,617,1372.0,1384.0,1397-10-19
2019-01-12,1407.0,1407.0,1407.0,1407.0,26797512470,17746697,1200,1393.0,1407.0,1397-10-22
2019-01-14,1382.0,1382.0,1332.0,1340.0,15196226011,10564358,545,1407.0,1332.0,1397-10-24
2019-01-16,1323.0,1324.0,1323.0,1323.0,30987350867,21819742,1330,1340.0,1324.0,1397-10-26
2019-01-19,1312.0,1341.0,1312.0,1322.0,30976785568,21825276,1174,1323.0,1341.0,1397-10-29
2019-01-21,1304.0,1304.0,1276.0,1296.0,19559268580,14061557,658,1322.0,1276.0,1397-11-01
2019-01-23,1341.0,1357.0,1341.0,1345.0,20068447636,13899840,831,1296.0,1357.0,1397-11-03
2019-01-26,1365.0,1365.0,1304.0,1324.0,5502457040,3871874,256,1345.0,1304.0,1397-11-06
2019-01-28,1269.0,1271.0,1269.0,1270.0,19762184126,14502112,804,1324.0,1271.0,1397-11-08
2019-01-30,1290.0,1290.0,1290.0,1290.0,41239009330,29775458,1598,1270.0,1290.0,1397-11-10
2019-02-02,1303.0,1303.0,1249.0,1273.0,8943809863,6542063,349,1290.0,1249.0,1397-11-13
2019-02-04,1248.0,1248.0,1230.0,1244.0,20366823800,15259493,818,1273.0,1230.0,1397-11-15
2019-02-06,1244.0,1244.0,1244.0,1244.0,18440350995,13812997,672,1244.0,1244.0,1397-11-17
2019-02-13,1199.0,1206.0,1199.0,1201.0,21799794330,16913094,923,1244.0,1206.0,1397-11-24
2019-02-16,1235.0,1235.0,1235.0,1235.0,38985657048,29400948,1455,1201.0,1235.0,1397-11-27
2019-02-18,1239.0,1239.0,1239.0,1239.0,16738858640,12585608,751,1235.0,1239.0,1397-11-29
2019-02-20,1174.0,1183.0,1174.0,1179.0,8312563370,6567320,322,1239.0,1183.0,1397-12-01
2019-02-23,1203.0,1216.0,1203.0,1204.0,25114444579,19441541,1057,1179.0,1216.0,1397-12-04
2019-02-25,1206.0,1206.0,1162.0,1179.0,6151821072,4858704,288,1204.0,1162.0,1397-12-06
2019-02-27,1155.0,1174.0,1155.0,1159.0,17487616440,14062621,732,1179.0,1174.0,1397-12-08
2019-03-02,1165.0,1165.0,1137.0,1159.0,7969035338,6403828,485,1159.0,1137.0,1397-12-11
2019-03-04,1136.0,1136.0,1136.0,1136.0,26614518425,21833075,1247,1159.0,1136.0,1397-12-13
2019-03-06,1098.0,1118.0,1098.0,1104.0,20877808287,17615269,861,1136.0,1118.0,1397-12-15
2019-03-09,1146.0,1146.0,1127.0,1139.0,11754268240,9612886,440,1104.0,1127.0,1397-12-18
2019-03-11,1137.0,1137.0,1118.0,1124.0,33700340560,27912050,1013,1139.0,1118.0,1397-12-20
2019-03-13,1158.0,1192.0,1158.0,1177.0,17929607551,14193891,544,1124.0,1192.0,1397-12-22
2019-03-16,1125.0,1211.0,1125.0,1140.0,68898471188,56281107,1327,1177.0,1211.0,1397-12-25
2019-03-18,1211.0,1211.0,1171.0,1201.0,24489706447,19000358,846,1140.0,1171.0,1397-12-27
2019-03-25,1200.0,1230.0,1200.0,1217.0,20593335928,15764671,641,1201.0,1230.0,1398-01-05
2019-03-27,1251.0,1251.0,1195.0,1233.0,30807259558,23262806,1074,1217.0,1195.0,1398-01-07
2019-03-30,1205.0,1228.0,1205.0,1216.0,18189940936,13935902,727,1233.0,1228.0,1398-01-10
2019-04-06,1210.0,1211.0,1210.0,1210.0,21286991045,16383213,836,1216.0,1211.0,1398-01-17
2019-04-08,1201.0,1201.0,1193.0,1200.0,41444937511,32171743,1949,1210.0,1193.0,1398-01-19
2019-04-10,1202.0,1234.0,1202.0,1222.0,22061112270,16809706,732,1200.0,1234.0,1398-01-21
2019-04-13,1239.0,1239.0,1239.0,1239.0,30926849100,23253270,1302,1222.0,1239.0,1398-01-24
2019-04-15,1268.0,1277.0,1268.0,1275.0,87911355976,64203466,1765,1239.0,1277.0,1398-01-26
