date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2010-08-17,177.0,177.0,173.0,173.0,132027066000,5057750,590,7.0,173.0,1389-05-26
2010-08-18,180.0,180.0,179.0,180.0,68875525489,2537138,3069,173.0,180.0,1389-05-27
2010-08-21,183.0,187.0,173.0,179.0,21076615999,778902,1848,180.0,173.0,1389-05-30
2010-08-22,173.0,173.0,172.0,172.0,5992988250,230323,340,179.0,172.0,1389-05-31
2010-08-23,171.0,171.0,165.0,167.0,7958338202,315558,285,172.0,165.0,1389-06-01
2010-08-24,160.0,160.0,160.0,162.0,1410082668,58239,42,167.0,160.0,1389-06-02
2010-08-25,156.0,156.0,156.0,156.0,2668830120,113355,30,162.0,156.0,1389-06-03
2010-08-28,150.0,150.0,150.0,150.0,6081156326,269042,189,156.0,150.0,1389-06-06
2010-08-29,144.0,144.0,144.0,149.0,298751832,13768,15,150.0,144.0,1389-06-07
2010-08-30,143.0,143.0,143.0,148.0,102826890,4770,14,149.0,143.0,1389-06-08
2010-09-06,142.0,142.0,142.0,142.0,9709894140,451455,396,148.0,142.0,1389-06-15
2010-09-07,137.0,137.0,137.0,141.0,487045024,23588,25,142.0,137.0,1389-06-16
2010-09-08,135.0,135.0,135.0,135.0,1722932094,84383,46,141.0,135.0,1389-06-17
2010-09-12,130.0,130.0,130.0,130.0,2242076760,114380,119,135.0,130.0,1389-06-21
2010-09-13,125.0,130.0,125.0,125.0,19709982508,1043998,1446,130.0,125.0,1389-06-22
2010-09-14,121.0,124.0,120.0,121.0,3663629684,201176,251,125.0,120.0,1389-06-23
2010-09-15,116.0,121.0,116.0,118.0,7846918836,441871,721,121.0,118.0,1389-06-24
2010-09-21,115.0,115.0,111.0,113.0,1411549891,82345,106,118.0,111.0,1389-06-30
2010-09-22,109.0,109.0,109.0,112.0,473603680,28780,30,113.0,109.0,1389-06-31
2010-09-25,107.0,107.0,107.0,110.0,440996270,27170,22,112.0,107.0,1389-07-03
2010-09-26,106.0,106.0,106.0,109.0,390872712,24396,16,110.0,106.0,1389-07-04
2010-09-27,105.0,105.0,105.0,109.0,9391341,593,4,109.0,105.0,1389-07-05
2010-09-28,105.0,105.0,105.0,107.0,514919968,32524,19,109.0,105.0,1389-07-06
2010-09-29,103.0,112.0,103.0,105.0,8715803580,551183,436,107.0,112.0,1389-07-07
2010-10-02,109.0,109.0,109.0,106.0,284136710,17278,17,105.0,109.0,1389-07-10
2010-10-03,110.0,110.0,110.0,106.0,92693189,5591,17,106.0,110.0,1389-07-11
2010-10-05,110.0,110.0,110.0,108.0,785004552,47224,21,106.0,110.0,1389-07-13
2010-10-06,113.0,113.0,105.0,111.0,2896510805,172662,150,108.0,106.0,1389-07-14
2010-10-09,107.0,107.0,107.0,109.0,595385745,36969,45,111.0,107.0,1389-07-17
2010-10-10,105.0,105.0,105.0,108.0,245604606,15522,12,109.0,105.0,1389-07-18
2010-10-11,104.0,104.0,104.0,108.0,12628428,804,2,108.0,104.0,1389-07-19
2010-10-16,104.0,104.0,104.0,108.0,9970135,635,1,108.0,104.0,1389-07-24
2010-10-17,104.0,104.0,104.0,108.0,11097072,707,2,108.0,104.0,1389-07-25
