date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2003-01-27,724.0,727.0,722.0,722.0,37729121600,518713,638,724.0,722.0,1381-11-07
2003-01-28,722.0,722.0,722.0,722.0,2020699599,27929,291,722.0,722.0,1381-11-08
2003-02-02,715.0,715.0,715.0,715.0,2548174992,35575,67,722.0,715.0,1381-11-13
2003-02-05,718.0,718.0,716.0,716.0,256670782,3575,16,715.0,716.0,1381-11-16
2003-02-09,709.0,709.0,709.0,709.0,78272856,1102,5,716.0,709.0,1381-11-20
2003-02-10,702.0,702.0,702.0,702.0,70318000,1000,1,709.0,702.0,1381-11-21
2003-02-15,695.0,695.0,695.0,695.0,34807500,500,1,702.0,695.0,1381-11-26
2003-02-16,688.0,688.0,688.0,688.0,137838000,2000,3,695.0,688.0,1381-11-27
2003-02-17,681.0,681.0,681.0,681.0,2479565729,36341,79,688.0,681.0,1381-11-28
2003-02-18,681.0,682.0,681.0,682.0,47877801,701,9,681.0,682.0,1381-11-29
2003-02-19,682.0,682.0,682.0,682.0,121113908,1773,13,682.0,682.0,1381-11-30
2003-02-22,682.0,682.0,682.0,682.0,220026110,3221,5,682.0,682.0,1381-12-03
2003-02-23,682.0,682.0,682.0,682.0,9560180,140,3,682.0,682.0,1381-12-04
2003-02-24,675.0,675.0,675.0,675.0,33802500,500,3,682.0,675.0,1381-12-05
2003-02-26,668.0,681.0,668.0,681.0,1642269166,24413,53,675.0,681.0,1381-12-07
2003-03-01,681.0,688.0,681.0,688.0,101105977,1467,9,681.0,688.0,1381-12-10
2003-03-02,695.0,695.0,695.0,695.0,69652000,1000,4,688.0,695.0,1381-12-11
2003-03-03,702.0,702.0,702.0,702.0,70348000,1000,2,695.0,702.0,1381-12-12
2003-03-05,709.0,709.0,709.0,709.0,143238816,2016,2,702.0,709.0,1381-12-14
2003-03-08,716.0,716.0,716.0,716.0,143522000,2000,5,709.0,716.0,1381-12-17
2003-03-09,723.0,723.0,723.0,723.0,2821202270,38925,46,716.0,723.0,1381-12-18
2003-03-10,731.0,731.0,724.0,731.0,1970740648,26924,37,723.0,731.0,1381-12-19
2003-03-11,738.0,738.0,738.0,738.0,3609602241,48822,63,731.0,738.0,1381-12-20
2003-03-18,738.0,767.0,738.0,767.0,1171291589,15294,14,738.0,767.0,1381-12-27
2003-04-06,759.0,759.0,759.0,759.0,234174240,3078,5,767.0,759.0,1382-01-17
2003-04-08,752.0,752.0,752.0,752.0,150640000,2000,3,759.0,752.0,1382-01-19
2003-04-14,744.0,744.0,744.0,744.0,77176845,1035,3,752.0,744.0,1382-01-25
2003-04-16,737.0,737.0,737.0,737.0,73822000,1000,4,744.0,737.0,1382-01-27
2003-04-19,729.0,729.0,729.0,729.0,116934400,1600,7,737.0,729.0,1382-01-30
2003-04-20,722.0,737.0,722.0,730.0,1548791703,21363,52,729.0,730.0,1382-01-31
2003-04-26,737.0,737.0,737.0,737.0,260454842,3527,22,730.0,737.0,1382-02-06
2003-04-27,737.0,737.0,737.0,737.0,99693040,1350,4,737.0,737.0,1382-02-07
2003-04-28,737.0,737.0,737.0,737.0,355939540,4820,7,737.0,737.0,1382-02-08
2003-04-29,730.0,730.0,730.0,730.0,451594293,6177,23,737.0,730.0,1382-02-09
2003-04-30,730.0,730.0,730.0,730.0,79188047,1083,5,730.0,730.0,1382-02-10
2003-05-03,737.0,737.0,736.0,737.0,359053392,4863,13,730.0,737.0,1382-02-13
2003-05-04,738.0,738.0,738.0,738.0,650094503,8797,9,737.0,738.0,1382-02-14
2003-05-05,738.0,738.0,738.0,738.0,74934600,1014,4,738.0,738.0,1382-02-15
2003-05-06,738.0,738.0,738.0,738.0,1555225500,21045,40,738.0,738.0,1382-02-16
2003-05-07,738.0,738.0,738.0,738.0,117870500,1595,7,738.0,738.0,1382-02-17
2003-05-10,738.0,738.0,738.0,738.0,77299400,1046,4,738.0,738.0,1382-02-20
2003-05-11,738.0,738.0,738.0,738.0,90970900,1231,6,738.0,738.0,1382-02-21
2003-05-12,738.0,738.0,738.0,738.0,684911972,9268,11,738.0,738.0,1382-02-22
2003-05-13,738.0,738.0,738.0,738.0,104199000,1410,4,738.0,738.0,1382-02-23
2003-05-17,738.0,738.0,738.0,738.0,354793900,4801,10,738.0,738.0,1382-02-27
2003-05-18,738.0,738.0,738.0,738.0,167014000,2260,4,738.0,738.0,1382-02-28
2003-05-20,738.0,738.0,738.0,738.0,206772200,2798,5,738.0,738.0,1382-02-30
2003-05-24,738.0,738.0,738.0,738.0,84393800,1142,7,738.0,738.0,1382-03-03
2003-05-25,738.0,738.0,738.0,738.0,36950500,500,1,738.0,738.0,1382-03-04
2003-07-20,709.0,709.0,708.0,709.0,1695270517,23878,28,738.0,709.0,1382-04-29
2003-07-21,708.0,708.0,708.0,708.0,35487000,500,1,709.0,708.0,1382-04-30
2003-07-28,673.0,708.0,673.0,708.0,463785504,6698,20,708.0,708.0,1382-05-06
2003-08-30,703.0,708.0,703.0,708.0,7046935,100,2,708.0,708.0,1382-06-08
2003-10-07,672.0,672.0,672.0,672.0,877972425,13035,5,708.0,672.0,1382-07-15
2003-10-28,499.0,499.0,499.0,499.0,50000000,1000,1,672.0,499.0,1382-08-06
2003-11-03,499.0,499.0,499.0,499.0,50488980,1010,2,499.0,499.0,1382-08-12
2003-11-04,474.0,493.0,474.0,493.0,95492420,2010,2,499.0,493.0,1382-08-13
2003-11-09,469.0,478.0,469.0,478.0,269616780,5740,14,493.0,478.0,1382-08-18
2003-11-10,454.0,474.0,454.0,470.0,271880730,5835,8,478.0,470.0,1382-08-19
2003-11-12,470.0,470.0,470.0,470.0,16935480,360,1,470.0,470.0,1382-08-21
2003-11-17,459.0,469.0,459.0,469.0,37729490,820,4,470.0,469.0,1382-08-26
2003-11-18,469.0,469.0,469.0,469.0,107982700,2300,1,469.0,469.0,1382-08-27
2003-11-19,469.0,469.0,469.0,469.0,2347450,50,1,469.0,469.0,1382-08-28
2003-11-23,469.0,469.0,469.0,469.0,44601550,950,1,469.0,469.0,1382-09-02
2003-11-24,469.0,469.0,469.0,469.0,9859290,210,1,469.0,469.0,1382-09-03
2003-11-25,469.0,469.0,469.0,469.0,3004736,64,1,469.0,469.0,1382-09-04
2003-11-29,469.0,469.0,469.0,469.0,1113659890,23695,5,469.0,469.0,1382-09-08
2003-11-30,469.0,469.0,469.0,469.0,4699900,100,1,469.0,469.0,1382-09-09
2003-12-08,469.0,469.0,469.0,469.0,19269990,410,2,469.0,469.0,1382-09-17
2003-12-09,469.0,469.0,469.0,469.0,6909010,147,4,469.0,469.0,1382-09-18
2003-12-10,469.0,469.0,469.0,469.0,34803240625,740337,4,469.0,469.0,1382-09-19
2003-12-13,469.0,469.0,469.0,469.0,9118910,194,3,469.0,469.0,1382-09-22
2003-12-16,469.0,469.0,469.0,469.0,47480000,1010,3,469.0,469.0,1382-09-25
2003-12-24,469.0,469.0,469.0,469.0,18334180,390,2,469.0,469.0,1382-10-03
2003-12-27,469.0,469.0,469.0,469.0,4700990,100,2,469.0,469.0,1382-10-06
2003-12-30,469.0,469.0,469.0,469.0,35210373115,749125,3,469.0,469.0,1382-10-09
2003-12-31,469.0,469.0,469.0,469.0,35216718500,749260,3,469.0,469.0,1382-10-10
2004-01-03,469.0,469.0,469.0,469.0,34786180090,740100,5,469.0,469.0,1382-10-13
2004-01-04,469.0,469.0,469.0,469.0,34734525000,739001,2,469.0,469.0,1382-10-14
2004-01-12,469.0,469.0,469.0,469.0,4196799144,89286,1,469.0,469.0,1382-10-22
2004-01-17,469.0,469.0,469.0,469.0,10246406,218,4,469.0,469.0,1382-10-27
2004-01-18,469.0,469.0,469.0,469.0,18236398,388,2,469.0,469.0,1382-10-28
2004-01-19,469.0,469.0,469.0,469.0,7050150,150,2,469.0,469.0,1382-10-29
2004-01-25,469.0,469.0,469.0,469.0,31667016968,673752,9,469.0,469.0,1382-11-05
2004-01-27,469.0,469.0,469.0,469.0,34793724000,740292,4,469.0,469.0,1382-11-07
2004-02-09,469.0,469.0,469.0,469.0,47799000,1017,3,469.0,469.0,1382-11-20
2004-04-04,235.0,235.0,235.0,235.0,117500000,5000,1,469.0,235.0,1383-01-16
2004-05-09,234.0,234.0,234.0,234.0,7964475,339,3,235.0,234.0,1383-02-20
2004-06-22,200.0,200.0,200.0,200.0,20000000,1000,1,234.0,200.0,1383-04-02
2004-08-02,190.0,198.0,190.0,198.0,95197910,5010,2,200.0,198.0,1383-05-12
2004-09-22,188.0,188.0,188.0,188.0,9401000,500,3,198.0,188.0,1383-07-01
2004-09-25,188.0,188.0,188.0,188.0,376226510,20010,7,188.0,188.0,1383-07-04
2004-09-26,188.0,188.0,188.0,188.0,94195930,5010,5,188.0,188.0,1383-07-05
2004-09-28,188.0,188.0,188.0,188.0,27824110,1480,4,188.0,188.0,1383-07-07
2004-10-02,188.0,188.0,188.0,188.0,75395564,4010,4,188.0,188.0,1383-07-11
2004-10-03,188.0,192.0,188.0,190.0,293130602,15241,5,188.0,190.0,1383-07-12
2004-10-04,192.0,192.0,191.0,191.0,112194550,5830,3,190.0,191.0,1383-07-13
2004-10-12,191.0,191.0,191.0,191.0,1529200,80,1,191.0,191.0,1383-07-21
2004-10-20,191.0,191.0,191.0,191.0,6116800,320,1,191.0,191.0,1383-07-29
2004-10-23,191.0,191.0,191.0,191.0,12998200,680,1,191.0,191.0,1383-08-02
2004-11-01,191.0,191.0,191.0,191.0,19115000,1000,1,191.0,191.0,1383-08-11
2004-11-03,192.0,192.0,191.0,191.0,9816170,510,2,191.0,191.0,1383-08-13
2004-11-06,192.0,192.0,191.0,191.0,48316300,2510,3,191.0,191.0,1383-08-16
2004-11-09,191.0,191.0,191.0,191.0,10714970,560,3,191.0,191.0,1383-08-19
2004-11-10,191.0,191.0,191.0,191.0,14942961,781,5,191.0,191.0,1383-08-20
2004-11-13,191.0,191.0,191.0,191.0,3118802,163,2,191.0,191.0,1383-08-23
2004-11-15,191.0,191.0,191.0,191.0,7462220,390,2,191.0,191.0,1383-08-25
2004-11-21,195.0,200.0,191.0,191.0,48811710,2500,3,191.0,191.0,1383-09-01
2004-11-28,201.0,201.0,201.0,201.0,483096000,24000,14,191.0,201.0,1383-09-08
2004-11-29,201.0,201.0,201.0,201.0,2023166290,100510,3,201.0,201.0,1383-09-09
2004-12-18,201.0,201.0,201.0,201.0,204609674,10166,7,201.0,201.0,1383-09-28
2004-12-19,201.0,211.0,201.0,202.0,34663326,1647,4,201.0,202.0,1383-09-29
2004-12-20,201.0,201.0,201.0,201.0,2134082,106,2,202.0,201.0,1383-09-30
2004-12-22,201.0,201.0,201.0,201.0,41522561,2063,3,201.0,201.0,1383-10-02
2004-12-27,210.0,210.0,201.0,201.0,1545850,74,2,201.0,201.0,1383-10-07
2005-01-02,212.0,212.0,202.0,202.0,10375170,490,3,201.0,202.0,1383-10-13
2005-01-19,202.0,202.0,202.0,202.0,11091864,549,4,202.0,202.0,1383-10-30
2005-01-22,202.0,202.0,202.0,202.0,48342260,2392,3,202.0,202.0,1383-11-03
2005-01-23,202.0,202.0,202.0,202.0,10971838,543,3,202.0,202.0,1383-11-04
2005-01-24,202.0,202.0,202.0,202.0,9697920,480,3,202.0,202.0,1383-11-05
2005-01-30,202.0,202.0,202.0,202.0,9163618140,453420,3,202.0,202.0,1383-11-11
2005-02-02,202.0,202.0,202.0,202.0,9396654,465,2,202.0,202.0,1383-11-14
2005-02-08,202.0,202.0,202.0,202.0,79883097,3954,3,202.0,202.0,1383-11-20
2005-03-09,202.0,202.0,202.0,202.0,30501690,1510,4,202.0,202.0,1383-12-19
2005-03-14,202.0,202.0,202.0,202.0,41268354,2043,4,202.0,202.0,1383-12-24
2005-05-14,211.0,211.0,211.0,211.0,10549500,500,1,202.0,211.0,1384-02-24
2005-05-15,211.0,211.0,211.0,211.0,103174581,4890,6,211.0,211.0,1384-02-25
2005-05-16,210.0,210.0,210.0,210.0,110880770,5280,5,211.0,210.0,1384-02-26
2005-05-18,200.0,207.0,200.0,207.0,154954842,7738,6,210.0,207.0,1384-02-28
2005-06-12,190.0,190.0,190.0,190.0,9500000,500,1,207.0,190.0,1384-03-22
2005-06-14,190.0,190.0,190.0,190.0,27934230000,1470300,2,190.0,190.0,1384-03-24
2005-06-15,190.0,190.0,190.0,190.0,27929860000,1470070,2,190.0,190.0,1384-03-25
2005-06-18,190.0,190.0,190.0,190.0,27917389390,1470110,3,190.0,190.0,1384-03-28
2005-06-19,190.0,190.0,190.0,190.0,27917389280,1470110,3,190.0,190.0,1384-03-29
2005-06-26,180.0,189.0,180.0,189.0,4882610,270,2,190.0,189.0,1384-04-05
2005-07-03,180.0,189.0,180.0,189.0,26523986410,1470450,5,189.0,189.0,1384-04-12
2005-07-04,180.0,189.0,180.0,189.0,26506093450,1470110,3,189.0,189.0,1384-04-13
2005-07-05,180.0,189.0,180.0,189.0,26491391310,1470110,3,189.0,189.0,1384-04-14
2005-07-06,180.0,185.0,180.0,185.0,26668118468,1480492,10,189.0,185.0,1384-04-15
2005-07-09,176.0,178.0,176.0,178.0,26210401456,1487368,5,185.0,178.0,1384-04-18
2005-07-11,170.0,178.0,170.0,178.0,29146789000,1715500,2,178.0,178.0,1384-04-20
2005-07-12,170.0,178.0,170.0,178.0,24969737700,1470100,2,178.0,178.0,1384-04-21
2005-07-13,170.0,178.0,170.0,178.0,24968438760,1470110,3,178.0,178.0,1384-04-22
2005-07-16,169.0,178.0,169.0,178.0,24966968650,1470110,3,178.0,178.0,1384-04-25
2005-07-17,169.0,174.0,169.0,174.0,16822577244,990612,4,178.0,174.0,1384-04-26
2005-07-25,165.0,174.0,165.0,174.0,9924540800,600100,2,174.0,174.0,1384-05-03
2005-07-26,174.0,174.0,174.0,174.0,1740800,100,1,174.0,174.0,1384-05-04
2005-07-27,174.0,174.0,174.0,174.0,3481600,200,2,174.0,174.0,1384-05-05
2005-07-31,174.0,174.0,174.0,174.0,3481600,200,2,174.0,174.0,1384-05-09
2005-09-04,174.0,174.0,174.0,174.0,11840790,680,2,174.0,174.0,1384-06-13
2005-09-07,174.0,174.0,174.0,174.0,18278400,1050,1,174.0,174.0,1384-06-16
2005-10-04,174.0,174.0,174.0,174.0,18191360,1045,1,174.0,174.0,1384-07-12
2005-11-14,174.0,174.0,174.0,174.0,25720145920,1477490,4,174.0,174.0,1384-08-23
2005-11-15,174.0,174.0,174.0,174.0,25598464000,1470500,2,174.0,174.0,1384-08-24
2005-11-16,174.0,174.0,174.0,174.0,20891859720,1199992,2,174.0,174.0,1384-08-25
2005-11-20,174.0,174.0,174.0,174.0,74506240,4280,5,174.0,174.0,1384-08-29
2005-11-21,174.0,174.0,174.0,174.0,156672000,9000,3,174.0,174.0,1384-08-30
2005-12-10,240.0,240.0,220.0,233.0,70233330,3010,3,174.0,233.0,1384-09-19
2005-12-11,245.0,245.0,236.0,236.0,162909910,6650,7,233.0,236.0,1384-09-20
