date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2013-09-22,809.0,809.0,809.0,809.0,99630270000,9973000,4884,81.0,809.0,1392-06-31
2013-09-23,850.0,850.0,850.0,850.0,456617637,43533,48,809.0,850.0,1392-07-01
2013-09-24,892.0,892.0,892.0,892.0,572676000,52000,149,850.0,892.0,1392-07-02
2013-09-25,937.0,937.0,937.0,937.0,7736999871,669117,961,892.0,937.0,1392-07-03
2013-09-28,984.0,984.0,958.0,980.0,51450958491,4255741,6641,937.0,984.0,1392-07-06
2013-09-29,984.0,989.0,959.0,969.0,23107721213,1931211,2876,980.0,960.0,1392-07-07
2013-09-30,973.0,973.0,924.0,940.0,8269994185,713059,1108,969.0,930.0,1392-07-08
2013-10-01,934.0,968.0,934.0,953.0,6810565270,579346,831,940.0,949.0,1392-07-09
2013-10-02,964.0,1000.0,946.0,992.0,10640312567,869397,990,953.0,1000.0,1392-07-10
2013-10-05,1025.0,1041.0,1010.0,1035.0,9437952523,738556,1245,992.0,1041.0,1392-07-13
2013-10-06,1076.0,1087.0,1037.0,1075.0,33824445241,2548324,2228,1035.0,1046.0,1392-07-14
2013-10-07,1033.0,1053.0,1022.0,1027.0,19839919938,1565886,1345,1075.0,1029.0,1392-07-15
2013-10-08,1027.0,1035.0,1001.0,1017.0,7948845501,633057,654,1027.0,1021.0,1392-07-16
2013-10-09,1029.0,1041.0,1025.0,1031.0,6374549492,500910,631,1017.0,1029.0,1392-07-17
2013-10-12,1051.0,1051.0,981.0,999.0,7579635642,614600,647,1031.0,984.0,1392-07-20
2013-10-13,1009.0,1009.0,956.0,976.0,16673617203,1384871,1127,999.0,972.0,1392-07-21
2013-10-14,982.0,1013.0,982.0,1003.0,7516270179,607253,656,976.0,997.0,1392-07-22
2013-10-15,1004.0,1007.0,973.0,983.0,5458608292,449757,520,1003.0,985.0,1392-07-23
2013-10-19,980.0,1002.0,980.0,994.0,7625594339,621487,489,983.0,1000.0,1392-07-27
2013-10-20,1041.0,1041.0,989.0,1027.0,8133356831,641820,624,994.0,1025.0,1392-07-28
2013-10-21,1027.0,1028.0,997.0,1009.0,7067594097,567729,466,1027.0,1021.0,1392-07-29
2013-10-29,1078.0,1078.0,1013.0,1050.0,6960969860,537356,512,1009.0,1041.0,1392-08-07
2013-10-30,1041.0,1102.0,1041.0,1079.0,20690987530,1554205,1289,1050.0,1102.0,1392-08-08
2013-11-02,1111.0,1133.0,1106.0,1130.0,24051703884,1725071,1197,1079.0,1126.0,1392-08-11
2013-11-03,1118.0,1129.0,1078.0,1100.0,15533763332,1144651,929,1130.0,1114.0,1392-08-12
2013-11-04,1111.0,1111.0,1078.0,1092.0,4629653254,343435,363,1100.0,1078.0,1392-08-13
2013-11-05,1071.0,1094.0,1057.0,1077.0,3599604036,270821,287,1092.0,1068.0,1392-08-14
2013-11-06,1071.0,1131.0,1071.0,1122.0,12747749343,920938,796,1077.0,1131.0,1392-08-15
2013-11-09,1142.0,1177.0,1122.0,1162.0,14313979946,998473,705,1122.0,1159.0,1392-08-18
2013-11-10,1118.0,1159.0,1106.0,1142.0,7607079069,539530,429,1162.0,1134.0,1392-08-19
2013-11-11,1170.0,1185.0,1151.0,1172.0,6230573003,430882,396,1142.0,1171.0,1392-08-20
2013-11-12,1183.0,1230.0,1183.0,1229.0,29510393891,1945696,1204,1172.0,1230.0,1392-08-21
2013-11-16,1290.0,1290.0,1290.0,1290.0,17967476800,1128256,512,1229.0,1290.0,1392-08-25
2013-11-17,1355.0,1355.0,1297.0,1342.0,48146809195,2907600,2601,1290.0,1313.0,1392-08-26
2013-11-18,1312.0,1312.0,1275.0,1279.0,13417711142,850002,720,1342.0,1275.0,1392-08-27
2013-11-19,1248.0,1343.0,1246.0,1338.0,29351930096,1777839,1612,1279.0,1343.0,1392-08-28
2013-11-20,1386.0,1405.0,1337.0,1401.0,29239019667,1691135,1345,1338.0,1405.0,1392-08-29
2013-11-23,1458.0,1471.0,1426.0,1470.0,25143869524,1385587,1016,1401.0,1471.0,1392-09-02
2013-11-24,1544.0,1544.0,1515.0,1544.0,18644861589,978631,781,1470.0,1544.0,1392-09-03
2013-11-25,1621.0,1621.0,1539.0,1590.0,40775632328,2078340,2437,1544.0,1552.0,1392-09-04
2013-11-26,1516.0,1595.0,1510.0,1522.0,24245632753,1290383,1218,1590.0,1510.0,1392-09-05
2013-11-27,1463.0,1548.0,1463.0,1509.0,22775290953,1223137,1209,1522.0,1493.0,1392-09-06
2013-11-30,1531.0,1584.0,1523.0,1577.0,17469939686,897400,683,1509.0,1584.0,1392-09-09
2013-12-01,1653.0,1656.0,1523.0,1613.0,26738600630,1343503,1539,1577.0,1541.0,1392-09-10
2013-12-02,1541.0,1564.0,1532.0,1537.0,16941570712,893086,878,1613.0,1532.0,1392-09-11
2013-12-03,1531.0,1539.0,1460.0,1471.0,16085304632,886247,943,1537.0,1460.0,1392-09-12
2013-12-04,1467.0,1544.0,1467.0,1524.0,8170101905,434353,659,1471.0,1531.0,1392-09-13
2013-12-07,1564.0,1588.0,1524.0,1572.0,7486516317,385954,554,1524.0,1576.0,1392-09-16
2013-12-08,1576.0,1620.0,1540.0,1570.0,10408208214,537311,687,1572.0,1544.0,1392-09-17
2013-12-09,1591.0,1593.0,1539.0,1559.0,10861618114,564333,638,1570.0,1544.0,1392-09-18
