date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2001-03-25,36.0,36.0,36.0,36.0,11259840,1680,3,0.0,36.0,1380-01-05
2001-03-28,36.0,36.0,36.0,36.0,2460001,367,1,36.0,36.0,1380-01-08
2001-03-31,36.0,36.0,36.0,36.0,10991920,1640,4,36.0,36.0,1380-01-11
2001-04-08,36.0,36.0,36.0,36.0,6481710,960,4,36.0,36.0,1380-01-19
2001-04-09,36.0,36.0,36.0,36.0,22974380,3400,9,36.0,36.0,1380-01-20
2001-04-10,36.0,36.0,36.0,36.0,19471292,2880,8,36.0,36.0,1380-01-21
2001-04-11,36.0,36.0,36.0,36.0,15395620,2276,3,36.0,36.0,1380-01-22
2001-04-14,36.0,36.0,36.0,36.0,15166960,2240,7,36.0,36.0,1380-01-25
2001-04-15,36.0,37.0,36.0,36.0,34181065,4990,13,36.0,36.0,1380-01-26
2001-04-16,36.0,36.0,36.0,36.0,20280710,2960,8,36.0,36.0,1380-01-27
2001-04-17,36.0,37.0,36.0,37.0,39594800,5740,14,36.0,37.0,1380-01-28
2001-04-18,37.0,37.0,37.0,37.0,90611304,13080,32,37.0,37.0,1380-01-29
2001-04-21,37.0,37.0,37.0,37.0,49618320,7160,9,37.0,37.0,1380-02-01
2001-04-23,36.0,36.0,36.0,36.0,15005510,2197,7,37.0,36.0,1380-02-03
2001-04-24,36.0,36.0,36.0,36.0,144916128,21188,100,36.0,36.0,1380-02-04
2001-04-25,36.0,37.0,36.0,36.0,109085775,15865,94,36.0,36.0,1380-02-05
2001-04-28,37.0,37.0,37.0,37.0,183929464,26705,87,36.0,37.0,1380-02-08
2001-04-29,37.0,38.0,37.0,38.0,329705100,45980,47,37.0,38.0,1380-02-09
2001-04-30,38.0,38.0,38.0,38.0,59417172,8398,71,38.0,38.0,1380-02-10
2001-05-01,38.0,38.0,38.0,38.0,147058248,20641,75,38.0,38.0,1380-02-11
2001-05-02,38.0,38.0,38.0,38.0,27230017,3837,10,38.0,38.0,1380-02-12
2001-05-05,38.0,38.0,38.0,38.0,29441520,4160,9,38.0,38.0,1380-02-15
2001-05-06,38.0,38.0,38.0,38.0,78023724,10965,14,38.0,38.0,1380-02-16
2001-05-07,38.0,38.0,38.0,38.0,37850629,5309,16,38.0,38.0,1380-02-17
2001-05-08,39.0,39.0,38.0,39.0,44679760,6128,11,38.0,39.0,1380-02-18
2001-05-09,39.0,39.0,39.0,39.0,12307920,1680,5,39.0,39.0,1380-02-19
2001-05-12,39.0,39.0,39.0,39.0,12189108,1662,6,39.0,39.0,1380-02-22
2001-05-13,39.0,39.0,39.0,39.0,38324490,5222,14,39.0,39.0,1380-02-23
2001-05-15,39.0,39.0,39.0,39.0,25958856,3520,9,39.0,39.0,1380-02-25
2001-05-16,39.0,40.0,39.0,40.0,96002092,12752,27,39.0,40.0,1380-02-26
2001-05-20,41.0,41.0,41.0,41.0,12699448,1634,8,40.0,41.0,1380-02-30
2001-05-21,42.0,42.0,42.0,42.0,118510182,14877,44,41.0,42.0,1380-02-31
2001-05-23,43.0,43.0,43.0,43.0,33933740,4156,11,42.0,43.0,1380-03-02
2001-05-26,44.0,44.0,44.0,44.0,273005149,32621,43,43.0,44.0,1380-03-05
2001-05-27,46.0,46.0,44.0,44.0,268021360,31624,59,44.0,44.0,1380-03-06
2001-05-28,44.0,45.0,44.0,45.0,160879508,19209,39,44.0,45.0,1380-03-07
2001-05-29,45.0,45.0,45.0,45.0,164989667,19477,36,45.0,45.0,1380-03-08
2001-05-30,45.0,45.0,45.0,45.0,53098997,6283,11,45.0,45.0,1380-03-09
2001-06-02,44.0,44.0,44.0,44.0,20552400,2475,2,45.0,44.0,1380-03-12
2001-06-03,44.0,44.0,44.0,44.0,8221000,1000,2,44.0,44.0,1380-03-13
2001-06-06,43.0,43.0,43.0,43.0,16278000,2000,3,44.0,43.0,1380-03-16
2001-06-09,43.0,43.0,43.0,43.0,52667088,6536,13,43.0,43.0,1380-03-19
2001-06-11,42.0,43.0,42.0,42.0,50624208,6390,11,43.0,42.0,1380-03-21
2001-06-12,41.0,41.0,41.0,41.0,155199780,19960,48,42.0,41.0,1380-03-22
2001-06-13,41.0,41.0,41.0,41.0,185510057,24082,53,41.0,41.0,1380-03-23
2001-06-16,41.0,41.0,41.0,41.0,37214720,4832,19,41.0,41.0,1380-03-26
2001-06-17,41.0,41.0,41.0,41.0,29558266,3838,13,41.0,41.0,1380-03-27
2001-06-18,41.0,41.0,41.0,41.0,65204819,8474,21,41.0,41.0,1380-03-28
2001-06-19,41.0,41.0,41.0,41.0,14377464,1868,6,41.0,41.0,1380-03-29
2001-06-20,41.0,41.0,41.0,41.0,59086774,7675,11,41.0,41.0,1380-03-30
2001-07-29,35.0,44.0,35.0,44.0,253355135,31802,51,41.0,44.0,1380-05-07
2001-07-30,44.0,44.0,44.0,44.0,310967754,37698,76,44.0,44.0,1380-05-08
2001-07-31,43.0,44.0,42.0,42.0,105212300,12868,23,44.0,42.0,1380-05-09
2001-08-01,42.0,42.0,41.0,42.0,152176250,19160,46,42.0,42.0,1380-05-10
2001-08-04,42.0,42.0,41.0,42.0,135724376,17071,28,42.0,42.0,1380-05-13
2001-08-05,42.0,42.0,42.0,42.0,114470408,14491,37,42.0,42.0,1380-05-14
2001-08-06,42.0,42.0,41.0,41.0,62724268,7981,18,42.0,41.0,1380-05-15
2001-08-07,41.0,41.0,41.0,41.0,152385119,19652,31,41.0,41.0,1380-05-16
2001-08-08,41.0,41.0,40.0,40.0,113762985,14882,26,41.0,40.0,1380-05-17
2001-08-11,40.0,40.0,40.0,40.0,149136242,19670,33,40.0,40.0,1380-05-20
2001-08-12,41.0,42.0,40.0,42.0,175097809,22451,23,40.0,42.0,1380-05-21
2001-08-13,42.0,42.0,42.0,42.0,16558222,2094,5,42.0,42.0,1380-05-22
2001-08-14,42.0,43.0,42.0,43.0,23208400,2900,5,42.0,43.0,1380-05-23
2001-08-15,43.0,43.0,43.0,43.0,21670733,2691,9,43.0,43.0,1380-05-24
2001-08-18,43.0,44.0,43.0,44.0,14713668,1805,10,43.0,44.0,1380-05-27
2001-08-19,44.0,44.0,44.0,44.0,100464372,12096,24,44.0,44.0,1380-05-28
2001-08-20,44.0,45.0,44.0,45.0,118631255,14126,20,44.0,45.0,1380-05-29
2001-08-21,45.0,45.0,44.0,44.0,37607910,4450,13,45.0,44.0,1380-05-30
2001-08-22,44.0,44.0,44.0,44.0,54591445,6590,12,44.0,44.0,1380-05-31
2001-08-25,44.0,44.0,44.0,44.0,68918332,8300,22,44.0,44.0,1380-06-03
2001-08-26,42.0,43.0,42.0,42.0,57588920,7198,19,44.0,42.0,1380-06-04
2001-08-27,41.0,41.0,40.0,41.0,43531910,5693,22,42.0,41.0,1380-06-05
2001-08-28,41.0,41.0,41.0,41.0,60653298,7862,22,41.0,41.0,1380-06-06
2001-08-29,41.0,41.0,41.0,41.0,60025018,7702,22,41.0,41.0,1380-06-07
2001-09-01,41.0,41.0,41.0,41.0,111476597,14270,45,41.0,41.0,1380-06-10
2001-09-02,42.0,42.0,41.0,41.0,58681134,7516,24,41.0,41.0,1380-06-11
2001-09-03,41.0,41.0,41.0,41.0,39630106,5094,8,41.0,41.0,1380-06-12
2001-09-04,41.0,41.0,40.0,40.0,61919454,8091,19,41.0,40.0,1380-06-13
2001-09-05,40.0,40.0,40.0,40.0,31313650,4121,12,40.0,40.0,1380-06-14
2001-09-08,40.0,41.0,40.0,40.0,100145272,13171,19,40.0,40.0,1380-06-17
2001-09-09,40.0,41.0,40.0,41.0,69495836,9057,19,40.0,41.0,1380-06-18
2001-09-10,41.0,41.0,41.0,41.0,94138088,12132,32,41.0,41.0,1380-06-19
2001-09-11,41.0,42.0,41.0,42.0,19850080,2539,6,41.0,42.0,1380-06-20
2001-09-12,42.0,42.0,41.0,41.0,63139703,8073,18,42.0,41.0,1380-06-21
2001-09-15,41.0,41.0,41.0,41.0,34999045,4489,13,41.0,41.0,1380-06-24
2001-09-16,40.0,40.0,40.0,40.0,145777459,19208,33,41.0,40.0,1380-06-25
2001-09-17,40.0,40.0,40.0,40.0,101947500,13593,14,40.0,40.0,1380-06-26
2001-09-18,40.0,40.0,39.0,39.0,59658250,8030,15,40.0,39.0,1380-06-27
2001-09-19,39.0,40.0,39.0,40.0,144852400,19260,19,39.0,40.0,1380-06-28
2001-09-22,40.0,41.0,40.0,40.0,63644230,8370,18,40.0,40.0,1380-06-31
2001-09-23,40.0,40.0,40.0,40.0,50366900,6615,14,40.0,40.0,1380-07-01
