date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2003-08-03,37.0,37.0,37.0,37.0,435280000,290000,25,37.0,37.0,1382-05-12
2003-08-04,38.0,38.0,37.0,37.0,1009794225,669553,249,37.0,37.0,1382-05-13
2003-08-05,37.0,37.0,37.0,37.0,158170500,105447,19,37.0,37.0,1382-05-14
2003-08-06,37.0,37.0,37.0,37.0,697500000,465000,58,37.0,37.0,1382-05-15
2003-08-09,37.0,37.0,37.0,37.0,330000000,220000,34,37.0,37.0,1382-05-18
2003-08-11,37.0,37.0,37.0,37.0,19852500,13235,4,37.0,37.0,1382-05-20
2003-08-20,39.0,39.0,39.0,39.0,236250000,150000,43,37.0,39.0,1382-05-29
2003-08-24,41.0,41.0,41.0,41.0,16530000,10000,2,39.0,41.0,1382-06-02
2003-08-26,43.0,43.0,43.0,43.0,86750000,50000,25,41.0,43.0,1382-06-04
2003-08-27,45.0,45.0,45.0,45.0,91050000,50000,10,43.0,45.0,1382-06-05
2003-08-30,47.0,47.0,45.0,45.0,3823909,2000,2,45.0,45.0,1382-06-08
2003-09-01,47.0,47.0,47.0,47.0,47587768,24889,14,45.0,47.0,1382-06-10
2003-09-02,49.0,49.0,49.0,49.0,84294000,42000,16,47.0,49.0,1382-06-11
2003-09-03,52.0,52.0,52.0,52.0,27441568,13024,6,49.0,52.0,1382-06-12
2003-09-06,54.0,54.0,54.0,54.0,55300000,25000,9,52.0,54.0,1382-06-15
2003-09-07,57.0,57.0,57.0,57.0,372899268,160594,74,54.0,57.0,1382-06-16
2003-09-08,57.0,60.0,55.0,57.0,173304202,74914,36,57.0,57.0,1382-06-17
2003-09-09,60.0,60.0,60.0,60.0,26088860,10745,5,57.0,60.0,1382-06-18
2003-09-13,63.0,63.0,63.0,63.0,241431927,94723,44,60.0,63.0,1382-06-22
2003-09-14,63.0,66.0,63.0,65.0,267334420,101265,46,63.0,65.0,1382-06-23
2003-09-15,66.0,68.0,66.0,67.0,131974700,48683,21,65.0,67.0,1382-06-24
2003-09-16,69.0,69.0,68.0,69.0,82183610,29229,10,67.0,69.0,1382-06-25
2003-09-17,69.0,73.0,69.0,72.0,90322350,30720,16,69.0,72.0,1382-06-26
2003-09-20,74.0,76.0,74.0,75.0,167570680,54610,20,72.0,75.0,1382-06-29
2003-09-21,79.0,79.0,79.0,79.0,64452130,20010,9,75.0,79.0,1382-06-30
2003-09-22,83.0,83.0,81.0,81.0,43882120,13010,3,79.0,81.0,1382-06-31
2003-09-23,86.0,86.0,86.0,86.0,121695000,35000,11,81.0,86.0,1382-07-01
2003-09-27,90.0,90.0,90.0,90.0,73036410,20010,11,86.0,90.0,1382-07-05
2003-09-28,94.0,94.0,94.0,94.0,688870193,180191,56,90.0,94.0,1382-07-06
2003-09-29,94.0,94.0,89.0,92.0,342990336,91287,59,94.0,92.0,1382-07-07
2003-09-30,88.0,88.0,88.0,88.0,96100830,26919,14,92.0,88.0,1382-07-08
2003-10-01,83.0,86.0,83.0,86.0,35926180,10589,9,88.0,86.0,1382-07-09
2003-10-04,81.0,84.0,81.0,84.0,23886990,7225,8,86.0,84.0,1382-07-12
2003-10-05,80.0,83.0,80.0,83.0,25723393,7917,11,84.0,83.0,1382-07-13
2003-10-06,78.0,80.0,78.0,80.0,36280200,11380,7,83.0,80.0,1382-07-14
