date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2001-03-26,1348.0,1348.0,1348.0,1348.0,836858,93,2,0.0,1348.0,1380-01-06
2001-03-27,1348.0,1348.0,1348.0,1348.0,44661729,4962,6,1348.0,1348.0,1380-01-07
2001-03-28,1363.0,1363.0,1349.0,1363.0,13431195,1479,4,1348.0,1363.0,1380-01-08
2001-03-31,1363.0,1371.0,1363.0,1371.0,110717510,12162,19,1363.0,1371.0,1380-01-11
2001-04-03,1378.0,1378.0,1378.0,1378.0,36800000,4000,1,1371.0,1378.0,1380-01-14
2001-04-07,1378.0,1378.0,1378.0,1378.0,12797200,1391,1,1378.0,1378.0,1380-01-18
2001-04-08,1378.0,1403.0,1378.0,1393.0,88352961,9497,18,1378.0,1393.0,1380-01-19
2001-04-09,1393.0,1393.0,1393.0,1393.0,236798100,25462,36,1393.0,1393.0,1380-01-20
2001-04-10,1393.0,1395.0,1393.0,1395.0,125226040,13457,27,1393.0,1395.0,1380-01-21
2001-04-11,1395.0,1402.0,1395.0,1402.0,59252491,6349,16,1395.0,1402.0,1380-01-22
2001-05-01,1198.0,1198.0,1198.0,1198.0,8000000,1000,1,1402.0,1198.0,1380-02-11
2001-05-02,1200.0,1201.0,1198.0,1200.0,73283334,9148,9,1198.0,1200.0,1380-02-12
2001-05-05,1201.0,1221.0,1201.0,1221.0,60551338,7519,11,1200.0,1221.0,1380-02-15
2001-05-06,1243.0,1275.0,1228.0,1275.0,92436608,11043,23,1221.0,1275.0,1380-02-16
2001-05-07,1275.0,1338.0,1275.0,1338.0,181662910,20400,23,1275.0,1338.0,1380-02-17
2001-05-08,1338.0,1405.0,1338.0,1405.0,104565379,11436,13,1338.0,1405.0,1380-02-18
2001-05-09,1471.0,1471.0,1430.0,1443.0,94573346,9727,19,1405.0,1443.0,1380-02-19
2001-05-12,1453.0,1457.0,1453.0,1453.0,64410050,6633,20,1443.0,1453.0,1380-02-22
2001-05-13,1453.0,1460.0,1453.0,1460.0,44336018,4568,12,1453.0,1460.0,1380-02-23
2001-05-15,1461.0,1462.0,1460.0,1461.0,52110618,5344,12,1460.0,1461.0,1380-02-25
2001-05-16,1468.0,1470.0,1462.0,1470.0,59714360,6092,16,1461.0,1470.0,1380-02-26
2001-05-19,1470.0,1498.0,1470.0,1498.0,91157166,9174,23,1470.0,1498.0,1380-02-29
2001-05-20,1498.0,1528.0,1498.0,1528.0,93141130,9191,16,1498.0,1528.0,1380-02-30
2001-05-21,1528.0,1543.0,1528.0,1529.0,51638749,5039,15,1528.0,1529.0,1380-02-31
2001-05-23,1529.0,1530.0,1529.0,1530.0,13939708,1365,8,1529.0,1530.0,1380-03-02
2001-05-26,1530.0,1530.0,1529.0,1530.0,53665061,5255,11,1530.0,1530.0,1380-03-05
2001-05-27,1513.0,1513.0,1513.0,1513.0,189789100,18791,15,1530.0,1513.0,1380-03-06
2001-05-28,1513.0,1513.0,1513.0,1513.0,50500000,5000,8,1513.0,1513.0,1380-03-07
2001-05-29,1498.0,1498.0,1483.0,1498.0,26788921,2684,3,1513.0,1498.0,1380-03-08
2001-05-30,1496.0,1496.0,1496.0,1496.0,13466123,1348,5,1498.0,1496.0,1380-03-09
2001-06-02,1493.0,1493.0,1490.0,1490.0,48711808,4888,3,1496.0,1490.0,1380-03-12
2001-06-03,1453.0,1460.0,1438.0,1438.0,66453669,6877,19,1490.0,1438.0,1380-03-13
2001-06-06,1435.0,1438.0,1435.0,1435.0,30680000,3200,7,1438.0,1435.0,1380-03-16
2001-06-12,1408.0,1408.0,1392.0,1393.0,77425165,8320,40,1435.0,1393.0,1380-03-22
2001-06-13,1386.0,1386.0,1363.0,1363.0,72454653,7902,17,1393.0,1363.0,1380-03-23
2001-06-16,1361.0,1361.0,1347.0,1348.0,36903353,4100,9,1363.0,1348.0,1380-03-26
2001-06-17,1332.0,1347.0,1320.0,1347.0,141965715,15915,43,1348.0,1347.0,1380-03-27
2001-06-18,1330.0,1331.0,1330.0,1330.0,168081514,18916,59,1347.0,1330.0,1380-03-28
2001-06-19,1336.0,1337.0,1330.0,1333.0,82183222,9214,17,1330.0,1333.0,1380-03-29
2001-06-20,1333.0,1333.0,1333.0,1333.0,105188678,11819,33,1333.0,1333.0,1380-03-30
2001-06-23,1337.0,1349.0,1333.0,1349.0,99919771,11173,22,1333.0,1349.0,1380-04-02
2001-06-24,1361.0,1378.0,1350.0,1378.0,85154097,9309,23,1349.0,1378.0,1380-04-03
2001-06-25,1378.0,1393.0,1378.0,1393.0,50942520,5494,15,1378.0,1393.0,1380-04-04
2001-06-26,1393.0,1394.0,1393.0,1393.0,56423474,6065,24,1393.0,1393.0,1380-04-05
2001-06-27,1393.0,1393.0,1392.0,1393.0,37892637,4075,22,1393.0,1393.0,1380-04-06
2001-06-30,1393.0,1395.0,1393.0,1395.0,21917804,2356,14,1393.0,1395.0,1380-04-09
2001-07-01,1395.0,1395.0,1393.0,1394.0,144546941,15530,21,1395.0,1394.0,1380-04-10
2001-07-02,1393.0,1395.0,1393.0,1393.0,78864349,8476,28,1394.0,1393.0,1380-04-11
2001-07-03,1393.0,1394.0,1393.0,1394.0,24722055,2658,16,1393.0,1394.0,1380-04-12
2001-07-04,1393.0,1394.0,1393.0,1393.0,55056192,5918,17,1394.0,1393.0,1380-04-13
2001-07-07,1393.0,1393.0,1392.0,1392.0,15325700,1649,9,1393.0,1392.0,1380-04-16
2001-07-08,1389.0,1390.0,1389.0,1390.0,41255653,4447,23,1392.0,1390.0,1380-04-17
2001-07-09,1390.0,1390.0,1390.0,1390.0,6245440,673,5,1390.0,1390.0,1380-04-18
2001-07-10,1348.0,1348.0,1348.0,1348.0,11475000,1275,9,1390.0,1348.0,1380-04-19
