date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2020-07-15,22048.0,22048.0,22048.0,22048.0,649999550000,25999982,4454161,882.0,22048.0,1399-04-25
2020-07-18,23151.0,23151.0,23151.0,22117.0,3289177500,125302,22278,22048.0,23151.0,1399-04-28
2020-07-19,23222.0,23222.0,23222.0,22600.0,22988911494,873074,18838,22117.0,23222.0,1399-04-29
2020-07-20,23729.0,23729.0,23729.0,22651.0,2416051176,89796,15773,22600.0,23729.0,1399-04-30
2020-07-21,23783.0,23783.0,23783.0,22705.0,2604499827,96581,16897,22651.0,23783.0,1399-04-31
2020-07-22,23840.0,23840.0,23840.0,22742.0,1708557560,63205,11018,22705.0,23840.0,1399-05-01
2020-07-25,23878.0,23878.0,23878.0,22787.0,2126010225,78523,13754,22742.0,23878.0,1399-05-04
2020-07-26,23926.0,23926.0,23926.0,22833.0,2117662611,78059,13586,22787.0,23926.0,1399-05-05
2020-07-27,23974.0,23974.0,23974.0,22893.0,2781004752,102303,17799,22833.0,23974.0,1399-05-06
2020-07-28,24037.0,24037.0,24037.0,22956.0,2879027415,105633,18351,22893.0,24037.0,1399-05-07
2020-07-29,24103.0,24103.0,24103.0,22986.0,1394950530,51041,8527,22956.0,24103.0,1399-05-08
2020-08-01,24135.0,24135.0,24135.0,23028.0,1949307546,71231,12387,22986.0,24135.0,1399-05-11
2020-08-02,24179.0,24179.0,24179.0,23069.0,1850442920,67495,11496,23028.0,24179.0,1399-05-12
2020-08-03,24221.0,24221.0,24221.0,23107.0,1727677848,62907,10877,23069.0,24221.0,1399-05-13
2020-08-04,24262.0,24262.0,24262.0,23168.0,2763572070,100457,17414,23107.0,24262.0,1399-05-14
2020-08-05,24326.0,24326.0,24326.0,23199.0,1451254512,52616,9101,23168.0,24326.0,1399-05-15
2020-08-09,24359.0,24359.0,24359.0,23236.0,1684129500,60975,10307,23199.0,24359.0,1399-05-19
2020-08-10,24398.0,24398.0,24398.0,23272.0,1577373616,57019,9864,23236.0,24398.0,1399-05-20
2020-08-11,24435.0,24435.0,24435.0,23300.0,1264280192,45632,7915,23272.0,24435.0,1399-05-21
2020-08-12,24464.0,24464.0,24464.0,23319.0,860657953,31027,5380,23300.0,24464.0,1399-05-22
2020-08-15,24485.0,24485.0,24485.0,23341.0,983504275,35425,6132,23319.0,24485.0,1399-05-25
2020-08-16,24508.0,24508.0,24508.0,23362.0,915619761,32949,5112,23341.0,24508.0,1399-05-26
2020-08-17,24529.0,24529.0,24529.0,23392.0,1393959747,50119,8553,23362.0,24529.0,1399-05-27
2020-08-18,24562.0,24562.0,24562.0,23429.0,1634265850,58681,9538,23392.0,24562.0,1399-05-28
2020-08-19,24600.0,24600.0,24600.0,23452.0,1048916265,37605,6463,23429.0,24600.0,1399-05-29
2020-08-22,24624.0,24624.0,24624.0,23484.0,1472556640,52742,5790,23452.0,24624.0,1399-06-01
2020-08-23,24658.0,24658.0,24658.0,23512.0,1270289206,45434,7705,23484.0,24658.0,1399-06-02
2020-08-24,24688.0,24688.0,24688.0,23543.0,1380278844,49308,8409,23512.0,24688.0,1399-06-03
2020-08-25,24720.0,24720.0,24720.0,23580.0,1676358432,59808,10286,23543.0,24720.0,1399-06-04
2020-08-26,24759.0,24759.0,24759.0,23613.0,1453030407,51759,8823,23580.0,24759.0,1399-06-05
2020-08-31,24793.0,24793.0,24793.0,23737.0,5513831456,196138,33651,23613.0,24793.0,1399-06-10
2020-09-01,24923.0,24923.0,24923.0,23895.0,7022666520,248502,30763,23737.0,24923.0,1399-06-11
2020-09-02,25089.0,25089.0,25089.0,23963.0,3037392960,106770,18403,23895.0,25089.0,1399-06-12
2020-09-05,25161.0,25161.0,25161.0,24104.0,6193503255,217095,23954,23963.0,25161.0,1399-06-15
2020-09-06,25309.0,25309.0,25309.0,24270.0,7262636760,253080,23604,24104.0,25309.0,1399-06-16
2020-09-07,25483.0,25483.0,25483.0,24426.0,6850333990,237085,29344,24270.0,25483.0,1399-06-17
2020-09-08,25647.0,25647.0,25647.0,24542.0,5053493320,173779,28448,24426.0,25647.0,1399-06-18
2020-09-09,25768.0,25768.0,25768.0,24654.0,4906929356,167942,28360,24542.0,25768.0,1399-06-19
2020-09-12,25886.0,25886.0,25886.0,24730.0,3280590621,111771,18861,24654.0,25886.0,1399-06-22
2020-09-13,25967.0,25967.0,25967.0,24799.0,2929136855,99485,17098,24730.0,25967.0,1399-06-23
2020-09-14,26038.0,26038.0,26038.0,24882.0,3531218020,119605,20357,24799.0,26038.0,1399-06-24
2020-09-15,26126.0,26126.0,26126.0,24986.0,4441406013,149931,22381,24882.0,26126.0,1399-06-25
2020-09-16,26235.0,26235.0,26235.0,25170.0,7833247763,263329,35149,24986.0,26235.0,1399-06-26
2020-09-19,26427.0,26427.0,26427.0,25424.0,10587563415,353331,60011,25170.0,26427.0,1399-06-29
2020-09-20,26694.0,26694.0,26694.0,25693.0,11229760948,371011,62162,25424.0,26694.0,1399-06-30
2020-09-21,26977.0,26977.0,26977.0,25861.0,7036555284,230043,15996,25693.0,26977.0,1399-06-31
2020-09-22,27154.0,27154.0,27154.0,25978.0,4892033421,158889,17076,25861.0,27154.0,1399-07-01
2020-09-23,27276.0,27276.0,27276.0,26073.0,3955969552,127909,21282,25978.0,27276.0,1399-07-02
2020-09-26,27376.0,27376.0,27376.0,26177.0,4183333488,134768,23099,26073.0,27376.0,1399-07-05
2020-09-27,27485.0,27485.0,27485.0,26384.0,8339348855,267587,21483,26177.0,27485.0,1399-07-06
2020-09-28,27702.0,27702.0,27702.0,26494.0,4448205943,141613,24271,26384.0,27702.0,1399-07-07
2020-09-29,27819.0,27819.0,27819.0,26617.0,4946573260,156820,26899,26494.0,27819.0,1399-07-08
2020-09-30,27948.0,27948.0,27948.0,26716.0,3978553950,125550,21437,26617.0,27948.0,1399-07-09
2020-10-03,28051.0,28051.0,28051.0,26855.0,5482241190,172365,28605,26716.0,28051.0,1399-07-12
2020-10-04,28197.0,28197.0,28197.0,26968.0,4450598316,139203,23649,26855.0,28197.0,1399-07-13
2020-10-05,28315.0,28315.0,28315.0,27086.0,4640858088,144548,24612,26968.0,28315.0,1399-07-14
2020-10-07,28440.0,28440.0,28440.0,27272.0,7330517028,227324,38983,27086.0,28440.0,1399-07-16
2020-10-10,28636.0,28636.0,28636.0,27412.0,5396769897,166213,28458,27272.0,28636.0,1399-07-19
2020-10-11,28783.0,28783.0,28783.0,27628.0,8314804264,254774,32573,27412.0,28783.0,1399-07-20
2020-10-12,29009.0,29009.0,29009.0,27783.0,5949258231,180867,30815,27628.0,29009.0,1399-07-21
2020-10-13,29172.0,29172.0,29172.0,27935.0,5876261358,177654,28810,27783.0,29172.0,1399-07-22
2020-10-14,29331.0,29331.0,29331.0,28051.0,4463922018,134221,22938,27935.0,29331.0,1399-07-23
2020-10-18,29453.0,29453.0,29453.0,28147.0,3583657968,107308,17589,28051.0,29453.0,1399-07-27
2020-10-19,29554.0,29554.0,29554.0,28203.0,2127851490,63499,10891,28147.0,29554.0,1399-07-28
2020-10-20,29613.0,29613.0,29613.0,28318.0,4306586020,128260,19672,28203.0,29613.0,1399-07-29
2020-10-21,29734.0,29734.0,29734.0,28422.0,3908700018,115937,19938,28318.0,29734.0,1399-07-30
2020-10-24,29843.0,29843.0,29843.0,28506.0,3087988204,91258,15653,28422.0,29843.0,1399-08-03
2020-10-26,29931.0,29931.0,29931.0,28658.0,5606795166,165207,17849,28506.0,29931.0,1399-08-05
2020-10-27,30090.0,30090.0,30090.0,28748.0,3318521388,97266,16666,28658.0,30090.0,1399-08-06
2020-10-28,30184.0,30184.0,30184.0,28832.0,3141102050,91778,14488,28748.0,30184.0,1399-08-07
2020-10-31,30273.0,30273.0,30273.0,28929.0,3519101520,102520,17492,28832.0,30273.0,1399-08-10
2020-11-01,30376.0,30376.0,30376.0,28994.0,2352560810,68305,11702,28929.0,30376.0,1399-08-11
2020-11-02,30443.0,30443.0,30443.0,29055.0,2243497410,64995,11145,28994.0,30443.0,1399-08-12
2020-11-04,30508.0,30508.0,30508.0,29131.0,2747607968,79429,13346,29055.0,30508.0,1399-08-14
2020-11-07,30587.0,30587.0,30587.0,29186.0,1961440510,56555,9624,29131.0,30587.0,1399-08-17
2020-11-08,30645.0,30645.0,30645.0,29246.0,2168421282,62406,10042,29186.0,30645.0,1399-08-18
2020-11-09,30708.0,30708.0,30708.0,29397.0,5422711060,155740,12782,29246.0,30708.0,1399-08-19
2020-11-10,30866.0,30866.0,30866.0,29488.0,3317915394,94803,14545,29397.0,30866.0,1399-08-20
2020-11-11,30962.0,30962.0,30962.0,29614.0,4546707570,129510,11772,29488.0,30962.0,1399-08-21
2020-11-14,31094.0,31094.0,31094.0,29693.0,2790732578,79154,13602,29614.0,31094.0,1399-08-24
2020-11-15,31177.0,31177.0,31177.0,29768.0,2673101216,75616,12990,29693.0,31177.0,1399-08-25
2020-11-16,31256.0,31256.0,31256.0,29847.0,2828501840,79811,13716,29768.0,31256.0,1399-08-26
2020-11-17,31340.0,31340.0,31340.0,29938.0,3214389495,90457,15551,29847.0,31340.0,1399-08-27
2020-11-18,31435.0,31435.0,31435.0,30043.0,3722768778,104446,17944,29938.0,31435.0,1399-08-28
2020-11-21,31545.0,31545.0,31545.0,30141.0,3434765272,96029,16482,30043.0,31545.0,1399-09-01
2020-11-22,31647.0,31647.0,31647.0,30222.0,2830637572,78883,13137,30141.0,31647.0,1399-09-02
2020-11-23,31733.0,31733.0,31733.0,30321.0,3444677016,95736,15706,30222.0,31733.0,1399-09-03
2020-11-24,31837.0,31837.0,31837.0,30419.0,3432509514,95086,16155,30321.0,31837.0,1399-09-04
2020-11-25,31939.0,31939.0,31939.0,30512.0,3281187645,90603,15589,30419.0,31939.0,1399-09-05
2020-11-28,32037.0,32037.0,32037.0,30622.0,3769113108,103758,17811,30512.0,32037.0,1399-09-08
2020-11-29,32153.0,32153.0,32153.0,30744.0,4208267967,115431,16388,30622.0,32153.0,1399-09-09
2020-11-30,32281.0,32281.0,32281.0,30874.0,4468384431,122077,20855,30744.0,32281.0,1399-09-10
2020-12-01,32417.0,32417.0,32417.0,31026.0,5224787008,142144,24009,30874.0,32417.0,1399-09-11
2020-12-02,32576.0,32576.0,32576.0,31154.0,4428820174,119902,20427,31026.0,32576.0,1399-09-12
2020-12-05,32712.0,32712.0,32712.0,31248.0,3160561201,85211,14633,31154.0,32712.0,1399-09-15
2020-12-06,32810.0,32810.0,32810.0,31356.0,3656696186,98293,16546,31248.0,32810.0,1399-09-16
2020-12-07,32923.0,32923.0,32923.0,31548.0,6442359994,172574,29465,31356.0,32923.0,1399-09-17
2020-12-08,33125.0,33125.0,33125.0,31753.0,6941541703,184817,31294,31548.0,33125.0,1399-09-18
2020-12-09,33341.0,33341.0,33341.0,31958.0,6901422632,182558,31283,31753.0,33341.0,1399-09-19
2020-12-12,33555.0,33555.0,33555.0,32064.0,3481148312,91496,15092,31958.0,33555.0,1399-09-22
2020-12-13,33666.0,33666.0,33666.0,32141.0,2539458825,66525,10878,32064.0,33666.0,1399-09-23
2020-12-14,33748.0,33748.0,33748.0,32275.0,4395615420,114870,18610,32141.0,33748.0,1399-09-24
2020-12-15,33888.0,33888.0,33888.0,32371.0,3140821075,81739,13970,32275.0,33888.0,1399-09-25
2020-12-16,33989.0,33989.0,33989.0,32433.0,2063724911,53549,9176,32371.0,33989.0,1399-09-26
2020-12-19,34054.0,34054.0,34054.0,32512.0,2543245245,65865,11279,32433.0,34054.0,1399-09-29
2020-12-20,34137.0,34137.0,34137.0,32575.0,2047058402,52886,9041,32512.0,34137.0,1399-09-30
2020-12-21,34203.0,34203.0,34203.0,32638.0,2031556288,52384,8701,32575.0,34203.0,1399-10-01
2020-12-22,34269.0,34269.0,34269.0,32725.0,2819425063,72559,10730,32638.0,34269.0,1399-10-02
2020-12-23,34361.0,34361.0,34361.0,32805.0,2587088322,66402,11141,32725.0,34361.0,1399-10-03
2020-12-26,34445.0,34445.0,34445.0,33444.0,20437418960,523285,13138,32805.0,34445.0,1399-10-06
2020-12-27,35116.0,35116.0,35116.0,33556.0,3578871411,89883,13254,33444.0,35116.0,1399-10-07
2020-12-28,35233.0,35233.0,35233.0,33655.0,3194521850,79963,13698,33556.0,35233.0,1399-10-08
2020-12-29,35338.0,35338.0,35338.0,33744.0,2833599542,70718,12091,33655.0,35338.0,1399-10-09
2020-12-30,35431.0,35431.0,35431.0,33860.0,3738512092,93058,15930,33744.0,35431.0,1399-10-10
2021-01-02,35553.0,35553.0,35553.0,33966.0,3279139328,81344,13921,33860.0,35553.0,1399-10-13
2021-01-03,35664.0,35664.0,35664.0,34081.0,3553570126,87877,14221,33966.0,35664.0,1399-10-14
2021-01-04,35784.0,35784.0,35784.0,34187.0,3315261525,81707,13990,34081.0,35784.0,1399-10-15
2021-01-05,35896.0,35896.0,35896.0,34556.0,11435837430,280965,14906,34187.0,35896.0,1399-10-16
2021-01-06,36284.0,36284.0,36284.0,34680.0,3856557340,93740,15929,34556.0,36284.0,1399-10-17
2021-01-09,36414.0,36414.0,36414.0,34777.0,2943492810,71290,12234,34680.0,36414.0,1399-10-20
2021-01-10,36516.0,36516.0,36516.0,34884.0,3231582200,78050,13391,34777.0,36516.0,1399-10-21
2021-01-11,36628.0,36628.0,36628.0,34970.0,2624053173,63183,10845,34884.0,36628.0,1399-10-22
2021-01-12,36718.0,36718.0,36718.0,35044.0,2212680564,53146,9108,34970.0,36718.0,1399-10-23
2021-01-13,36795.0,36795.0,36795.0,35122.0,2379765840,57040,9585,35044.0,36795.0,1399-10-24
2021-01-16,36878.0,36878.0,36878.0,35209.0,2590606510,61954,10612,35122.0,36878.0,1399-10-27
2021-01-18,36969.0,36969.0,36969.0,35309.0,3000364686,71577,10244,35209.0,36969.0,1399-10-29
2021-01-19,37074.0,37074.0,37074.0,35405.0,2878399501,68473,8319,35309.0,37074.0,1399-10-30
2021-01-20,37175.0,37175.0,37175.0,35471.0,1970985368,46759,7837,35405.0,37175.0,1399-11-01
2021-01-23,37245.0,37245.0,37245.0,35534.0,1859050851,44021,7555,35471.0,37245.0,1399-11-04
2021-01-24,37310.0,37310.0,37310.0,35600.0,1958044620,46284,7941,35534.0,37310.0,1399-11-05
2021-01-25,37380.0,37380.0,37380.0,35658.0,1727953296,40769,6984,35600.0,37380.0,1399-11-06
2021-01-26,37441.0,37441.0,37441.0,35723.0,1897521741,44697,6689,35658.0,37441.0,1399-11-07
2021-01-27,37509.0,37509.0,37509.0,35780.0,1706303600,40120,6647,35723.0,37509.0,1399-11-08
2021-01-30,37569.0,37569.0,37569.0,35866.0,2505571762,58819,9917,35780.0,37569.0,1399-11-11
2021-01-31,37659.0,37659.0,37659.0,35943.0,2285816400,53532,8249,35866.0,37659.0,1399-11-12
2021-02-01,37740.0,37740.0,37740.0,36014.0,2083242936,48683,8341,35943.0,37740.0,1399-11-13
2021-02-02,37814.0,37814.0,37814.0,36091.0,2273928660,53035,9084,36014.0,37814.0,1399-11-14
2021-02-03,37896.0,37896.0,37896.0,36188.0,2843000916,66164,11350,36091.0,37896.0,1399-11-15
2021-02-06,37997.0,37997.0,37997.0,36351.0,4712484836,109379,8382,36188.0,37997.0,1399-11-18
2021-02-07,38167.0,38167.0,38167.0,36421.0,2036875282,47066,7985,36351.0,38167.0,1399-11-19
2021-02-08,38242.0,38242.0,38242.0,36485.0,1830484615,42215,7231,36421.0,38242.0,1399-11-20
2021-02-09,38309.0,38309.0,38309.0,36554.0,2009916864,46272,7926,36485.0,38309.0,1399-11-21
2021-02-13,38747.0,38747.0,38747.0,36673.0,2876842254,65481,10426,36554.0,38747.0,1399-11-25
2021-02-14,38873.0,38873.0,38873.0,36912.0,5764257829,130777,7378,36673.0,38873.0,1399-11-26
2021-02-16,39126.0,39126.0,39126.0,36957.0,1090644576,24584,2314,36912.0,39126.0,1399-11-28
2021-02-17,39174.0,39174.0,39174.0,37048.0,2209262484,49738,8513,36957.0,39174.0,1399-11-29
2021-02-20,39271.0,39271.0,39271.0,37144.0,2264738608,50861,8710,37048.0,39271.0,1399-12-02
2021-02-21,39371.0,39371.0,39371.0,37225.0,1926614794,43157,7404,37144.0,39371.0,1399-12-03
2021-02-22,39458.0,39458.0,39458.0,37327.0,2449917660,54759,9365,37225.0,39458.0,1399-12-04
2021-02-23,39566.0,39566.0,39566.0,37450.0,2928970681,65287,11185,37327.0,39566.0,1399-12-05
2021-02-24,39696.0,39696.0,39696.0,37644.0,4649533000,103300,17681,37450.0,39696.0,1399-12-06
2021-02-27,39903.0,39903.0,39903.0,37732.0,2044259590,45182,7722,37644.0,39903.0,1399-12-09
2021-02-28,39995.0,39995.0,39995.0,37825.0,2194574157,48393,8216,37732.0,39995.0,1399-12-10
2021-03-01,40094.0,40094.0,40094.0,37930.0,2456039088,54024,9254,37825.0,40094.0,1399-12-11
2021-03-02,40206.0,40206.0,40206.0,38049.0,2788663548,61171,10466,37930.0,40206.0,1399-12-12
2021-03-06,66145.0,66145.0,66145.0,66145.0,277427850000,3699038,3793,38049.0,66145.0,1399-12-16
2021-03-07,70114.0,70114.0,67468.0,70075.0,425266923500,5352231,42743,66145.0,70114.0,1399-12-17
2021-03-08,74279.0,74279.0,74279.0,70214.0,3226330461,38307,5871,70075.0,74279.0,1399-12-18
2021-03-09,74426.0,74426.0,71595.0,74426.0,406580823744,4817932,11928,70214.0,74426.0,1399-12-19
