date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2010-09-18,164.0,164.0,159.0,161.0,1923342096,586540,108,49.0,162.0,1389-06-27
2010-09-18,537.0,537.0,523.0,529.0,1923342096,586540,108,161.0,532.0,1389-06-27
2010-09-19,555.0,564.0,508.0,530.0,934709502,284349,58,529.0,509.0,1389-06-28
2010-09-19,556.0,566.0,509.0,531.0,934709502,284349,58,530.0,511.0,1389-06-28
2010-09-20,513.0,530.0,501.0,507.0,378081558,120435,35,531.0,501.0,1389-06-29
2010-09-20,490.0,506.0,478.0,484.0,378081558,120435,35,507.0,478.0,1389-06-29
2010-09-21,478.0,501.0,478.0,492.0,589229428,184892,33,484.0,494.0,1389-06-30
2010-09-21,486.0,509.0,486.0,499.0,589229428,184892,33,492.0,501.0,1389-06-30
2010-09-22,509.0,517.0,503.0,516.0,1018947560,309712,50,499.0,517.0,1389-06-31
2010-09-22,526.0,534.0,519.0,532.0,1018947560,309712,50,516.0,534.0,1389-06-31
2010-09-25,539.0,560.0,539.0,548.0,881809620,260505,52,532.0,550.0,1389-07-03
2010-09-25,554.0,576.0,554.0,563.0,881809620,260505,52,548.0,566.0,1389-07-03
2010-09-26,583.0,583.0,535.0,560.0,711057487,211477,37,563.0,536.0,1389-07-04
2010-09-26,579.0,579.0,531.0,556.0,711057487,211477,37,560.0,533.0,1389-07-04
2010-09-27,532.0,537.0,529.0,532.0,221023032,68648,22,556.0,529.0,1389-07-05
2010-09-27,510.0,515.0,507.0,510.0,221023032,68648,22,532.0,507.0,1389-07-05
2010-09-28,503.0,509.0,503.0,507.0,167900745,52455,15,510.0,507.0,1389-07-06
2010-09-28,500.0,506.0,500.0,504.0,167900745,52455,15,507.0,504.0,1389-07-06
2010-09-29,527.0,527.0,510.0,513.0,79569740,24396,14,504.0,513.0,1389-07-07
2010-09-29,537.0,537.0,520.0,523.0,79569740,24396,14,513.0,523.0,1389-07-07
2010-10-02,528.0,528.0,509.0,513.0,416989652,130490,35,523.0,526.0,1389-07-10
2010-10-02,517.0,517.0,498.0,502.0,416989652,130490,35,513.0,515.0,1389-07-10
2010-10-03,495.0,503.0,495.0,498.0,241587948,76157,17,502.0,497.0,1389-07-11
2010-10-03,491.0,499.0,491.0,495.0,241587948,76157,17,498.0,493.0,1389-07-11
2010-10-05,487.0,491.0,483.0,488.0,306408100,97966,25,495.0,490.0,1389-07-13
2010-10-05,481.0,484.0,477.0,481.0,306408100,97966,25,488.0,483.0,1389-07-13
2010-10-06,482.0,482.0,446.0,460.0,326996178,109451,29,481.0,447.0,1389-07-14
2010-10-06,461.0,461.0,426.0,439.0,326996178,109451,29,460.0,427.0,1389-07-14
2010-10-09,428.0,441.0,428.0,434.0,113152576,38272,10,439.0,434.0,1389-07-17
2010-10-09,424.0,436.0,424.0,430.0,113152576,38272,10,434.0,429.0,1389-07-17
2010-10-10,461.0,461.0,432.0,441.0,244665370,80730,13,430.0,436.0,1389-07-18
2010-10-10,472.0,472.0,443.0,452.0,244665370,80730,13,441.0,447.0,1389-07-18
2010-10-11,447.0,447.0,447.0,447.0,192303000,64101,20,452.0,447.0,1389-07-19
2010-10-11,443.0,443.0,443.0,443.0,192303000,64101,20,447.0,443.0,1389-07-19
2010-10-12,443.0,443.0,414.0,430.0,306071492,105038,14,443.0,415.0,1389-07-20
2010-10-12,430.0,430.0,403.0,418.0,306071492,105038,14,430.0,403.0,1389-07-20
2010-10-13,394.0,394.0,384.0,388.0,93390700,34526,12,418.0,387.0,1389-07-21
2010-10-13,366.0,366.0,357.0,360.0,93390700,34526,12,388.0,359.0,1389-07-21
2010-10-16,359.0,359.0,333.0,341.0,183157308,71373,13,360.0,333.0,1389-07-24
2010-10-16,341.0,341.0,315.0,324.0,183157308,71373,13,341.0,315.0,1389-07-24
2010-10-17,340.0,350.0,340.0,343.0,387808200,142800,23,324.0,350.0,1389-07-25
2010-10-17,360.0,370.0,360.0,363.0,387808200,142800,23,343.0,370.0,1389-07-25
2010-10-18,387.0,392.0,387.0,391.0,146846805,50095,16,363.0,392.0,1389-07-26
2010-10-18,418.0,423.0,418.0,422.0,146846805,50095,16,391.0,423.0,1389-07-26
2010-10-19,425.0,425.0,399.0,422.0,194352816,66428,12,422.0,399.0,1389-07-27
2010-10-19,425.0,425.0,399.0,421.0,194352816,66428,12,422.0,399.0,1389-07-27
2010-10-20,404.0,405.0,390.0,401.0,97621912,35000,11,421.0,390.0,1389-07-28
2010-10-20,385.0,386.0,372.0,382.0,97621912,35000,11,401.0,372.0,1389-07-28
2010-10-23,403.0,403.0,403.0,403.0,38200000,13000,4,382.0,403.0,1389-08-01
2010-10-23,425.0,425.0,424.0,424.0,38200000,13000,4,403.0,424.0,1389-08-01
2010-10-24,409.0,409.0,390.0,398.0,88102502,31992,14,424.0,390.0,1389-08-02
2010-10-24,383.0,383.0,366.0,373.0,88102502,31992,14,398.0,366.0,1389-08-02
2010-10-25,368.0,368.0,367.0,367.0,74510330,27483,16,373.0,367.0,1389-08-03
2010-10-25,363.0,363.0,361.0,361.0,74510330,27483,16,367.0,361.0,1389-08-03
2010-10-27,367.0,380.0,367.0,376.0,58901352,20876,13,361.0,380.0,1389-08-05
2010-10-27,381.0,395.0,381.0,391.0,58901352,20876,13,376.0,395.0,1389-08-05
2010-10-30,401.0,402.0,391.0,394.0,277381720,97636,25,391.0,391.0,1389-08-08
2010-10-30,404.0,405.0,394.0,397.0,277381720,97636,25,394.0,394.0,1389-08-08
2010-10-31,386.0,386.0,365.0,376.0,316915532,117588,26,397.0,365.0,1389-08-09
2010-10-31,366.0,366.0,346.0,357.0,316915532,117588,26,376.0,346.0,1389-08-09
2010-11-01,358.0,363.0,358.0,360.0,44850520,16523,8,357.0,363.0,1389-08-10
2010-11-01,360.0,366.0,360.0,362.0,44850520,16523,8,360.0,366.0,1389-08-10
2010-11-03,354.0,354.0,344.0,351.0,140108788,53297,13,362.0,353.0,1389-08-12
2010-11-03,343.0,343.0,334.0,340.0,140108788,53297,13,351.0,342.0,1389-08-12
2010-11-06,337.0,337.0,313.0,331.0,287986074,112440,39,340.0,324.0,1389-08-15
2010-11-06,328.0,328.0,305.0,322.0,287986074,112440,39,331.0,315.0,1389-08-15
2010-11-07,321.0,328.0,321.0,325.0,63574686,24661,3,322.0,328.0,1389-08-16
2010-11-07,323.0,330.0,323.0,327.0,63574686,24661,3,325.0,330.0,1389-08-16
2010-11-08,307.0,317.0,307.0,316.0,56869014,22834,7,327.0,317.0,1389-08-17
2010-11-08,297.0,306.0,297.0,305.0,56869014,22834,7,316.0,306.0,1389-08-17
2010-11-09,306.0,320.0,306.0,315.0,134043063,52160,17,305.0,320.0,1389-08-18
2010-11-09,316.0,330.0,316.0,325.0,134043063,52160,17,315.0,330.0,1389-08-18
2010-11-10,326.0,340.0,326.0,338.0,366822135,137167,45,325.0,330.0,1389-08-19
2010-11-10,339.0,354.0,339.0,352.0,366822135,137167,45,338.0,343.0,1389-08-19
2010-11-13,347.0,348.0,329.0,338.0,97275576,37887,15,352.0,335.0,1389-08-22
2010-11-13,333.0,334.0,316.0,324.0,97275576,37887,15,338.0,322.0,1389-08-22
2010-11-14,316.0,316.0,316.0,316.0,1703400,680,1,324.0,316.0,1389-08-23
2010-11-14,309.0,309.0,309.0,309.0,1703400,680,1,316.0,309.0,1389-08-23
2010-11-15,320.0,320.0,308.0,310.0,177075000,70446,10,309.0,308.0,1389-08-24
2010-11-15,321.0,321.0,309.0,311.0,177075000,70446,10,310.0,309.0,1389-08-24
2010-11-16,309.0,309.0,309.0,309.0,30034000,12000,5,311.0,309.0,1389-08-25
