date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2019-01-13,1780.0,1780.0,1780.0,1780.0,201825000000,103500000,306990,913.0,1780.0,1397-10-23
2019-01-14,1868.0,1868.0,1868.0,1868.0,183443952,89616,293,1780.0,1868.0,1397-10-24
2019-01-15,1961.0,1961.0,1961.0,1961.0,203456575,94675,310,1868.0,1961.0,1397-10-25
2019-01-16,2059.0,2059.0,2059.0,2059.0,303822288,134673,449,1961.0,2059.0,1397-10-26
2019-01-19,2161.0,2161.0,2161.0,2161.0,497940672,210279,705,2059.0,2161.0,1397-10-29
2019-01-20,2269.0,2269.0,2269.0,2269.0,473404008,190428,585,2161.0,2269.0,1397-10-30
2019-01-22,2382.0,2501.0,2382.0,2475.0,3653275450,1347019,4150,2269.0,2501.0,1397-11-02
2019-01-23,2598.0,2598.0,2598.0,2598.0,11156772354,3918782,12144,2475.0,2598.0,1397-11-03
2019-01-26,2728.0,2728.0,2728.0,2728.0,20362762763,6812567,20316,2598.0,2728.0,1397-11-06
2019-01-27,2864.0,2864.0,2812.0,2863.0,150360958420,47930465,111100,2728.0,2864.0,1397-11-07
2019-01-28,2902.0,2930.0,2748.0,2824.0,104061165186,33633662,70790,2863.0,2763.0,1397-11-08
2019-01-29,2724.0,2820.0,2686.0,2734.0,57748276942,19278011,24252,2824.0,2698.0,1397-11-09
2019-01-30,2660.0,2698.0,2598.0,2618.0,38905098458,13559078,11312,2734.0,2598.0,1397-11-10
2019-02-02,2604.0,2749.0,2528.0,2703.0,51351106334,17334291,12609,2618.0,2749.0,1397-11-13
2019-02-03,2728.0,2829.0,2728.0,2782.0,38778505672,12724517,7342,2703.0,2805.0,1397-11-14
2019-02-04,2774.0,2847.0,2692.0,2751.0,19918240610,6609121,4927,2782.0,2697.0,1397-11-15
2019-02-05,2694.0,2764.0,2637.0,2716.0,16408138587,5514152,3736,2751.0,2718.0,1397-11-16
2019-02-06,2706.0,2765.0,2674.0,2706.0,14585258029,4919234,2868,2716.0,2708.0,1397-11-17
2019-02-10,2692.0,2799.0,2692.0,2753.0,11324847748,3753190,3911,2706.0,2749.0,1397-11-21
2019-02-12,2747.0,2890.0,2747.0,2843.0,32185213261,10332341,5338,2753.0,2890.0,1397-11-23
2019-02-13,2920.0,2964.0,2820.0,2886.0,31960893400,10108283,7031,2843.0,2847.0,1397-11-24
2019-02-16,2788.0,2899.0,2781.0,2824.0,13828602774,4469544,4793,2886.0,2784.0,1397-11-27
2019-02-17,2793.0,2865.0,2737.0,2795.0,16869836044,5508768,3209,2824.0,2820.0,1397-11-28
2019-02-23,2873.0,2917.0,2738.0,2859.0,13673841749,4364181,1853,2795.0,2849.0,1397-12-04
2019-02-24,2857.0,2875.0,2785.0,2813.0,12538472935,4068602,2422,2859.0,2802.0,1397-12-05
2019-02-25,2803.0,2811.0,2760.0,2782.0,10351234814,3396228,2041,2813.0,2784.0,1397-12-06
2019-02-26,2740.0,2774.0,2739.0,2753.0,8293666788,2750094,1405,2782.0,2752.0,1397-12-07
2019-02-27,2748.0,2854.0,2747.0,2814.0,9694494699,3144766,1635,2753.0,2806.0,1397-12-08
2019-03-02,2802.0,2807.0,2758.0,2783.0,7404781660,2428540,1401,2814.0,2784.0,1397-12-11
2019-03-03,2783.0,2861.0,2758.0,2826.0,16475013319,5321068,1901,2783.0,2854.0,1397-12-12
2019-03-04,2865.0,2911.0,2838.0,2878.0,16357328911,5188452,1939,2826.0,2844.0,1397-12-13
2019-03-05,2852.0,3021.0,2852.0,2992.0,23209420016,7080163,1843,2878.0,3021.0,1397-12-14
2019-03-06,3103.0,3140.0,3035.0,3113.0,72848178008,21354288,3368,2992.0,3046.0,1397-12-15
2019-03-09,3030.0,3212.0,2961.0,3091.0,55475024428,16381155,3346,3113.0,3067.0,1397-12-18
2019-03-10,3071.0,3184.0,3071.0,3125.0,22928785719,6695812,1793,3091.0,3085.0,1397-12-19
2019-03-11,3140.0,3281.0,3104.0,3238.0,44709444085,12602211,2629,3125.0,3213.0,1397-12-20
2019-03-12,3206.0,3375.0,3203.0,3315.0,28276006930,7784246,2634,3238.0,3322.0,1397-12-21
2019-03-13,3362.0,3395.0,3167.0,3246.0,24976669655,7020869,3239,3315.0,3276.0,1397-12-22
2019-03-16,3240.0,3331.0,3150.0,3255.0,22567843543,6328330,2404,3246.0,3276.0,1397-12-25
2019-03-17,3275.0,3312.0,3215.0,3265.0,10624149706,2969320,1619,3255.0,3275.0,1397-12-26
2019-03-18,3195.0,3428.0,3195.0,3378.0,19411982018,5244869,3599,3265.0,3395.0,1397-12-27
