date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2020-08-12,7712.0,7712.0,7712.0,7712.0,818999412000,38999972,5545025,367.0,7712.0,1399-05-22
2020-08-15,8098.0,8098.0,8098.0,7722.0,1367827650,62033,8929,7712.0,8098.0,1399-05-25
2020-08-16,8108.0,8108.0,8108.0,7854.0,17942768522,812699,11005,7722.0,8108.0,1399-05-26
2020-08-17,8247.0,8247.0,8247.0,7872.0,2377827315,105893,15239,7854.0,8247.0,1399-05-27
2020-08-18,8265.0,8265.0,8265.0,7889.0,2337594350,103870,14908,7872.0,8265.0,1399-05-28
2020-08-19,8284.0,8284.0,8284.0,7900.0,1523590250,67550,9670,7889.0,8284.0,1399-05-29
2020-08-22,8295.0,8295.0,8295.0,7911.0,1443064712,63892,9157,7900.0,8295.0,1399-06-01
2020-08-23,8307.0,8307.0,8307.0,8307.0,52560025052,2323814,10624,7911.0,8307.0,1399-06-02
2020-08-24,8722.0,8722.0,8722.0,8722.0,55202748456,2324522,11763,8307.0,8722.0,1399-06-03
2020-08-25,9158.0,9158.0,9158.0,8757.0,4742761675,190205,14328,8722.0,9158.0,1399-06-04
2020-08-26,9195.0,9195.0,9195.0,8774.0,2261767469,90337,12426,8757.0,9195.0,1399-06-05
2020-08-31,9213.0,9213.0,9213.0,9213.0,52573494190,2095814,46435,8774.0,9213.0,1399-06-10
2020-09-01,9673.0,9673.0,9673.0,9673.0,55220029568,2096512,39580,9213.0,9673.0,1399-06-11
2020-09-02,10157.0,10157.0,10157.0,10157.0,57994830365,2097083,24748,9673.0,10157.0,1399-06-12
2020-09-05,10664.0,10664.0,10664.0,10664.0,52680377250,1814250,30797,10157.0,10664.0,1399-06-15
2020-09-06,11197.0,11197.0,11197.0,11171.0,52429207496,1719667,27680,10664.0,11197.0,1399-06-16
2020-09-07,11729.0,11729.0,11729.0,11729.0,63589760700,1991100,44267,11171.0,11729.0,1399-06-17
2020-09-09,12315.0,12315.0,11220.0,12260.0,331048085808,9916863,50019,11729.0,12315.0,1399-06-19
2020-09-12,12873.0,12873.0,12873.0,12558.0,25537422529,728579,34476,12260.0,12873.0,1399-06-22
2020-09-13,13186.0,13186.0,13186.0,13167.0,52160847781,1452827,33257,12558.0,13186.0,1399-06-23
2020-09-14,13825.0,13825.0,13825.0,13609.0,37845771840,1005360,35012,13167.0,13825.0,1399-06-24
2020-09-15,14289.0,14289.0,14289.0,14289.0,60997655367,1567781,35951,13609.0,14289.0,1399-06-25
2020-09-16,15003.0,15003.0,13575.0,14536.0,1023149536208,25850921,103740,14289.0,15003.0,1399-06-26
2020-09-19,15003.0,15262.0,13809.0,14893.0,426877122284,10526991,184586,14536.0,15262.0,1399-06-29
2020-09-20,14837.0,15637.0,14459.0,15532.0,245178259706,5797362,146316,14893.0,15637.0,1399-06-30
2020-09-21,16207.0,16308.0,15637.0,16170.0,141961489310,3224256,41881,15532.0,16308.0,1399-06-31
2020-09-22,16978.0,16978.0,16978.0,16437.0,19328023320,418084,32096,16170.0,16978.0,1399-07-01
2020-09-23,17259.0,17259.0,17259.0,16754.0,22890495436,487094,37151,16437.0,17259.0,1399-07-02
2020-09-26,17592.0,17592.0,17592.0,17146.0,24526892733,512033,39516,16754.0,17592.0,1399-07-05
2020-09-27,18003.0,18003.0,16289.0,17867.0,509057488445,10463929,59318,17146.0,18003.0,1399-07-06
2020-09-28,17599.0,17599.0,16974.0,17186.0,62218307375,1329589,3665,17867.0,16974.0,1399-07-07
2020-09-29,16327.0,16327.0,16327.0,16965.0,12525922560,281760,484,17186.0,16327.0,1399-07-08
2020-09-30,16117.0,16117.0,16117.0,16891.0,4177895885,95201,309,16965.0,16117.0,1399-07-09
2020-10-03,16047.0,16047.0,16047.0,16234.0,36954593746,845759,674,16891.0,16047.0,1399-07-12
2020-10-04,15423.0,15423.0,15423.0,16165.0,3931646256,93624,254,16234.0,15423.0,1399-07-13
2020-10-05,15357.0,15357.0,15357.0,16101.0,3579654726,85609,182,16165.0,15357.0,1399-07-14
2020-10-07,15296.0,16906.0,15296.0,15992.0,807269140400,18539185,191982,16101.0,16906.0,1399-07-16
2020-10-10,16791.0,16791.0,16791.0,16671.0,44596720610,975410,35475,15992.0,16791.0,1399-07-19
2020-10-11,17504.0,17504.0,15838.0,17389.0,293355964981,6195826,49763,16671.0,17234.0,1399-07-20
2020-10-12,17386.0,18258.0,16527.0,18076.0,547121424615,11115760,85736,17389.0,18258.0,1399-07-21
2020-10-13,18914.0,18980.0,17173.0,18617.0,350104226642,6906316,63459,18076.0,18980.0,1399-07-22
2020-10-14,19548.0,19548.0,19548.0,19373.0,49604210699,931937,38401,18617.0,19548.0,1399-07-23
2020-10-18,20341.0,20341.0,18404.0,19248.0,294273141759,5614913,15821,19373.0,18404.0,1399-07-27
2020-10-19,18285.0,18285.0,18285.0,19197.0,2472173217,49653,178,19248.0,18285.0,1399-07-28
2020-10-20,18238.0,19094.0,18238.0,18419.0,454036854356,9053093,43809,19197.0,18479.0,1399-07-29
2020-10-21,18363.0,18951.0,17498.0,17751.0,284087540372,5877751,30853,18419.0,17498.0,1399-07-30
2020-10-24,16863.0,16863.0,16863.0,17676.0,3989590379,86887,139,17751.0,16863.0,1399-08-03
2020-10-26,16793.0,16793.0,16793.0,17624.0,2784500152,60898,109,17676.0,16793.0,1399-08-05
2020-10-27,16743.0,16743.0,16743.0,17600.0,1292129027,28343,100,17624.0,16743.0,1399-08-06
2020-10-28,16720.0,16720.0,16720.0,17457.0,7651827976,168076,234,17600.0,16720.0,1399-08-07
2020-10-31,16584.0,17812.0,16584.0,17018.0,280450559572,6052450,49825,17457.0,16584.0,1399-08-10
2020-11-01,16167.0,16167.0,16167.0,16853.0,8950393741,203321,487,17018.0,16167.0,1399-08-11
2020-11-02,16011.0,16782.0,16011.0,16150.0,143456913762,3262300,16507,16853.0,16011.0,1399-08-12
2020-11-04,15343.0,16123.0,15343.0,15484.0,191545934229,4543074,23851,16150.0,15343.0,1399-08-14
2020-11-07,14710.0,15157.0,14710.0,15107.0,23442891722,584893,3414,15484.0,14710.0,1399-08-17
2020-11-08,14352.0,14352.0,14352.0,15098.0,579776044,14836,46,15107.0,14352.0,1399-08-18
2020-11-09,14343.0,14343.0,14343.0,14702.0,24293228268,622042,150,15098.0,14343.0,1399-08-19
2020-11-10,13967.0,14524.0,13967.0,14045.0,118269124469,3092581,11299,14702.0,13967.0,1399-08-20
2020-11-11,13442.0,14580.0,13343.0,13669.0,345211454530,9274770,41420,14045.0,13654.0,1399-08-21
2020-11-14,14132.0,14353.0,13699.0,14234.0,214195024203,5526604,42562,13669.0,14353.0,1399-08-24
2020-11-15,14690.0,14911.0,13522.0,13940.0,167729764659,4419057,26939,14234.0,13522.0,1399-08-25
2020-11-16,13258.0,14246.0,13243.0,13491.0,103530744301,2818365,29635,13940.0,13243.0,1399-08-26
2020-11-17,13038.0,13798.0,12986.0,13491.0,138836237236,3779429,33159,13491.0,13401.0,1399-08-27
2020-11-18,13064.0,13908.0,13064.0,13603.0,121535342783,3281359,35660,13491.0,13662.0,1399-08-28
2020-11-21,14231.0,14231.0,12923.0,13528.0,111628472712,3030463,28907,13603.0,12969.0,1399-09-01
