date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2003-01-25,38.0,38.0,38.0,38.0,2893305800,826504,49,0.0,38.0,1381-11-05
2003-01-26,38.0,38.0,38.0,38.0,607923928,173496,18,38.0,38.0,1381-11-06
2003-01-29,38.0,38.0,38.0,38.0,57272730,16276,8,38.0,38.0,1381-11-09
2003-02-02,38.0,38.0,38.0,38.0,15820000,4500,2,38.0,38.0,1381-11-13
2003-02-04,38.0,38.0,38.0,38.0,91060500,25500,4,38.0,38.0,1381-11-15
2003-02-10,38.0,38.0,38.0,38.0,8750000,2500,1,38.0,38.0,1381-11-21
2003-02-16,38.0,38.0,38.0,38.0,217000,62,2,38.0,38.0,1381-11-27
2003-02-23,38.0,38.0,38.0,38.0,75829000,21666,4,38.0,38.0,1381-12-04
2003-02-24,38.0,38.0,38.0,38.0,17500000,5000,1,38.0,38.0,1381-12-05
2003-04-14,37.0,37.0,37.0,37.0,3471000,1000,1,38.0,37.0,1382-01-25
2003-04-19,37.0,38.0,37.0,38.0,38028798,10938,4,37.0,38.0,1382-01-30
2003-04-20,39.0,39.0,39.0,39.0,18000000,5000,1,38.0,39.0,1382-01-31
2003-04-26,39.0,39.0,39.0,39.0,10950000,3000,1,39.0,39.0,1382-02-06
2003-06-24,39.0,39.0,39.0,39.0,7200000,2000,1,39.0,39.0,1382-04-03
2003-07-05,38.0,38.0,38.0,38.0,17500000,5000,1,39.0,38.0,1382-04-14
2003-09-08,39.0,39.0,39.0,39.0,5400000,1500,1,38.0,39.0,1382-06-17
2003-09-09,39.0,39.0,39.0,39.0,3609990,1000,2,39.0,39.0,1382-06-18
2003-09-13,39.0,39.0,39.0,39.0,397000,110,2,39.0,39.0,1382-06-22
2003-09-22,39.0,39.0,39.0,39.0,3600000,1000,1,39.0,39.0,1382-06-31
2004-01-24,39.0,39.0,39.0,39.0,14079000,3900,1,39.0,39.0,1382-11-04
2004-02-18,37.0,37.0,37.0,37.0,17184730,5010,2,39.0,37.0,1382-11-29
2004-03-09,39.0,39.0,38.0,38.0,18065730,5010,2,37.0,38.0,1382-12-19
2004-03-10,40.0,40.0,40.0,40.0,18792070,5010,2,38.0,40.0,1382-12-20
2004-03-13,42.0,42.0,41.0,41.0,19498470,5010,2,40.0,41.0,1382-12-23
2004-05-29,54.0,54.0,54.0,54.0,20000000,4000,2,41.0,54.0,1383-03-09
2004-05-30,52.0,54.0,52.0,53.0,49049000,10010,3,54.0,53.0,1383-03-10
2004-05-31,55.0,55.0,54.0,54.0,200775180,40010,8,53.0,54.0,1383-03-11
2004-08-24,58.0,58.0,58.0,58.0,13550000,2500,1,54.0,58.0,1383-06-03
2004-09-01,58.0,58.0,58.0,58.0,3037476400,560110,4,58.0,58.0,1383-06-11
2004-09-08,58.0,58.0,58.0,58.0,10453925,1927,2,58.0,58.0,1383-06-18
2004-09-15,58.0,58.0,58.0,58.0,20675000,3810,3,58.0,58.0,1383-06-25
2004-10-05,59.0,59.0,59.0,59.0,27554610,5010,2,58.0,59.0,1383-07-14
2004-10-23,59.0,59.0,59.0,59.0,55000000,10000,1,59.0,59.0,1383-08-02
2004-11-06,59.0,59.0,59.0,59.0,3328095,605,2,59.0,59.0,1383-08-16
2004-12-21,59.0,59.0,59.0,59.0,3328095,605,3,59.0,59.0,1383-10-01
2005-01-04,62.0,62.0,59.0,59.0,3491285,605,2,59.0,59.0,1383-10-15
2005-01-05,62.0,62.0,59.0,59.0,1054551961,191111,7,59.0,59.0,1383-10-16
2005-01-12,59.0,59.0,59.0,59.0,11109804,2010,3,59.0,59.0,1383-10-23
2005-01-16,59.0,59.0,59.0,59.0,1018468668,184634,3,59.0,59.0,1383-10-27
