date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2004-02-25,753.0,777.0,706.0,745.0,14379985673,454000,262,753.0,745.0,1382-12-06
2004-02-28,777.0,783.0,397.0,770.0,3973518602,177403,474,745.0,770.0,1382-12-09
2004-03-03,771.0,771.0,770.0,770.0,327957230,10010,4,770.0,770.0,1382-12-13
2004-03-06,772.0,773.0,732.0,765.0,18807291580,575413,76,770.0,765.0,1382-12-16
2004-03-07,777.0,777.0,766.0,766.0,92341598,2803,15,765.0,766.0,1382-12-17
2004-03-08,777.0,781.0,769.0,769.0,314919722,9520,15,766.0,769.0,1382-12-18
2004-03-09,777.0,777.0,769.0,769.0,107281920,3251,13,769.0,769.0,1382-12-19
2004-03-10,780.0,788.0,770.0,770.0,148657370,4477,15,769.0,770.0,1382-12-20
2004-03-13,772.0,784.0,772.0,783.0,2989654142,89856,41,770.0,783.0,1382-12-23
2004-03-14,774.0,784.0,774.0,782.0,320699171,9702,24,783.0,782.0,1382-12-24
2004-03-15,782.0,782.0,753.0,781.0,157346124,4801,10,782.0,781.0,1382-12-25
2004-03-16,781.0,781.0,781.0,781.0,3283632,99,1,781.0,781.0,1382-12-26
2004-03-17,765.0,779.0,765.0,779.0,124447738,3818,6,781.0,779.0,1382-12-27
2004-03-28,766.0,779.0,766.0,779.0,21228160,652,3,779.0,779.0,1383-01-09
2004-03-30,764.0,779.0,763.0,779.0,14151814,436,4,779.0,779.0,1383-01-11
2004-04-03,740.0,777.0,740.0,776.0,674144750,20565,17,779.0,776.0,1383-01-15
2004-04-04,777.0,777.0,776.0,776.0,207792000,6300,7,776.0,776.0,1383-01-16
2004-04-05,774.0,776.0,774.0,776.0,516545288,15667,16,776.0,776.0,1383-01-17
2004-04-06,777.0,777.0,776.0,776.0,161358807,4892,11,776.0,776.0,1383-01-18
2004-04-07,776.0,777.0,776.0,776.0,393937190,11945,10,776.0,776.0,1383-01-19
2004-04-10,776.0,776.0,776.0,776.0,164723100,4995,11,776.0,776.0,1383-01-22
2004-04-12,776.0,776.0,776.0,776.0,209667916,6358,9,776.0,776.0,1383-01-24
2004-04-13,776.0,776.0,776.0,776.0,76506640,2320,3,776.0,776.0,1383-01-25
2004-04-14,779.0,780.0,776.0,776.0,196969815,5945,8,776.0,776.0,1383-01-26
2004-04-17,776.0,777.0,776.0,776.0,55759970,1690,4,776.0,776.0,1383-01-29
2004-04-18,777.0,777.0,776.0,776.0,72533242,2198,6,776.0,776.0,1383-01-30
2004-04-21,777.0,777.0,776.0,776.0,72435135,2195,7,776.0,776.0,1383-02-02
2004-04-24,777.0,781.0,777.0,777.0,63231760,1910,3,776.0,777.0,1383-02-05
2004-04-25,784.0,815.0,783.0,783.0,306810340,8864,8,777.0,783.0,1383-02-06
2004-04-26,784.0,784.0,783.0,783.0,177632266,5334,5,783.0,783.0,1383-02-07
2004-04-27,822.0,822.0,783.0,783.0,42196135,1219,3,783.0,783.0,1383-02-08
2004-04-28,793.0,793.0,793.0,793.0,1786436770,53010,7,783.0,793.0,1383-02-09
2004-05-01,793.0,793.0,793.0,793.0,23573900,700,1,793.0,793.0,1383-02-12
2004-05-02,793.0,793.0,793.0,793.0,253655164,7532,6,793.0,793.0,1383-02-13
2004-05-08,812.0,812.0,793.0,793.0,5891093,171,3,793.0,793.0,1383-02-19
