date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2013-10-23,551.0,551.0,537.0,548.0,9643718650,4848576,8,167.0,537.0,1392-08-01
2013-10-27,551.0,551.0,551.0,551.0,54000000000,27000000,2,548.0,551.0,1392-08-05
2013-10-30,523.0,523.0,523.0,523.0,95000000,50000,1,551.0,523.0,1392-08-08
2013-11-02,537.0,537.0,537.0,537.0,283906350,145593,1,523.0,537.0,1392-08-11
2013-11-05,551.0,551.0,551.0,551.0,2063804000,1031902,6,537.0,551.0,1392-08-14
2013-11-10,551.0,551.0,551.0,551.0,371268000,185634,3,551.0,551.0,1392-08-19
2013-11-11,551.0,551.0,551.0,551.0,8032426000,4016213,2,551.0,551.0,1392-08-20
2013-11-17,551.0,551.0,551.0,551.0,4986000000,2493000,4,551.0,551.0,1392-08-26
2013-11-20,551.0,551.0,551.0,551.0,1452550000,726275,3,551.0,551.0,1392-08-29
2013-11-23,551.0,551.0,551.0,551.0,1636718000,818359,3,551.0,551.0,1392-09-02
2013-11-26,551.0,551.0,551.0,551.0,120438000,60219,2,551.0,551.0,1392-09-05
2013-12-07,551.0,606.0,551.0,606.0,2965214000,1348107,5,551.0,606.0,1392-09-16
2013-12-09,551.0,551.0,551.0,551.0,6214000,3107,1,606.0,551.0,1392-09-18
2013-12-10,606.0,606.0,606.0,606.0,192742000,87610,1,551.0,606.0,1392-09-19
2013-12-15,689.0,689.0,689.0,689.0,125000000,50000,1,606.0,689.0,1392-09-24
2013-12-17,606.0,606.0,606.0,606.0,2815843800,1279929,4,689.0,606.0,1392-09-26
2013-12-22,716.0,716.0,716.0,716.0,28358200,10907,2,606.0,716.0,1392-10-01
2013-12-24,716.0,716.0,716.0,716.0,26000000,10000,1,716.0,716.0,1392-10-03
2013-12-25,716.0,716.0,606.0,607.0,3854541200,1750246,5,716.0,606.0,1392-10-04
2013-12-29,744.0,744.0,744.0,744.0,37800000,14000,2,607.0,744.0,1392-10-08
2013-12-30,716.0,724.0,606.0,629.0,4707883480,2059965,10,744.0,719.0,1392-10-09
2014-01-01,719.0,719.0,719.0,719.0,5538420,2122,1,629.0,719.0,1392-10-11
2014-01-04,716.0,716.0,716.0,716.0,993200,382,1,719.0,716.0,1392-10-14
2014-01-05,716.0,716.0,716.0,716.0,4940000,1900,1,716.0,716.0,1392-10-15
2014-01-07,689.0,689.0,689.0,689.0,371250000,148500,183,716.0,689.0,1392-10-17
2014-01-08,689.0,744.0,689.0,740.0,2867250000,1066900,89,689.0,689.0,1392-10-18
2014-01-12,689.0,689.0,689.0,689.0,548000000,219200,151,740.0,689.0,1392-10-22
2014-01-13,689.0,689.0,689.0,689.0,3000000,1200,1,689.0,689.0,1392-10-23
2014-01-20,689.0,744.0,689.0,726.0,417881300,158449,21,689.0,716.0,1392-10-30
2014-01-22,771.0,799.0,716.0,757.0,15276090000,5556403,110,726.0,744.0,1392-11-02
2014-01-26,744.0,744.0,744.0,744.0,297540000,110200,78,757.0,744.0,1392-11-06
2014-01-27,744.0,744.0,744.0,744.0,147420000,54600,39,744.0,744.0,1392-11-07
2014-01-28,744.0,799.0,744.0,744.0,451820000,167340,125,744.0,744.0,1392-11-08
2014-02-01,744.0,771.0,744.0,752.0,473990000,173700,90,744.0,771.0,1392-11-12
2014-02-02,771.0,771.0,771.0,771.0,10851458800,3875521,2,752.0,771.0,1392-11-13
2014-02-03,771.0,771.0,771.0,771.0,766514000000,273755000,2,771.0,771.0,1392-11-14
2014-02-04,716.0,799.0,716.0,799.0,6414366500,2212885,3,771.0,799.0,1392-11-15
2014-02-05,716.0,716.0,716.0,716.0,2600000,1000,1,799.0,716.0,1392-11-16
2014-02-10,661.0,771.0,661.0,770.0,3510943200,1255393,4,716.0,771.0,1392-11-21
2014-02-16,716.0,799.0,716.0,799.0,11611700000,4004500,2,770.0,799.0,1392-11-27
2014-02-17,716.0,799.0,689.0,755.0,570266374,208068,8,799.0,799.0,1392-11-28
2014-02-22,799.0,799.0,744.0,763.0,1716995000,620000,9,755.0,771.0,1392-12-03
2014-02-24,744.0,744.0,744.0,744.0,74250000,27500,19,763.0,744.0,1392-12-05
2014-02-25,744.0,771.0,689.0,734.0,569309000,213670,127,744.0,689.0,1392-12-06
2014-02-26,689.0,735.0,675.0,680.0,40935450,16590,5,734.0,735.0,1392-12-07
2014-03-01,689.0,689.0,689.0,689.0,252500000,101000,2,680.0,689.0,1392-12-10
2014-03-02,661.0,661.0,661.0,661.0,72000000,30000,1,689.0,661.0,1392-12-11
2014-03-03,689.0,716.0,661.0,689.0,5753557500,2301576,11,661.0,683.0,1392-12-12
2014-03-04,689.0,689.0,689.0,689.0,4550647500,1820259,6,689.0,689.0,1392-12-13
2014-03-16,661.0,716.0,661.0,692.0,5015207680,1997544,12,689.0,689.0,1392-12-25
2014-03-17,715.0,715.0,689.0,715.0,534809056416,206067898,4,692.0,715.0,1392-12-26
2014-03-18,689.0,730.0,689.0,689.0,1526500000,610000,3,715.0,730.0,1392-12-27
2014-03-19,730.0,730.0,689.0,715.0,427005810,164481,7,689.0,689.0,1392-12-28
2014-03-25,799.0,799.0,799.0,799.0,3536068600,1219334,1,715.0,799.0,1393-01-05
2014-04-05,713.0,713.0,713.0,713.0,233100000,90000,2,799.0,713.0,1393-01-16
2014-04-07,716.0,716.0,689.0,704.0,1405000000,550000,8,713.0,689.0,1393-01-18
2014-04-09,691.0,691.0,689.0,691.0,1914440708,763778,11,704.0,689.0,1393-01-20
2014-04-12,689.0,689.0,689.0,689.0,25020000,10000,1,691.0,689.0,1393-01-23
2014-04-14,689.0,689.0,689.0,689.0,401803686,160593,3,689.0,689.0,1393-01-25
2014-04-15,689.0,689.0,689.0,689.0,50040000,20000,2,689.0,689.0,1393-01-26
2014-04-16,689.0,689.0,689.0,689.0,1585470482,633886,12,689.0,689.0,1393-01-27
2014-04-19,689.0,689.0,689.0,689.0,873008000,349000,6,689.0,689.0,1393-01-30
2014-04-21,689.0,689.0,689.0,689.0,25020000,10000,1,689.0,689.0,1393-02-01
2014-04-22,689.0,689.0,689.0,689.0,100020814,40000,3,689.0,689.0,1393-02-02
2014-04-23,689.0,689.0,689.0,689.0,56477500,22591,1,689.0,689.0,1393-02-03
2014-04-27,689.0,689.0,689.0,689.0,25000000,10000,1,689.0,689.0,1393-02-07
2014-04-28,689.0,689.0,689.0,689.0,867636916,346916,6,689.0,689.0,1393-02-08
2014-04-29,689.0,689.0,689.0,689.0,2200152000,880000,11,689.0,689.0,1393-02-09
2014-04-30,689.0,689.0,689.0,689.0,585971795,234295,2,689.0,689.0,1393-02-10
2014-05-03,689.0,689.0,689.0,689.0,925070000,370000,4,689.0,689.0,1393-02-13
2014-05-06,689.0,689.0,689.0,689.0,12500000,5000,2,689.0,689.0,1393-02-16
2014-05-10,689.0,738.0,689.0,692.0,606344990,241490,7,689.0,738.0,1393-02-20
2014-05-11,757.0,757.0,689.0,689.0,573733275,229248,6,692.0,689.0,1393-02-21
2014-05-12,689.0,689.0,689.0,689.0,875000000,350000,1,689.0,689.0,1393-02-22
2014-05-14,716.0,716.0,689.0,694.0,344517500,136807,2,689.0,689.0,1393-02-24
2014-05-20,716.0,716.0,716.0,716.0,26000000,10000,1,694.0,716.0,1393-02-30
2014-05-21,696.0,716.0,696.0,696.0,2434705550,964174,7,716.0,696.0,1393-02-31
2014-05-24,696.0,696.0,696.0,696.0,92899800,36792,1,696.0,696.0,1393-03-03
2014-05-26,689.0,696.0,689.0,695.0,1283002457,508598,5,696.0,696.0,1393-03-05
2014-05-31,696.0,716.0,696.0,697.0,78500000,31000,2,695.0,716.0,1393-03-10
2014-06-01,696.0,696.0,696.0,696.0,209340175,82907,1,697.0,696.0,1393-03-11
2014-06-02,694.0,694.0,694.0,694.0,897508080,356154,3,696.0,694.0,1393-03-12
2014-06-07,696.0,696.0,696.0,696.0,578954243,229286,6,694.0,696.0,1393-03-17
2014-06-08,716.0,716.0,716.0,716.0,376438400,144784,3,696.0,716.0,1393-03-18
2014-06-11,716.0,716.0,716.0,716.0,22022000,8470,1,716.0,716.0,1393-03-21
2014-06-14,744.0,744.0,702.0,713.0,793327450,306599,3,716.0,702.0,1393-03-24
2014-06-15,708.0,771.0,708.0,750.0,1723823000,633572,6,713.0,749.0,1393-03-25
2014-06-16,769.0,799.0,769.0,769.0,558580000,200200,2,750.0,799.0,1393-03-26
2014-06-18,744.0,769.0,716.0,720.0,389158000,148790,5,769.0,769.0,1393-03-28
2014-06-21,769.0,771.0,766.0,770.0,859825000,307500,3,720.0,766.0,1393-03-31
2014-06-23,771.0,796.0,771.0,779.0,4042155,1430,2,770.0,796.0,1393-04-02
2014-06-24,771.0,771.0,769.0,769.0,83980000,30100,2,779.0,769.0,1393-04-03
2014-06-25,771.0,771.0,769.0,770.0,280649480,100412,3,769.0,769.0,1393-04-04
2014-06-28,799.0,799.0,771.0,796.0,578391250,200153,6,770.0,771.0,1393-04-07
2014-06-29,799.0,799.0,799.0,799.0,980200,338,1,796.0,799.0,1393-04-08
2014-06-30,813.0,813.0,813.0,813.0,147500,50,1,799.0,813.0,1393-04-09
2014-07-01,771.0,799.0,771.0,775.0,52211736550,18562677,1035,813.0,796.0,1393-04-10
2014-07-07,771.0,771.0,771.0,771.0,2175851700,805871,1,775.0,771.0,1393-04-16
2014-07-08,825.0,825.0,825.0,825.0,3179000,1100,2,771.0,825.0,1393-04-17
2014-07-13,800.0,800.0,800.0,800.0,5600000,2000,1,825.0,800.0,1393-04-22
2014-07-15,785.0,785.0,785.0,785.0,137500000,50000,1,800.0,785.0,1393-04-24
2014-07-16,771.0,800.0,771.0,783.0,411050000,150000,4,785.0,800.0,1393-04-25
2014-07-27,800.0,800.0,800.0,800.0,82703600,29537,3,783.0,800.0,1393-05-05
2014-08-19,950.0,950.0,848.0,893.0,237007160,90000,3,800.0,849.0,1393-05-28
2014-08-20,848.0,848.0,848.0,848.0,125000000,50000,1,893.0,848.0,1393-05-29
2014-08-23,848.0,865.0,848.0,850.0,179309000,71588,7,848.0,848.0,1393-06-01
2014-08-24,848.0,848.0,848.0,848.0,950000,380,1,850.0,848.0,1393-06-02
2014-08-26,848.0,848.0,848.0,848.0,325937500,130375,3,848.0,848.0,1393-06-04
2014-08-27,848.0,852.0,848.0,850.0,4532000000,1810000,27,848.0,852.0,1393-06-05
2014-09-03,831.0,850.0,831.0,849.0,401835000,160594,4,850.0,850.0,1393-06-12
2014-09-10,814.0,831.0,814.0,814.0,2556250000,1065000,5,849.0,814.0,1393-06-19
2014-09-13,801.0,801.0,798.0,798.0,282300000,120000,3,814.0,798.0,1393-06-22
2014-09-14,780.0,798.0,780.0,781.0,230101000,100000,5,798.0,780.0,1393-06-23
2014-09-16,780.0,780.0,780.0,780.0,393300000,171000,4,781.0,780.0,1393-06-25
2014-09-17,848.0,848.0,848.0,848.0,100000000,40000,1,780.0,848.0,1393-06-26
2014-09-20,752.0,848.0,746.0,836.0,449047400,182217,6,848.0,848.0,1393-06-29
2014-09-22,689.0,689.0,689.0,689.0,4500510,2217,1,836.0,689.0,1393-06-31
2014-09-27,682.0,684.0,679.0,682.0,480440000,239000,4,689.0,684.0,1393-07-05
2014-09-29,679.0,682.0,679.0,679.0,110050000,55000,2,682.0,682.0,1393-07-07
2014-10-01,672.0,672.0,672.0,672.0,9900000,5000,3,679.0,672.0,1393-07-09
2014-10-06,678.0,678.0,678.0,678.0,75528217,37783,1,672.0,678.0,1393-07-14
2014-10-08,679.0,679.0,672.0,679.0,33718800000,16860000,3,678.0,672.0,1393-07-16
2014-10-12,679.0,679.0,679.0,679.0,60000000,30000,1,679.0,679.0,1393-07-20
