date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2014-08-11,138.0,138.0,82.0,93.0,152986560,122560,2,63.0,82.0,1393-05-20
2014-08-12,142.0,142.0,142.0,142.0,95000000,50000,1,93.0,142.0,1393-05-21
2014-08-18,142.0,142.0,142.0,142.0,114239560,60120,5,142.0,142.0,1393-05-27
2014-08-19,142.0,142.0,138.0,140.0,208477000,111000,6,142.0,138.0,1393-05-28
2014-08-20,138.0,138.0,135.0,138.0,371664000,200900,16,140.0,138.0,1393-05-29
2014-08-23,138.0,138.0,138.0,138.0,2849000,1540,1,138.0,138.0,1393-06-01
2014-08-27,138.0,138.0,138.0,138.0,6401000,3460,1,138.0,138.0,1393-06-05
2014-08-30,138.0,138.0,138.0,138.0,6086500,3290,2,138.0,138.0,1393-06-08
2014-08-31,138.0,138.0,135.0,136.0,270204500,148690,3,138.0,135.0,1393-06-09
2014-09-01,138.0,138.0,138.0,138.0,48100000,26000,3,136.0,138.0,1393-06-10
2014-09-02,135.0,135.0,135.0,135.0,50400000,28000,1,138.0,135.0,1393-06-11
2014-09-07,149.0,149.0,138.0,143.0,6600809,3441,4,135.0,138.0,1393-06-16
2014-09-08,131.0,131.0,131.0,131.0,2030000,1160,1,143.0,131.0,1393-06-17
2014-09-09,127.0,131.0,127.0,128.0,23720000,13840,2,131.0,131.0,1393-06-18
2014-09-13,120.0,120.0,120.0,120.0,85137600,53160,2,128.0,120.0,1393-06-22
2014-09-15,135.0,135.0,120.0,122.0,15119590,9261,2,120.0,120.0,1393-06-24
2014-09-21,135.0,135.0,135.0,135.0,1983600,1102,1,122.0,135.0,1393-06-30
2014-09-30,135.0,135.0,135.0,135.0,517672800,287596,4,135.0,135.0,1393-07-08
2014-10-01,135.0,135.0,135.0,135.0,50400000,28000,1,135.0,135.0,1393-07-09
2014-10-07,137.0,138.0,137.0,138.0,171550000,93000,5,135.0,138.0,1393-07-15
2014-10-08,135.0,135.0,135.0,135.0,151200000,84000,4,138.0,135.0,1393-07-16
2014-10-12,135.0,135.0,135.0,135.0,18100000,10000,1,135.0,135.0,1393-07-20
2014-10-14,149.0,149.0,138.0,139.0,186633600,99900,3,135.0,142.0,1393-07-22
