date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2001-03-26,392.0,392.0,392.0,392.0,1242000,1000,1,0.0,392.0,1380-01-06
2001-03-28,402.0,402.0,402.0,402.0,1273000,1000,1,392.0,402.0,1380-01-08
2001-04-07,412.0,412.0,412.0,412.0,1304000,1000,1,402.0,412.0,1380-01-18
2001-04-09,422.0,422.0,422.0,422.0,523712,392,1,412.0,422.0,1380-01-20
2001-04-10,433.0,433.0,433.0,433.0,96172250,70250,14,422.0,433.0,1380-01-21
2001-04-11,443.0,443.0,443.0,443.0,1376343,981,1,433.0,443.0,1380-01-22
2001-04-14,454.0,454.0,454.0,454.0,6954168,4836,3,443.0,454.0,1380-01-25
2001-04-15,465.0,465.0,465.0,465.0,1473000,1000,1,454.0,465.0,1380-01-26
2001-04-16,477.0,477.0,477.0,477.0,5610462,3718,2,465.0,477.0,1380-01-27
2001-04-18,489.0,489.0,489.0,489.0,1624846,1051,1,477.0,489.0,1380-01-29
2001-04-21,493.0,493.0,493.0,493.0,24507700,15700,7,489.0,493.0,1380-02-01
2001-04-25,498.0,498.0,498.0,498.0,3375792,2142,2,493.0,498.0,1380-02-05
2001-04-28,503.0,503.0,503.0,503.0,1568726,986,1,498.0,503.0,1380-02-08
2001-04-29,507.0,507.0,507.0,507.0,1606000,1000,1,503.0,507.0,1380-02-09
2001-04-30,513.0,513.0,513.0,513.0,3244000,2000,1,507.0,513.0,1380-02-10
2001-05-01,518.0,518.0,518.0,518.0,28301364,17278,5,513.0,518.0,1380-02-11
2001-05-02,523.0,523.0,523.0,523.0,6616000,4000,1,518.0,523.0,1380-02-12
2001-05-05,528.0,528.0,528.0,528.0,41456080,24824,18,523.0,528.0,1380-02-15
2001-05-06,528.0,529.0,528.0,529.0,65710522,39313,14,528.0,529.0,1380-02-16
2001-05-07,529.0,529.0,529.0,529.0,19326496,11552,8,529.0,529.0,1380-02-17
2001-05-08,534.0,534.0,534.0,534.0,3378000,2000,1,529.0,534.0,1380-02-18
2001-05-13,539.0,539.0,539.0,539.0,28115450,16490,2,534.0,539.0,1380-02-23
2001-05-15,544.0,544.0,544.0,544.0,5281374,3067,2,539.0,544.0,1380-02-25
2001-05-16,549.0,549.0,549.0,549.0,34780000,20000,2,544.0,549.0,1380-02-26
2001-05-20,555.0,555.0,555.0,555.0,17763696,10116,4,549.0,555.0,1380-02-30
2001-05-21,560.0,560.0,560.0,560.0,2168379,1223,1,555.0,560.0,1380-02-31
2001-05-23,566.0,566.0,566.0,566.0,6422520,3588,3,560.0,566.0,1380-03-02
2001-05-26,571.0,571.0,571.0,571.0,3614000,2000,1,566.0,571.0,1380-03-05
2001-05-28,577.0,577.0,577.0,577.0,3016725,1653,1,571.0,577.0,1380-03-07
2001-05-30,582.0,582.0,582.0,582.0,81289201,44107,17,577.0,582.0,1380-03-09
2001-06-02,588.0,588.0,588.0,588.0,94583464,50824,16,582.0,588.0,1380-03-12
2001-06-06,594.0,594.0,594.0,594.0,38733706,20614,4,588.0,594.0,1380-03-16
2001-06-11,599.0,599.0,599.0,599.0,11571700,6100,2,594.0,599.0,1380-03-21
2001-06-12,605.0,605.0,605.0,605.0,3830000,2000,1,599.0,605.0,1380-03-22
2001-06-13,611.0,611.0,611.0,611.0,100803948,52122,11,605.0,611.0,1380-03-23
2001-06-16,617.0,617.0,617.0,617.0,1744029,893,2,611.0,617.0,1380-03-26
2001-06-17,623.0,623.0,623.0,623.0,14350244,7277,4,617.0,623.0,1380-03-27
2001-06-18,629.0,629.0,629.0,629.0,6050649,3039,1,623.0,629.0,1380-03-28
2001-06-23,635.0,635.0,635.0,635.0,1155750,575,1,629.0,635.0,1380-04-02
2001-06-24,641.0,641.0,641.0,641.0,2980040,1468,2,635.0,641.0,1380-04-03
2001-06-25,648.0,648.0,648.0,648.0,8200000,4000,1,641.0,648.0,1380-04-04
2001-06-27,654.0,654.0,654.0,654.0,47688660,23038,11,648.0,654.0,1380-04-06
2001-06-30,660.0,660.0,660.0,660.0,30752260,14714,9,654.0,660.0,1380-04-09
2001-09-18,660.0,730.0,660.0,725.0,273537822,120831,36,660.0,725.0,1380-06-27
2001-09-19,725.0,731.0,725.0,731.0,91597768,39824,11,725.0,731.0,1380-06-28
2001-09-22,739.0,739.0,739.0,739.0,12290866,5257,4,731.0,739.0,1380-06-31
2001-09-23,746.0,746.0,746.0,746.0,26162241,11081,5,739.0,746.0,1380-07-01
2001-09-24,753.0,753.0,753.0,753.0,7152000,3000,2,746.0,753.0,1380-07-02
2001-09-25,761.0,761.0,761.0,761.0,5110061,2123,6,753.0,761.0,1380-07-03
2001-09-26,768.0,768.0,768.0,768.0,5090514,2094,25,761.0,768.0,1380-07-04
2001-09-29,776.0,776.0,776.0,776.0,24550000,10000,5,768.0,776.0,1380-07-07
2001-09-30,783.0,783.0,783.0,783.0,15617700,6300,5,776.0,783.0,1380-07-08
2001-10-02,791.0,803.0,791.0,803.0,181881848,71616,22,783.0,803.0,1380-07-10
2001-10-03,823.0,823.0,823.0,823.0,130173427,50009,37,803.0,823.0,1380-07-11
2001-10-06,843.0,843.0,843.0,843.0,9338000,3500,3,823.0,843.0,1380-07-14
2001-10-07,864.0,864.0,864.0,864.0,8048896,2944,2,843.0,864.0,1380-07-15
2001-10-08,885.0,885.0,885.0,885.0,11093118,3959,3,864.0,885.0,1380-07-16
2001-10-09,894.0,894.0,894.0,894.0,8815450,3115,2,885.0,894.0,1380-07-17
2001-10-10,903.0,903.0,900.0,903.0,1660409039,581267,189,894.0,903.0,1380-07-18
2001-10-13,912.0,912.0,912.0,912.0,78103818,27063,18,903.0,912.0,1380-07-21
2001-10-14,921.0,921.0,921.0,921.0,41512844,14246,7,912.0,921.0,1380-07-22
2001-10-16,930.0,930.0,930.0,930.0,5677047,1929,4,921.0,930.0,1380-07-24
2001-10-17,939.0,939.0,939.0,939.0,3388080,1140,5,930.0,939.0,1380-07-25
2001-10-20,948.0,948.0,948.0,948.0,6293097,2097,7,939.0,948.0,1380-07-28
2001-10-21,958.0,958.0,958.0,958.0,23875187,7877,10,948.0,958.0,1380-07-29
2001-10-22,967.0,967.0,967.0,967.0,6284233,2053,2,958.0,967.0,1380-07-30
2001-10-23,977.0,977.0,977.0,977.0,4290308,1388,5,967.0,977.0,1380-08-01
2001-10-24,986.0,986.0,986.0,986.0,74454576,23856,18,977.0,986.0,1380-08-02
2001-11-19,996.0,996.0,996.0,996.0,113472000,36000,28,986.0,996.0,1380-08-28
2001-11-20,1006.0,1006.0,1006.0,1006.0,3183000,1000,1,996.0,1006.0,1380-08-29
2001-11-21,1016.0,1016.0,1016.0,1016.0,19284000,6000,6,1006.0,1016.0,1380-08-30
2001-11-24,1026.0,1026.0,1026.0,1026.0,25834914,7959,11,1016.0,1026.0,1380-09-03
2001-11-25,1036.0,1036.0,1036.0,1036.0,50959788,15546,11,1026.0,1036.0,1380-09-04
2001-11-26,1046.0,1046.0,1046.0,1046.0,6633240,2004,4,1036.0,1046.0,1380-09-05
2001-11-27,1056.0,1056.0,1056.0,1056.0,6686000,2000,3,1046.0,1056.0,1380-09-06
2001-11-28,1067.0,1067.0,1067.0,1067.0,39279760,11635,17,1056.0,1067.0,1380-09-07
2001-12-01,1077.0,1077.0,1077.0,1077.0,30681000,9000,5,1067.0,1077.0,1380-09-10
2001-12-02,1088.0,1088.0,1088.0,1088.0,18871083,5481,9,1077.0,1088.0,1380-09-11
2001-12-03,1099.0,1099.0,1099.0,1099.0,54665394,15722,33,1088.0,1099.0,1380-09-12
2001-12-04,1109.0,1109.0,1109.0,1109.0,11164980,3180,5,1099.0,1109.0,1380-09-13
2001-12-05,1120.0,1120.0,1120.0,1120.0,57760794,16289,17,1109.0,1120.0,1380-09-14
2001-12-08,1132.0,1132.0,1132.0,1132.0,34832387,9727,10,1120.0,1132.0,1380-09-17
