date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2001-04-21,949.0,949.0,949.0,949.0,29080000,1000,2,949.0,949.0,1380-02-01
2001-04-24,949.0,949.0,949.0,949.0,28789200,990,1,949.0,949.0,1380-02-04
2001-05-01,949.0,949.0,949.0,949.0,1338140,46,1,949.0,949.0,1380-02-11
2001-05-06,949.0,949.0,949.0,949.0,5934156,204,1,949.0,949.0,1380-02-16
2001-05-07,949.0,949.0,949.0,949.0,17744290,610,1,949.0,949.0,1380-02-17
2001-05-13,949.0,949.0,949.0,949.0,15592257,536,3,949.0,949.0,1380-02-23
2001-06-19,973.0,973.0,973.0,973.0,89451000,3000,1,949.0,973.0,1380-03-29
2001-06-24,997.0,997.0,997.0,997.0,36674400,1200,1,973.0,997.0,1380-04-03
2001-06-27,1007.0,1007.0,1007.0,1007.0,75624150,2450,1,997.0,1007.0,1380-04-06
2001-09-02,917.0,917.0,917.0,917.0,28100000,1000,1,1007.0,917.0,1380-06-11
2001-09-03,963.0,963.0,963.0,963.0,29505000,1000,6,917.0,963.0,1380-06-12
2001-09-10,1011.0,1011.0,1011.0,1011.0,61960000,2000,1,963.0,1011.0,1380-06-19
2001-09-11,1021.0,1021.0,1021.0,1021.0,46933500,1500,1,1011.0,1021.0,1380-06-20
2001-09-16,1031.0,1031.0,1031.0,1031.0,31601000,1000,6,1021.0,1031.0,1380-06-25
2001-09-22,1042.0,1042.0,1042.0,1042.0,63961668,2004,2,1031.0,1042.0,1380-06-31
2001-09-24,1042.0,1042.0,1042.0,1042.0,43151784,1352,2,1042.0,1042.0,1380-07-02
2001-09-29,1042.0,1042.0,1042.0,1042.0,63834000,2000,1,1042.0,1042.0,1380-07-07
2001-10-08,1042.0,1042.0,1042.0,1042.0,21388410,670,1,1042.0,1042.0,1380-07-16
2001-10-10,1042.0,1042.0,1042.0,1042.0,59121396,1852,1,1042.0,1042.0,1380-07-18
2001-10-23,1042.0,1042.0,1042.0,1042.0,31923000,1000,1,1042.0,1042.0,1380-08-01
2002-05-18,1635.0,1994.0,1635.0,1994.0,660698750,11906,33,1042.0,1994.0,1381-02-28
2002-05-22,2014.0,2014.0,2014.0,2014.0,61716000,1000,3,1994.0,2014.0,1381-03-01
2002-05-29,2034.0,2034.0,2034.0,2034.0,93499500,1500,2,2014.0,2034.0,1381-03-08
2002-06-03,2054.0,2054.0,2054.0,2054.0,228525870,3630,6,2034.0,2054.0,1381-03-13
2002-06-15,2034.0,2034.0,2034.0,2034.0,127753950,2050,11,2054.0,2034.0,1381-03-25
2002-06-29,2013.0,2013.0,2013.0,2013.0,127710720,2070,8,2034.0,2013.0,1381-04-08
2002-06-30,2013.0,2013.0,2013.0,2013.0,61696000,1000,1,2013.0,2013.0,1381-04-09
2002-07-02,2014.0,2014.0,2014.0,2014.0,123420000,2000,1,2013.0,2014.0,1381-04-11
2002-07-06,2014.0,2014.0,2014.0,2014.0,61717005,1000,2,2014.0,2014.0,1381-04-15
2002-07-29,718.0,718.0,718.0,718.0,11000000,500,1,2014.0,718.0,1381-05-07
2002-08-26,754.0,754.0,754.0,754.0,231000000,10000,1,718.0,754.0,1381-06-04
2002-10-07,791.0,791.0,791.0,791.0,26680500,1100,6,754.0,791.0,1381-07-15
2002-10-08,831.0,831.0,831.0,831.0,50934000,2000,1,791.0,831.0,1381-07-16
2002-10-09,873.0,873.0,873.0,873.0,53480000,2000,1,831.0,873.0,1381-07-17
2002-10-14,916.0,916.0,916.0,916.0,28077000,1000,2,873.0,916.0,1381-07-22
2002-10-19,916.0,916.0,870.0,870.0,26815200,1000,2,916.0,870.0,1381-07-27
2002-10-23,870.0,870.0,870.0,870.0,6161925,231,1,870.0,870.0,1381-08-01
2002-11-10,870.0,870.0,870.0,870.0,533500,20,10,870.0,870.0,1381-08-19
2002-11-20,871.0,871.0,871.0,871.0,40023334,1500,2,870.0,871.0,1381-08-29
2002-12-08,979.0,979.0,979.0,979.0,30000000,1000,1,871.0,979.0,1381-09-17
2002-12-11,979.0,979.0,979.0,979.0,9000000,300,1,979.0,979.0,1381-09-20
2002-12-31,979.0,979.0,979.0,979.0,7500000,250,1,979.0,979.0,1381-10-10
2003-01-11,979.0,979.0,979.0,979.0,15000000,500,1,979.0,979.0,1381-10-21
2003-01-28,979.0,979.0,979.0,979.0,1200000,40,12,979.0,979.0,1381-11-08
2003-02-04,1000.0,1000.0,1000.0,1000.0,30650000,1000,1,979.0,1000.0,1381-11-15
2003-02-10,1000.0,1000.0,1000.0,1000.0,2053550,67,1,1000.0,1000.0,1381-11-21
2003-02-15,1000.0,1000.0,1000.0,1000.0,1011450,33,1,1000.0,1000.0,1381-11-26
2003-03-10,998.0,1000.0,998.0,999.0,22955650,750,4,1000.0,999.0,1381-12-19
2003-03-15,1000.0,1000.0,1000.0,1000.0,45040800,1470,1,999.0,1000.0,1381-12-24
2003-03-16,1047.0,1047.0,1047.0,1047.0,160500000,5000,1,1000.0,1047.0,1381-12-25
2003-03-18,1142.0,1142.0,1142.0,1142.0,175000000,5000,1,1047.0,1142.0,1381-12-27
2003-04-08,1110.0,1110.0,1110.0,1110.0,17003000,500,1,1142.0,1110.0,1382-01-19
2003-06-15,1165.0,1165.0,1165.0,1165.0,17353116,486,1,1110.0,1165.0,1382-03-25
2003-08-04,1167.0,1167.0,1167.0,1167.0,214530000,6000,1,1165.0,1167.0,1382-05-13
2003-08-16,1167.0,1167.0,1167.0,1167.0,8223650,230,1,1167.0,1167.0,1382-05-25
2003-08-19,1167.0,1167.0,1167.0,1167.0,7151000,200,1,1167.0,1167.0,1382-05-28
2003-08-27,1225.0,1225.0,1167.0,1167.0,4728505,126,2,1167.0,1167.0,1382-06-05
2003-08-30,1225.0,1225.0,1167.0,1167.0,2513527,67,2,1167.0,1167.0,1382-06-08
2003-08-31,1225.0,1225.0,1167.0,1167.0,9458797,252,2,1167.0,1167.0,1382-06-09
2003-09-08,1225.0,1225.0,1167.0,1167.0,20721397,552,2,1167.0,1167.0,1382-06-17
2003-09-14,1225.0,1225.0,1167.0,1167.0,6063934,162,3,1167.0,1167.0,1382-06-23
2003-09-16,1167.0,1167.0,1167.0,1167.0,85993170,2405,49,1167.0,1167.0,1382-06-25
2003-09-22,1167.0,1167.0,1167.0,1167.0,96684146,2704,55,1167.0,1167.0,1382-06-31
2003-09-28,1167.0,1167.0,1167.0,1167.0,81134872,2269,47,1167.0,1167.0,1382-07-06
2003-09-30,1167.0,1167.0,1167.0,1167.0,16806690,470,2,1167.0,1167.0,1382-07-08
2003-10-05,1167.0,1167.0,1167.0,1167.0,79746970,2230,3,1167.0,1167.0,1382-07-13
2003-12-08,1240.0,1240.0,1240.0,1240.0,93824469,2469,50,1167.0,1240.0,1382-09-17
2003-12-10,1302.0,1302.0,1243.0,1243.0,36291840,910,2,1240.0,1243.0,1382-09-19
2004-01-05,1305.0,1305.0,1245.0,1245.0,19980470,500,2,1243.0,1245.0,1382-10-15
2004-01-06,1307.0,1307.0,1246.0,1246.0,20808500,520,2,1245.0,1246.0,1382-10-16
2004-01-07,1309.0,1309.0,1250.0,1250.0,39727967,991,3,1246.0,1250.0,1382-10-17
2004-01-11,1312.0,1312.0,1250.0,1250.0,2554610,64,2,1250.0,1250.0,1382-10-21
2004-01-18,1312.0,1312.0,1253.0,1253.0,40196880,1000,6,1250.0,1253.0,1382-10-28
2004-01-24,1316.0,1316.0,1258.0,1258.0,56031210,1390,6,1253.0,1258.0,1382-11-04
2004-01-31,1321.0,1321.0,1265.0,1265.0,89268684,2206,9,1258.0,1265.0,1382-11-11
2004-02-15,1329.0,2358.0,1269.0,1269.0,108416104840,1501010,4,1265.0,1269.0,1382-11-26
2004-02-21,1332.0,1332.0,1285.0,1285.0,194326890,4760,50,1269.0,1285.0,1382-12-02
2004-03-09,1350.0,1350.0,1320.0,1320.0,413984660,10010,10,1285.0,1320.0,1382-12-19
2004-03-10,1386.0,1386.0,1357.0,1357.0,425263241,10009,5,1320.0,1357.0,1382-12-20
2004-03-17,1958.0,1958.0,1632.0,1932.0,75492090,1275,8,1357.0,1932.0,1382-12-27
2004-03-29,1942.0,1942.0,1932.0,1932.0,44689280,753,8,1932.0,1932.0,1383-01-10
2004-04-03,1933.0,1933.0,1932.0,1932.0,183600770,3100,8,1932.0,1932.0,1383-01-15
2004-04-05,1932.0,1932.0,1932.0,1932.0,147978285,2499,1,1932.0,1932.0,1383-01-17
2004-04-07,1932.0,1932.0,1932.0,1932.0,135661650,2291,14,1932.0,1932.0,1383-01-19
2004-04-10,2007.0,2029.0,1967.0,1967.0,548895250,8830,3,1932.0,1967.0,1383-01-22
2004-04-12,2029.0,2029.0,1968.0,1968.0,13036970,210,2,1967.0,1968.0,1383-01-24
2004-04-14,2066.0,2066.0,2019.0,2019.0,1145460830,18360,9,1968.0,2019.0,1383-01-26
2004-04-17,2029.0,2088.0,1932.0,2022.0,73853475,1160,4,2019.0,2022.0,1383-01-29
2004-04-18,2056.0,2056.0,2022.0,2022.0,16117680,256,2,2022.0,2022.0,1383-01-30
2004-04-25,2121.0,2121.0,2042.0,2042.0,325625900,5010,2,2022.0,2042.0,1383-02-06
2004-05-04,2121.0,2121.0,2062.0,2062.0,390631830,6010,10,2042.0,2062.0,1383-02-15
2004-05-10,2062.0,2062.0,2062.0,2062.0,125165523,1981,1,2062.0,2062.0,1383-02-21
2004-05-17,2063.0,2063.0,2062.0,2062.0,3919374,62,2,2062.0,2062.0,1383-02-28
2004-06-08,669.0,669.0,669.0,669.0,20500000,1000,1,2062.0,669.0,1383-03-19
2004-06-09,669.0,669.0,669.0,669.0,4306000,210,2,669.0,669.0,1383-03-20
2004-06-21,702.0,702.0,670.0,670.0,95123657620,4419218,3,669.0,670.0,1383-04-01
2004-07-19,704.0,704.0,671.0,671.0,4519300,210,2,670.0,671.0,1383-04-29
2004-08-07,704.0,704.0,677.0,677.0,97303890,4510,5,671.0,677.0,1383-05-17
2004-08-16,711.0,711.0,684.0,684.0,109084510,5010,3,677.0,684.0,1383-05-26
2004-08-18,718.0,718.0,718.0,718.0,536751200,24400,3,684.0,718.0,1383-05-28
2004-08-23,754.0,754.0,740.0,740.0,346681740,15010,3,718.0,740.0,1383-06-02
2004-08-29,777.0,777.0,743.0,743.0,43461092,1826,2,740.0,743.0,1383-06-08
2004-09-01,780.0,780.0,749.0,749.0,107757180,4510,4,743.0,749.0,1383-06-11
2004-09-04,780.0,780.0,776.0,776.0,499908940,20908,66,749.0,776.0,1383-06-14
2004-09-07,780.0,780.0,779.0,779.0,478478870,20010,68,776.0,779.0,1383-06-17
2004-09-11,780.0,780.0,780.0,780.0,550261120,23010,109,779.0,780.0,1383-06-21
2004-09-12,780.0,780.0,780.0,780.0,430691130,18010,76,780.0,780.0,1383-06-22
2004-09-20,780.0,780.0,780.0,780.0,7795882,326,4,780.0,780.0,1383-06-30
2004-09-25,780.0,780.0,780.0,780.0,258810399,10823,39,780.0,780.0,1383-07-04
2004-10-02,748.0,777.0,748.0,777.0,49294983,2151,10,780.0,777.0,1383-07-11
2004-10-17,777.0,777.0,777.0,777.0,8338400,350,1,777.0,777.0,1383-07-26
2004-10-18,777.0,777.0,777.0,777.0,48509598,2038,6,777.0,777.0,1383-07-27
2004-10-19,777.0,783.0,777.0,777.0,16507590,689,4,777.0,777.0,1383-07-28
2004-10-20,777.0,777.0,777.0,777.0,28828240,1210,3,777.0,777.0,1383-07-29
2004-10-24,783.0,783.0,777.0,777.0,7438240,310,2,777.0,777.0,1383-08-03
2004-10-26,783.0,783.0,777.0,777.0,4006240,167,2,777.0,777.0,1383-08-05
2004-11-03,777.0,777.0,777.0,777.0,5241280,220,1,777.0,777.0,1383-08-13
2004-11-09,777.0,777.0,777.0,777.0,28660272,1203,2,777.0,777.0,1383-08-19
2004-11-10,777.0,777.0,777.0,777.0,4764800,200,1,777.0,777.0,1383-08-20
2004-11-27,777.0,777.0,777.0,777.0,47888240,2010,2,777.0,777.0,1383-09-07
2004-12-07,777.0,777.0,777.0,777.0,2382400,100,1,777.0,777.0,1383-09-17
2004-12-11,777.0,777.0,777.0,777.0,7933392,333,2,777.0,777.0,1383-09-21
2004-12-12,778.0,778.0,778.0,778.0,1501528290,63010,8,777.0,778.0,1383-09-22
2004-12-13,777.0,778.0,777.0,778.0,18106280,760,3,778.0,778.0,1383-09-23
2004-12-19,778.0,778.0,778.0,778.0,2382700,100,1,778.0,778.0,1383-09-29
2004-12-21,778.0,778.0,777.0,777.0,36046932,1513,4,778.0,777.0,1383-10-01
2004-12-25,777.0,777.0,777.0,777.0,21608378,907,3,777.0,777.0,1383-10-05
2004-12-26,777.0,777.0,777.0,777.0,6099094,256,3,777.0,777.0,1383-10-06
2005-01-10,777.0,777.0,777.0,777.0,36176460,1520,3,777.0,777.0,1383-10-21
2005-02-14,783.0,783.0,775.0,777.0,526014602,22101,9,777.0,777.0,1383-11-26
2005-02-15,777.0,777.0,777.0,777.0,63064768,2648,2,777.0,777.0,1383-11-27
2005-02-27,777.0,777.0,777.0,777.0,526000176,22086,3,777.0,777.0,1383-12-09
2005-02-28,777.0,777.0,777.0,777.0,526000176,22086,5,777.0,777.0,1383-12-10
2005-03-02,777.0,777.0,777.0,777.0,8458130,355,2,777.0,777.0,1383-12-12
2005-03-05,777.0,777.0,777.0,777.0,4311380,181,2,777.0,777.0,1383-12-15
2005-04-05,777.0,777.0,777.0,777.0,142896,6,1,777.0,777.0,1384-01-16
2005-04-16,777.0,777.0,777.0,777.0,81166707,3408,5,777.0,777.0,1384-01-27
2005-05-02,777.0,777.0,777.0,777.0,4643945,195,4,777.0,777.0,1384-02-12
2005-05-03,777.0,777.0,777.0,777.0,108553318,4558,5,777.0,777.0,1384-02-13
2005-05-07,777.0,777.0,777.0,777.0,8454670,355,2,777.0,777.0,1384-02-17
2005-05-08,777.0,777.0,777.0,777.0,4167790,175,2,777.0,777.0,1384-02-18
2005-05-29,777.0,777.0,777.0,777.0,11907500,500,1,777.0,777.0,1384-03-08
2005-05-31,777.0,816.0,777.0,814.0,1795497990,71910,9,777.0,814.0,1384-03-10
2005-06-12,814.0,815.0,814.0,814.0,109924723990,4400510,3,814.0,814.0,1384-03-22
