date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2011-12-19,464.0,506.0,442.0,475.0,20221502325,9454636,1332,222.0,444.0,1390-09-28
2011-12-20,451.0,451.0,451.0,451.0,113624370,55890,12,475.0,451.0,1390-09-29
2011-12-21,429.0,429.0,429.0,429.0,9661932,5001,4,451.0,429.0,1390-09-30
2011-12-24,407.0,407.0,407.0,407.0,736236,401,2,429.0,407.0,1390-10-03
2011-12-25,387.0,400.0,387.0,388.0,5069844846,2898414,771,407.0,387.0,1390-10-04
2011-12-26,374.0,374.0,369.0,369.0,1427477610,857115,211,388.0,369.0,1390-10-05
2011-12-27,355.0,362.0,351.0,352.0,653657232,411855,120,369.0,351.0,1390-10-06
2011-12-28,355.0,368.0,339.0,352.0,1242340597,782874,218,352.0,339.0,1390-10-07
2011-12-31,365.0,365.0,351.0,356.0,391952195,244100,75,352.0,355.0,1390-10-10
2012-01-01,355.0,355.0,340.0,344.0,152406610,98241,27,356.0,343.0,1390-10-11
2012-01-02,344.0,344.0,337.0,339.0,276667457,180949,48,344.0,337.0,1390-10-12
2012-01-03,344.0,351.0,335.0,346.0,305298500,196000,58,339.0,338.0,1390-10-13
2012-01-04,334.0,363.0,334.0,360.0,1104438470,680400,181,346.0,363.0,1390-10-14
2012-01-07,364.0,364.0,343.0,347.0,9374000,6000,2,360.0,343.0,1390-10-17
2012-01-08,333.0,335.0,333.0,334.0,65413800,43400,14,347.0,335.0,1390-10-18
2012-01-09,339.0,339.0,326.0,332.0,1157948550,773100,322,334.0,335.0,1390-10-19
2012-01-10,333.0,348.0,333.0,339.0,251541921,164401,31,332.0,337.0,1390-10-20
2012-01-11,348.0,355.0,333.0,341.0,250458200,162700,47,339.0,333.0,1390-10-21
2012-01-15,330.0,354.0,330.0,353.0,257088500,161500,50,341.0,353.0,1390-10-25
2012-01-16,340.0,340.0,336.0,336.0,383583310,252970,54,353.0,336.0,1390-10-26
2012-01-17,337.0,337.0,333.0,333.0,312366930,207910,45,336.0,333.0,1390-10-27
2012-01-18,334.0,335.0,333.0,333.0,232600000,155000,37,333.0,333.0,1390-10-28
2012-01-21,333.0,333.0,333.0,333.0,59460000,39640,9,333.0,333.0,1390-11-01
2012-01-23,333.0,333.0,333.0,333.0,211536000,141000,25,333.0,333.0,1390-11-03
2012-01-25,333.0,333.0,333.0,333.0,310482500,206965,43,333.0,333.0,1390-11-05
2012-01-28,348.0,349.0,348.0,349.0,44781150,28450,16,333.0,349.0,1390-11-08
2012-01-29,367.0,367.0,342.0,365.0,867301470,526532,113,349.0,359.0,1390-11-09
2012-01-30,361.0,362.0,350.0,359.0,254055850,157200,45,365.0,350.0,1390-11-10
2012-01-31,357.0,357.0,343.0,355.0,184574000,115515,23,359.0,343.0,1390-11-11
2012-02-01,359.0,361.0,357.0,359.0,558182000,345000,60,355.0,359.0,1390-11-12
2012-02-04,359.0,368.0,359.0,359.0,524887073,323992,64,359.0,359.0,1390-11-15
2012-02-05,359.0,359.0,355.0,358.0,48390000,30000,3,359.0,355.0,1390-11-16
2012-02-06,343.0,346.0,343.0,346.0,24209720,15521,13,358.0,346.0,1390-11-17
2012-02-07,355.0,355.0,347.0,351.0,126730000,80000,13,346.0,347.0,1390-11-18
2012-02-08,355.0,369.0,355.0,363.0,252544350,154403,51,351.0,367.0,1390-11-19
2012-02-12,366.0,366.0,365.0,365.0,463114906,281182,123,363.0,365.0,1390-11-23
2012-02-13,366.0,366.0,364.0,365.0,476382990,290020,60,365.0,364.0,1390-11-24
2012-02-14,366.0,366.0,357.0,362.0,635213240,389002,67,365.0,359.0,1390-11-25
2012-02-15,364.0,380.0,364.0,373.0,469384500,279000,59,362.0,379.0,1390-11-26
