date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2004-08-07,341.0,341.0,329.0,336.0,8558429474,399565,318,341.0,336.0,1383-05-17
2004-08-08,352.0,352.0,351.0,351.0,2258906815,100445,58,336.0,351.0,1383-05-18
2004-08-11,369.0,369.0,369.0,369.0,3807812840,161828,109,351.0,369.0,1383-05-21
2004-08-14,387.0,387.0,387.0,387.0,9354531604,378634,96,369.0,387.0,1383-05-24
2004-08-15,406.0,406.0,406.0,406.0,3692234412,142332,122,387.0,406.0,1383-05-25
2004-08-16,406.0,427.0,211.0,406.0,10415279250,475466,624,406.0,406.0,1383-05-26
2004-08-17,391.0,397.0,386.0,397.0,1513914144,60807,57,406.0,397.0,1383-05-27
2004-08-18,391.0,396.0,378.0,396.0,214489764,8857,9,397.0,396.0,1383-05-28
2004-08-21,376.0,387.0,376.0,387.0,1125841310,46905,48,396.0,387.0,1383-05-31
2004-08-22,373.0,383.0,368.0,383.0,693641302,29188,25,387.0,383.0,1383-06-01
2004-08-23,368.0,382.0,368.0,382.0,151131414,6434,10,383.0,382.0,1383-06-02
2004-08-24,376.0,382.0,376.0,382.0,29819094,1243,5,382.0,382.0,1383-06-03
2004-08-25,376.0,382.0,376.0,382.0,171758022,7157,13,382.0,382.0,1383-06-04
2004-08-28,382.0,392.0,379.0,384.0,750235010,30203,14,382.0,384.0,1383-06-07
2004-08-29,384.0,384.0,384.0,384.0,250346224,10218,6,384.0,384.0,1383-06-08
2004-08-31,384.0,384.0,384.0,384.0,186934990,7630,5,384.0,384.0,1383-06-10
2004-09-01,384.0,385.0,384.0,384.0,439675920,17879,14,384.0,384.0,1383-06-11
2004-09-04,385.0,388.0,384.0,384.0,101263465,4096,7,384.0,384.0,1383-06-14
2004-09-05,388.0,388.0,384.0,384.0,59456162,2402,6,384.0,384.0,1383-06-15
2004-09-06,384.0,384.0,384.0,384.0,24921763070,1015970,23,384.0,384.0,1383-06-16
2004-09-07,384.0,384.0,384.0,384.0,49340127470,2011010,9,384.0,384.0,1383-06-17
2004-09-08,384.0,385.0,384.0,384.0,25974540040,1058460,11,384.0,384.0,1383-06-18
2004-09-11,384.0,385.0,384.0,384.0,462789892,18849,11,384.0,384.0,1383-06-21
2004-09-12,384.0,385.0,384.0,384.0,388139606,15820,8,384.0,384.0,1383-06-22
2004-09-14,385.0,385.0,384.0,384.0,18927890,771,3,384.0,384.0,1383-06-24
